timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
34784000,0.000571,0.000208,-5.020178,-0.070410,-0.058689,-5.152756,px4_default
34804000,0.000568,0.000210,-5.019019,-0.070009,-0.058827,-5.162452,px4_default
34824000,0.000499,0.000259,-5.017053,-0.069746,-0.058896,-5.168922,px4_default
34844000,0.000226,0.000458,-5.015537,-0.069315,-0.058944,-5.178635,px4_default
34864000,-0.000387,0.000904,-5.014571,-0.069001,-0.058965,-5.185102,px4_default
34884000,-0.001474,0.001696,-5.014138,-0.068474,-0.058941,-5.194815,px4_default
34904000,-0.003172,0.002930,-5.014213,-0.068089,-0.058912,-5.201261,px4_default
34924000,-0.005617,0.004700,-5.014763,-0.067463,-0.058854,-5.210890,px4_default
34944000,-0.008944,0.007098,-5.015753,-0.067011,-0.058793,-5.217286,px4_default
34964000,-0.013291,0.010215,-5.017136,-0.066298,-0.058714,-5.226871,px4_default
34984000,-0.018793,0.014138,-5.018863,-0.065800,-0.058666,-5.233261,px4_default
35004000,-0.025587,0.018955,-5.020877,-0.065042,-0.058596,-5.242837,px4_default
35024000,-0.033808,0.024747,-5.023116,-0.064523,-0.058555,-5.249215,px4_default
35044000,-0.043589,0.031595,-5.025509,-0.063783,-0.058541,-5.258748,px4_default
35064000,-0.055066,0.039579,-5.027983,-0.063265,-0.058537,-5.265092,px4_default
35084000,-0.068369,0.048774,-5.030455,-0.062483,-0.058579,-5.274530,px4_default
35104000,-0.083724,0.059313,-5.032838,-0.061958,-0.058623,-5.280781,px4_default
35124000,-0.101255,0.071263,-5.035034,-0.061168,-0.058712,-5.290104,px4_default
35144000,-0.121024,0.084651,-5.036946,-0.060649,-0.058771,-5.296255,px4_default
35164000,-0.143151,0.099544,-5.038467,-0.059871,-0.058863,-5.305448,px4_default
35184000,-0.167652,0.115942,-5.039355,-0.059377,-0.058924,-5.311550,px4_default
35204000,-0.194360,0.133724,-5.039186,-0.058666,-0.059013,-5.320658,px4_default
35224000,-0.223266,0.152849,-5.037839,-0.058189,-0.059076,-5.326720,px4_default
35244000,-0.254585,0.173385,-5.035586,-0.057538,-0.059173,-5.335822,px4_default
35264000,-0.288494,0.195356,-5.032705,-0.057122,-0.059244,-5.341902,px4_default
35284000,-0.324975,0.218670,-5.029252,-0.056521,-0.059361,-5.351038,px4_default
35304000,-0.363902,0.243192,-5.025155,-0.056187,-0.059477,-5.357160,px4_default
35324000,-0.405174,0.268831,-5.020406,-0.055647,-0.059655,-5.366350,px4_default
35344000,-0.448810,0.295595,-5.015198,-0.055343,-0.059807,-5.372496,px4_default
35364000,-0.494805,0.323506,-5.009733,-0.054879,-0.060056,-5.381726,px4_default
35384000,-0.543059,0.352545,-5.004078,-0.054589,-0.060244,-5.387886,px4_default
35404000,-0.593502,0.382708,-4.998298,-0.054166,-0.060574,-5.397120,px4_default
35424000,-0.646122,0.414023,-4.992458,-0.053872,-0.060810,-5.403277,px4_default
35444000,-0.700680,0.446402,-4.986625,-0.053467,-0.061209,-5.412534,px4_default
35464000,-0.757070,0.479820,-4.980855,-0.053199,-0.061476,-5.418712,px4_default
35484000,-0.815189,0.514258,-4.975202,-0.052802,-0.061879,-5.427988,px4_default
35504000,-0.874929,0.549692,-4.969714,-0.052561,-0.062160,-5.434164,px4_default
35524000,-0.936176,0.586098,-4.964440,-0.052200,-0.062580,-5.443435,px4_default
35544000,-0.998825,0.623454,-4.959424,-0.051987,-0.062862,-5.449608,px4_default
35564000,-1.062764,0.661734,-4.954707,-0.051686,-0.063289,-5.458851,px4_default
35584000,-1.127877,0.700914,-4.950327,-0.051476,-0.063574,-5.465014,px4_default
35604000,-1.194054,0.740968,-4.946320,-0.051151,-0.064021,-5.474229,px4_default
35624000,-1.261182,0.781873,-4.942716,-0.050918,-0.064323,-5.480379,px4_default
35644000,-1.329144,0.823601,-4.939545,-0.050552,-0.064826,-5.489578,px4_default
35664000,-1.397822,0.866126,-4.936833,-0.050294,-0.065182,-5.495709,px4_default
35684000,-1.467107,0.909422,-4.934602,-0.049886,-0.065746,-5.504901,px4_default
35704000,-1.536878,0.953463,-4.932870,-0.049641,-0.066147,-5.511001,px4_default
35724000,-1.607031,0.998259,-4.931685,-0.049270,-0.066757,-5.520166,px4_default
35744000,-1.677421,1.043751,-4.931040,-0.049044,-0.067182,-5.526290,px4_default
35764000,-1.747930,1.089903,-4.930934,-0.048734,-0.067848,-5.535508,px4_default
35784000,-1.818445,1.136688,-4.931372,-0.048520,-0.068297,-5.541665,px4_default
35804000,-1.888827,1.184067,-4.932357,-0.048301,-0.069013,-5.550914,px4_default
35824000,-1.958966,1.232015,-4.933887,-0.048178,-0.069502,-5.557085,px4_default
35844000,-2.028750,1.280506,-4.935959,-0.048025,-0.070255,-5.566346,px4_default
35864000,-2.098078,1.329525,-4.938565,-0.047926,-0.070776,-5.572535,px4_default
35884000,-2.166816,1.379031,-4.941694,-0.047780,-0.071585,-5.581837,px4_default
35904000,-2.234831,1.428982,-4.945331,-0.047683,-0.072105,-5.588049,px4_default
