timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
0,0.000000,0.000000,-3.000000,0.000000,0.000000,-3.000000,x500_identified
31720,0.000037,0.000054,-2.998960,0.005149,-0.004924,-2.995954,x500_identified
63439,0.000227,0.000331,-2.997686,0.005125,-0.004394,-2.994711,x500_identified
95159,0.001007,0.001469,-2.997298,0.005680,-0.004250,-2.993473,x500_identified
126878,0.002511,0.003657,-2.997605,0.005973,-0.003412,-2.993150,x500_identified
158598,0.005285,0.007691,-2.998725,0.007633,-0.001530,-2.993624,x500_identified
190317,0.009435,0.013714,-3.000394,0.010699,0.002119,-2.995004,x500_identified
222037,0.015468,0.022453,-3.002534,0.014684,0.008323,-2.996406,x500_identified
253756,0.023559,0.034150,-3.004914,0.021289,0.016815,-2.998503,x500_identified
285476,0.034111,0.049362,-3.007325,0.028986,0.028470,-3.000494,x500_identified
317195,0.047441,0.068520,-3.009485,0.039625,0.043619,-3.002862,x500_identified
348915,0.063502,0.091542,-3.010576,0.052641,0.063067,-3.005277,x500_identified
380634,0.082417,0.118631,-3.009489,0.068400,0.086379,-3.007023,x500_identified
412354,0.104010,0.149602,-3.006777,0.087087,0.113858,-3.005591,x500_identified
444073,0.128791,0.185204,-3.003037,0.108349,0.145297,-3.002791,x500_identified
475793,0.156418,0.224874,-2.998703,0.133033,0.181120,-2.998755,x500_identified
507513,0.187230,0.268972,-2.993857,0.160447,0.221202,-2.994632,x500_identified
539232,0.220801,0.316776,-2.988679,0.190268,0.265145,-2.989695,x500_identified
570952,0.257478,0.368600,-2.983236,0.223986,0.312516,-2.985107,x500_identified
602671,0.296842,0.423746,-2.977658,0.260329,0.364530,-2.979901,x500_identified
634391,0.339181,0.482404,-2.972029,0.299145,0.420208,-2.973964,x500_identified
666110,0.384213,0.544062,-2.966446,0.340461,0.478277,-2.968057,x500_identified
697830,0.432012,0.608622,-2.960998,0.384934,0.539870,-2.962671,x500_identified
729549,0.482444,0.675759,-2.955763,0.432642,0.603414,-2.957708,x500_identified
761269,0.535583,0.745332,-2.950835,0.482602,0.670442,-2.952280,x500_identified
792988,0.591145,0.816904,-2.946248,0.536321,0.740269,-2.947145,x500_identified
824708,0.649447,0.890488,-2.942132,0.591473,0.812027,-2.942355,x500_identified
856427,0.709907,0.965477,-2.938447,0.649450,0.885254,-2.937801,x500_identified
888147,0.773184,1.042004,-2.935424,0.709496,0.959558,-2.933971,x500_identified
919866,0.838411,1.119410,-2.932911,0.771672,1.036636,-2.931039,x500_identified
951586,0.906327,1.197738,-2.931132,0.837012,1.113798,-2.929074,x500_identified
983306,0.976033,1.276471,-2.929719,0.904384,1.191690,-2.927516,x500_identified
1015025,1.048198,1.355421,-2.928680,0.973765,1.270311,-2.925557,x500_identified
1046745,1.122147,1.434221,-2.928011,1.045880,1.348749,-2.924446,x500_identified
1078464,1.198368,1.512500,-2.928012,1.118912,1.426951,-2.924138,x500_identified
1110184,1.276447,1.590069,-2.928678,1.195054,1.504581,-2.923846,x500_identified
1141903,1.356539,1.666552,-2.930084,1.272786,1.581446,-2.925329,x500_identified
1173623,1.438423,1.741694,-2.932172,1.353059,1.657506,-2.926459,x500_identified
1205342,1.522055,1.815243,-2.934920,1.435189,1.732655,-2.928652,x500_identified
1237062,1.607391,1.886803,-2.938323,1.518085,1.805671,-2.931088,x500_identified
1268781,1.694167,1.956324,-2.942276,1.603159,1.876950,-2.934508,x500_identified
1300501,1.782551,2.023149,-2.946819,1.689588,1.945440,-2.938920,x500_identified
1332220,1.872084,2.087628,-2.951777,1.778194,2.011965,-2.943800,x500_identified
1363940,1.963066,2.148546,-2.957222,1.867606,2.076495,-2.948184,x500_identified
1395659,2.054979,2.206821,-2.962947,1.958002,2.137443,-2.952894,x500_identified
1427379,2.148055,2.260897,-2.968981,2.049990,2.195725,-2.958505,x500_identified
1459098,2.241838,2.311905,-2.975160,2.142636,2.249028,-2.964638,x500_identified
1490818,2.336517,2.358159,-2.981449,2.235985,2.300392,-2.971067,x500_identified
1522538,2.431729,2.400763,-2.987734,2.329845,2.347703,-2.977413,x500_identified
1554257,2.527449,2.438471,-2.993806,2.424757,2.390287,-2.983976,x500_identified
1585977,2.623504,2.471974,-2.999383,2.521187,2.427997,-2.989549,x500_identified
1617696,2.719861,2.500535,-3.004420,2.616386,2.461481,-2.995050,x500_identified
1649416,2.816435,2.524257,-3.009019,2.712521,2.490124,-3.000004,x500_identified
1681135,2.913214,2.542873,-3.013083,2.808592,2.514195,-3.004824,x500_identified
1712855,3.010102,2.556423,-3.016602,2.905246,2.532979,-3.009120,x500_identified
1744574,3.107018,2.564554,-3.019543,3.002228,2.546608,-3.012389,x500_identified
1776294,3.203911,2.567701,-3.021920,3.098534,2.555314,-3.015414,x500_identified
1808013,3.300638,2.565320,-3.023600,3.195294,2.558194,-3.017395,x500_identified
1839733,3.397125,2.558028,-3.024640,3.291127,2.555402,-3.019114,x500_identified
1871452,3.493230,2.545320,-3.024989,3.387217,2.547593,-3.019763,x500_identified
1903172,3.588875,2.527777,-3.024823,3.483096,2.534528,-3.020081,x500_identified
1934891,3.683812,2.504964,-3.024238,3.578501,2.516571,-3.019585,x500_identified
1966611,3.777991,2.477470,-3.023338,3.673477,2.494477,-3.018656,x500_identified
1998331,3.871199,2.444972,-3.022147,3.767540,2.467675,-3.017817,x500_identified
2030050,3.963324,2.407955,-3.020736,3.860502,2.435000,-3.016673,x500_identified
2061770,4.054211,2.366328,-3.019141,3.952478,2.397673,-3.015673,x500_identified
2093489,4.143712,2.320270,-3.017411,4.042712,2.356153,-3.014109,x500_identified
2125209,4.231724,2.270073,-3.015590,4.131506,2.310364,-3.012305,x500_identified
2156928,4.318029,2.215581,-3.013713,4.219617,2.260145,-3.010323,x500_identified
2188648,4.402669,2.157386,-3.011816,4.306502,2.204923,-3.008742,x500_identified
2220367,4.485181,2.094993,-3.009933,4.391768,2.147113,-3.007084,x500_identified
2252087,4.565926,2.029410,-3.008086,4.473318,2.083998,-3.006112,x500_identified
2283806,4.644106,1.959639,-3.006319,4.554394,2.018564,-3.004197,x500_identified
2315526,4.720489,1.887253,-3.004621,4.632449,1.949454,-3.002372,x500_identified
2347245,4.793731,1.810709,-3.003065,4.708994,1.876858,-3.000785,x500_identified
2378965,4.865038,1.731825,-3.001606,4.781689,1.800389,-2.998971,x500_identified
2410684,4.933047,1.649389,-3.000318,4.852931,1.722389,-2.997233,x500_identified
2442404,4.998701,1.564641,-2.999158,4.921302,1.639732,-2.996344,x500_identified
2474124,5.061048,1.476917,-2.998176,4.985815,1.555418,-2.995117,x500_identified
