timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
12784000,0.000000,0.000000,-3.000000,-0.010077,0.011237,-3.746395,sysid
12804000,0.018144,0.000000,-3.000000,-0.010407,0.011161,-3.791875,sysid
12824000,0.036276,0.000000,-3.000000,-0.010596,0.011069,-3.822346,sysid
12844000,0.054385,0.000000,-3.000000,-0.010832,0.010873,-3.868278,sysid
12864000,0.072458,0.000000,-3.000000,-0.010898,0.010686,-3.899112,sysid
12884000,0.090484,0.000000,-3.000000,-0.010979,0.010396,-3.945565,sysid
12904000,0.108452,0.000000,-3.000000,-0.010998,0.010184,-3.976682,sysid
12924000,0.126350,0.000000,-3.000000,-0.010987,0.009849,-4.023594,sysid
12944000,0.144166,0.000000,-3.000000,-0.010972,0.009624,-4.055004,sysid
12964000,0.161889,0.000000,-3.000000,-0.010856,0.009271,-4.102314,sysid
12984000,0.179507,0.000000,-3.000000,-0.010771,0.009027,-4.133976,sysid
13004000,0.197010,0.000000,-3.000000,-0.010632,0.008648,-4.181650,sysid
13024000,0.214386,0.000000,-3.000000,-0.010529,0.008403,-4.213529,sysid
13044000,0.231625,0.000000,-3.000000,-0.010363,0.008046,-4.261494,sysid
13064000,0.248716,0.000000,-3.000000,-0.010208,0.007864,-4.293520,sysid
13084000,0.265647,0.000000,-3.000000,-0.009980,0.007630,-4.341722,sysid
13104000,0.282409,0.000000,-3.000000,-0.009818,0.007518,-4.373952,sysid
13124000,0.298992,0.000000,-3.000000,-0.009578,0.007386,-4.422443,sysid
13144000,0.315385,0.000000,-3.000000,-0.009424,0.007315,-4.454880,sysid
13164000,0.331578,0.000000,-3.000000,-0.009188,0.007270,-4.503677,sysid
13184000,0.347563,0.000000,-3.000000,-0.009018,0.007261,-4.536311,sysid
13204000,0.363329,0.000000,-3.000000,-0.008746,0.007279,-4.585418,sysid
13224000,0.378867,0.000000,-3.000000,-0.008519,0.007339,-4.618279,sysid
13244000,0.394169,0.000000,-3.000000,-0.008170,0.007445,-4.667761,sysid
13264000,0.409225,0.000000,-3.000000,-0.007912,0.007531,-4.700875,sysid
13284000,0.424028,0.000000,-3.000000,-0.007512,0.007669,-4.750747,sysid
13304000,0.438569,0.000000,-3.000000,-0.007218,0.007763,-4.784159,sysid
13324000,0.452840,0.000000,-3.000000,-0.006733,0.007904,-4.834716,sysid
13344000,0.466835,0.000000,-3.000000,-0.006404,0.008005,-4.868779,sysid
13364000,0.480545,0.000000,-3.000000,-0.005819,0.008129,-4.920440,sysid
13384000,0.493964,0.000000,-3.000000,-0.005417,0.008214,-4.955267,sysid
13404000,0.507084,0.000000,-3.000000,-0.004789,0.008349,-5.008092,sysid
13424000,0.519901,0.000000,-3.000000,-0.004303,0.008445,-5.043723,sysid
13444000,0.532408,0.000000,-3.000000,-0.003556,0.008601,-5.097766,sysid
13464000,0.544598,0.000000,-3.000000,-0.003021,0.008710,-5.134209,sysid
13484000,0.556468,0.000000,-3.000000,-0.002124,0.008867,-5.189518,sysid
13504000,0.568011,0.000000,-3.000000,-0.001497,0.008980,-5.226796,sysid
13524000,0.579224,0.000000,-3.000000,-0.000432,0.009129,-5.283436,sysid
13544000,0.590101,0.000000,-3.000000,0.000276,0.009245,-5.321575,sysid
13564000,0.600639,0.000000,-3.000000,0.001482,0.009409,-5.379409,sysid
13584000,0.610835,0.000000,-3.000000,0.002309,0.009505,-5.418368,sysid
13604000,0.620685,0.000000,-3.000000,0.003597,0.009631,-5.477408,sysid
13624000,0.630186,0.000000,-3.000000,0.004494,0.009695,-5.517162,sysid
13644000,0.639335,0.000000,-3.000000,0.005864,0.009802,-5.577380,sysid
13664000,0.648131,0.000000,-3.000000,0.006807,0.009874,-5.617922,sysid
13684000,0.656572,0.000000,-3.000000,0.008284,0.009993,-5.679347,sysid
13704000,0.664656,0.000000,-3.000000,0.009292,0.010081,-5.720690,sysid
13724000,0.672382,0.000000,-3.000000,0.010903,0.010177,-5.783352,sysid
13744000,0.679749,0.000000,-3.000000,0.012021,0.010228,-5.825528,sysid
13764000,0.686758,0.000000,-3.000000,0.013763,0.010281,-5.889390,sysid
13784000,0.693407,0.000000,-3.000000,0.014966,0.010293,-5.932421,sysid
13804000,0.699697,0.000000,-3.000000,0.016769,0.010329,-5.997520,sysid
13824000,0.705629,0.000000,-3.000000,0.017984,0.010330,-6.041330,sysid
