timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
34740000,0.000000,0.000000,-5.000000,-0.041334,-0.002599,-4.988275,px4_default
34760000,-0.000003,0.000002,-4.998841,-0.043084,-0.001764,-4.991262,px4_default
34780000,-0.000071,0.000051,-4.996875,-0.044498,-0.001051,-4.993730,px4_default
34800000,-0.000345,0.000250,-4.995358,-0.047076,0.000316,-4.998106,px4_default
34820000,-0.000958,0.000696,-4.994392,-0.049188,0.001487,-5.001496,px4_default
34840000,-0.002045,0.001488,-4.993959,-0.053129,0.003701,-5.007216,px4_default
34860000,-0.003743,0.002722,-4.994034,-0.056302,0.005519,-5.011366,px4_default
34880000,-0.006188,0.004492,-4.994585,-0.062187,0.008928,-5.018143,px4_default
34900000,-0.009515,0.006890,-4.995574,-0.066894,0.011698,-5.022932,px4_default
34920000,-0.013862,0.010007,-4.996958,-0.075245,0.016681,-5.030468,px4_default
34940000,-0.019364,0.013931,-4.998685,-0.081897,0.020712,-5.035673,px4_default
34960000,-0.026158,0.018747,-5.000699,-0.093350,0.027753,-5.043429,px4_default
34980000,-0.034379,0.024539,-5.002937,-0.102091,0.033194,-5.048385,px4_default
35000000,-0.044160,0.031387,-5.005331,-0.116909,0.042474,-5.054959,px4_default
35020000,-0.055637,0.039371,-5.007804,-0.133722,0.053115,-5.060209,px4_default
35040000,-0.068940,0.048566,-5.010277,-0.146208,0.061104,-5.063071,px4_default
35060000,-0.084295,0.059105,-5.012660,-0.159568,0.069683,-5.065519,px4_default
35080000,-0.101826,0.071055,-5.014856,-0.181973,0.084276,-5.068212,px4_default
35100000,-0.121594,0.084443,-5.016768,-0.198310,0.094975,-5.069289,px4_default
35120000,-0.143722,0.099336,-5.018289,-0.224992,0.112511,-5.069814,px4_default
35140000,-0.168223,0.115734,-5.019176,-0.244635,0.125500,-5.069445,px4_default
35160000,-0.194931,0.133517,-5.019007,-0.276465,0.146569,-5.068106,px4_default
35180000,-0.223837,0.152642,-5.017661,-0.299501,0.161868,-5.066656,px4_default
35200000,-0.255156,0.173177,-5.015408,-0.336932,0.186759,-5.063666,px4_default
35220000,-0.289065,0.195148,-5.012527,-0.363620,0.204457,-5.061198,px4_default
35240000,-0.325546,0.218463,-5.009074,-0.406946,0.233330,-5.056601,px4_default
35260000,-0.364473,0.242984,-5.004977,-0.437736,0.253826,-5.053082,px4_default
35280000,-0.405745,0.268623,-5.000227,-0.486794,0.286439,-5.047169,px4_default
35300000,-0.449381,0.295387,-4.995020,-0.521756,0.309797,-5.042756,px4_default
35320000,-0.495376,0.323299,-4.989554,-0.576579,0.346200,-5.035743,px4_default
35340000,-0.543630,0.352338,-4.983900,-0.615341,0.372067,-5.030715,px4_default
35360000,-0.594073,0.382500,-4.978120,-0.676133,0.412567,-5.022838,px4_default
35380000,-0.646692,0.413815,-4.972280,-0.718603,0.440925,-5.017361,px4_default
35400000,-0.701251,0.446194,-4.966447,-0.785154,0.485491,-5.008883,px4_default
35420000,-0.757641,0.479612,-4.960677,-0.831180,0.516319,-5.003130,px4_default
35440000,-0.815760,0.514050,-4.955023,-0.903157,0.564922,-4.994386,px4_default
35460000,-0.875499,0.549485,-4.949536,-0.952776,0.598561,-4.988565,px4_default
35480000,-0.936747,0.585891,-4.944262,-1.029543,0.650866,-4.979916,px4_default
35500000,-0.999396,0.623246,-4.939246,-1.082471,0.687290,-4.974265,px4_default
35520000,-1.063334,0.661527,-4.934529,-1.163789,0.743543,-4.966046,px4_default
35540000,-1.128448,0.700706,-4.930149,-1.219352,0.782332,-4.960780,px4_default
35560000,-1.194625,0.740761,-4.926141,-1.304556,0.842414,-4.953300,px4_default
35580000,-1.261753,0.781665,-4.922537,-1.362369,0.883517,-4.948616,px4_default
35600000,-1.329715,0.823394,-4.919367,-1.450552,0.946982,-4.942169,px4_default
35620000,-1.398393,0.865918,-4.916655,-1.510117,0.990295,-4.938272,px4_default
35640000,-1.467678,0.909214,-4.914423,-1.600619,1.057233,-4.933239,px4_default
35660000,-1.537449,0.953255,-4.912692,-1.661460,1.102877,-4.930417,px4_default
35680000,-1.607602,0.998051,-4.911507,-1.753288,1.172833,-4.927037,px4_default
35700000,-1.677992,1.043544,-4.910861,-1.814716,1.220661,-4.925475,px4_default
35720000,-1.748501,1.089695,-4.910755,-1.906957,1.293643,-4.924061,px4_default
35740000,-1.819016,1.136481,-4.911194,-1.968374,1.343230,-4.923825,px4_default
35760000,-1.889398,1.183859,-4.912179,-2.060128,1.418896,-4.924572,px4_default
35780000,-1.959537,1.231807,-4.913709,-2.120978,1.470034,-4.925731,px4_default
35800000,-2.029320,1.280299,-4.915781,-2.211262,1.547976,-4.928714,px4_default
35820000,-2.098649,1.329318,-4.918386,-2.270756,1.600545,-4.931420,px4_default
35840000,-2.167387,1.378824,-4.921515,-2.358764,1.680232,-4.936540,px4_default
35860000,-2.235402,1.428775,-4.925152,-2.416433,1.733810,-4.940649,px4_default
35880000,-2.302603,1.479162,-4.929282,-2.501268,1.814770,-4.947806,px4_default
35900000,-2.368879,1.529958,-4.933883,-2.556276,1.869062,-4.953337,px4_default
35920000,-2.434078,1.581107,-4.938930,-2.636902,1.950784,-4.962420,px4_default
35940000,-2.498111,1.632596,-4.944388,-2.689092,2.005403,-4.969068,px4_default
35960000,-2.560884,1.684393,-4.950178,-2.764833,2.087368,-4.979832,px4_default
35980000,-2.622279,1.736489,-4.956274,-2.813837,2.141996,-4.987338,px4_default
36000000,-2.682075,1.788802,-4.962707,-2.884146,2.223716,-4.999197,px4_default
36020000,-2.740269,1.841298,-4.969428,-2.929199,2.278004,-5.007337,px4_default
36040000,-2.796766,1.893935,-4.976398,-2.993976,2.359057,-5.019835,px4_default
36060000,-2.851497,1.946688,-4.983564,-3.034731,2.412655,-5.028390,px4_default
36080000,-2.904341,1.999482,-4.990877,-3.093153,2.492491,-5.041253,px4_default
36100000,-2.955206,2.052274,-4.998310,-3.129928,2.545216,-5.049833,px4_default
36120000,-3.004021,2.105037,-5.005829,-3.182289,2.623547,-5.062554,px4_default
36140000,-3.050726,2.157711,-5.013318,-3.214959,2.675117,-5.070910,px4_default
36160000,-3.095269,2.210246,-5.020669,-3.260581,2.751403,-5.083089,px4_default
36180000,-3.137569,2.262628,-5.027891,-3.289096,2.801641,-5.090924,px4_default
36200000,-3.177530,2.314842,-5.035028,-3.327899,2.875524,-5.102117,px4_default
36220000,-3.215103,2.366880,-5.042038,-3.351673,2.923992,-5.109164,px4_default
36240000,-3.250228,2.418694,-5.048860,-3.384203,2.995484,-5.119064,px4_default
36260000,-3.282869,2.470288,-5.055460,-3.403249,3.042074,-5.125106,px4_default
36280000,-3.312975,2.521640,-5.061818,-3.428946,3.110793,-5.133420,px4_default
36300000,-3.340336,2.572737,-5.067882,-3.443789,3.155655,-5.138419,px4_default
36320000,-3.365059,2.623537,-5.073613,-3.462625,3.221520,-5.145056,px4_default
36340000,-3.387137,2.674054,-5.078991,-3.473260,3.264632,-5.148939,px4_default
36360000,-3.406538,2.724285,-5.083995,-3.485224,3.327605,-5.153790,px4_default
36380000,-3.423243,2.774240,-5.088607,-3.491620,3.368935,-5.156530,px4_default
36400000,-3.437229,2.823884,-5.092795,-3.497235,3.429199,-5.159646,px4_default
36420000,-3.448485,2.873212,-5.096539,-3.498861,3.468469,-5.161143,px4_default
36440000,-3.456981,2.922241,-5.099860,-3.498156,3.526037,-5.162471,px4_default
36460000,-3.462687,2.970960,-5.102773,-3.495016,3.563273,-5.162678,px4_default
36480000,-3.465602,3.019361,-5.105263,-3.487346,3.617933,-5.162184,px4_default
36500000,-3.465731,3.067459,-5.107311,-3.479894,3.653419,-5.161269,px4_default
36520000,-3.463069,3.115258,-5.108918,-3.465149,3.705288,-5.159036,px4_default
36540000,-3.457602,3.162763,-5.110095,-3.453308,3.739112,-5.157058,px4_default
36560000,-3.449334,3.209938,-5.110839,-3.431458,3.788334,-5.153205,px4_default
36580000,-3.438263,3.256799,-5.111157,-3.414718,3.820362,-5.150124,px4_default
36600000,-3.424349,3.303341,-5.110958,-3.386361,3.867234,-5.144746,px4_default
36620000,-3.407598,3.349570,-5.110251,-3.364732,3.897535,-5.140651,px4_default
36640000,-3.388083,3.395427,-5.109146,-3.329799,3.942102,-5.133997,px4_default
36660000,-3.365828,3.440907,-5.107646,-3.303795,3.970897,-5.129159,px4_default
36680000,-3.340846,3.486008,-5.105767,-3.261765,4.013060,-5.121432,px4_default
36700000,-3.313164,3.530681,-5.103538,-3.231387,4.040384,-5.115965,px4_default
36720000,-3.282806,3.574911,-5.100981,-3.182276,4.080227,-5.107325,px4_default
36740000,-3.249822,3.618689,-5.098073,-3.147530,4.106109,-5.101313,px4_default
36760000,-3.214255,3.662005,-5.094802,-3.091374,4.143691,-5.091909,px4_default
36780000,-3.176126,3.704815,-5.091220,-3.051755,4.168038,-5.085436,px4_default
36800000,-3.135464,3.747062,-5.087389,-2.989086,4.203488,-5.075453,px4_default
36820000,-3.092299,3.788720,-5.083333,-2.944648,4.226299,-5.068624,px4_default
36840000,-3.046669,3.829755,-5.079076,-2.875105,4.259477,-5.058181,px4_default
36860000,-2.998607,3.870137,-5.074637,-2.826511,4.280829,-5.051102,px4_default
36880000,-2.948195,3.909801,-5.070042,-2.750338,4.311696,-5.040346,px4_default
36900000,-2.895442,3.948720,-5.065310,-2.697704,4.331550,-5.033107,px4_default
36920000,-2.840257,3.986808,-5.060458,-2.615587,4.360168,-5.022189,px4_default
36940000,-2.782822,4.024093,-5.055513,-2.559053,4.378510,-5.014888,px4_default
36960000,-2.723228,4.060511,-5.050498,-2.470785,4.404802,-5.004006,px4_default
36980000,-2.661506,4.096035,-5.045430,-2.410088,4.421561,-4.996783,px4_default
37000000,-2.597681,4.130647,-5.040326,-2.316321,4.445523,-4.986008,px4_default
37020000,-2.531832,4.164291,-5.035205,-2.251648,4.460635,-4.978904,px4_default
37040000,-2.464010,4.196935,-5.030085,-2.152227,4.482107,-4.968369,px4_default
37060000,-2.394253,4.228549,-5.024980,-2.084110,4.495568,-4.961453,px4_default
37080000,-2.322597,4.259104,-5.019905,-1.979293,4.514456,-4.951328,px4_default
37100000,-2.249101,4.288563,-5.014875,-1.907943,4.526201,-4.944725,px4_default
37120000,-2.173846,4.316882,-5.009906,-1.798065,4.542450,-4.935149,px4_default
37140000,-2.096860,4.344035,-5.005010,-1.723323,4.552409,-4.928971,px4_default
37160000,-2.018191,4.369991,-5.000199,-1.609053,4.566007,-4.920033,px4_default
37180000,-1.937868,4.394724,-4.995484,-1.531520,4.574156,-4.914301,px4_default
37200000,-1.856008,4.418182,-4.990879,-1.413271,4.584975,-4.906061,px4_default
37220000,-1.772557,4.440278,-4.986400,-1.332942,4.591184,-4.900880,px4_default
37240000,-1.687575,4.461018,-4.982051,-1.210841,4.599033,-4.893487,px4_default
37260000,-1.601225,4.480384,-4.977844,-1.128257,4.603240,-4.888867,px4_default
37280000,-1.513533,4.498354,-4.973783,-1.002761,4.607980,-4.882412,px4_default
37300000,-1.424550,4.514898,-4.969877,-0.918201,4.610101,-4.878385,px4_default
37320000,-1.334303,4.529989,-4.966130,-0.789745,4.611558,-4.872938,px4_default
37340000,-1.242888,4.543590,-4.962550,-0.703286,4.611416,-4.869619,px4_default
37360000,-1.150366,4.555672,-4.959142,-0.572466,4.609507,-4.865074,px4_default
37380000,-1.056777,4.566208,-4.955910,-0.484481,4.606975,-4.862441,px4_default
37400000,-0.962160,4.575170,-4.952855,-0.351698,4.601406,-4.858969,px4_default
37420000,-0.866577,4.582527,-4.949981,-0.262638,4.596436,-4.856998,px4_default
37440000,-0.770128,4.588250,-4.947290,-0.128447,4.587150,-4.854495,px4_default
37460000,-0.672841,4.592313,-4.944781,-0.038610,4.579676,-4.853175,px4_default
37480000,-0.574770,4.594691,-4.942451,0.096571,4.566488,-4.851718,px4_default
37500000,-0.475942,4.595364,-4.940278,0.186902,4.556409,-4.851053,px4_default
37520000,-0.376499,4.594298,-4.938221,0.322599,4.539190,-4.850634,px4_default
37540000,-0.276447,4.591402,-4.936306,0.413105,4.526370,-4.850664,px4_default
37560000,-0.175845,4.586736,-4.934584,0.548827,4.505115,-4.851152,px4_default
37580000,-0.074846,4.580296,-4.933062,0.639133,4.489479,-4.851841,px4_default
37600000,0.026504,4.572070,-4.931744,0.774341,4.463981,-4.853285,px4_default
37620000,0.128138,4.562049,-4.930630,0.864205,4.445548,-4.854572,px4_default
37640000,0.230010,4.550223,-4.929722,0.998466,4.415758,-4.856980,px4_default
37660000,0.332008,4.536585,-4.929019,1.087620,4.394516,-4.858845,px4_default
37680000,0.434045,4.521132,-4.928520,1.220455,4.360384,-4.862195,px4_default
37700000,0.536068,4.503861,-4.928202,1.308602,4.336298,-4.864621,px4_default
37720000,0.638022,4.484776,-4.928036,1.439612,4.297932,-4.868779,px4_default
37740000,0.739840,4.463873,-4.928022,1.526236,4.270954,-4.871804,px4_default
37760000,0.841408,4.441154,-4.928185,1.655021,4.228394,-4.876698,px4_default
37780000,0.942706,4.416611,-4.928532,1.739819,4.198579,-4.880272,px4_default
37800000,1.043703,4.390237,-4.929066,1.865803,4.151840,-4.885908,px4_default
37820000,1.144260,4.362061,-4.929783,1.948791,4.119311,-4.889888,px4_default
37840000,1.244328,4.331964,-4.930693,2.071687,4.068475,-4.896135,px4_default
37860000,1.343867,4.300044,-4.931781,2.152677,4.033272,-4.900445,px4_default
37880000,1.442864,4.266315,-4.933042,2.272182,3.978373,-4.907205,px4_default
37900000,1.541189,4.230809,-4.934468,2.350737,3.940469,-4.911831,px4_default
37920000,1.638807,4.193527,-4.936055,2.466843,3.881682,-4.918925,px4_default
37940000,1.735669,4.154472,-4.937794,2.542799,3.841238,-4.923770,px4_default
37960000,1.831744,4.113642,-4.939679,2.655286,3.778768,-4.931077,px4_default
37980000,1.926944,4.071058,-4.941700,2.728734,3.735963,-4.936039,px4_default
38000000,2.021195,4.026736,-4.943849,2.837090,3.669996,-4.943528,px4_default
38020000,2.114463,3.980677,-4.946115,2.907900,3.624859,-4.948555,px4_default
38040000,2.206706,3.932882,-4.948491,3.011920,3.555380,-4.956109,px4_default
38060000,2.297872,3.883358,-4.950964,3.079974,3.507917,-4.961124,px4_default
