timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
12628000,0.060063,0.122142,-3.148664,0.079606,0.156394,-3.809714,px4_default
12648000,0.060060,0.122130,-3.147239,0.080889,0.158928,-3.855656,px4_default
12668000,0.060055,0.122113,-3.145792,0.081721,0.160649,-3.886400,px4_default
12688000,0.059986,0.121852,-3.143324,0.082928,0.163174,-3.932701,px4_default
12708000,0.059909,0.121562,-3.140886,0.083693,0.164839,-3.963686,px4_default
12728000,0.059640,0.120540,-3.139160,0.084768,0.167318,-4.010327,px4_default
12748000,0.059352,0.119442,-3.137474,0.085452,0.168937,-4.041569,px4_default
12768000,0.058759,0.117152,-3.136424,0.086389,0.171390,-4.088604,px4_default
12788000,0.058131,0.114719,-3.135420,0.086981,0.173020,-4.120072,px4_default
12808000,0.057095,0.110656,-3.134950,0.087821,0.175456,-4.167444,px4_default
12828000,0.056004,0.106364,-3.134525,0.088342,0.177105,-4.199154,px4_default
12848000,0.054416,0.100028,-3.134507,0.089099,0.179533,-4.246922,px4_default
12868000,0.052748,0.093357,-3.134525,0.089586,0.181145,-4.278901,px4_default
12888000,0.050503,0.084254,-3.134801,0.090292,0.183524,-4.327065,px4_default
12908000,0.048153,0.074693,-3.135092,0.090743,0.185117,-4.359302,px4_default
12928000,0.045156,0.062340,-3.135472,0.091385,0.187524,-4.407836,px4_default
12948000,0.042024,0.049387,-3.135832,0.091799,0.189104,-4.440322,px4_default
12968000,0.038187,0.033312,-3.136093,0.092365,0.191564,-4.489252,px4_default
12988000,0.034203,0.016561,-3.136158,0.092725,0.193205,-4.521985,px4_default
13008000,0.029549,-0.003247,-3.135330,0.093248,0.195657,-4.571259,px4_default
13028000,0.024751,-0.023791,-3.134161,0.093598,0.197326,-4.604224,px4_default
13048000,0.019382,-0.047256,-3.131639,0.094110,0.199787,-4.653862,px4_default
13068000,0.013871,-0.071605,-3.128920,0.094444,0.201427,-4.687074,px4_default
13088000,0.007860,-0.099066,-3.125507,0.094919,0.203910,-4.737058,px4_default
13108000,0.001727,-0.127501,-3.122035,0.095224,0.205545,-4.770510,px4_default
13128000,-0.004791,-0.158995,-3.118375,0.095625,0.208090,-4.820845,px4_default
13148000,-0.011394,-0.191473,-3.114690,0.095894,0.209720,-4.854547,px4_default
13168000,-0.018235,-0.226731,-3.110934,0.096263,0.212261,-4.905286,px4_default
13188000,-0.025114,-0.262969,-3.107188,0.096492,0.213958,-4.939266,px4_default
13208000,-0.032092,-0.301709,-3.103470,0.096814,0.216504,-4.990465,px4_default
13228000,-0.039055,-0.341415,-3.099802,0.097027,0.218277,-5.024798,px4_default
13248000,-0.045985,-0.383354,-3.096246,0.097336,0.220913,-5.076522,px4_default
13268000,-0.052840,-0.426230,-3.092777,0.097530,0.222700,-5.111162,px4_default
13288000,-0.059537,-0.471075,-3.089490,0.097836,0.225409,-5.163363,px4_default
13308000,-0.066092,-0.516814,-3.086328,0.098040,0.227197,-5.198316,px4_default
13328000,-0.072373,-0.564269,-3.083405,0.098395,0.230010,-5.251130,px4_default
13348000,-0.078437,-0.612562,-3.080643,0.098635,0.231897,-5.286695,px4_default
13368000,-0.084120,-0.662328,-3.078163,0.098994,0.234744,-5.340626,px4_default
13388000,-0.089504,-0.712859,-3.075878,0.099243,0.236720,-5.377000,px4_default
13408000,-0.094408,-0.764626,-3.073906,0.099588,0.239604,-5.432163,px4_default
13428000,-0.098925,-0.817075,-3.072160,0.099829,0.241595,-5.469401,px4_default
13448000,-0.102870,-0.870537,-3.070746,0.100179,0.244563,-5.525904,px4_default
13468000,-0.106335,-0.924581,-3.069584,0.100415,0.246578,-5.564034,px4_default
13488000,-0.109145,-0.979421,-3.068765,0.100804,0.249650,-5.621912,px4_default
13508000,-0.111375,-1.034732,-3.068218,0.101079,0.251661,-5.660933,px4_default
13528000,-0.112876,-1.090635,-3.068013,0.101530,0.254783,-5.720204,px4_default
13548000,-0.113691,-1.146885,-3.068094,0.101846,0.256846,-5.760167,px4_default
13568000,-0.113711,-1.203535,-3.068506,0.102363,0.259899,-5.820784,px4_default
13588000,-0.112935,-1.260391,-3.069211,0.102747,0.261942,-5.861660,px4_default
13608000,-0.111305,-1.317467,-3.070231,0.103369,0.264901,-5.923609,px4_default
13628000,-0.108762,-1.374596,-3.071545,0.103836,0.266847,-5.965345,px4_default
13648000,-0.105316,-1.431777,-3.073150,0.104648,0.269695,-6.028596,px4_default
13668000,-0.100833,-1.488856,-3.075042,0.105245,0.271508,-6.071169,px4_default
13688000,-0.095404,-1.545840,-3.077196,0.106238,0.274164,-6.135631,px4_default
13708000,-0.088813,-1.602528,-3.079617,0.106976,0.275872,-6.178994,px4_default
13728000,-0.081246,-1.658968,-3.082263,0.108181,0.278406,-6.244692,px4_default
13748000,-0.072385,-1.714929,-3.085148,0.109052,0.280022,-6.288899,px4_default
13768000,-0.062522,-1.770520,-3.088219,0.110470,0.282334,-6.355815,px4_default
13788000,-0.051232,-1.825431,-3.091489,0.111496,0.283826,-6.400862,px4_default
13808000,-0.038923,-1.879856,-3.094901,0.113129,0.285908,-6.469009,px4_default
13828000,-0.025050,-1.933387,-3.098461,0.114277,0.287216,-6.514850,px4_default
13848000,-0.010149,-1.986330,-3.102118,0.116118,0.289041,-6.584228,px4_default
13868000,0.006458,-2.038163,-3.105857,0.117431,0.290148,-6.630859,px4_default
13888000,0.024095,-2.089325,-3.109648,0.119480,0.291660,-6.701477,px4_default
13908000,0.043577,-2.139124,-3.113442,0.120944,0.292568,-6.748957,px4_default
13928000,0.064078,-2.188169,-3.117238,0.123295,0.293785,-6.820774,px4_default
13948000,0.086568,-2.235613,-3.120947,0.124965,0.294503,-6.869026,px4_default
13968000,0.110066,-2.282247,-3.124611,0.127631,0.295443,-6.941961,px4_default
13988000,0.135699,-2.327024,-3.128080,0.129512,0.295996,-6.991018,px4_default
14008000,0.162318,-2.370945,-3.131460,0.132522,0.296690,-7.065192,px4_default
14028000,0.191223,-2.412752,-3.134522,0.134658,0.297082,-7.115040,px4_default
14048000,0.221088,-2.453672,-3.137451,0.138081,0.297573,-7.190395,px4_default
14068000,0.253256,-2.492311,-3.139688,0.140504,0.297821,-7.241003,px4_default
14088000,0.286300,-2.530084,-3.141662,0.144423,0.298093,-7.317552,px4_default
14108000,0.321742,-2.565395,-3.142851,0.147196,0.298198,-7.368979,px4_default
14128000,0.358008,-2.599860,-3.143772,0.151598,0.298244,-7.446710,px4_default
14148000,0.396834,-2.631623,-3.144121,0.154740,0.298193,-7.498976,px4_default
14168000,0.436449,-2.662554,-3.144294,0.159699,0.297994,-7.577949,px4_default
14188000,0.478636,-2.690711,-3.143801,0.163187,0.297780,-7.631052,px4_default
14208000,0.521531,-2.718107,-3.143126,0.168678,0.297347,-7.711274,px4_default
14228000,0.566954,-2.742681,-3.141680,0.172530,0.296985,-7.765161,px4_default
14248000,0.612990,-2.766572,-3.140047,0.178632,0.296332,-7.846611,px4_default
14268000,0.661577,-2.787580,-3.137759,0.182887,0.295833,-7.901292,px4_default
14288000,0.710706,-2.807977,-3.135332,0.189655,0.295002,-7.983978,px4_default
14308000,0.762375,-2.825453,-3.132412,0.194378,0.294390,-8.039492,px4_default
14328000,0.814511,-2.842393,-3.129401,0.201777,0.293393,-8.123344,px4_default
14348000,0.869124,-2.856434,-3.125955,0.206962,0.292656,-8.179727,px4_default
14368000,0.924125,-2.870023,-3.122441,0.215015,0.291479,-8.264867,px4_default
14388000,0.981498,-2.880698,-3.118594,0.220592,0.290642,-8.322036,px4_default
14408000,1.039178,-2.890996,-3.114705,0.229244,0.289369,-8.408399,px4_default
14428000,1.099143,-2.898378,-3.110580,0.235188,0.288494,-8.466347,px4_default
14448000,1.159346,-2.905456,-3.106431,0.244455,0.287198,-8.553877,px4_default
14468000,1.221716,-2.909623,-3.102125,0.250797,0.286300,-8.612570,px4_default
14488000,1.284261,-2.913555,-3.097807,0.260662,0.284966,-8.701227,px4_default
14508000,1.348862,-2.914587,-3.093408,0.267444,0.284076,-8.760718,px4_default
14528000,1.413582,-2.915452,-3.089004,0.277924,0.282743,-8.850533,px4_default
14548000,1.480191,-2.913427,-3.084598,0.285149,0.281873,-8.910856,px4_default
14568000,1.546867,-2.911301,-3.080192,0.296265,0.280548,-9.001890,px4_default
14588000,1.615304,-2.906302,-3.075855,0.307737,0.279213,-9.093618,px4_default
14608000,1.683774,-2.901245,-3.071520,0.315600,0.278307,-9.155208,px4_default
14628000,1.753831,-2.893371,-3.067325,0.323601,0.277385,-9.217065,px4_default
14648000,1.823925,-2.885426,-3.063135,0.335928,0.275978,-9.310481,px4_default
14668000,1.895405,-2.874794,-3.059143,0.344338,0.275004,-9.373108,px4_default
14688000,1.966941,-2.864037,-3.055163,0.357243,0.273490,-9.467576,px4_default
14708000,2.039615,-2.850732,-3.051434,0.366010,0.272452,-9.530920,px4_default
14728000,2.112356,-2.837254,-3.047726,0.379431,0.270879,-9.626435,px4_default
