timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
34380000,0.000000,0.000000,-5.000000,-0.008464,-0.025078,-4.985484,px4_default
34400000,0.000006,0.000008,-4.999392,-0.008231,-0.024844,-4.986978,px4_default
34420000,0.000063,0.000092,-4.998603,-0.007568,-0.024257,-4.989789,px4_default
34440000,0.000191,0.000279,-4.997724,-0.006899,-0.023627,-4.991981,px4_default
34460000,0.000569,0.000830,-4.997334,-0.005480,-0.022229,-4.995706,px4_default
34480000,0.001251,0.001824,-4.997279,-0.004141,-0.020908,-4.998501,px4_default
34500000,0.002227,0.003244,-4.997494,-0.001557,-0.018243,-5.003055,px4_default
34520000,0.003719,0.005415,-4.998076,0.000649,-0.015920,-5.006335,px4_default
34540000,0.005842,0.008499,-4.998955,0.004688,-0.011540,-5.011360,px4_default
34560000,0.008481,0.012330,-5.000026,0.007944,-0.007963,-5.014516,px4_default
34580000,0.011825,0.017179,-5.001313,0.013758,-0.001530,-5.018619,px4_default
34600000,0.016198,0.023510,-5.002779,0.018199,0.003470,-5.020885,px4_default
34620000,0.021305,0.030895,-5.004311,0.026167,0.012448,-5.023685,px4_default
34640000,0.027227,0.039446,-5.005895,0.032250,0.019420,-5.025239,px4_default
34660000,0.034644,0.050129,-5.007435,0.042606,0.031473,-5.027172,px4_default
34680000,0.043008,0.062156,-5.008873,0.050609,0.040838,-5.028112,px4_default
34700000,0.052324,0.075532,-5.010158,0.063944,0.056619,-5.029120,px4_default
34720000,0.063224,0.091144,-5.010586,0.079120,0.074723,-5.029580,px4_default
34740000,0.075111,0.108166,-5.010144,0.090556,0.088343,-5.029545,px4_default
34760000,0.087908,0.126495,-5.008996,0.102636,0.102875,-5.029287,px4_default
34780000,0.102164,0.146949,-5.007051,0.122857,0.127134,-5.028413,px4_default
34800000,0.117740,0.169325,-5.004739,0.137179,0.144494,-5.027548,px4_default
34820000,0.134330,0.193164,-5.002183,0.160866,0.173098,-5.025814,px4_default
34840000,0.152268,0.218927,-4.999358,0.177849,0.193641,-5.024381,px4_default
34860000,0.171690,0.246757,-4.996293,0.205128,0.226671,-5.021808,px4_default
34880000,0.192103,0.275938,-4.993093,0.224874,0.250419,-5.019788,px4_default
34900000,0.213645,0.306641,-4.989755,0.256196,0.288102,-5.016327,px4_default
34920000,0.236813,0.339458,-4.986271,0.278446,0.314751,-5.013760,px4_default
34940000,0.260942,0.373485,-4.982727,0.313926,0.357008,-5.009531,px4_default
34960000,0.286030,0.408707,-4.979129,0.338747,0.386505,-5.006485,px4_default
