timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
12612000,0.048867,0.143253,-3.113347,0.082742,0.165156,-3.779047,px4_default
12632000,0.048867,0.143253,-3.113347,0.084224,0.166074,-3.809840,px4_default
12652000,0.048867,0.143253,-3.113347,0.086416,0.167427,-3.856255,px4_default
12672000,0.048866,0.143253,-3.113347,0.087878,0.168349,-3.887364,px4_default
12692000,0.048863,0.143253,-3.113346,0.090035,0.169779,-3.934289,px4_default
12712000,0.048855,0.143253,-3.113343,0.091446,0.170719,-3.965723,px4_default
12732000,0.048838,0.143252,-3.113338,0.093577,0.172309,-4.013099,px4_default
12752000,0.048807,0.143252,-3.113328,0.094974,0.173310,-4.044813,px4_default
12772000,0.048752,0.143251,-3.113311,0.097028,0.174939,-4.092622,px4_default
12792000,0.048665,0.143249,-3.113284,0.098376,0.176054,-4.124641,px4_default
12812000,0.048533,0.143247,-3.113242,0.100379,0.177761,-4.172889,px4_default
12832000,0.048344,0.143244,-3.113183,0.101676,0.179002,-4.205227,px4_default
12852000,0.048080,0.143240,-3.113100,0.103583,0.180854,-4.253933,px4_default
12872000,0.047724,0.143234,-3.112987,0.104832,0.182132,-4.286543,px4_default
12892000,0.047256,0.143227,-3.112839,0.106675,0.184090,-4.335650,px4_default
12912000,0.046654,0.143217,-3.112649,0.107879,0.185378,-4.368516,px4_default
12932000,0.045894,0.143206,-3.112408,0.109626,0.187423,-4.418029,px4_default
12952000,0.044951,0.143191,-3.112109,0.110765,0.188784,-4.451159,px4_default
12972000,0.043799,0.143173,-3.111743,0.112418,0.190826,-4.501041,px4_default
12992000,0.042410,0.143152,-3.111300,0.113433,0.192271,-4.534394,px4_default
13012000,0.040754,0.143127,-3.110773,0.114937,0.194340,-4.584617,px4_default
13032000,0.038802,0.143098,-3.110149,0.115878,0.195830,-4.618207,px4_default
13052000,0.036523,0.143064,-3.109420,0.117249,0.198065,-4.668791,px4_default
13072000,0.033885,0.143025,-3.108574,0.118129,0.199617,-4.702649,px4_default
13092000,0.030857,0.142980,-3.107602,0.119396,0.201994,-4.753675,px4_default
13112000,0.027408,0.142930,-3.106493,0.120210,0.203567,-4.787835,px4_default
13132000,0.023506,0.142872,-3.105235,0.121344,0.206063,-4.839306,px4_default
13152000,0.019118,0.142808,-3.103819,0.122093,0.207749,-4.873764,px4_default
13172000,0.014216,0.142736,-3.102233,0.123204,0.210310,-4.925663,px4_default
13192000,0.008768,0.142657,-3.100467,0.123886,0.212153,-4.960409,px4_default
13212000,0.002745,0.142568,-3.098511,0.124865,0.214886,-5.012712,px4_default
13232000,-0.003882,0.142470,-3.096354,0.125485,0.216723,-5.047701,px4_default
13252000,-0.011139,0.142363,-3.093986,0.126323,0.219522,-5.100363,px4_default
13272000,-0.019053,0.142245,-3.091399,0.126850,0.221369,-5.135593,px4_default
13292000,-0.027648,0.142116,-3.088583,0.127571,0.224162,-5.188714,px4_default
13312000,-0.036946,0.141975,-3.085529,0.128018,0.226005,-5.224458,px4_default
13332000,-0.046970,0.141821,-3.082229,0.128602,0.228851,-5.278696,px4_default
13352000,-0.057737,0.141654,-3.078675,0.128949,0.230745,-5.315284,px4_default
13372000,-0.069267,0.141472,-3.074861,0.129421,0.233555,-5.370817,px4_default
13392000,-0.081573,0.141274,-3.070780,0.129663,0.235481,-5.408333,px4_default
13412000,-0.094669,0.141060,-3.066425,0.129966,0.238336,-5.465301,px4_default
13432000,-0.108566,0.140827,-3.061791,0.130121,0.240246,-5.503782,px4_default
13452000,-0.123274,0.140575,-3.056874,0.130283,0.243154,-5.562308,px4_default
13472000,-0.138798,0.140302,-3.051670,0.130344,0.245071,-5.601792,px4_default
13492000,-0.155144,0.140007,-3.046175,0.130334,0.248119,-5.661849,px4_default
13512000,-0.172313,0.139687,-3.040386,0.130297,0.250150,-5.702359,px4_default
13532000,-0.190305,0.139341,-3.034301,0.130162,0.253221,-5.763830,px4_default
13552000,-0.209118,0.138966,-3.027920,0.129990,0.255263,-5.805255,px4_default
13572000,-0.228748,0.138561,-3.021241,0.129634,0.258294,-5.868056,px4_default
13592000,-0.249187,0.138122,-3.014265,0.129329,0.260382,-5.910418,px4_default
13612000,-0.270426,0.137647,-3.006992,0.128772,0.263463,-5.974577,px4_default
13632000,-0.292455,0.137134,-2.999424,0.128327,0.265542,-6.017788,px4_default
13652000,-0.315261,0.136578,-2.991562,0.127557,0.268675,-6.083253,px4_default
13672000,-0.338828,0.135976,-2.983410,0.126957,0.270732,-6.127306,px4_default
