timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
12632000,0.067197,0.149871,-3.080085,0.082146,0.182449,-3.754319,px4_default
12652000,0.067386,0.150218,-3.079812,0.082905,0.183874,-3.784985,px4_default
12672000,0.067992,0.151331,-3.078945,0.084117,0.186090,-3.831163,px4_default
12692000,0.069020,0.153223,-3.077483,0.084949,0.187579,-3.862064,px4_default
12712000,0.070470,0.155898,-3.075431,0.086226,0.189826,-3.908590,px4_default
12732000,0.072341,0.159358,-3.072792,0.087088,0.191390,-3.939694,px4_default
12752000,0.074635,0.163606,-3.069573,0.088397,0.193714,-3.986532,px4_default
12772000,0.077350,0.168643,-3.065779,0.089292,0.195278,-4.017872,px4_default
12792000,0.080485,0.174470,-3.061416,0.090629,0.197627,-4.065064,px4_default
12812000,0.084039,0.181089,-3.056489,0.091519,0.199174,-4.096653,px4_default
12832000,0.088012,0.188499,-3.051007,0.092810,0.201491,-4.144193,px4_default
12852000,0.092402,0.196701,-3.044973,0.093655,0.203020,-4.175984,px4_default
12872000,0.097208,0.205697,-3.038396,0.094899,0.205293,-4.223823,px4_default
12892000,0.102430,0.215486,-3.031282,0.095723,0.206782,-4.255825,px4_default
12912000,0.108065,0.226069,-3.023638,0.096952,0.208975,-4.303996,px4_default
12932000,0.114113,0.237446,-3.015471,0.097773,0.210453,-4.336210,px4_default
12952000,0.120573,0.249617,-3.006788,0.099008,0.212642,-4.384708,px4_default
12972000,0.127442,0.262584,-2.997597,0.099846,0.214098,-4.417132,px4_default
12992000,0.134720,0.276346,-2.987906,0.101105,0.216234,-4.465919,px4_default
13012000,0.142406,0.290902,-2.977723,0.101943,0.217627,-4.498584,px4_default
13032000,0.150497,0.306255,-2.967056,0.103204,0.219713,-4.547699,px4_default
13052000,0.158992,0.322403,-2.955914,0.104037,0.221094,-4.580564,px4_default
13072000,0.167890,0.339347,-2.944305,0.105272,0.223156,-4.630044,px4_default
13092000,0.177190,0.357087,-2.932239,0.106085,0.224549,-4.663129,px4_default
13112000,0.186889,0.375623,-2.919724,0.107304,0.226604,-4.712946,px4_default
13132000,0.196986,0.394956,-2.906772,0.108108,0.227971,-4.746259,px4_default
13152000,0.207479,0.415085,-2.893391,0.109308,0.229991,-4.796402,px4_default
13172000,0.218367,0.436010,-2.879592,0.110103,0.231331,-4.829914,px4_default
13192000,0.229648,0.457732,-2.865386,0.111271,0.233301,-4.880325,px4_default
13212000,0.241319,0.480251,-2.850783,0.112043,0.234587,-4.914060,px4_default
13232000,0.253381,0.503567,-2.835796,0.113175,0.236527,-4.964798,px4_default
13252000,0.265829,0.527679,-2.820435,0.113924,0.237792,-4.998744,px4_default
13272000,0.278664,0.552588,-2.804713,0.115035,0.239659,-5.049840,px4_default
13292000,0.291882,0.578295,-2.788643,0.115740,0.240894,-5.083987,px4_default
13312000,0.305482,0.604798,-2.772237,0.116784,0.242705,-5.135456,px4_default
13332000,0.319463,0.632098,-2.755508,0.117449,0.243900,-5.170042,px4_default
13352000,0.333821,0.660196,-2.738470,0.118381,0.245702,-5.222486,px4_default
13372000,0.348556,0.689090,-2.721138,0.118976,0.246901,-5.257869,px4_default
13392000,0.363665,0.718782,-2.703525,0.119800,0.248818,-5.311609,px4_default
13412000,0.379146,0.749271,-2.685647,0.120341,0.250092,-5.347888,px4_default
13432000,0.394998,0.780557,-2.667519,0.121057,0.252135,-5.402991,px4_default
13452000,0.411218,0.812641,-2.649156,0.121509,0.253531,-5.440193,px4_default
13472000,0.427806,0.845522,-2.630575,0.122153,0.255682,-5.496687,px4_default
13492000,0.444758,0.879200,-2.611793,0.122546,0.257191,-5.534842,px4_default
13512000,0.462074,0.913675,-2.592826,0.123152,0.259520,-5.592757,px4_default
13532000,0.479751,0.948948,-2.573692,0.123568,0.261126,-5.631840,px4_default
13552000,0.497788,0.985018,-2.554408,0.124236,0.263681,-5.691197,px4_default
13572000,0.516184,1.021886,-2.534993,0.124704,0.265453,-5.731215,px4_default
13592000,0.534937,1.059551,-2.515465,0.125469,0.268335,-5.792019,px4_default
13612000,0.554046,1.098014,-2.495844,0.126012,0.270352,-5.833000,px4_default
13632000,0.573509,1.137274,-2.476147,0.126892,0.273530,-5.895131,px4_default
13652000,0.593327,1.177331,-2.456395,0.127560,0.275834,-5.937014,px4_default
13672000,0.613497,1.218186,-2.436607,0.128595,0.279370,-6.000430,px4_default
13692000,0.634020,1.259839,-2.416804,0.129362,0.281925,-6.043151,px4_default
13712000,0.654895,1.302289,-2.397005,0.130585,0.285929,-6.107850,px4_default
13732000,0.676122,1.345536,-2.377231,0.131472,0.288769,-6.151410,px4_default
13752000,0.697702,1.389581,-2.357502,0.132907,0.293336,-6.217433,px4_default
13772000,0.719636,1.434424,-2.337838,0.133915,0.296515,-6.261868,px4_default
13792000,0.741923,1.480064,-2.318260,0.135544,0.301693,-6.329257,px4_default
13812000,0.764566,1.526501,-2.298790,0.136689,0.305307,-6.374625,px4_default
13832000,0.787567,1.573736,-2.279447,0.138503,0.310975,-6.443356,px4_default
13852000,0.810927,1.621768,-2.260252,0.139760,0.314982,-6.489705,px4_default
13872000,0.834651,1.670597,-2.241227,0.141710,0.321194,-6.559853,px4_default
13892000,0.858740,1.720222,-2.222392,0.143053,0.325532,-6.607076,px4_default
13912000,0.883199,1.770645,-2.203768,0.145167,0.332316,-6.678570,px4_default
13932000,0.908033,1.821864,-2.185377,0.146640,0.336968,-6.726635,px4_default
13952000,0.933246,1.873878,-2.167242,0.148999,0.344222,-6.799390,px4_default
13972000,0.958846,1.926688,-2.149384,0.150651,0.349188,-6.848293,px4_default
13992000,0.984838,1.980293,-2.131829,0.153312,0.356970,-6.922363,px4_default
14012000,1.011230,2.034692,-2.114601,0.155173,0.362302,-6.972150,px4_default
14032000,1.038031,2.089884,-2.097728,0.158096,0.370519,-7.047437,px4_default
14052000,1.065249,2.145869,-2.081239,0.160124,0.376224,-7.098073,px4_default
14072000,1.092889,2.202629,-2.065174,0.163268,0.384976,-7.174617,px4_default
14092000,1.120557,2.259336,-2.049788,0.165428,0.390993,-7.226075,px4_default
14112000,1.147898,2.315244,-2.035276,0.168780,0.400254,-7.303892,px4_default
14132000,1.174919,2.370342,-2.021620,0.171089,0.406546,-7.356154,px4_default
14152000,1.201629,2.424633,-2.008797,0.174687,0.416256,-7.435207,px4_default
14172000,1.228037,2.478117,-1.996785,0.177161,0.422870,-7.488311,px4_default
14192000,1.254152,2.530793,-1.985562,0.180985,0.433007,-7.568566,px4_default
14212000,1.279985,2.582664,-1.975105,0.183613,0.439905,-7.622468,px4_default
14232000,1.305546,2.633730,-1.965391,0.187675,0.450469,-7.703920,px4_default
14252000,1.330842,2.683990,-1.956398,0.190425,0.457694,-7.758685,px4_default
14272000,1.355884,2.733445,-1.948104,0.194683,0.468715,-7.841413,px4_default
14292000,1.380681,2.782096,-1.940486,0.197614,0.476215,-7.896992,px4_default
14312000,1.405242,2.829943,-1.933522,0.202168,0.487718,-7.980998,px4_default
14332000,1.429576,2.876987,-1.927191,0.205301,0.495518,-8.037384,px4_default
14352000,1.453691,2.923226,-1.921471,0.210205,0.507522,-8.122618,px4_default
14372000,1.477596,2.968662,-1.916342,0.213593,0.515690,-8.179834,px4_default
14392000,1.501300,3.013295,-1.911782,0.218859,0.528190,-8.266251,px4_default
14412000,1.524810,3.057125,-1.907772,0.222531,0.536723,-8.324320,px4_default
14432000,1.548136,3.100152,-1.904290,0.228226,0.549726,-8.411985,px4_default
14452000,1.571284,3.142377,-1.901318,0.232179,0.558571,-8.470842,px4_default
14472000,1.594263,3.183799,-1.898835,0.238292,0.572045,-8.559668,px4_default
14492000,1.617081,3.224418,-1.896824,0.242513,0.581203,-8.619270,px4_default
14512000,1.639744,3.264236,-1.895265,0.249073,0.595210,-8.709242,px4_default
14532000,1.662261,3.303251,-1.894141,0.253573,0.604689,-8.769573,px4_default
