timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
12612000,0.000000,0.000000,-3.000000,0.007722,0.011462,-3.832377,sysid
12632000,0.000000,0.000000,-2.975286,0.007577,0.011594,-3.862318,sysid
12652000,0.000000,0.000000,-2.950599,0.007373,0.011779,-3.907448,sysid
12672000,0.000000,0.000000,-2.925964,0.007259,0.011879,-3.937674,sysid
12692000,0.000000,0.000000,-2.901408,0.007096,0.011972,-3.983219,sysid
12712000,0.000000,0.000000,-2.876958,0.006988,0.012019,-4.013727,sysid
12732000,0.000000,0.000000,-2.852638,0.006862,0.012001,-4.059692,sysid
12752000,0.000000,0.000000,-2.828474,0.006776,0.011998,-4.090486,sysid
12772000,0.000000,0.000000,-2.804492,0.006692,0.011866,-4.136877,sysid
12792000,0.000000,0.000000,-2.780716,0.006660,0.011754,-4.167949,sysid
12812000,0.000000,0.000000,-2.757172,0.006647,0.011549,-4.214769,sysid
12832000,0.000000,0.000000,-2.733883,0.006661,0.011382,-4.246117,sysid
12852000,0.000000,0.000000,-2.710873,0.006674,0.011130,-4.293358,sysid
12872000,0.000000,0.000000,-2.688165,0.006675,0.010946,-4.324996,sysid
12892000,0.000000,0.000000,-2.665783,0.006688,0.010639,-4.372673,sysid
12912000,0.000000,0.000000,-2.643747,0.006699,0.010432,-4.404604,sysid
12932000,0.000000,0.000000,-2.622079,0.006748,0.010076,-4.452673,sysid
12952000,0.000000,0.000000,-2.600801,0.006777,0.009834,-4.484859,sysid
12972000,0.000000,0.000000,-2.579931,0.006817,0.009465,-4.533350,sysid
12992000,0.000000,0.000000,-2.559489,0.006839,0.009216,-4.565800,sysid
13012000,0.000000,0.000000,-2.539493,0.006870,0.008866,-4.614694,sysid
13032000,0.000000,0.000000,-2.519962,0.006868,0.008635,-4.647450,sysid
13052000,0.000000,0.000000,-2.500911,0.006859,0.008299,-4.696796,sysid
13072000,0.000000,0.000000,-2.482358,0.006843,0.008071,-4.729833,sysid
13092000,0.000000,0.000000,-2.464315,0.006827,0.007699,-4.779592,sysid
13112000,0.000000,0.000000,-2.446799,0.006820,0.007450,-4.812903,sysid
13132000,0.000000,0.000000,-2.429821,0.006850,0.006994,-4.863025,sysid
13152000,0.000000,0.000000,-2.413394,0.006882,0.006671,-4.896576,sysid
13172000,0.000000,0.000000,-2.397530,0.006947,0.006159,-4.947109,sysid
13192000,0.000000,0.000000,-2.382238,0.006957,0.005746,-4.980925,sysid
13212000,0.000000,0.000000,-2.367527,0.006950,0.005115,-5.031843,sysid
13232000,0.000000,0.000000,-2.353406,0.006914,0.004660,-5.065907,sysid
13252000,0.000000,0.000000,-2.339882,0.006848,0.003930,-5.117155,sysid
13272000,0.000000,0.000000,-2.326961,0.006803,0.003438,-5.151444,sysid
13292000,0.000000,0.000000,-2.314647,0.006707,0.002692,-5.203061,sysid
13312000,0.000000,0.000000,-2.302945,0.006637,0.002201,-5.237743,sysid
13332000,0.000000,0.000000,-2.291857,0.006524,0.001460,-5.290308,sysid
13352000,0.000000,0.000000,-2.281387,0.006444,0.000987,-5.325774,sysid
13372000,0.000000,0.000000,-2.271533,0.006321,0.000305,-5.379617,sysid
13392000,0.000000,0.000000,-2.262297,0.006263,-0.000134,-5.415999,sysid
13412000,0.000000,0.000000,-2.253677,0.006194,-0.000767,-5.471275,sysid
13432000,0.000000,0.000000,-2.245671,0.006164,-0.001172,-5.508626,sysid
13452000,0.000000,0.000000,-2.238276,0.006133,-0.001754,-5.565462,sysid
13472000,0.000000,0.000000,-2.231487,0.006119,-0.002123,-5.603830,sysid
13492000,0.000000,0.000000,-2.225299,0.006070,-0.002685,-5.662270,sysid
13512000,0.000000,0.000000,-2.219707,0.006018,-0.003051,-5.701732,sysid
13532000,0.000000,0.000000,-2.214703,0.005912,-0.003584,-5.761668,sysid
13552000,0.000000,0.000000,-2.210280,0.005837,-0.003935,-5.802128,sysid
13572000,0.000000,0.000000,-2.206428,0.005716,-0.004451,-5.863563,sysid
13592000,0.000000,0.000000,-2.203138,0.005621,-0.004828,-5.905109,sysid
13612000,0.000000,0.000000,-2.200400,0.005481,-0.005392,-5.968130,sysid
13632000,0.000000,0.000000,-2.198203,0.005388,-0.005781,-6.010678,sysid
13652000,0.000000,0.000000,-2.196534,0.005238,-0.006390,-6.075279,sysid
13672000,0.000000,0.000000,-2.195381,0.005134,-0.006796,-6.118793,sysid
13692000,0.000000,0.000000,-2.194730,0.004966,-0.007435,-6.184958,sysid
13712000,0.000000,0.000000,-2.194568,0.004858,-0.007855,-6.229534,sysid
13732000,0.000000,0.000000,-2.194880,0.004697,-0.008477,-6.297095,sysid
13752000,0.000000,0.000000,-2.195650,0.004627,-0.008874,-6.342700,sysid
13772000,0.000000,0.000000,-2.196863,0.004528,-0.009463,-6.411728,sysid
13792000,0.000000,0.000000,-2.198503,0.004473,-0.009861,-6.458208,sysid
13812000,0.000000,0.000000,-2.200554,0.004392,-0.010445,-6.528552,sysid
13832000,0.000000,0.000000,-2.202997,0.004343,-0.010832,-6.575912,sysid
13852000,0.000000,0.000000,-2.205817,0.004293,-0.011435,-6.647642,sysid
