timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
12668000,0.000000,0.000000,-3.000000,-0.006318,-0.017697,-3.721334,sysid
12688000,0.000000,0.000000,-2.975286,-0.005940,-0.017612,-3.750576,sysid
12708000,0.000000,0.000000,-2.950599,-0.005402,-0.017493,-3.794625,sysid
12728000,0.000000,0.000000,-2.925964,-0.005084,-0.017442,-3.824083,sysid
12748000,0.000000,0.000000,-2.901408,-0.004605,-0.017359,-3.868478,sysid
12768000,0.000000,0.000000,-2.876958,-0.004337,-0.017280,-3.898172,sysid
12788000,0.000000,0.000000,-2.852638,-0.003936,-0.017141,-3.942902,sysid
12808000,0.000000,0.000000,-2.828474,-0.003675,-0.017028,-3.972834,sysid
12828000,0.000000,0.000000,-2.804492,-0.003350,-0.016821,-4.017892,sysid
12848000,0.000000,0.000000,-2.780716,-0.003153,-0.016671,-4.048055,sysid
12868000,0.000000,0.000000,-2.757172,-0.002939,-0.016411,-4.093463,sysid
12888000,0.000000,0.000000,-2.733883,-0.002795,-0.016216,-4.123850,sysid
12908000,0.000000,0.000000,-2.710873,-0.002579,-0.015893,-4.169606,sysid
12928000,0.000000,0.000000,-2.688165,-0.002415,-0.015640,-4.200208,sysid
12948000,0.000000,0.000000,-2.665783,-0.002157,-0.015254,-4.246290,sysid
12968000,0.000000,0.000000,-2.643747,-0.001971,-0.014988,-4.277107,sysid
12988000,0.000000,0.000000,-2.622079,-0.001677,-0.014551,-4.323447,sysid
13008000,0.000000,0.000000,-2.600801,-0.001477,-0.014245,-4.354451,sysid
13028000,0.000000,0.000000,-2.579931,-0.001189,-0.013754,-4.401059,sysid
13048000,0.000000,0.000000,-2.559489,-0.001000,-0.013416,-4.432240,sysid
13068000,0.000000,0.000000,-2.539493,-0.000770,-0.012854,-4.479097,sysid
13088000,0.000000,0.000000,-2.519962,-0.000650,-0.012476,-4.510436,sysid
13108000,0.000000,0.000000,-2.500911,-0.000517,-0.011903,-4.557597,sysid
13128000,0.000000,0.000000,-2.482358,-0.000473,-0.011513,-4.589118,sysid
