timestamp_us,profile,ref_x,ref_y,ref_z,ref_vx,ref_vy,ref_vz,ref_ax,ref_ay,ref_az,ref_yaw,ref_yawspeed,pos_x,pos_y,pos_z,vx,vy,vz,ax,ay,az,roll,pitch,yaw,p,q,r,att_sp_q0,att_sp_q1,att_sp_q2,att_sp_q3,att_sp_thrust_x,att_sp_thrust_y,att_sp_thrust_z,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_sp_thrust_x,rate_sp_thrust_y,rate_sp_thrust_z,motor_0,motor_1,motor_2,motor_3,esc_0_rpm,esc_1_rpm,esc_2_rpm,esc_3_rpm,esc_0_voltage,esc_1_voltage,esc_2_voltage,esc_3_voltage,esc_0_current,esc_1_current,esc_2_current,esc_3_current,hover_thrust,controller
12456000,hover_thrust,0.000000,0.000000,-3.000000,0.000000,0.000000,0.284594,0.000000,0.000000,28.459402,0.000000,0.000000,0.054616,0.005542,-3.429401,-0.001497,0.012371,-1.840102,-0.001645,0.008884,-0.414418,-0.003724,0.007519,1.537425,0.012858,-0.000943,-0.130607,0.999998,-0.001099,-0.001615,-0.000002,0.000000,0.000000,-0.001000,0.008189,-0.020189,-3.490659,0.000000,0.000000,-0.001000,0.000000,0.002000,0.000000,0.002000,150.000000,151.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12476000,hover_thrust,0.000000,0.000000,-2.988616,0.000000,0.000000,0.568982,0.000000,0.000000,-0.020573,0.000000,0.000000,0.054255,0.005477,-3.474021,-0.001704,0.012301,-1.850193,0.000128,0.004191,-0.416787,-0.003473,0.007483,1.534689,0.012968,-0.001998,-0.131213,0.999993,-0.001488,0.003337,0.000005,0.000000,0.000000,-0.001000,0.043424,-0.004142,-3.490659,0.000000,0.000000,-0.001000,0.000000,0.002000,0.001481,0.000519,150.000000,151.000000,151.000000,150.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12496000,hover_thrust,0.000000,0.000000,-2.977241,0.000000,0.000000,0.568365,0.000000,0.000000,-0.041127,0.000000,0.000000,0.053998,0.005431,-3.503868,-0.001894,0.012302,-1.856841,0.001862,0.005775,-0.411293,-0.003215,0.007434,1.531976,0.013069,-0.002535,-0.130814,0.999994,-0.001486,0.003275,0.000005,0.000000,0.000000,-0.001000,0.041858,-0.004415,-3.490659,0.000000,0.000000,-0.001000,0.000000,0.002000,0.001500,0.000500,150.000000,151.000000,151.000000,150.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12516000,hover_thrust,0.000000,0.000000,-2.965882,0.000000,0.000000,0.567338,0.000000,0.000000,-0.061626,0.000000,0.000000,0.053594,0.005354,-3.548792,-0.002203,0.012080,-1.866797,-0.004041,0.001301,-0.417479,-0.002937,0.007359,1.529276,0.014301,-0.003747,-0.130356,0.999994,-0.001419,0.003185,0.000005,0.000000,0.000000,-0.001000,0.040161,-0.005185,-3.490659,0.000000,0.000000,-0.001000,0.000000,0.002000,0.001484,0.000516,150.000000,151.000000,151.000000,150.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12536000,hover_thrust,0.000000,0.000000,-2.954547,0.000000,0.000000,0.565901,0.000000,0.000000,-0.082077,0.000000,0.000000,0.053307,0.005311,-3.578877,-0.002472,0.012039,-1.873345,-0.002744,0.002935,-0.412614,-0.002648,0.007286,1.526585,0.014640,-0.003400,-0.130652,0.999994,-0.001415,0.003107,0.000004,0.000000,0.000000,-0.001000,0.038337,-0.005467,-3.490659,0.000000,0.000000,-0.001000,0.000000,0.002000,0.001102,0.000898,150.000000,151.000000,150.000000,150.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12556000,hover_thrust,0.000000,0.000000,-2.943246,0.000000,0.000000,0.564056,0.000000,0.000000,-0.102427,0.000000,0.000000,0.052857,0.005254,-3.624192,-0.002867,0.011959,-1.883185,-0.003810,0.000922,-0.413273,-0.002349,0.007205,1.523938,0.015268,-0.004345,-0.129119,0.999995,-0.001400,0.003006,0.000004,0.000000,0.000000,-0.001000,0.036331,-0.005872,-3.490659,0.000000,0.000000,-0.001000,0.000000,0.002000,0.001640,0.000360,150.000000,151.000000,151.000000,150.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12576000,hover_thrust,0.000000,0.000000,-2.931985,0.000000,0.000000,0.561804,0.000000,0.000000,-0.122692,0.000000,0.000000,0.052519,0.005216,-3.654536,-0.003201,0.011779,-1.889834,-0.002836,-0.006070,-0.414750,-0.002019,0.007101,1.521303,0.017386,-0.005734,-0.129423,0.999995,-0.001347,0.002915,0.000004,0.000000,0.000000,-0.001000,0.034358,-0.006494,-3.490659,0.000000,0.000000,-0.001000,0.000000,0.002000,0.001942,0.000058,150.000000,151.000000,151.000000,150.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12596000,hover_thrust,0.000000,0.000000,-2.920774,0.000000,0.000000,0.559149,0.000000,0.000000,-0.142809,0.000000,0.000000,0.051958,0.005187,-3.700238,-0.003670,0.011700,-1.899889,0.002103,-0.004890,-0.412425,-0.001677,0.006983,1.518687,0.017129,-0.005457,-0.129179,0.999995,-0.001346,0.002806,0.000004,0.000000,0.000000,-0.001000,0.032048,-0.006736,-3.490659,0.000000,0.000000,-0.001000,0.000000,0.002000,0.001290,0.000710,150.000000,151.000000,151.000000,150.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12616000,hover_thrust,0.000000,0.000000,-2.909619,0.000000,0.000000,0.556092,0.000000,0.000000,-0.162851,0.000000,0.000000,0.051574,0.005181,-3.730828,-0.004033,0.011670,-1.906558,-0.010256,0.004251,-0.418169,-0.001309,0.006869,1.516088,0.019058,-0.005364,-0.129692,0.999995,-0.001351,0.002712,0.000004,0.000000,0.000000,-0.001000,0.029737,-0.006938,-3.490659,0.000000,0.000000,-0.001000,0.000000,0.002000,0.001346,0.000654,150.000000,151.000000,151.000000,150.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12636000,hover_thrust,0.000000,0.000000,-2.898530,0.000000,0.000000,0.552637,0.000000,0.000000,-0.182632,0.000000,0.000000,0.050963,0.005209,-3.776973,-0.004547,0.011737,-1.916632,0.003658,0.000433,-0.420881,-0.000921,0.006736,1.513499,0.019328,-0.006277,-0.130294,0.999996,-0.001386,0.002604,0.000004,0.000000,0.000000,-0.001000,0.027135,-0.006901,-3.490659,0.000000,0.000000,-0.001000,0.000000,0.002000,0.001661,0.000339,150.000000,151.000000,151.000000,150.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
