timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
12656000,0.000000,0.000000,-3.000000,0.050564,0.005245,-3.807895,sysid
12676000,0.000000,0.000000,-2.988616,0.049979,0.005326,-3.854530,sysid
12696000,0.000000,0.000000,-2.977241,0.049628,0.005393,-3.885834,sysid
12716000,0.000000,0.000000,-2.965882,0.049125,0.005500,-3.932995,sysid
12736000,0.000000,0.000000,-2.954547,0.048812,0.005573,-3.964594,sysid
12756000,0.000000,0.000000,-2.943246,0.048381,0.005691,-4.012179,sysid
12776000,0.000000,0.000000,-2.931985,0.048136,0.005770,-4.044036,sysid
12796000,0.000000,0.000000,-2.920774,0.047831,0.005852,-4.092007,sysid
12816000,0.000000,0.000000,-2.909619,0.047652,0.005901,-4.124106,sysid
12836000,0.000000,0.000000,-2.898530,0.047426,0.005893,-4.172424,sysid
12856000,0.000000,0.000000,-2.887514,0.047291,0.005868,-4.204748,sysid
12876000,0.000000,0.000000,-2.876578,0.047110,0.005799,-4.253404,sysid
12896000,0.000000,0.000000,-2.865732,0.046982,0.005687,-4.285943,sysid
12916000,0.000000,0.000000,-2.854981,0.046807,0.005509,-4.334930,sysid
12936000,0.000000,0.000000,-2.844335,0.046709,0.005365,-4.367705,sysid
12956000,0.000000,0.000000,-2.833800,0.046593,0.005111,-4.417069,sysid
12976000,0.000000,0.000000,-2.823384,0.046526,0.004933,-4.450107,sysid
12996000,0.000000,0.000000,-2.813094,0.046424,0.004636,-4.499869,sysid
13016000,0.000000,0.000000,-2.802937,0.046360,0.004445,-4.533167,sysid
13036000,0.000000,0.000000,-2.792921,0.046321,0.004133,-4.583324,sysid
13056000,0.000000,0.000000,-2.783051,0.046323,0.003915,-4.616903,sysid
13076000,0.000000,0.000000,-2.773335,0.046365,0.003576,-4.667485,sysid
13096000,0.000000,0.000000,-2.763779,0.046438,0.003331,-4.701378,sysid
13116000,0.000000,0.000000,-2.754390,0.046572,0.002991,-4.752408,sysid
13136000,0.000000,0.000000,-2.745174,0.046689,0.002786,-4.786557,sysid
13156000,0.000000,0.000000,-2.736136,0.046909,0.002523,-4.837971,sysid
13176000,0.000000,0.000000,-2.727284,0.047069,0.002364,-4.872371,sysid
13196000,0.000000,0.000000,-2.718621,0.047397,0.002230,-4.924094,sysid
13216000,0.000000,0.000000,-2.710155,0.047630,0.002194,-4.958673,sysid
13236000,0.000000,0.000000,-2.701890,0.048003,0.002218,-5.010694,sysid
13256000,0.000000,0.000000,-2.693830,0.048298,0.002323,-5.045449,sysid
13276000,0.000000,0.000000,-2.685982,0.048735,0.002478,-5.097781,sysid
13296000,0.000000,0.000000,-2.678350,0.049053,0.002613,-5.132764,sysid
13316000,0.000000,0.000000,-2.670938,0.049539,0.002831,-5.185598,sysid
13336000,0.000000,0.000000,-2.663751,0.049877,0.002998,-5.221167,sysid
13356000,0.000000,0.000000,-2.656792,0.050401,0.003273,-5.275116,sysid
13376000,0.000000,0.000000,-2.650065,0.050754,0.003461,-5.311493,sysid
13396000,0.000000,0.000000,-2.643574,0.051330,0.003787,-5.366763,sysid
13416000,0.000000,0.000000,-2.637322,0.051714,0.004022,-5.404070,sysid
13436000,0.000000,0.000000,-2.631312,0.052293,0.004397,-5.460718,sysid
13456000,0.000000,0.000000,-2.625548,0.052675,0.004669,-5.498992,sysid
13476000,0.000000,0.000000,-2.620031,0.053240,0.005087,-5.557072,sysid
13496000,0.000000,0.000000,-2.614763,0.053614,0.005384,-5.596271,sysid
13516000,0.000000,0.000000,-2.609749,0.054124,0.005834,-5.655831,sysid
13536000,0.000000,0.000000,-2.604988,0.054446,0.006135,-5.695995,sysid
13556000,0.000000,0.000000,-2.600482,0.054878,0.006585,-5.756975,sysid
13576000,0.000000,0.000000,-2.596234,0.055150,0.006882,-5.798074,sysid
