timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
12780000,0.000000,0.000000,-3.000000,0.005470,0.015144,-3.819429,sysid
12800000,0.000000,0.000000,-2.988616,0.005563,0.015358,-3.849500,sysid
12820000,0.000000,0.000000,-2.977241,0.005668,0.015693,-3.894788,sysid
12840000,0.000000,0.000000,-2.965882,0.005707,0.015939,-3.925073,sysid
12860000,0.000000,0.000000,-2.954547,0.005761,0.016302,-3.970646,sysid
12880000,0.000000,0.000000,-2.943246,0.005789,0.016540,-4.001155,sysid
12900000,0.000000,0.000000,-2.931985,0.005956,0.016863,-4.047049,sysid
12920000,0.000000,0.000000,-2.920774,0.006092,0.017061,-4.077773,sysid
12940000,0.000000,0.000000,-2.909619,0.006333,0.017330,-4.124070,sysid
12960000,0.000000,0.000000,-2.898530,0.006564,0.017474,-4.155050,sysid
12980000,0.000000,0.000000,-2.887514,0.006916,0.017671,-4.201721,sysid
13000000,0.000000,0.000000,-2.876578,0.007178,0.017778,-4.232952,sysid
13020000,0.000000,0.000000,-2.865732,0.007578,0.017940,-4.280005,sysid
13040000,0.000000,0.000000,-2.854981,0.007874,0.018052,-4.311497,sysid
13060000,0.000000,0.000000,-2.844335,0.008385,0.018243,-4.358930,sysid
13080000,0.000000,0.000000,-2.833800,0.008963,0.018448,-4.406603,sysid
13100000,0.000000,0.000000,-2.823384,0.009401,0.018585,-4.438516,sysid
13120000,0.000000,0.000000,-2.813094,0.009894,0.018715,-4.470524,sysid
13140000,0.000000,0.000000,-2.802937,0.010704,0.018902,-4.518726,sysid
13160000,0.000000,0.000000,-2.792921,0.011344,0.019005,-4.550990,sysid
13180000,0.000000,0.000000,-2.783051,0.012327,0.019155,-4.599623,sysid
13200000,0.000000,0.000000,-2.773335,0.013040,0.019256,-4.632208,sysid
13220000,0.000000,0.000000,-2.763779,0.014168,0.019399,-4.681308,sysid
13240000,0.000000,0.000000,-2.754390,0.014925,0.019490,-4.714190,sysid
13260000,0.000000,0.000000,-2.745174,0.016124,0.019618,-4.763792,sysid
13280000,0.000000,0.000000,-2.736136,0.016899,0.019697,-4.797140,sysid
13300000,0.000000,0.000000,-2.727284,0.018137,0.019848,-4.847679,sysid
13320000,0.000000,0.000000,-2.718621,0.018970,0.019934,-4.881760,sysid
