timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
12728000,0.000000,0.000000,-3.000000,-0.009607,0.000833,-3.845772,sysid
12748000,0.000000,0.018144,-3.000000,-0.009816,0.001270,-3.876193,sysid
12768000,0.000000,0.036276,-3.000000,-0.010047,0.001919,-3.922007,sysid
12788000,0.000000,0.054385,-3.000000,-0.010177,0.002347,-3.952655,sysid
12808000,0.000000,0.072458,-3.000000,-0.010334,0.002984,-3.998784,sysid
12828000,0.000000,0.090484,-3.000000,-0.010371,0.003439,-4.029601,sysid
12848000,0.000000,0.108452,-3.000000,-0.010393,0.004116,-4.075977,sysid
12868000,0.000000,0.126350,-3.000000,-0.010348,0.004575,-4.106973,sysid
12888000,0.000000,0.144166,-3.000000,-0.010256,0.005275,-4.153599,sysid
12908000,0.000000,0.161889,-3.000000,-0.010146,0.005771,-4.184737,sysid
12928000,0.000000,0.179507,-3.000000,-0.009917,0.006503,-4.231488,sysid
12948000,0.000000,0.197010,-3.000000,-0.009753,0.006980,-4.262740,sysid
12968000,0.000000,0.214386,-3.000000,-0.009437,0.007670,-4.309636,sysid
12988000,0.000000,0.231625,-3.000000,-0.009223,0.008113,-4.340992,sysid
13008000,0.000000,0.248716,-3.000000,-0.008897,0.008754,-4.388169,sysid
13028000,0.000000,0.265647,-3.000000,-0.008606,0.009162,-4.419647,sysid
13048000,0.000000,0.282409,-3.000000,-0.008153,0.009744,-4.467031,sysid
13068000,0.000000,0.298992,-3.000000,-0.007807,0.010098,-4.498696,sysid
13088000,0.000000,0.315385,-3.000000,-0.007255,0.010584,-4.546335,sysid
13108000,0.000000,0.331578,-3.000000,-0.006889,0.010889,-4.578219,sysid
13128000,0.000000,0.347563,-3.000000,-0.006257,0.011303,-4.626177,sysid
13148000,0.000000,0.363329,-3.000000,-0.005860,0.011568,-4.658304,sysid
13168000,0.000000,0.378867,-3.000000,-0.005175,0.011902,-4.706673,sysid
13188000,0.000000,0.394169,-3.000000,-0.004718,0.012109,-4.739052,sysid
13208000,0.000000,0.409225,-3.000000,-0.004033,0.012394,-4.787819,sysid
13228000,0.000000,0.424028,-3.000000,-0.003560,0.012557,-4.820469,sysid
13248000,0.000000,0.438569,-3.000000,-0.002868,0.012782,-4.869667,sysid
13268000,0.000000,0.452840,-3.000000,-0.002408,0.012915,-4.902608,sysid
13288000,0.000000,0.466835,-3.000000,-0.001733,0.013065,-4.952233,sysid
13308000,0.000000,0.480545,-3.000000,-0.001302,0.013148,-4.985535,sysid
13328000,0.000000,0.493964,-3.000000,-0.000717,0.013224,-5.035983,sysid
13348000,0.000000,0.507084,-3.000000,-0.000357,0.013262,-5.070004,sysid
13368000,0.000000,0.519901,-3.000000,0.000139,0.013304,-5.121635,sysid
13388000,0.000000,0.532408,-3.000000,0.000423,0.013307,-5.156499,sysid
13408000,0.000000,0.544598,-3.000000,0.000813,0.013318,-5.209414,sysid
13428000,0.000000,0.556468,-3.000000,0.001033,0.013327,-5.245157,sysid
13448000,0.000000,0.568011,-3.000000,0.001323,0.013348,-5.299444,sysid
13468000,0.000000,0.579224,-3.000000,0.001485,0.013364,-5.336104,sysid
13488000,0.000000,0.590101,-3.000000,0.001686,0.013412,-5.391791,sysid
13508000,0.000000,0.600639,-3.000000,0.001797,0.013457,-5.429341,sysid
13528000,0.000000,0.610835,-3.000000,0.001921,0.013561,-5.486345,sysid
13548000,0.000000,0.620685,-3.000000,0.001986,0.013662,-5.524783,sysid
13568000,0.000000,0.630186,-3.000000,0.002053,0.013854,-5.583085,sysid
13588000,0.000000,0.639335,-3.000000,0.002142,0.014053,-5.622441,sysid
13608000,0.000000,0.648131,-3.000000,0.002271,0.014419,-5.682095,sysid
13628000,0.000000,0.656572,-3.000000,0.002369,0.014733,-5.722314,sysid
13648000,0.000000,0.664656,-3.000000,0.002522,0.015273,-5.783323,sysid
13668000,0.000000,0.672382,-3.000000,0.002615,0.015665,-5.824403,sysid
13688000,0.000000,0.679749,-3.000000,0.002796,0.016316,-5.886698,sysid
13708000,0.000000,0.686758,-3.000000,0.002911,0.016775,-5.928632,sysid
13728000,0.000000,0.693407,-3.000000,0.003131,0.017542,-5.992243,sysid
13748000,0.000000,0.699697,-3.000000,0.003285,0.018094,-6.035089,sysid
13768000,0.000000,0.705629,-3.000000,0.003529,0.018985,-6.100013,sysid
13788000,0.000000,0.711204,-3.000000,0.003707,0.019660,-6.143794,sysid
13808000,0.000000,0.716423,-3.000000,0.003949,0.020721,-6.210050,sysid
13828000,0.000000,0.721288,-3.000000,0.004096,0.021478,-6.254651,sysid
13848000,0.000000,0.725801,-3.000000,0.004336,0.022646,-6.322169,sysid
13868000,0.000000,0.729964,-3.000000,0.004495,0.023441,-6.367561,sysid
13888000,0.000000,0.733779,-3.000000,0.004803,0.024659,-6.436313,sysid
13908000,0.000000,0.737251,-3.000000,0.005006,0.025487,-6.482548,sysid
13928000,0.000000,0.740381,-3.000000,0.005306,0.026753,-6.552500,sysid
13948000,0.000000,0.743174,-3.000000,0.005493,0.027599,-6.599514,sysid
13968000,0.000000,0.745634,-3.000000,0.005758,0.028868,-6.670604,sysid
13988000,0.000000,0.747764,-3.000000,0.005940,0.029731,-6.718410,sysid
14008000,0.000000,0.749569,-3.000000,0.006202,0.031030,-6.790674,sysid
14028000,0.000000,0.751053,-3.000000,0.006380,0.031898,-6.839238,sysid
14048000,0.000000,0.752223,-3.000000,0.006663,0.033184,-6.912673,sysid
14068000,0.000000,0.753083,-3.000000,0.006847,0.034037,-6.962001,sysid
14088000,0.000000,0.753637,-3.000000,0.007208,0.035291,-7.036642,sysid
14108000,0.000000,0.753893,-3.000000,0.007463,0.036127,-7.086797,sysid
14128000,0.000000,0.753857,-3.000000,0.007864,0.037380,-7.162623,sysid
14148000,0.000000,0.753533,-3.000000,0.008147,0.038215,-7.213610,sysid
14168000,0.000000,0.752929,-3.000000,0.008561,0.039464,-7.290656,sysid
14188000,0.000000,0.752051,-3.000000,0.008841,0.040298,-7.342422,sysid
14208000,0.000000,0.750906,-3.000000,0.009251,0.041542,-7.420625,sysid
14228000,0.000000,0.749501,-3.000000,0.009531,0.042369,-7.473148,sysid
14248000,0.000000,0.747842,-3.000000,0.009932,0.043590,-7.552489,sysid
14268000,0.000000,0.745938,-3.000000,0.010182,0.044395,-7.605744,sysid
14288000,0.000000,0.743796,-3.000000,0.010520,0.045595,-7.686211,sysid
14308000,0.000000,0.741422,-3.000000,0.010709,0.046376,-7.740222,sysid
14328000,0.000000,0.738826,-3.000000,0.010940,0.047519,-7.821789,sysid
14348000,0.000000,0.736014,-3.000000,0.011055,0.048253,-7.876589,sysid
14368000,0.000000,0.732995,-3.000000,0.011188,0.049347,-7.959365,sysid
14388000,0.000000,0.729776,-3.000000,0.011242,0.050077,-8.014963,sysid
14408000,0.000000,0.726365,-3.000000,0.011285,0.051154,-8.098956,sysid
14428000,0.000000,0.722771,-3.000000,0.011292,0.051863,-8.155325,sysid
14448000,0.000000,0.719001,-3.000000,0.011251,0.052942,-8.240480,sysid
14468000,0.000000,0.715065,-3.000000,0.011204,0.053650,-8.297603,sysid
14488000,0.000000,0.710970,-3.000000,0.011126,0.054725,-8.383896,sysid
14508000,0.000000,0.706724,-3.000000,0.011069,0.055451,-8.441806,sysid
14528000,0.000000,0.702335,-3.000000,0.010975,0.056552,-8.529246,sysid
14548000,0.000000,0.697813,-3.000000,0.010925,0.057312,-8.587986,sysid
14568000,0.000000,0.693164,-3.000000,0.010845,0.058460,-8.676661,sysid
14588000,0.000000,0.688399,-3.000000,0.010806,0.059246,-8.736180,sysid
14608000,0.000000,0.683523,-3.000000,0.010772,0.060447,-8.826084,sysid
14628000,0.000000,0.678546,-3.000000,0.010747,0.061250,-8.886405,sysid
14648000,0.000000,0.673477,-3.000000,0.010749,0.062496,-8.977565,sysid
14668000,0.000000,0.668321,-3.000000,0.010760,0.063338,-9.038733,sysid
14688000,0.000000,0.663089,-3.000000,0.010792,0.064611,-9.131081,sysid
14708000,0.000000,0.657787,-3.000000,0.010870,0.065506,-9.193104,sysid
14728000,0.000000,0.652424,-3.000000,0.010954,0.066838,-9.286665,sysid
14748000,0.000000,0.647006,-3.000000,0.011059,0.067751,-9.349474,sysid
14768000,0.000000,0.641542,-3.000000,0.011213,0.069126,-9.444246,sysid
14788000,0.000000,0.636039,-3.000000,0.011330,0.070059,-9.507825,sysid
