timestamp_us,profile,ref_x,ref_y,ref_z,ref_vx,ref_vy,ref_vz,ref_ax,ref_ay,ref_az,ref_yaw,ref_yawspeed,pos_x,pos_y,pos_z,vx,vy,vz,ax,ay,az,roll,pitch,yaw,p,q,r,att_sp_q0,att_sp_q1,att_sp_q2,att_sp_q3,att_sp_thrust_x,att_sp_thrust_y,att_sp_thrust_z,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_sp_thrust_x,rate_sp_thrust_y,rate_sp_thrust_z,motor_0,motor_1,motor_2,motor_3,esc_0_rpm,esc_1_rpm,esc_2_rpm,esc_3_rpm,esc_0_voltage,esc_1_voltage,esc_2_voltage,esc_3_voltage,esc_0_current,esc_1_current,esc_2_current,esc_3_current,hover_thrust,controller
12400000,pitch_sweep,0.000000,0.000000,-3.000000,0.453597,0.000000,0.000000,45.359692,0.000000,0.000000,0.000000,0.000000,0.047336,0.042901,-3.335243,0.009065,0.019565,-1.812101,-0.009684,0.008628,-0.420921,0.011279,0.007987,1.562160,0.027266,-0.015874,-0.117792,0.999999,-0.000963,0.000569,0.000001,0.000000,0.000000,-0.001000,-0.031220,-0.035519,-3.490659,0.000000,0.000000,-0.001000,0.000000,0.002000,0.000000,0.002000,150.000000,151.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12420000,pitch_sweep,0.018144,0.000000,-3.000000,0.906900,0.000000,0.000000,-0.029420,0.000000,0.000000,0.000000,0.000000,0.048055,0.043264,-3.378062,0.009623,0.019777,-1.821678,-0.012421,0.002027,-0.418430,0.011762,0.007680,1.560122,0.027746,-0.016873,-0.116825,0.994522,-0.000200,-0.104528,-0.000021,0.000000,0.000000,-0.001000,-0.828769,-0.306924,-3.490659,0.000000,0.000000,-0.001000,0.000000,0.002000,0.000000,0.002000,150.000000,151.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12440000,pitch_sweep,0.036276,0.000000,-3.000000,0.906017,0.000000,0.000000,-0.058822,0.000000,0.000000,0.000000,0.000000,0.048561,0.043533,-3.406732,0.010075,0.019963,-1.828112,-0.001046,0.006267,-0.420162,0.012225,0.007345,1.558063,0.026766,-0.017902,-0.117414,0.998080,-0.004529,-0.061765,-0.000280,0.000000,0.000000,-0.001000,-0.517393,-0.165861,-3.490659,0.000000,0.000000,-0.001000,0.000000,0.002000,0.000000,0.002000,150.000000,151.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12460000,pitch_sweep,0.054385,0.000000,-3.000000,0.904548,0.000000,0.000000,-0.088131,0.000000,0.000000,0.000000,0.000000,0.049361,0.043962,-3.449922,0.010802,0.020178,-1.837804,-0.007625,-0.001301,-0.420201,0.012706,0.006986,1.556002,0.028039,-0.019233,-0.117167,0.998105,-0.004561,-0.061371,-0.000280,0.000000,0.000000,-0.001000,-0.516567,-0.164617,-3.490659,0.000000,0.000000,-0.001000,0.000000,0.002000,0.000000,0.002000,150.000000,151.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12480000,pitch_sweep,0.072458,0.000000,-3.000000,0.902492,0.000000,0.000000,-0.117403,0.000000,0.000000,0.000000,0.000000,0.049905,0.044260,-3.478856,0.011226,0.020366,-1.844213,-0.011214,0.007230,-0.418248,0.013187,0.006584,1.553985,0.027936,-0.022280,-0.116967,0.998121,-0.004601,-0.061093,-0.000282,0.000000,0.000000,-0.001000,-0.516704,-0.163417,-3.490659,0.000000,0.000000,-0.001000,0.000000,0.002000,0.000000,0.002000,150.000000,151.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12500000,pitch_sweep,0.090484,0.000000,-3.000000,0.899854,0.000000,0.000000,-0.146404,0.000000,0.000000,0.000000,0.000000,0.050757,0.044725,-3.522414,0.012004,0.020695,-1.853711,-0.001036,0.009542,-0.417447,0.013664,0.006158,1.552016,0.027509,-0.023123,-0.116230,0.998151,-0.004671,-0.060606,-0.000284,0.000000,0.000000,-0.001000,-0.515354,-0.161320,-3.490659,0.000000,0.000000,-0.001000,0.000000,0.002000,0.000000,0.002000,150.000000,151.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12520000,pitch_sweep,0.108452,0.000000,-3.000000,0.896635,0.000000,0.000000,-0.175424,0.000000,0.000000,0.000000,0.000000,0.051335,0.045044,-3.551584,0.012523,0.020871,-1.860207,-0.007867,0.004791,-0.428550,0.014127,0.005713,1.550007,0.026973,-0.024279,-0.117133,0.998174,-0.004698,-0.060225,-0.000283,0.000000,0.000000,-0.001000,-0.514664,-0.159746,-3.490659,0.000000,0.000000,-0.001000,0.000000,0.002000,0.000000,0.002000,150.000000,151.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12540000,pitch_sweep,0.126350,0.000000,-3.000000,0.892839,0.000000,0.000000,-0.204109,0.000000,0.000000,0.000000,0.000000,0.052247,0.045529,-3.595503,0.013311,0.021132,-1.869865,-0.010071,0.001642,-0.418593,0.014607,0.005238,1.547999,0.027900,-0.026130,-0.116328,0.998206,-0.004738,-0.059677,-0.000283,0.000000,0.000000,-0.001000,-0.512846,-0.157527,-3.490659,0.000000,0.000000,-0.001000,0.000000,0.002000,0.000000,0.002000,150.000000,151.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12560000,pitch_sweep,0.144166,0.000000,-3.000000,0.888471,0.000000,0.000000,-0.232682,0.000000,0.000000,0.000000,0.000000,0.052864,0.045841,-3.624909,0.013890,0.021271,-1.876277,-0.006459,0.003044,-0.416500,0.015075,0.004725,1.546102,0.026853,-0.027918,-0.116543,0.998235,-0.004755,-0.059194,-0.000282,0.000000,0.000000,-0.001000,-0.511477,-0.155438,-3.490659,0.000000,0.000000,-0.001000,0.000000,0.002000,0.000000,0.002000,150.000000,151.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12580000,pitch_sweep,0.161889,0.000000,-3.000000,0.883535,0.000000,0.000000,-0.260957,0.000000,0.000000,0.000000,0.000000,0.053800,0.046292,-3.669211,0.014673,0.021518,-1.885875,-0.006889,0.012139,-0.415468,0.015567,0.004198,1.544168,0.028233,-0.029031,-0.116454,0.998271,-0.004803,-0.058585,-0.000282,0.000000,0.000000,-0.001000,-0.509340,-0.152761,-3.490659,0.000000,0.000000,-0.001000,0.000000,0.002000,0.000000,0.002000,150.000000,151.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
