timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
12640000,0.000000,0.000000,-3.000000,-0.002099,0.014361,-3.746017,sysid
12660000,0.000000,0.000000,-3.000000,-0.002478,0.014986,-3.791687,sysid
12680000,0.000000,0.000000,-3.000000,-0.002720,0.015398,-3.822289,sysid
12700000,0.000000,0.000000,-3.000000,-0.003010,0.015983,-3.868473,sysid
12720000,0.000000,0.000000,-3.000000,-0.003170,0.016360,-3.899421,sysid
12740000,0.000000,0.000000,-3.000000,-0.003363,0.016904,-3.946080,sysid
12760000,0.000000,0.000000,-3.000000,-0.003453,0.017244,-3.977333,sysid
12780000,0.000000,0.000000,-3.000000,-0.003536,0.017723,-4.024431,sysid
12800000,0.000000,0.000000,-3.000000,-0.003516,0.018022,-4.055970,sysid
12820000,0.000000,0.000000,-3.000000,-0.003451,0.018455,-4.103479,sysid
12840000,0.000000,0.000000,-3.000000,-0.003364,0.018722,-4.135283,sysid
12860000,0.000000,0.000000,-3.000000,-0.003176,0.019061,-4.183197,sysid
12880000,0.000000,0.000000,-3.000000,-0.003031,0.019265,-4.215276,sysid
12900000,0.000000,0.000000,-3.000000,-0.002750,0.019508,-4.263606,sysid
12920000,0.000000,0.000000,-3.000000,-0.002520,0.019634,-4.295959,sysid
12940000,0.000000,0.000000,-3.000000,-0.002113,0.019774,-4.344693,sysid
12960000,0.000000,0.000000,-3.000000,-0.001790,0.019839,-4.377346,sysid
12980000,0.000000,0.000000,-3.000000,-0.001291,0.019923,-4.426531,sysid
13000000,0.000000,0.000000,-3.000000,-0.000935,0.019959,-4.459469,sysid
13020000,0.000000,0.000000,-3.000000,-0.000393,0.020010,-4.509077,sysid
13040000,0.000000,0.000000,-3.000000,-0.000018,0.020039,-4.542274,sysid
13060000,0.000000,0.000000,-3.000000,0.000561,0.020052,-4.592284,sysid
13080000,0.000000,0.000000,-3.000000,0.000953,0.020051,-4.625758,sysid
13100000,0.000000,0.000000,-3.000000,0.001505,0.020074,-4.676204,sysid
13120000,0.000000,0.000000,-3.000000,0.001856,0.020073,-4.709984,sysid
13140000,0.000000,0.000000,-3.000000,0.002357,0.020053,-4.760876,sysid
13160000,0.000000,0.000000,-3.000000,0.002692,0.020028,-4.794949,sysid
13180000,0.000000,0.000000,-3.000000,0.003195,0.019990,-4.846256,sysid
13200000,0.000000,0.000000,-3.000000,0.003533,0.019964,-4.880597,sysid
13220000,0.000000,0.000000,-3.000000,0.004039,0.019942,-4.932323,sysid
13240000,0.000000,0.000000,-3.000000,0.004376,0.019935,-4.966945,sysid
13260000,0.000000,0.000000,-3.000000,0.004826,0.019926,-5.019076,sysid
13280000,0.000000,0.000000,-3.000000,0.005124,0.019921,-5.053959,sysid
13300000,0.000000,0.000000,-3.000000,0.005528,0.019945,-5.106443,sysid
13320000,0.000000,0.000000,-3.000000,0.005776,0.019953,-5.141632,sysid
13340000,0.000000,0.000000,-3.000000,0.006117,0.019954,-5.194935,sysid
13360000,0.000000,0.000000,-3.000000,0.006318,0.019936,-5.230854,sysid
13380000,0.000000,0.000000,-3.000000,0.006612,0.019903,-5.285356,sysid
13400000,0.000000,0.000000,-3.000000,0.006794,0.019872,-5.322104,sysid
13420000,0.000000,0.000000,-3.000000,0.007001,0.019781,-5.377919,sysid
13440000,0.000000,0.000000,-3.000000,0.007117,0.019708,-5.415571,sysid
13460000,0.000000,0.000000,-3.000000,0.007198,0.019534,-5.472827,sysid
13480000,0.000000,0.000000,-3.000000,0.007226,0.019428,-5.511467,sysid
13500000,0.000000,0.000000,-3.000000,0.007229,0.019286,-5.570125,sysid
13520000,0.000000,0.000000,-3.000000,0.007150,0.019188,-5.609747,sysid
13540000,0.000000,0.000000,-3.000000,0.007042,0.019052,-5.669798,sysid
13560000,0.000000,0.000000,-3.000000,0.006901,0.018954,-5.710364,sysid
13580000,0.000000,0.000000,-3.000000,0.006675,0.018814,-5.771882,sysid
13600000,0.000000,0.000000,-3.000000,0.006500,0.018722,-5.813376,sysid
13620000,0.000000,0.000000,-3.000000,0.006221,0.018571,-5.876344,sysid
13640000,0.000000,0.000000,-3.000000,0.006035,0.018469,-5.918763,sysid
13660000,0.000000,0.000000,-3.000000,0.005717,0.018290,-5.983139,sysid
13680000,0.000000,0.000000,-3.000000,0.005508,0.018164,-6.026513,sysid
13700000,0.000000,0.000000,-3.000000,0.005202,0.017964,-6.092257,sysid
13720000,0.000000,0.000000,-3.000000,0.005006,0.017794,-6.136615,sysid
13740000,0.000000,0.000000,-3.000000,0.004729,0.017539,-6.203805,sysid
13760000,0.000000,0.000000,-3.000000,0.004557,0.017358,-6.249075,sysid
13780000,0.000000,0.000000,-3.000000,0.004320,0.017056,-6.317699,sysid
13800000,0.000000,0.000000,-3.000000,0.004174,0.016848,-6.363879,sysid
13820000,0.000000,0.000000,-3.000000,0.003958,0.016513,-6.433851,sysid
13840000,0.000000,0.000000,-3.000000,0.003822,0.016283,-6.480927,sysid
13860000,0.000000,0.000000,-3.000000,0.003650,0.015910,-6.552344,sysid
13880000,0.000000,0.000000,-3.000000,0.003556,0.015650,-6.600411,sysid
13900000,0.000000,0.000000,-3.000000,0.003448,0.015240,-6.673195,sysid
13920000,0.000000,0.000000,-3.000000,0.003390,0.014936,-6.722220,sysid
13940000,0.000000,0.000000,-3.000000,0.003331,0.014486,-6.796383,sysid
13960000,0.000000,0.000000,-3.000000,0.003309,0.014041,-6.871346,sysid
13980000,0.000000,0.000000,-3.000000,0.003333,0.013742,-6.921838,sysid
14000000,0.000000,0.000000,-3.000000,0.003366,0.013446,-6.972625,sysid
14020000,0.000000,0.000000,-3.000000,0.003426,0.013015,-7.049569,sysid
14040000,0.000000,0.000000,-3.000000,0.003483,0.012740,-7.101287,sysid
14060000,0.000000,0.000000,-3.000000,0.003594,0.012343,-7.179501,sysid
14080000,0.000000,0.000000,-3.000000,0.003696,0.012077,-7.232066,sysid
14100000,0.000000,0.000000,-3.000000,0.003891,0.011679,-7.311545,sysid
14120000,0.000000,0.000000,-3.000000,0.004043,0.011423,-7.364992,sysid
14140000,0.000000,0.000000,-3.000000,0.004283,0.011045,-7.445752,sysid
14160000,0.000000,0.000000,-3.000000,0.004448,0.010798,-7.500010,sysid
14180000,0.000000,0.000000,-3.000000,0.004678,0.010432,-7.582032,sysid
14200000,0.000000,0.000000,-3.000000,0.004831,0.010190,-7.637111,sysid
14220000,0.000000,0.000000,-3.000000,0.005014,0.009838,-7.720470,sysid
14240000,0.000000,0.000000,-3.000000,0.005130,0.009602,-7.776483,sysid
14260000,0.000000,0.000000,-3.000000,0.005296,0.009245,-7.861157,sysid
14280000,0.000000,0.000000,-3.000000,0.005376,0.009003,-7.918107,sysid
14300000,0.000000,0.000000,-3.000000,0.005511,0.008645,-8.004117,sysid
14320000,0.000000,0.000000,-3.000000,0.005607,0.008410,-8.061878,sysid
14340000,0.000000,0.000000,-3.000000,0.005775,0.008066,-8.149078,sysid
14360000,0.000000,0.000000,-3.000000,0.005908,0.007845,-8.207610,sysid
14380000,0.000000,0.000000,-3.000000,0.006097,0.007527,-8.295995,sysid
14400000,0.000000,0.000000,-3.000000,0.006224,0.007320,-8.355278,sysid
14420000,0.000000,0.000000,-3.000000,0.006416,0.007043,-8.444816,sysid
14440000,0.000000,0.000000,-3.000000,0.006551,0.006856,-8.504872,sysid
14460000,0.000000,0.000000,-3.000000,0.006765,0.006576,-8.595503,sysid
14480000,0.000000,0.000000,-3.000000,0.006898,0.006384,-8.656346,sysid
14500000,0.000000,0.000000,-3.000000,0.007080,0.006093,-8.748132,sysid
14520000,0.000000,0.000000,-3.000000,0.007168,0.005891,-8.809693,sysid
14540000,0.000000,0.000000,-3.000000,0.007259,0.005589,-8.902569,sysid
14560000,0.000000,0.000000,-3.000000,0.007310,0.005390,-8.964828,sysid
14580000,0.000000,0.000000,-3.000000,0.007339,0.005097,-9.058771,sysid
14600000,0.000000,0.000000,-3.000000,0.007366,0.004907,-9.121733,sysid
14620000,0.000000,0.000000,-3.000000,0.007324,0.004614,-9.216681,sysid
14640000,0.000000,0.000000,-3.000000,0.007268,0.004405,-9.280303,sysid
14660000,0.000000,0.000000,-3.000000,0.007142,0.004071,-9.376237,sysid
14680000,0.000000,0.000000,-3.000000,0.007004,0.003843,-9.440523,sysid
14700000,0.000000,0.000000,-3.000000,0.006762,0.003502,-9.537498,sysid
14720000,0.000000,0.000000,-3.000000,0.006546,0.003268,-9.602515,sysid
14740000,0.000000,0.000000,-3.000000,0.006147,0.002893,-9.700607,sysid
14760000,0.000000,0.000000,-3.000000,0.005860,0.002640,-9.766383,sysid
14780000,0.000000,0.000000,-3.000000,0.005348,0.002202,-9.865664,sysid
14800000,0.000000,0.000000,-3.000000,0.004798,0.001755,-9.965690,sysid
14820000,0.000000,0.000000,-3.000000,0.004423,0.001460,-10.032785,sysid
14840000,0.000000,0.000000,-3.000000,0.004012,0.001143,-10.100279,sysid
14860000,0.000000,0.000000,-3.000000,0.003404,0.000694,-10.202117,sysid
14880000,0.000000,0.000000,-3.000000,0.002978,0.000381,-10.270482,sysid
14900000,0.000000,0.000000,-3.000000,0.002349,-0.000061,-10.373652,sysid
14920000,0.000000,0.000000,-3.000000,0.001934,-0.000338,-10.442866,sysid
14940000,0.000000,0.000000,-3.000000,0.001303,-0.000734,-10.547326,sysid
14960000,0.000000,0.000000,-3.000000,0.000885,-0.000981,-10.617376,sysid
14980000,0.000000,0.000000,-3.000000,0.000199,-0.001347,-10.723135,sysid
15000000,0.000000,0.000000,-3.000000,-0.000294,-0.001577,-10.794088,sysid
