timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
12652000,0.000000,0.000000,-3.000000,-0.016772,-0.008093,-3.811380,sysid
12672000,0.012064,0.000000,-3.000000,-0.016804,-0.008094,-3.841543,sysid
12692000,0.024126,0.000000,-3.000000,-0.016837,-0.008083,-3.886988,sysid
12712000,0.036186,0.000000,-3.000000,-0.016858,-0.008078,-3.917418,sysid
12732000,0.048242,0.000000,-3.000000,-0.016902,-0.008111,-3.963250,sysid
12752000,0.060293,0.000000,-3.000000,-0.016938,-0.008141,-3.993942,sysid
12772000,0.072338,0.000000,-3.000000,-0.017023,-0.008210,-4.040157,sysid
12792000,0.084376,0.000000,-3.000000,-0.017120,-0.008254,-4.071090,sysid
12812000,0.096406,0.000000,-3.000000,-0.017328,-0.008316,-4.117672,sysid
12832000,0.108425,0.000000,-3.000000,-0.017527,-0.008371,-4.148825,sysid
12852000,0.120434,0.000000,-3.000000,-0.017847,-0.008454,-4.195742,sysid
12872000,0.132431,0.000000,-3.000000,-0.018081,-0.008502,-4.227132,sysid
12892000,0.144414,0.000000,-3.000000,-0.018491,-0.008538,-4.274424,sysid
12912000,0.156382,0.000000,-3.000000,-0.018789,-0.008556,-4.306089,sysid
12932000,0.168335,0.000000,-3.000000,-0.019355,-0.008540,-4.353776,sysid
12952000,0.180271,0.000000,-3.000000,-0.019777,-0.008522,-4.385708,sysid
12972000,0.192188,0.000000,-3.000000,-0.020475,-0.008485,-4.433814,sysid
12992000,0.204086,0.000000,-3.000000,-0.020983,-0.008416,-4.466032,sysid
13012000,0.215964,0.000000,-3.000000,-0.021750,-0.008326,-4.514565,sysid
13032000,0.227819,0.000000,-3.000000,-0.022265,-0.008230,-4.547051,sysid
13052000,0.239652,0.000000,-3.000000,-0.023037,-0.008083,-4.595974,sysid
13072000,0.251460,0.000000,-3.000000,-0.023549,-0.007968,-4.628709,sysid
13092000,0.263243,0.000000,-3.000000,-0.024293,-0.007800,-4.677995,sysid
13112000,0.275000,0.000000,-3.000000,-0.024786,-0.007695,-4.710982,sysid
13132000,0.286728,0.000000,-3.000000,-0.025469,-0.007567,-4.760643,sysid
13152000,0.298428,0.000000,-3.000000,-0.025929,-0.007499,-4.793878,sysid
13172000,0.310097,0.000000,-3.000000,-0.026630,-0.007426,-4.843924,sysid
13192000,0.321735,0.000000,-3.000000,-0.027113,-0.007391,-4.877415,sysid
13212000,0.333341,0.000000,-3.000000,-0.027859,-0.007346,-4.927840,sysid
13232000,0.344913,0.000000,-3.000000,-0.028376,-0.007316,-4.961570,sysid
13252000,0.356450,0.000000,-3.000000,-0.029180,-0.007241,-5.012365,sysid
13272000,0.367951,0.000000,-3.000000,-0.029730,-0.007187,-5.046365,sysid
13292000,0.379415,0.000000,-3.000000,-0.030564,-0.007090,-5.097535,sysid
13312000,0.390840,0.000000,-3.000000,-0.031128,-0.007027,-5.131777,sysid
13332000,0.402226,0.000000,-3.000000,-0.032039,-0.006941,-5.183351,sysid
13352000,0.413572,0.000000,-3.000000,-0.032654,-0.006876,-5.218002,sysid
13372000,0.424875,0.000000,-3.000000,-0.033590,-0.006759,-5.270539,sysid
13392000,0.436136,0.000000,-3.000000,-0.034187,-0.006628,-5.305945,sysid
13412000,0.447352,0.000000,-3.000000,-0.035090,-0.006414,-5.359692,sysid
13432000,0.458523,0.000000,-3.000000,-0.035687,-0.006240,-5.395960,sysid
13452000,0.469648,0.000000,-3.000000,-0.036586,-0.005917,-5.451087,sysid
13472000,0.480726,0.000000,-3.000000,-0.037187,-0.005683,-5.488285,sysid
13492000,0.491755,0.000000,-3.000000,-0.038014,-0.005227,-5.544937,sysid
13512000,0.502734,0.000000,-3.000000,-0.038537,-0.004906,-5.583207,sysid
13532000,0.513662,0.000000,-3.000000,-0.039282,-0.004397,-5.641360,sysid
13552000,0.524539,0.000000,-3.000000,-0.039727,-0.004037,-5.680632,sysid
13572000,0.535362,0.000000,-3.000000,-0.040310,-0.003462,-5.740290,sysid
13592000,0.546132,0.000000,-3.000000,-0.040590,-0.003041,-5.780638,sysid
13612000,0.556846,0.000000,-3.000000,-0.040945,-0.002367,-5.841847,sysid
13632000,0.567504,0.000000,-3.000000,-0.041089,-0.001865,-5.883176,sysid
13652000,0.578104,0.000000,-3.000000,-0.041145,-0.001056,-5.945933,sysid
13672000,0.588647,0.000000,-3.000000,-0.041124,-0.000495,-5.988216,sysid
13692000,0.599129,0.000000,-3.000000,-0.040896,0.000382,-6.052537,sysid
13712000,0.609551,0.000000,-3.000000,-0.040636,0.000984,-6.095909,sysid
13732000,0.619912,0.000000,-3.000000,-0.040095,0.001920,-6.161692,sysid
13752000,0.630210,0.000000,-3.000000,-0.039553,0.002552,-6.206127,sysid
13772000,0.640444,0.000000,-3.000000,-0.038585,0.003524,-6.273424,sysid
13792000,0.650613,0.000000,-3.000000,-0.037766,0.004204,-6.318782,sysid
13812000,0.660717,0.000000,-3.000000,-0.036408,0.005265,-6.387436,sysid
13832000,0.670754,0.000000,-3.000000,-0.035342,0.006009,-6.433672,sysid
13852000,0.680723,0.000000,-3.000000,-0.033512,0.007124,-6.503706,sysid
13872000,0.690623,0.000000,-3.000000,-0.032196,0.007860,-6.550794,sysid
13892000,0.700454,0.000000,-3.000000,-0.029925,0.008934,-6.622138,sysid
13912000,0.710213,0.000000,-3.000000,-0.028292,0.009637,-6.670088,sysid
13932000,0.719901,0.000000,-3.000000,-0.025667,0.010669,-6.742593,sysid
13952000,0.729516,0.000000,-3.000000,-0.023713,0.011351,-6.791378,sysid
13972000,0.739058,0.000000,-3.000000,-0.020638,0.012362,-6.865123,sysid
13992000,0.748525,0.000000,-3.000000,-0.018435,0.013038,-6.914703,sysid
14012000,0.757916,0.000000,-3.000000,-0.014960,0.014036,-6.989679,sysid
14032000,0.767230,0.000000,-3.000000,-0.012564,0.014680,-7.040038,sysid
14052000,0.776467,0.000000,-3.000000,-0.008723,0.015660,-7.116185,sysid
14072000,0.785626,0.000000,-3.000000,-0.006122,0.016281,-7.167296,sysid
14092000,0.794705,0.000000,-3.000000,-0.001941,0.017195,-7.244551,sysid
14112000,0.803704,0.000000,-3.000000,0.000965,0.017770,-7.296432,sysid
14132000,0.812621,0.000000,-3.000000,0.005499,0.018580,-7.374822,sysid
14152000,0.821457,0.000000,-3.000000,0.008706,0.019097,-7.427485,sysid
14172000,0.830209,0.000000,-3.000000,0.013621,0.019822,-7.507062,sysid
14192000,0.838877,0.000000,-3.000000,0.017003,0.020272,-7.560533,sysid
14212000,0.847461,0.000000,-3.000000,0.022225,0.020887,-7.641377,sysid
14232000,0.855959,0.000000,-3.000000,0.025770,0.021257,-7.695664,sysid
14252000,0.864371,0.000000,-3.000000,0.031252,0.021756,-7.777804,sysid
14272000,0.872695,0.000000,-3.000000,0.034968,0.022046,-7.833000,sysid
14292000,0.880931,0.000000,-3.000000,0.040632,0.022417,-7.916440,sysid
14312000,0.889078,0.000000,-3.000000,0.044498,0.022566,-7.972565,sysid
14332000,0.897135,0.000000,-3.000000,0.050339,0.022743,-8.057302,sysid
