timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
12700000,0.000000,0.000000,-3.000000,0.023108,-0.006419,-3.768918,sysid
12720000,0.012064,0.000000,-3.000000,0.022526,-0.006632,-3.799427,sysid
12740000,0.024126,0.000000,-3.000000,0.021696,-0.006932,-3.845358,sysid
12760000,0.036186,0.000000,-3.000000,0.021162,-0.007117,-3.876086,sysid
12780000,0.048242,0.000000,-3.000000,0.020391,-0.007372,-3.922353,sysid
12800000,0.060293,0.000000,-3.000000,0.019953,-0.007485,-3.953300,sysid
12820000,0.072338,0.000000,-3.000000,0.019355,-0.007630,-3.999891,sysid
12840000,0.084376,0.000000,-3.000000,0.019025,-0.007696,-4.031063,sysid
12860000,0.096406,0.000000,-3.000000,0.018587,-0.007767,-4.077961,sysid
12880000,0.108425,0.000000,-3.000000,0.018320,-0.007805,-4.109333,sysid
12900000,0.120434,0.000000,-3.000000,0.017967,-0.007808,-4.156478,sysid
12920000,0.132431,0.000000,-3.000000,0.017729,-0.007781,-4.188010,sysid
12940000,0.144414,0.000000,-3.000000,0.017371,-0.007696,-4.235460,sysid
12960000,0.156382,0.000000,-3.000000,0.017111,-0.007619,-4.267182,sysid
12980000,0.168335,0.000000,-3.000000,0.016717,-0.007485,-4.314945,sysid
13000000,0.180271,0.000000,-3.000000,0.016437,-0.007374,-4.346903,sysid
13020000,0.192188,0.000000,-3.000000,0.016012,-0.007206,-4.395031,sysid
13040000,0.204086,0.000000,-3.000000,0.015708,-0.007092,-4.427245,sysid
13060000,0.215964,0.000000,-3.000000,0.015218,-0.006914,-4.475772,sysid
13080000,0.227819,0.000000,-3.000000,0.014887,-0.006796,-4.508254,sysid
13100000,0.239652,0.000000,-3.000000,0.014328,-0.006584,-4.557232,sysid
13120000,0.251460,0.000000,-3.000000,0.013961,-0.006419,-4.590033,sysid
13140000,0.263243,0.000000,-3.000000,0.013415,-0.006144,-4.639462,sysid
13160000,0.275000,0.000000,-3.000000,0.013010,-0.005955,-4.672611,sysid
13180000,0.286728,0.000000,-3.000000,0.012400,-0.005659,-4.722551,sysid
13200000,0.298428,0.000000,-3.000000,0.011973,-0.005449,-4.756017,sysid
13220000,0.310097,0.000000,-3.000000,0.011305,-0.005137,-4.806422,sysid
13240000,0.321735,0.000000,-3.000000,0.010856,-0.004928,-4.840149,sysid
13260000,0.333341,0.000000,-3.000000,0.010151,-0.004597,-4.891028,sysid
13280000,0.344913,0.000000,-3.000000,0.009685,-0.004374,-4.925189,sysid
13300000,0.356450,0.000000,-3.000000,0.008961,-0.004002,-4.976995,sysid
13320000,0.367951,0.000000,-3.000000,0.008482,-0.003736,-5.011907,sysid
13340000,0.379415,0.000000,-3.000000,0.007771,-0.003312,-5.064848,sysid
