timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
12648000,0.000000,0.000000,-3.000000,0.030966,-0.014821,-3.715679,sysid
12668000,0.000000,0.012064,-3.000000,0.030757,-0.014394,-3.744740,sysid
12688000,0.000000,0.024126,-3.000000,0.030423,-0.013772,-3.788527,sysid
12708000,0.000000,0.036186,-3.000000,0.030169,-0.013369,-3.817823,sysid
12728000,0.000000,0.048242,-3.000000,0.029749,-0.012793,-3.861901,sysid
12748000,0.000000,0.060293,-3.000000,0.029456,-0.012422,-3.891408,sysid
12768000,0.000000,0.072338,-3.000000,0.028935,-0.011850,-3.935755,sysid
12788000,0.000000,0.084376,-3.000000,0.028592,-0.011498,-3.965426,sysid
12808000,0.000000,0.096406,-3.000000,0.028081,-0.011013,-4.010097,sysid
12828000,0.000000,0.108425,-3.000000,0.027776,-0.010717,-4.039938,sysid
12848000,0.000000,0.120434,-3.000000,0.027329,-0.010282,-4.084896,sysid
12868000,0.000000,0.132431,-3.000000,0.027043,-0.009998,-4.114970,sysid
12888000,0.000000,0.144414,-3.000000,0.026603,-0.009586,-4.160264,sysid
12908000,0.000000,0.156382,-3.000000,0.026289,-0.009321,-4.190548,sysid
12928000,0.000000,0.168335,-3.000000,0.025783,-0.008944,-4.236106,sysid
12948000,0.000000,0.180271,-3.000000,0.025440,-0.008706,-4.266602,sysid
12968000,0.000000,0.192188,-3.000000,0.024917,-0.008342,-4.312449,sysid
12988000,0.000000,0.204086,-3.000000,0.024560,-0.008110,-4.343129,sysid
13008000,0.000000,0.215964,-3.000000,0.024013,-0.007784,-4.389324,sysid
13028000,0.000000,0.227819,-3.000000,0.023679,-0.007573,-4.420210,sysid
13048000,0.000000,0.239652,-3.000000,0.023188,-0.007274,-4.466756,sysid
13068000,0.000000,0.251460,-3.000000,0.022870,-0.007093,-4.497912,sysid
13088000,0.000000,0.263243,-3.000000,0.022344,-0.006840,-4.544838,sysid
13108000,0.000000,0.275000,-3.000000,0.021978,-0.006677,-4.576270,sysid
13128000,0.000000,0.286728,-3.000000,0.021339,-0.006441,-4.623597,sysid
13148000,0.000000,0.298428,-3.000000,0.020921,-0.006292,-4.655309,sysid
13168000,0.000000,0.310097,-3.000000,0.020240,-0.006035,-4.703022,sysid
13188000,0.000000,0.321735,-3.000000,0.019762,-0.005864,-4.734955,sysid
13208000,0.000000,0.333341,-3.000000,0.019008,-0.005610,-4.783041,sysid
13228000,0.000000,0.344913,-3.000000,0.018478,-0.005440,-4.815204,sysid
13248000,0.000000,0.356450,-3.000000,0.017672,-0.005190,-4.863661,sysid
13268000,0.000000,0.367951,-3.000000,0.017112,-0.005024,-4.896095,sysid
13288000,0.000000,0.379415,-3.000000,0.016213,-0.004765,-4.945089,sysid
13308000,0.000000,0.390840,-3.000000,0.015587,-0.004583,-4.978102,sysid
13328000,0.000000,0.402226,-3.000000,0.014530,-0.004300,-5.028187,sysid
13348000,0.000000,0.413572,-3.000000,0.013785,-0.004111,-5.062001,sysid
13368000,0.000000,0.424875,-3.000000,0.012610,-0.003822,-5.113362,sysid
13388000,0.000000,0.436136,-3.000000,0.011774,-0.003570,-5.148081,sysid
13408000,0.000000,0.447352,-3.000000,0.010522,-0.003171,-5.200788,sysid
13428000,0.000000,0.458523,-3.000000,0.009643,-0.002879,-5.236472,sysid
13448000,0.000000,0.469648,-3.000000,0.008309,-0.002394,-5.290695,sysid
13468000,0.000000,0.480726,-3.000000,0.007395,-0.002026,-5.327356,sysid
13488000,0.000000,0.491755,-3.000000,0.006009,-0.001397,-5.383111,sysid
13508000,0.000000,0.502734,-3.000000,0.005084,-0.000942,-5.420726,sysid
13528000,0.000000,0.513662,-3.000000,0.003650,-0.000162,-5.477965,sysid
13548000,0.000000,0.524539,-3.000000,0.002695,0.000426,-5.516579,sysid
13568000,0.000000,0.535362,-3.000000,0.001261,0.001397,-5.575173,sysid
13588000,0.000000,0.546132,-3.000000,0.000282,0.002153,-5.614733,sysid
13608000,0.000000,0.556846,-3.000000,-0.001195,0.003364,-5.674688,sysid
13628000,0.000000,0.567504,-3.000000,-0.002206,0.004235,-5.715111,sysid
13648000,0.000000,0.578104,-3.000000,-0.003769,0.005651,-5.776421,sysid
13668000,0.000000,0.588647,-3.000000,-0.004816,0.006651,-5.817693,sysid
13688000,0.000000,0.599129,-3.000000,-0.006393,0.008289,-5.880286,sysid
13708000,0.000000,0.609551,-3.000000,-0.007452,0.009435,-5.922413,sysid
13728000,0.000000,0.619912,-3.000000,-0.009049,0.011304,-5.986362,sysid
13748000,0.000000,0.630210,-3.000000,-0.010086,0.012612,-6.029412,sysid
13768000,0.000000,0.640444,-3.000000,-0.011612,0.014659,-6.094609,sysid
13788000,0.000000,0.650613,-3.000000,-0.012621,0.016087,-6.138582,sysid
13808000,0.000000,0.660717,-3.000000,-0.014103,0.018306,-6.205137,sysid
13828000,0.000000,0.670754,-3.000000,-0.015062,0.019849,-6.249990,sysid
13848000,0.000000,0.680723,-3.000000,-0.016447,0.022213,-6.317905,sysid
13868000,0.000000,0.690623,-3.000000,-0.017337,0.023830,-6.363555,sysid
13888000,0.000000,0.700454,-3.000000,-0.018551,0.026313,-6.432740,sysid
13908000,0.000000,0.710213,-3.000000,-0.019336,0.028007,-6.479248,sysid
13928000,0.000000,0.719901,-3.000000,-0.020476,0.030607,-6.549583,sysid
13948000,0.000000,0.729516,-3.000000,-0.021205,0.032386,-6.596858,sysid
13968000,0.000000,0.739058,-3.000000,-0.022246,0.035124,-6.668345,sysid
13988000,0.000000,0.748525,-3.000000,-0.022893,0.036995,-6.716466,sysid
14008000,0.000000,0.757916,-3.000000,-0.023816,0.039865,-6.789194,sysid
14028000,0.000000,0.767230,-3.000000,-0.024389,0.041820,-6.838073,sysid
14048000,0.000000,0.776467,-3.000000,-0.025192,0.044782,-6.912020,sysid
14068000,0.000000,0.785626,-3.000000,-0.025698,0.046788,-6.961693,sysid
14088000,0.000000,0.794705,-3.000000,-0.026418,0.049831,-7.036927,sysid
14108000,0.000000,0.803704,-3.000000,-0.026871,0.051901,-7.087491,sysid
14128000,0.000000,0.812621,-3.000000,-0.027522,0.055076,-7.163943,sysid
14148000,0.000000,0.821457,-3.000000,-0.027914,0.057245,-7.215395,sysid
14168000,0.000000,0.830209,-3.000000,-0.028469,0.060572,-7.293131,sysid
14188000,0.000000,0.838877,-3.000000,-0.028825,0.062853,-7.345368,sysid
14208000,0.000000,0.847461,-3.000000,-0.029323,0.066343,-7.424245,sysid
14228000,0.000000,0.855959,-3.000000,-0.029634,0.068723,-7.477202,sysid
14248000,0.000000,0.864371,-3.000000,-0.030066,0.072370,-7.557204,sysid
14268000,0.000000,0.872695,-3.000000,-0.030336,0.074847,-7.610894,sysid
14288000,0.000000,0.880931,-3.000000,-0.030738,0.078636,-7.692000,sysid
14308000,0.000000,0.889078,-3.000000,-0.030981,0.081220,-7.746428,sysid
14328000,0.000000,0.897135,-3.000000,-0.031318,0.085184,-7.828612,sysid
14348000,0.000000,0.905102,-3.000000,-0.031546,0.087925,-7.883814,sysid
14368000,0.000000,0.912977,-3.000000,-0.031861,0.092119,-7.967164,sysid
14388000,0.000000,0.920759,-3.000000,-0.032051,0.094993,-8.023118,sysid
14408000,0.000000,0.928449,-3.000000,-0.032299,0.099432,-8.107621,sysid
14428000,0.000000,0.936045,-3.000000,-0.032449,0.102450,-8.164317,sysid
14448000,0.000000,0.943546,-3.000000,-0.032586,0.107088,-8.249916,sysid
14468000,0.000000,0.950952,-3.000000,-0.032681,0.110216,-8.307325,sysid
14488000,0.000000,0.958262,-3.000000,-0.032757,0.115037,-8.393969,sysid
14508000,0.000000,0.965475,-3.000000,-0.032790,0.118314,-8.452084,sysid
14528000,0.000000,0.972590,-3.000000,-0.032819,0.123327,-8.539788,sysid
14548000,0.000000,0.979607,-3.000000,-0.032776,0.126758,-8.598650,sysid
14568000,0.000000,0.986525,-3.000000,-0.032706,0.131983,-8.687496,sysid
14588000,0.000000,0.993344,-3.000000,-0.032636,0.135530,-8.747117,sysid
14608000,0.000000,1.000062,-3.000000,-0.032496,0.140942,-8.837150,sysid
14628000,0.000000,1.006678,-3.000000,-0.032405,0.144599,-8.897546,sysid
14648000,0.000000,1.013194,-3.000000,-0.032157,0.150178,-8.988746,sysid
14668000,0.000000,1.019606,-3.000000,-0.031975,0.153946,-9.049914,sysid
14688000,0.000000,1.025916,-3.000000,-0.031695,0.159662,-9.142212,sysid
14708000,0.000000,1.032122,-3.000000,-0.031440,0.163540,-9.204133,sysid
14728000,0.000000,1.038224,-3.000000,-0.031099,0.169421,-9.297498,sysid
14748000,0.000000,1.044221,-3.000000,-0.030818,0.173396,-9.360093,sysid
14768000,0.000000,1.050112,-3.000000,-0.030396,0.179424,-9.454494,sysid
14788000,0.000000,1.055897,-3.000000,-0.030077,0.183493,-9.517781,sysid
14808000,0.000000,1.061575,-3.000000,-0.029537,0.189648,-9.613247,sysid
14828000,0.000000,1.067147,-3.000000,-0.029185,0.193782,-9.677219,sysid
14848000,0.000000,1.072610,-3.000000,-0.028553,0.200005,-9.773720,sysid
14868000,0.000000,1.077965,-3.000000,-0.028095,0.204192,-9.838405,sysid
14888000,0.000000,1.083211,-3.000000,-0.027362,0.210530,-9.935959,sysid
14908000,0.000000,1.088347,-3.000000,-0.026816,0.214785,-10.001388,sysid
14928000,0.000000,1.093374,-3.000000,-0.026017,0.221230,-10.100032,sysid
14948000,0.000000,1.098289,-3.000000,-0.025469,0.225575,-10.166156,sysid
14968000,0.000000,1.103094,-3.000000,-0.024607,0.232129,-10.265884,sysid
14988000,0.000000,1.107788,-3.000000,-0.024035,0.236533,-10.332712,sysid
15008000,0.000000,1.112369,-3.000000,-0.023111,0.243181,-10.433517,sysid
15028000,0.000000,1.116839,-3.000000,-0.022500,0.247642,-10.501072,sysid
15048000,0.000000,1.121195,-3.000000,-0.021458,0.254360,-10.602995,sysid
15068000,0.000000,1.125438,-3.000000,-0.020748,0.258885,-10.671311,sysid
15088000,0.000000,1.129567,-3.000000,-0.019658,0.265740,-10.774345,sysid
15108000,0.000000,1.133582,-3.000000,-0.018879,0.270398,-10.843410,sysid
15128000,0.000000,1.137482,-3.000000,-0.017747,0.277473,-10.947560,sysid
15148000,0.000000,1.141268,-3.000000,-0.016995,0.282271,-11.017381,sysid
15168000,0.000000,1.144938,-3.000000,-0.015875,0.289592,-11.122667,sysid
15188000,0.000000,1.148492,-3.000000,-0.015156,0.294525,-11.193220,sysid
15208000,0.000000,1.151931,-3.000000,-0.014008,0.302013,-11.299615,sysid
15228000,0.000000,1.155253,-3.000000,-0.013258,0.307040,-11.370912,sysid
15248000,0.000000,1.158458,-3.000000,-0.012165,0.314620,-11.478406,sysid
15268000,0.000000,1.161546,-3.000000,-0.011450,0.319691,-11.550439,sysid
15288000,0.000000,1.164517,-3.000000,-0.010396,0.327322,-11.659044,sysid
15308000,0.000000,1.167370,-3.000000,-0.009690,0.332416,-11.731840,sysid
15328000,0.000000,1.170105,-3.000000,-0.008665,0.340085,-11.841611,sysid
15348000,0.000000,1.172722,-3.000000,-0.007979,0.345211,-11.915200,sysid
15368000,0.000000,1.175220,-3.000000,-0.006946,0.352904,-12.026187,sysid
15388000,0.000000,1.177600,-3.000000,-0.006281,0.358038,-12.100556,sysid
15408000,0.000000,1.179860,-3.000000,-0.005277,0.365689,-12.212813,sysid
15428000,0.000000,1.182001,-3.000000,-0.004619,0.370798,-12.288062,sysid
15448000,0.000000,1.184023,-3.000000,-0.003652,0.378465,-12.401547,sysid
15468000,0.000000,1.185925,-3.000000,-0.002998,0.383565,-12.477671,sysid
15488000,0.000000,1.187708,-3.000000,-0.002041,0.391221,-12.592454,sysid
15508000,0.000000,1.189370,-3.000000,-0.001402,0.396317,-12.669420,sysid
15528000,0.000000,1.190912,-3.000000,-0.000472,0.403945,-12.785447,sysid
15548000,0.000000,1.192334,-3.000000,0.000154,0.409009,-12.863218,sysid
15568000,0.000000,1.193635,-3.000000,0.001063,0.416593,-12.980474,sysid
15588000,0.000000,1.194815,-3.000000,0.001641,0.421648,-13.059019,sysid
15608000,0.000000,1.195875,-3.000000,0.002479,0.429149,-13.177456,sysid
15628000,0.000000,1.196814,-3.000000,0.003022,0.434118,-13.256782,sysid
15648000,0.000000,1.197632,-3.000000,0.003816,0.441524,-13.376328,sysid
15668000,0.000000,1.198329,-3.000000,0.004328,0.446383,-13.456434,sysid
15688000,0.000000,1.198905,-3.000000,0.005058,0.453655,-13.577165,sysid
15708000,0.000000,1.199360,-3.000000,0.005521,0.458470,-13.658058,sysid
15728000,0.000000,1.199693,-3.000000,0.006190,0.465645,-13.780004,sysid
15748000,0.000000,1.199905,-3.000000,0.006616,0.470414,-13.861680,sysid
15768000,0.000000,1.199996,-3.000000,0.007259,0.477538,-13.984781,sysid
15788000,0.000000,1.199966,-3.000000,0.007667,0.482296,-14.067208,sysid
15808000,0.000000,1.199814,-3.000000,0.008299,0.489391,-14.191445,sysid
15828000,0.000000,1.199541,-3.000000,0.008679,0.494107,-14.274634,sysid
15848000,0.000000,1.199147,-3.000000,0.009187,0.501160,-14.399970,sysid
15868000,0.000000,1.198632,-3.000000,0.009452,0.505827,-14.483895,sysid
15888000,0.000000,1.197996,-3.000000,0.009792,0.512815,-14.610343,sysid
15908000,0.000000,1.197238,-3.000000,0.009955,0.517464,-14.695024,sysid
15928000,0.000000,1.196360,-3.000000,0.010121,0.524424,-14.822646,sysid
15948000,0.000000,1.195360,-3.000000,0.010207,0.529052,-14.908111,sysid
15968000,0.000000,1.194240,-3.000000,0.010248,0.535967,-15.036887,sysid
15988000,0.000000,1.192999,-3.000000,0.010241,0.540568,-15.123149,sysid
16008000,0.000000,1.191638,-3.000000,0.010184,0.547449,-15.253154,sysid
16028000,0.000000,1.190156,-3.000000,0.010106,0.552009,-15.340261,sysid
16048000,0.000000,1.188554,-3.000000,0.009985,0.558850,-15.471463,sysid
16068000,0.000000,1.186831,-3.000000,0.009851,0.563385,-15.559350,sysid
16088000,0.000000,1.184989,-3.000000,0.009645,0.570172,-15.691757,sysid
16108000,0.000000,1.183027,-3.000000,0.009492,0.574691,-15.780434,sysid
16128000,0.000000,1.180946,-3.000000,0.009258,0.581490,-15.914024,sysid
16148000,0.000000,1.178745,-3.000000,0.009106,0.586022,-16.003460,sysid
16168000,0.000000,1.176425,-3.000000,0.008854,0.592819,-16.138214,sysid
16188000,0.000000,1.173986,-3.000000,0.008686,0.597336,-16.228434,sysid
16208000,0.000000,1.171428,-3.000000,0.008436,0.604087,-16.364336,sysid
16228000,0.000000,1.168752,-3.000000,0.008262,0.608535,-16.455336,sysid
16248000,0.000000,1.165958,-3.000000,0.007993,0.615190,-16.592398,sysid
16268000,0.000000,1.163046,-3.000000,0.007802,0.619608,-16.684153,sysid
16288000,0.000000,1.160017,-3.000000,0.007489,0.626215,-16.822353,sysid
16308000,0.000000,1.156870,-3.000000,0.007278,0.630605,-16.914864,sysid
16328000,0.000000,1.153606,-3.000000,0.006965,0.637164,-17.054174,sysid
16348000,0.000000,1.150226,-3.000000,0.006759,0.641521,-17.147415,sysid
16368000,0.000000,1.146730,-3.000000,0.006491,0.648046,-17.287813,sysid
16388000,0.000000,1.143117,-3.000000,0.006320,0.652395,-17.381781,sysid
16408000,0.000000,1.139390,-3.000000,0.006072,0.658913,-17.523289,sysid
16428000,0.000000,1.135546,-3.000000,0.005920,0.663270,-17.618002,sysid
16448000,0.000000,1.131589,-3.000000,0.005690,0.669802,-17.760639,sysid
16468000,0.000000,1.127517,-3.000000,0.005525,0.674174,-17.856108,sysid
16488000,0.000000,1.123330,-3.000000,0.005279,0.680750,-17.999887,sysid
16508000,0.000000,1.119031,-3.000000,0.005122,0.685123,-18.096127,sysid
16528000,0.000000,1.114618,-3.000000,0.004880,0.691699,-18.241058,sysid
16548000,0.000000,1.110093,-3.000000,0.004750,0.696054,-18.338070,sysid
16568000,0.000000,1.105455,-3.000000,0.004602,0.702538,-18.484173,sysid
16588000,0.000000,1.100706,-3.000000,0.004548,0.706819,-18.581972,sysid
16608000,0.000000,1.095845,-3.000000,0.004524,0.713183,-18.729263,sysid
16628000,0.000000,1.090874,-3.000000,0.004537,0.717371,-18.827862,sysid
16648000,0.000000,1.085792,-3.000000,0.004576,0.723599,-18.976349,sysid
16668000,0.000000,1.080601,-3.000000,0.004617,0.727714,-19.075743,sysid
16688000,0.000000,1.075301,-3.000000,0.004716,0.733840,-19.225454,sysid
16708000,0.000000,1.069892,-3.000000,0.004797,0.737890,-19.325661,sysid
16728000,0.000000,1.064374,-3.000000,0.005033,0.743889,-19.476612,sysid
16748000,0.000000,1.058749,-3.000000,0.005207,0.747843,-19.577644,sysid
16768000,0.000000,1.053018,-3.000000,0.005491,0.753704,-19.729782,sysid
16788000,0.000000,1.047179,-3.000000,0.005704,0.757551,-19.831648,sysid
16808000,0.000000,1.041235,-3.000000,0.006006,0.763250,-19.985025,sysid
16828000,0.000000,1.035186,-3.000000,0.006194,0.766986,-20.087673,sysid
16848000,0.000000,1.029032,-3.000000,0.006454,0.772530,-20.242208,sysid
16868000,0.000000,1.022774,-3.000000,0.006606,0.776189,-20.345608,sysid
16888000,0.000000,1.016413,-3.000000,0.006829,0.781634,-20.501310,sysid
16908000,0.000000,1.009949,-3.000000,0.006972,0.785227,-20.605497,sysid
16928000,0.000000,1.003382,-3.000000,0.007245,0.790561,-20.762348,sysid
16948000,0.000000,0.996715,-3.000000,0.007433,0.794061,-20.867300,sysid
16968000,0.000000,0.989947,-3.000000,0.007723,0.799227,-21.025307,sysid
16988000,0.000000,0.983078,-3.000000,0.007927,0.802631,-21.131012,sysid
17008000,0.000000,0.976111,-3.000000,0.008223,0.807659,-21.290127,sysid
17028000,0.000000,0.969045,-3.000000,0.008416,0.810960,-21.396568,sysid
17048000,0.000000,0.961880,-3.000000,0.008712,0.815841,-21.556759,sysid
17068000,0.000000,0.954619,-3.000000,0.008907,0.819042,-21.663923,sysid
17088000,0.000000,0.947261,-3.000000,0.009163,0.823747,-21.825161,sysid
17108000,0.000000,0.939807,-3.000000,0.009317,0.826829,-21.933035,sysid
17128000,0.000000,0.932259,-3.000000,0.009532,0.831368,-22.095301,sysid
17148000,0.000000,0.924616,-3.000000,0.009657,0.834351,-22.203815,sysid
17168000,0.000000,0.916880,-3.000000,0.009814,0.838758,-22.367092,sysid
17188000,0.000000,0.909051,-3.000000,0.009883,0.841664,-22.476265,sysid
17208000,0.000000,0.901130,-3.000000,0.009959,0.845958,-22.640543,sysid
17228000,0.000000,0.893118,-3.000000,0.009983,0.848789,-22.750378,sysid
17248000,0.000000,0.885016,-3.000000,0.009976,0.852980,-22.915638,sysid
17268000,0.000000,0.876824,-3.000000,0.009950,0.855724,-23.026163,sysid
17288000,0.000000,0.868544,-3.000000,0.009901,0.859795,-23.192396,sysid
