timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
12660000,0.000000,0.000000,-3.000000,0.010028,0.009031,-3.799595,sysid
12680000,0.000000,0.012064,-3.000000,0.009946,0.009229,-3.844883,sysid
12700000,0.000000,0.024126,-3.000000,0.009826,0.009336,-3.875221,sysid
12720000,0.000000,0.036186,-3.000000,0.009629,0.009479,-3.920958,sysid
12740000,0.000000,0.048242,-3.000000,0.009472,0.009552,-3.951594,sysid
12760000,0.000000,0.060293,-3.000000,0.009199,0.009612,-3.997779,sysid
12780000,0.000000,0.072338,-3.000000,0.009007,0.009633,-4.028726,sysid
12800000,0.000000,0.084376,-3.000000,0.008670,0.009606,-4.075356,sysid
12820000,0.000000,0.096406,-3.000000,0.008424,0.009584,-4.106586,sysid
12840000,0.000000,0.108425,-3.000000,0.008025,0.009542,-4.153646,sysid
12860000,0.000000,0.120434,-3.000000,0.007738,0.009531,-4.185161,sysid
12880000,0.000000,0.132431,-3.000000,0.007316,0.009508,-4.232666,sysid
12900000,0.000000,0.144414,-3.000000,0.007045,0.009522,-4.264477,sysid
12920000,0.000000,0.156382,-3.000000,0.006649,0.009542,-4.312421,sysid
12940000,0.000000,0.168335,-3.000000,0.006392,0.009564,-4.344535,sysid
12960000,0.000000,0.180271,-3.000000,0.006017,0.009586,-4.392962,sysid
12980000,0.000000,0.192188,-3.000000,0.005774,0.009595,-4.425407,sysid
13000000,0.000000,0.204086,-3.000000,0.005392,0.009568,-4.474335,sysid
13020000,0.000000,0.215964,-3.000000,0.005146,0.009549,-4.507102,sysid
13040000,0.000000,0.227819,-3.000000,0.004793,0.009518,-4.556473,sysid
13060000,0.000000,0.239652,-3.000000,0.004597,0.009527,-4.589528,sysid
13080000,0.000000,0.251460,-3.000000,0.004340,0.009549,-4.639329,sysid
13100000,0.000000,0.263243,-3.000000,0.004205,0.009578,-4.672677,sysid
13120000,0.000000,0.275000,-3.000000,0.004012,0.009655,-4.722952,sysid
13140000,0.000000,0.286728,-3.000000,0.003890,0.009713,-4.756621,sysid
13160000,0.000000,0.298428,-3.000000,0.003693,0.009845,-4.807360,sysid
13180000,0.000000,0.310097,-3.000000,0.003560,0.009947,-4.841332,sysid
13200000,0.000000,0.321735,-3.000000,0.003353,0.010148,-4.892534,sysid
13220000,0.000000,0.333341,-3.000000,0.003209,0.010291,-4.926804,sysid
13240000,0.000000,0.344913,-3.000000,0.002984,0.010517,-4.978415,sysid
13260000,0.000000,0.356450,-3.000000,0.002823,0.010655,-5.012949,sysid
13280000,0.000000,0.367951,-3.000000,0.002561,0.010850,-5.064943,sysid
13300000,0.000000,0.379415,-3.000000,0.002353,0.010967,-5.099726,sysid
13320000,0.000000,0.390840,-3.000000,0.002012,0.011124,-5.152081,sysid
13340000,0.000000,0.402226,-3.000000,0.001777,0.011218,-5.187189,sysid
13360000,0.000000,0.413572,-3.000000,0.001374,0.011337,-5.240391,sysid
13380000,0.000000,0.424875,-3.000000,0.001102,0.011416,-5.276270,sysid
13400000,0.000000,0.436136,-3.000000,0.000688,0.011535,-5.330731,sysid
13420000,0.000000,0.447352,-3.000000,0.000426,0.011625,-5.367486,sysid
13440000,0.000000,0.458523,-3.000000,0.000056,0.011781,-5.423293,sysid
13460000,0.000000,0.469648,-3.000000,-0.000178,0.011933,-5.461007,sysid
13480000,0.000000,0.480726,-3.000000,-0.000526,0.012199,-5.518254,sysid
13500000,0.000000,0.491755,-3.000000,-0.000751,0.012421,-5.556910,sysid
13520000,0.000000,0.502734,-3.000000,-0.001037,0.012826,-5.615681,sysid
13540000,0.000000,0.513662,-3.000000,-0.001212,0.013131,-5.655320,sysid
13560000,0.000000,0.524539,-3.000000,-0.001468,0.013619,-5.715609,sysid
13580000,0.000000,0.535362,-3.000000,-0.001631,0.013973,-5.756276,sysid
13600000,0.000000,0.546132,-3.000000,-0.001863,0.014552,-5.817978,sysid
13620000,0.000000,0.556846,-3.000000,-0.001973,0.014968,-5.859648,sysid
13640000,0.000000,0.567504,-3.000000,-0.002115,0.015665,-5.922794,sysid
13660000,0.000000,0.578104,-3.000000,-0.002174,0.016188,-5.965360,sysid
13680000,0.000000,0.588647,-3.000000,-0.002251,0.017058,-6.029839,sysid
13700000,0.000000,0.599129,-3.000000,-0.002284,0.017711,-6.073282,sysid
13720000,0.000000,0.609551,-3.000000,-0.002312,0.018832,-6.139101,sysid
13740000,0.000000,0.619912,-3.000000,-0.002327,0.019651,-6.183387,sysid
13760000,0.000000,0.630210,-3.000000,-0.002380,0.021031,-6.250505,sysid
13780000,0.000000,0.640444,-3.000000,-0.002423,0.022036,-6.295671,sysid
13800000,0.000000,0.650613,-3.000000,-0.002496,0.023674,-6.364049,sysid
13820000,0.000000,0.660717,-3.000000,-0.002548,0.024862,-6.410108,sysid
13840000,0.000000,0.670754,-3.000000,-0.002642,0.026742,-6.479809,sysid
13860000,0.000000,0.680723,-3.000000,-0.002700,0.028089,-6.526721,sysid
13880000,0.000000,0.690623,-3.000000,-0.002767,0.030242,-6.597773,sysid
13900000,0.000000,0.700454,-3.000000,-0.002826,0.031737,-6.645552,sysid
13920000,0.000000,0.710213,-3.000000,-0.002862,0.034126,-6.717988,sysid
13940000,0.000000,0.719901,-3.000000,-0.002889,0.035765,-6.766645,sysid
13960000,0.000000,0.729516,-3.000000,-0.002884,0.038376,-6.840335,sysid
13980000,0.000000,0.739058,-3.000000,-0.002886,0.040168,-6.889882,sysid
14000000,0.000000,0.748525,-3.000000,-0.002877,0.042939,-6.964828,sysid
14020000,0.000000,0.757916,-3.000000,-0.002869,0.044894,-7.015258,sysid
14040000,0.000000,0.767230,-3.000000,-0.002864,0.047944,-7.091508,sysid
14060000,0.000000,0.776467,-3.000000,-0.002842,0.050094,-7.142780,sysid
14080000,0.000000,0.785626,-3.000000,-0.002786,0.053514,-7.220364,sysid
14100000,0.000000,0.794705,-3.000000,-0.002745,0.055878,-7.272495,sysid
14120000,0.000000,0.803704,-3.000000,-0.002642,0.059656,-7.351377,sysid
14140000,0.000000,0.812621,-3.000000,-0.002556,0.062256,-7.404372,sysid
14160000,0.000000,0.821457,-3.000000,-0.002404,0.066280,-7.484473,sysid
14180000,0.000000,0.830209,-3.000000,-0.002243,0.069066,-7.538338,sysid
14200000,0.000000,0.838877,-3.000000,-0.001986,0.073303,-7.619690,sysid
14220000,0.000000,0.847461,-3.000000,-0.001759,0.076191,-7.674381,sysid
14240000,0.000000,0.855959,-3.000000,-0.001394,0.080587,-7.756995,sysid
14260000,0.000000,0.864371,-3.000000,-0.001127,0.083565,-7.812473,sysid
14280000,0.000000,0.872695,-3.000000,-0.000667,0.088121,-7.896293,sysid
14300000,0.000000,0.880931,-3.000000,-0.000335,0.091204,-7.952565,sysid
14320000,0.000000,0.889078,-3.000000,0.000232,0.095907,-8.037628,sysid
14340000,0.000000,0.897135,-3.000000,0.000634,0.099103,-8.094743,sysid
14360000,0.000000,0.905102,-3.000000,0.001266,0.103982,-8.181023,sysid
14380000,0.000000,0.912977,-3.000000,0.001703,0.107325,-8.238968,sysid
14400000,0.000000,0.920759,-3.000000,0.002358,0.112419,-8.326471,sysid
14420000,0.000000,0.928449,-3.000000,0.002798,0.115890,-8.385205,sysid
14440000,0.000000,0.936045,-3.000000,0.003463,0.121224,-8.473904,sysid
14460000,0.000000,0.943546,-3.000000,0.003898,0.124837,-8.533430,sysid
14480000,0.000000,0.950952,-3.000000,0.004582,0.130367,-8.623289,sysid
14500000,0.000000,0.958262,-3.000000,0.005044,0.134107,-8.683582,sysid
14520000,0.000000,0.965475,-3.000000,0.005784,0.139826,-8.774564,sysid
14540000,0.000000,0.972590,-3.000000,0.006279,0.143682,-8.835594,sysid
14560000,0.000000,0.979607,-3.000000,0.007030,0.149536,-8.927710,sysid
14580000,0.000000,0.986525,-3.000000,0.007575,0.153484,-8.989463,sysid
14600000,0.000000,0.993344,-3.000000,0.008384,0.159453,-9.082694,sysid
14620000,0.000000,1.000062,-3.000000,0.008942,0.163462,-9.145244,sysid
14640000,0.000000,1.006678,-3.000000,0.009798,0.169541,-9.239642,sysid
14660000,0.000000,1.013194,-3.000000,0.010357,0.173634,-9.302974,sysid
14680000,0.000000,1.019606,-3.000000,0.011206,0.179825,-9.398540,sysid
14700000,0.000000,1.025916,-3.000000,0.011758,0.183992,-9.462665,sysid
14720000,0.000000,1.032122,-3.000000,0.012566,0.190305,-9.559473,sysid
14740000,0.000000,1.038224,-3.000000,0.013078,0.194540,-9.624431,sysid
14760000,0.000000,1.044221,-3.000000,0.013817,0.200942,-9.722494,sysid
14780000,0.000000,1.050112,-3.000000,0.014335,0.205202,-9.788225,sysid
14800000,0.000000,1.055897,-3.000000,0.015092,0.211630,-9.887410,sysid
14820000,0.000000,1.061575,-3.000000,0.015600,0.215926,-9.953901,sysid
14840000,0.000000,1.067147,-3.000000,0.016348,0.222421,-10.054203,sysid
14860000,0.000000,1.072610,-3.000000,0.016825,0.226788,-10.121453,sysid
14880000,0.000000,1.077965,-3.000000,0.017481,0.233330,-10.222876,sysid
