timestamp_us,profile,ref_x,ref_y,ref_z,ref_vx,ref_vy,ref_vz,ref_ax,ref_ay,ref_az,ref_yaw,ref_yawspeed,pos_x,pos_y,pos_z,vx,vy,vz,ax,ay,az,roll,pitch,yaw,p,q,r,att_sp_q0,att_sp_q1,att_sp_q2,att_sp_q3,att_sp_thrust_x,att_sp_thrust_y,att_sp_thrust_z,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_sp_thrust_x,rate_sp_thrust_y,rate_sp_thrust_z,motor_0,motor_1,motor_2,motor_3,esc_0_rpm,esc_1_rpm,esc_2_rpm,esc_3_rpm,esc_0_voltage,esc_1_voltage,esc_2_voltage,esc_3_voltage,esc_0_current,esc_1_current,esc_2_current,esc_3_current,hover_thrust,controller
12408000,drag_z,0.000000,0.000000,-3.000000,0.000000,0.000000,0.141369,0.000000,0.000000,14.136867,0.000000,0.000000,-0.010731,0.002322,-3.427020,0.000460,-0.003753,-1.818118,0.004271,-0.006939,-0.425666,0.002265,-0.000369,1.546715,0.009572,-0.001699,-0.127036,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001000,-0.009080,-0.001353,-3.490659,0.000000,0.000000,-0.001000,0.000711,0.000000,0.001139,0.002150,150.000000,150.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12428000,drag_z,0.000000,0.000000,-2.994345,0.000000,0.000000,0.282719,0.000000,0.000000,-0.001809,0.000000,0.000000,-0.010770,0.002420,-3.456273,0.000683,-0.003723,-1.824991,-0.000576,0.001993,-0.420881,0.002428,-0.000416,1.544099,0.009221,-0.002874,-0.126517,1.000000,-0.000010,-0.000791,-0.000000,0.000000,0.000000,-0.001000,-0.015761,-0.003378,-3.490659,0.000000,0.000000,-0.001000,0.001516,0.000000,0.000328,0.002156,151.000000,150.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12448000,drag_z,0.000000,0.000000,-2.988691,0.000000,0.000000,0.282665,0.000000,0.000000,-0.003614,0.000000,0.000000,-0.010829,0.002574,-3.500346,0.000938,-0.003707,-1.835212,0.001128,-0.006149,-0.412255,0.002574,-0.000454,1.541492,0.008407,-0.002386,-0.126638,1.000000,-0.000008,-0.000791,-0.000000,0.000000,0.000000,-0.001000,-0.016356,-0.003426,-3.490659,0.000000,0.000000,-0.001000,0.001321,0.000000,0.000324,0.002356,151.000000,150.000000,150.000000,152.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12468000,drag_z,0.000000,0.000000,-2.983039,0.000000,0.000000,0.282575,0.000000,0.000000,-0.005427,0.000000,0.000000,-0.010869,0.002715,-3.529838,0.001127,-0.003622,-1.841910,0.001593,-0.001984,-0.412149,0.002704,-0.000513,1.538906,0.007619,-0.003675,-0.126522,1.000000,-0.000040,-0.000771,-0.000000,0.000000,0.000000,-0.001000,-0.016851,-0.003074,-3.490659,0.000000,0.000000,-0.001000,0.002000,0.000000,0.000248,0.001752,151.000000,150.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12488000,drag_z,0.000000,0.000000,-2.977388,0.000000,0.000000,0.282448,0.000000,0.000000,-0.007232,0.000000,0.000000,-0.010917,0.002934,-3.574267,0.001477,-0.003488,-1.852078,0.001239,-0.008501,-0.416748,0.002822,-0.000545,1.536330,0.006129,-0.001518,-0.126677,1.000000,-0.000081,-0.000748,-0.000000,0.000000,0.000000,-0.001000,-0.017275,-0.002728,-3.490659,0.000000,0.000000,-0.001000,0.000647,0.000000,0.000644,0.002709,150.000000,150.000000,150.000000,152.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12508000,drag_z,0.000000,0.000000,-2.971741,0.000000,0.000000,0.282286,0.000000,0.000000,-0.009029,0.000000,0.000000,-0.010947,0.003100,-3.604014,0.001604,-0.003396,-1.858884,0.000519,-0.001188,-0.424574,0.002912,-0.000589,1.533771,0.004849,-0.002680,-0.126018,1.000000,-0.000110,-0.000744,-0.000000,0.000000,0.000000,-0.001000,-0.017721,-0.002451,-3.490659,0.000000,0.000000,-0.001000,0.001478,0.000000,0.000604,0.001918,151.000000,150.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12528000,drag_z,0.000000,0.000000,-2.966097,0.000000,0.000000,0.282087,0.000000,0.000000,-0.010845,0.000000,0.000000,-0.011009,0.003403,-3.648810,0.001827,-0.003203,-1.868921,0.005414,-0.009023,-0.415747,0.002979,-0.000644,1.531227,0.003986,-0.003211,-0.126127,1.000000,-0.000168,-0.000733,-0.000000,0.000000,0.000000,-0.001000,-0.018116,-0.001856,-3.490659,0.000000,0.000000,-0.001000,0.001913,0.000000,0.000467,0.001620,151.000000,150.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12548000,drag_z,0.000000,0.000000,-2.960457,0.000000,0.000000,0.281852,0.000000,0.000000,-0.012638,0.000000,0.000000,-0.011051,0.003615,-3.678798,0.001897,-0.003107,-1.875693,0.005399,-0.007364,-0.425710,0.003030,-0.000711,1.528706,0.003285,-0.003333,-0.126605,1.000000,-0.000194,-0.000747,-0.000000,0.000000,0.000000,-0.001000,-0.018562,-0.001518,-3.490659,0.000000,0.000000,-0.001000,0.001977,0.000000,0.000340,0.001684,151.000000,150.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12568000,drag_z,0.000000,0.000000,-2.954823,0.000000,0.000000,0.281581,0.000000,0.000000,-0.014454,0.000000,0.000000,-0.011135,0.003985,-3.724035,0.001965,-0.002766,-1.885851,-0.001633,0.003211,-0.420876,0.003073,-0.000760,1.526199,0.002183,-0.002125,-0.126007,1.000000,-0.000298,-0.000772,-0.000000,0.000000,0.000000,-0.001000,-0.019259,-0.000672,-3.490659,0.000000,0.000000,-0.001000,0.001516,0.000000,0.000485,0.001999,151.000000,150.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12588000,drag_z,0.000000,0.000000,-2.949194,0.000000,0.000000,0.281274,0.000000,0.000000,-0.016233,0.000000,0.000000,-0.011197,0.004234,-3.754330,0.002053,-0.002650,-1.892657,0.001638,-0.006681,-0.425899,0.003094,-0.000804,1.523698,0.000902,-0.002024,-0.125379,1.000000,-0.000317,-0.000765,-0.000000,0.000000,0.000000,-0.001000,-0.019388,-0.000368,-3.490659,0.000000,0.000000,-0.001000,0.001716,0.000000,0.000598,0.001686,151.000000,150.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
