timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
12708000,0.000000,0.000000,-3.000000,0.046913,-0.000163,-3.799830,sysid
12728000,0.000000,0.000000,-2.994345,0.046054,-0.000515,-3.844952,sysid
12748000,0.000000,0.000000,-2.988691,0.045484,-0.000756,-3.875167,sysid
12768000,0.000000,0.000000,-2.983039,0.044558,-0.001122,-3.920770,sysid
12788000,0.000000,0.000000,-2.977388,0.043925,-0.001378,-3.951318,sysid
12808000,0.000000,0.000000,-2.971741,0.042955,-0.001783,-3.997355,sysid
12828000,0.000000,0.000000,-2.966097,0.042238,-0.002070,-4.028205,sysid
12848000,0.000000,0.000000,-2.960457,0.041163,-0.002498,-4.074662,sysid
12868000,0.000000,0.000000,-2.954823,0.040414,-0.002772,-4.105765,sysid
12888000,0.000000,0.000000,-2.949194,0.039297,-0.003190,-4.152590,sysid
12908000,0.000000,0.000000,-2.943572,0.038520,-0.003467,-4.183927,sysid
12928000,0.000000,0.000000,-2.937957,0.037289,-0.003885,-4.231094,sysid
12948000,0.000000,0.000000,-2.932350,0.036466,-0.004177,-4.262650,sysid
12968000,0.000000,0.000000,-2.926751,0.035088,-0.004569,-4.310154,sysid
12988000,0.000000,0.000000,-2.921162,0.034156,-0.004828,-4.341958,sysid
13008000,0.000000,0.000000,-2.915583,0.032743,-0.005220,-4.389842,sysid
13028000,0.000000,0.000000,-2.910015,0.031727,-0.005460,-4.421886,sysid
13048000,0.000000,0.000000,-2.904459,0.030207,-0.005817,-4.470129,sysid
13068000,0.000000,0.000000,-2.898914,0.029160,-0.006040,-4.502416,sysid
13088000,0.000000,0.000000,-2.893383,0.027564,-0.006332,-4.551044,sysid
13108000,0.000000,0.000000,-2.887865,0.026512,-0.006519,-4.583583,sysid
13128000,0.000000,0.000000,-2.882361,0.024883,-0.006728,-4.632583,sysid
13148000,0.000000,0.000000,-2.876873,0.023841,-0.006890,-4.665363,sysid
13168000,0.000000,0.000000,-2.871400,0.022224,-0.007098,-4.714712,sysid
13188000,0.000000,0.000000,-2.865944,0.021144,-0.007236,-4.747738,sysid
13208000,0.000000,0.000000,-2.860504,0.019524,-0.007450,-4.797464,sysid
13228000,0.000000,0.000000,-2.855083,0.018443,-0.007576,-4.830753,sysid
13248000,0.000000,0.000000,-2.849680,0.016844,-0.007754,-4.880875,sysid
13268000,0.000000,0.000000,-2.844297,0.015768,-0.007842,-4.914428,sysid
13288000,0.000000,0.000000,-2.838933,0.014157,-0.007968,-4.964967,sysid
13308000,0.000000,0.000000,-2.833590,0.013093,-0.008050,-4.998909,sysid
13328000,0.000000,0.000000,-2.828269,0.011478,-0.008126,-5.050358,sysid
13348000,0.000000,0.000000,-2.822969,0.010404,-0.008159,-5.085023,sysid
13368000,0.000000,0.000000,-2.817692,0.008799,-0.008183,-5.137578,sysid
13388000,0.000000,0.000000,-2.812438,0.007711,-0.008169,-5.173015,sysid
13408000,0.000000,0.000000,-2.807208,0.006108,-0.008160,-5.226722,sysid
13428000,0.000000,0.000000,-2.802003,0.005001,-0.008109,-5.262947,sysid
13448000,0.000000,0.000000,-2.796823,0.003347,-0.008002,-5.317883,sysid
13468000,0.000000,0.000000,-2.791669,0.002233,-0.007883,-5.354937,sysid
13488000,0.000000,0.000000,-2.786542,0.000558,-0.007629,-5.411167,sysid
13508000,0.000000,0.000000,-2.781442,-0.000545,-0.007446,-5.449051,sysid
13528000,0.000000,0.000000,-2.776370,-0.002201,-0.007014,-5.506516,sysid
13548000,0.000000,0.000000,-2.771327,-0.003298,-0.006681,-5.545233,sysid
13568000,0.000000,0.000000,-2.766313,-0.004931,-0.006131,-5.603918,sysid
13588000,0.000000,0.000000,-2.761329,-0.006047,-0.005679,-5.643491,sysid
13608000,0.000000,0.000000,-2.756375,-0.007701,-0.004960,-5.703443,sysid
13628000,0.000000,0.000000,-2.751452,-0.008808,-0.004417,-5.743834,sysid
13648000,0.000000,0.000000,-2.746562,-0.010484,-0.003538,-5.805069,sysid
13668000,0.000000,0.000000,-2.741704,-0.011587,-0.002939,-5.846292,sysid
13688000,0.000000,0.000000,-2.736878,-0.013240,-0.001963,-5.908773,sysid
13708000,0.000000,0.000000,-2.732087,-0.014328,-0.001297,-5.950825,sysid
13728000,0.000000,0.000000,-2.727329,-0.015948,-0.000140,-6.014581,sysid
13748000,0.000000,0.000000,-2.722607,-0.017008,0.000665,-6.057485,sysid
13768000,0.000000,0.000000,-2.717920,-0.018569,0.001922,-6.122438,sysid
13788000,0.000000,0.000000,-2.713269,-0.019573,0.002828,-6.166173,sysid
13808000,0.000000,0.000000,-2.708655,-0.021020,0.004181,-6.232345,sysid
13828000,0.000000,0.000000,-2.704078,-0.021938,0.005099,-6.276864,sysid
13848000,0.000000,0.000000,-2.699539,-0.023237,0.006486,-6.344238,sysid
13868000,0.000000,0.000000,-2.695038,-0.024058,0.007400,-6.389529,sysid
13888000,0.000000,0.000000,-2.690576,-0.025167,0.008774,-6.458067,sysid
13908000,0.000000,0.000000,-2.686154,-0.025857,0.009673,-6.504147,sysid
13928000,0.000000,0.000000,-2.681772,-0.026815,0.010996,-6.573851,sysid
13948000,0.000000,0.000000,-2.677431,-0.027420,0.011856,-6.620707,sysid
13968000,0.000000,0.000000,-2.673131,-0.028275,0.013116,-6.691567,sysid
13988000,0.000000,0.000000,-2.668873,-0.028838,0.013956,-6.739225,sysid
14008000,0.000000,0.000000,-2.664657,-0.029630,0.015186,-6.811284,sysid
14028000,0.000000,0.000000,-2.660484,-0.030126,0.015990,-6.859736,sysid
14048000,0.000000,0.000000,-2.656355,-0.030797,0.017171,-6.933010,sysid
14068000,0.000000,0.000000,-2.652269,-0.031203,0.017940,-6.982231,sysid
14088000,0.000000,0.000000,-2.648228,-0.031726,0.019095,-7.056724,sysid
14108000,0.000000,0.000000,-2.644232,-0.032029,0.019859,-7.106791,sysid
14128000,0.000000,0.000000,-2.640282,-0.032411,0.021003,-7.182496,sysid
14148000,0.000000,0.000000,-2.636377,-0.032584,0.021777,-7.233439,sysid
14168000,0.000000,0.000000,-2.632519,-0.032795,0.022924,-7.310429,sysid
14188000,0.000000,0.000000,-2.628708,-0.032897,0.023699,-7.362184,sysid
14208000,0.000000,0.000000,-2.624944,-0.033014,0.024861,-7.440362,sysid
14228000,0.000000,0.000000,-2.621229,-0.033076,0.025662,-7.492863,sysid
14248000,0.000000,0.000000,-2.617562,-0.033175,0.026876,-7.572192,sysid
14268000,0.000000,0.000000,-2.613944,-0.033225,0.027675,-7.625448,sysid
14288000,0.000000,0.000000,-2.610375,-0.033302,0.028886,-7.705892,sysid
14308000,0.000000,0.000000,-2.606856,-0.033333,0.029677,-7.759884,sysid
14328000,0.000000,0.000000,-2.603387,-0.033347,0.030839,-7.841421,sysid
14348000,0.000000,0.000000,-2.599969,-0.033368,0.031630,-7.896163,sysid
14368000,0.000000,0.000000,-2.596602,-0.033377,0.032780,-7.978870,sysid
14388000,0.000000,0.000000,-2.593287,-0.033374,0.033528,-8.034428,sysid
14408000,0.000000,0.000000,-2.590024,-0.033344,0.034622,-8.118407,sysid
14428000,0.000000,0.000000,-2.586813,-0.033312,0.035328,-8.174788,sysid
14448000,0.000000,0.000000,-2.583655,-0.033230,0.036363,-8.259998,sysid
14468000,0.000000,0.000000,-2.580551,-0.033162,0.037028,-8.317163,sysid
14488000,0.000000,0.000000,-2.577500,-0.032984,0.038010,-8.403514,sysid
14508000,0.000000,0.000000,-2.574503,-0.032857,0.038626,-8.461461,sysid
14528000,0.000000,0.000000,-2.571560,-0.032653,0.039492,-8.548956,sysid
14548000,0.000000,0.000000,-2.568672,-0.032515,0.039995,-8.607672,sysid
14568000,0.000000,0.000000,-2.565840,-0.032335,0.040701,-8.696311,sysid
14588000,0.000000,0.000000,-2.563063,-0.032255,0.041128,-8.755795,sysid
14608000,0.000000,0.000000,-2.560342,-0.032193,0.041748,-8.845621,sysid
14628000,0.000000,0.000000,-2.557677,-0.032163,0.042145,-8.905888,sysid
14648000,0.000000,0.000000,-2.555069,-0.032174,0.042743,-8.996899,sysid
14668000,0.000000,0.000000,-2.552517,-0.032188,0.043122,-9.057978,sysid
14688000,0.000000,0.000000,-2.550023,-0.032214,0.043662,-9.150202,sysid
14708000,0.000000,0.000000,-2.547586,-0.032254,0.043967,-9.212128,sysid
14728000,0.000000,0.000000,-2.545208,-0.032297,0.044404,-9.305559,sysid
14748000,0.000000,0.000000,-2.542887,-0.032353,0.044632,-9.368295,sysid
14768000,0.000000,0.000000,-2.540625,-0.032419,0.044936,-9.462985,sysid
14788000,0.000000,0.000000,-2.538422,-0.032453,0.045100,-9.526534,sysid
