timestamp_us,profile,ref_x,ref_y,ref_z,ref_vx,ref_vy,ref_vz,ref_ax,ref_ay,ref_az,ref_yaw,ref_yawspeed,pos_x,pos_y,pos_z,vx,vy,vz,ax,ay,az,roll,pitch,yaw,p,q,r,att_sp_q0,att_sp_q1,att_sp_q2,att_sp_q3,att_sp_thrust_x,att_sp_thrust_y,att_sp_thrust_z,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_sp_thrust_x,rate_sp_thrust_y,rate_sp_thrust_z,motor_0,motor_1,motor_2,motor_3,esc_0_rpm,esc_1_rpm,esc_2_rpm,esc_3_rpm,esc_0_voltage,esc_1_voltage,esc_2_voltage,esc_3_voltage,esc_0_current,esc_1_current,esc_2_current,esc_3_current,hover_thrust,controller
12460000,motor_step,0.000000,0.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008130,-0.004119,-3.504054,0.011212,0.008134,-1.855223,0.000182,0.007441,-0.405340,0.008907,0.001198,1.534403,0.017678,-0.010731,-0.132024,0.999999,-0.001359,-0.000623,-0.000001,0.000000,0.000000,-0.001000,-0.040868,-0.006769,-3.490659,0.000000,0.000000,-0.001000,0.002000,0.000000,0.000406,0.001594,151.000000,150.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12480000,motor_step,0.000000,0.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007099,-0.003741,-3.548198,0.010036,0.008389,-1.864875,-0.003574,0.007207,-0.409033,0.009303,0.000988,1.531952,0.017342,-0.010528,-0.132717,1.000000,-0.000688,0.000522,0.000000,0.000000,0.000000,-0.001000,-0.032222,-0.008403,-3.490659,0.000000,0.000000,-0.001000,0.001859,0.000000,0.000067,0.002074,151.000000,150.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12500000,motor_step,0.000000,0.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006378,-0.003538,-3.577717,0.009346,0.008580,-1.871455,-0.000737,0.007456,-0.419631,0.009672,0.000784,1.529493,0.016335,-0.010861,-0.132765,1.000000,-0.000715,0.000417,0.000000,0.000000,0.000000,-0.001000,-0.034753,-0.008128,-3.490659,0.000000,0.000000,-0.001000,0.002000,0.000000,0.000211,0.001789,151.000000,150.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12520000,motor_step,0.000000,0.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005287,-0.003255,-3.622178,0.008359,0.008769,-1.881181,0.002698,0.003961,-0.415790,0.010019,0.000593,1.527103,0.015567,-0.010295,-0.131792,1.000000,-0.000727,0.000260,0.000000,0.000000,0.000000,-0.001000,-0.037539,-0.008136,-3.490659,0.000000,0.000000,-0.001000,0.001937,0.000000,0.000030,0.002033,151.000000,150.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12540000,motor_step,0.000000,0.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004519,-0.003092,-3.651908,0.007593,0.008856,-1.887624,-0.005146,0.006490,-0.409740,0.010344,0.000390,1.524735,0.013709,-0.010915,-0.131777,1.000000,-0.000744,0.000112,0.000000,0.000000,0.000000,-0.001000,-0.040205,-0.008014,-3.490659,0.000000,0.000000,-0.001000,0.002000,0.000000,0.000170,0.001830,151.000000,150.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12560000,motor_step,0.000000,0.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003326,-0.002912,-3.696603,0.006434,0.008865,-1.897403,-0.000578,-0.002048,-0.417531,0.010633,0.000216,1.522367,0.012192,-0.009761,-0.131848,1.000000,-0.000682,-0.000109,-0.000000,0.000000,0.000000,-0.001000,-0.043017,-0.008754,-3.490659,0.000000,0.000000,-0.001000,0.001673,0.000000,0.000156,0.002172,151.000000,150.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12580000,motor_step,0.000000,0.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002535,-0.002813,-3.726515,0.005611,0.008885,-1.903829,-0.007570,0.006285,-0.412361,0.010890,0.000049,1.520021,0.010679,-0.009447,-0.130726,1.000000,-0.000701,-0.000273,-0.000000,0.000000,0.000000,-0.001000,-0.045501,-0.008724,-3.490659,0.000000,0.000000,-0.001000,0.001194,0.000000,0.000384,0.002422,151.000000,150.000000,150.000000,152.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12600000,motor_step,0.000000,0.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001284,-0.002743,-3.771471,0.004505,0.008816,-1.913614,-0.007341,0.012676,-0.420956,0.011134,-0.000126,1.517728,0.010352,-0.010340,-0.131098,1.000000,-0.000647,-0.000455,-0.000000,0.000000,0.000000,-0.001000,-0.047869,-0.009249,-3.490659,0.000000,0.000000,-0.001000,0.001691,0.000000,0.000147,0.002162,151.000000,150.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12620000,motor_step,0.000000,0.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000483,-0.002694,-3.801606,0.003815,0.008701,-1.920144,-0.002982,0.001313,-0.417090,0.011351,-0.000291,1.515445,0.008874,-0.010092,-0.129818,1.000000,-0.000633,-0.000587,-0.000000,0.000000,0.000000,-0.001000,-0.049855,-0.009348,-3.490659,0.000000,0.000000,-0.001000,0.001557,0.000000,0.000211,0.002232,151.000000,150.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12640000,motor_step,0.000000,0.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000737,-0.002674,-3.846922,0.002715,0.008587,-1.929825,0.001525,0.003632,-0.417707,0.011540,-0.000451,1.513145,0.007211,-0.010493,-0.130424,1.000000,-0.000587,-0.000761,-0.000000,0.000000,0.000000,-0.001000,-0.051952,-0.009781,-3.490659,0.000000,0.000000,-0.001000,0.001977,0.000000,0.000011,0.002012,151.000000,150.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
