timestamp_us,profile,ref_x,ref_y,ref_z,ref_vx,ref_vy,ref_vz,ref_ax,ref_ay,ref_az,ref_yaw,ref_yawspeed,pos_x,pos_y,pos_z,vx,vy,vz,ax,ay,az,roll,pitch,yaw,p,q,r,att_sp_q0,att_sp_q1,att_sp_q2,att_sp_q3,att_sp_thrust_x,att_sp_thrust_y,att_sp_thrust_z,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_sp_thrust_x,rate_sp_thrust_y,rate_sp_thrust_z,motor_0,motor_1,motor_2,motor_3,esc_0_rpm,esc_1_rpm,esc_2_rpm,esc_3_rpm,esc_0_voltage,esc_1_voltage,esc_2_voltage,esc_3_voltage,esc_0_current,esc_1_current,esc_2_current,esc_3_current,hover_thrust,controller
12564000,motor_step,0.000000,0.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033792,0.002704,-3.440234,0.018012,-0.006617,-1.807725,-0.007493,-0.003446,-0.379882,0.020565,-0.001401,1.479575,0.032848,-0.014834,-0.174911,0.999998,0.000793,0.001708,-0.000001,0.000000,0.000000,-0.001000,-0.065271,-0.019343,-3.490659,0.000000,0.000000,-0.001000,0.000166,0.000000,0.000873,0.002961,150.000000,150.000000,150.000000,152.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12584000,motor_step,0.000000,0.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034108,0.002706,-3.469080,0.017983,-0.006548,-1.813858,-0.002131,-0.002714,-0.382568,0.021225,-0.001619,1.476601,0.033005,-0.014645,-0.174333,0.999991,0.000442,0.004283,-0.000002,0.000000,0.000000,-0.001000,-0.050071,-0.008778,-3.490659,0.000000,0.000000,-0.001000,0.002000,0.000000,0.000822,0.001178,151.000000,150.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12604000,motor_step,0.000000,0.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034533,0.002719,-3.512468,0.017799,-0.006518,-1.822957,-0.007002,-0.003647,-0.381597,0.021884,-0.001851,1.473604,0.032207,-0.016158,-0.175551,0.999991,0.000435,0.004266,-0.000002,0.000000,0.000000,-0.001000,-0.053043,-0.008522,-3.490659,0.000000,0.000000,-0.001000,0.002000,0.000000,0.001694,0.000306,151.000000,150.000000,151.000000,150.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12624000,motor_step,0.000000,0.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034799,0.002734,-3.541501,0.017616,-0.006386,-1.829131,-0.009775,-0.001256,-0.393030,0.022509,-0.002070,1.470597,0.030671,-0.015136,-0.174929,0.999991,0.000395,0.004238,-0.000002,0.000000,0.000000,-0.001000,-0.056051,-0.008067,-3.490659,0.000000,0.000000,-0.001000,0.002000,0.000000,0.001297,0.000703,151.000000,150.000000,151.000000,150.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12644000,motor_step,0.000000,0.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035173,0.002766,-3.585216,0.017446,-0.006162,-1.838267,-0.007509,0.000445,-0.381832,0.023136,-0.002281,1.467674,0.031021,-0.014080,-0.173448,0.999991,0.000344,0.004239,-0.000001,0.000000,0.000000,-0.001000,-0.058880,-0.007481,-3.490659,0.000000,0.000000,-0.001000,0.002000,0.000000,0.000819,0.001181,151.000000,150.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12664000,motor_step,0.000000,0.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035440,0.002766,-3.614429,0.017255,-0.006049,-1.844408,-0.012438,0.000802,-0.394144,0.023747,-0.002472,1.464839,0.029686,-0.013461,-0.173935,0.999991,0.000330,0.004219,-0.000001,0.000000,0.000000,-0.001000,-0.061663,-0.007289,-3.490659,0.000000,0.000000,-0.001000,0.002000,0.000000,0.001057,0.000943,151.000000,150.000000,150.000000,150.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12684000,motor_step,0.000000,0.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035823,0.002752,-3.658434,0.017184,-0.005898,-1.853551,0.006661,0.001213,-0.391228,0.024344,-0.002661,1.461970,0.030570,-0.013265,-0.173655,0.999991,0.000317,0.004262,-0.000001,0.000000,0.000000,-0.001000,-0.063927,-0.006892,-3.490659,0.000000,0.000000,-0.001000,0.002000,0.000000,0.000962,0.001038,151.000000,150.000000,150.000000,150.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12704000,motor_step,0.000000,0.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.036062,0.002729,-3.687886,0.017048,-0.005836,-1.859633,-0.010706,0.000084,-0.385770,0.024935,-0.002832,1.459082,0.029073,-0.012926,-0.173591,0.999991,0.000321,0.004241,-0.000001,0.000000,0.000000,-0.001000,-0.066567,-0.006885,-3.490659,0.000000,0.000000,-0.001000,0.002000,0.000000,0.001152,0.000848,151.000000,150.000000,150.000000,150.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12724000,motor_step,0.000000,0.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.036415,0.002688,-3.732223,0.016879,-0.005815,-1.868720,-0.004211,-0.004689,-0.386390,0.025507,-0.002972,1.456330,0.028227,-0.011004,-0.173115,0.999991,0.000347,0.004239,-0.000001,0.000000,0.000000,-0.001000,-0.068889,-0.007078,-3.490659,0.000000,0.000000,-0.001000,0.002000,0.000000,0.000394,0.001606,151.000000,150.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12744000,motor_step,0.000000,0.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.036647,0.002658,-3.761903,0.016823,-0.005819,-1.874766,-0.002080,0.001871,-0.385892,0.026077,-0.003123,1.453581,0.028295,-0.012140,-0.173786,0.999991,0.000359,0.004256,-0.000002,0.000000,0.000000,-0.001000,-0.071119,-0.007057,-3.490659,0.000000,0.000000,-0.001000,0.002000,0.000000,0.001060,0.000940,151.000000,150.000000,150.000000,150.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
