timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
12716000,0.045239,0.124884,-3.164310,0.062620,0.152136,-3.842801,px4_default
12736000,0.045245,0.124893,-3.163702,0.063839,0.154264,-3.889749,px4_default
12756000,0.045302,0.124976,-3.162913,0.064626,0.155675,-3.921151,px4_default
12776000,0.045430,0.125163,-3.162033,0.065765,0.157782,-3.968414,px4_default
12796000,0.045808,0.125715,-3.161644,0.066471,0.159280,-4.000017,px4_default
12816000,0.046490,0.126708,-3.161588,0.067496,0.161514,-4.047583,px4_default
12836000,0.047466,0.128129,-3.161804,0.068138,0.163060,-4.079388,px4_default
12856000,0.048958,0.130299,-3.162386,0.069093,0.165456,-4.127284,px4_default
12876000,0.051081,0.133384,-3.163265,0.069726,0.167038,-4.159340,px4_default
12896000,0.053720,0.137214,-3.164336,0.070659,0.169454,-4.207592,px4_default
12916000,0.057064,0.142064,-3.165623,0.071272,0.171040,-4.239882,px4_default
12936000,0.061437,0.148395,-3.167089,0.072235,0.173567,-4.288511,px4_default
12956000,0.066544,0.155779,-3.168620,0.072883,0.175254,-4.321047,px4_default
12976000,0.072466,0.164331,-3.170205,0.073856,0.177788,-4.370030,px4_default
12996000,0.079883,0.175014,-3.171745,0.074504,0.179585,-4.402781,px4_default
13016000,0.088247,0.187041,-3.173183,0.075475,0.182258,-4.452109,px4_default
13036000,0.097564,0.200416,-3.174468,0.076130,0.184088,-4.485127,px4_default
13056000,0.108464,0.216029,-3.174896,0.077122,0.186898,-4.534886,px4_default
13076000,0.120351,0.233051,-3.174454,0.077785,0.188751,-4.568202,px4_default
13096000,0.133147,0.251380,-3.173306,0.078763,0.191727,-4.618465,px4_default
13116000,0.147403,0.271834,-3.171361,0.079422,0.193738,-4.652147,px4_default
13136000,0.162979,0.294209,-3.169049,0.080415,0.196795,-4.702896,px4_default
13156000,0.179570,0.318048,-3.166493,0.081069,0.198841,-4.736886,px4_default
13176000,0.197507,0.343811,-3.163667,0.082040,0.201918,-4.788103,px4_default
