timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
12696000,-0.008878,-0.002171,-3.129022,0.003693,-0.000719,-3.779543,px4_default
12716000,-0.008881,-0.002169,-3.127863,0.004445,-0.000418,-3.824527,px4_default
12736000,-0.008950,-0.002119,-3.125897,0.004926,-0.000185,-3.854639,px4_default
12756000,-0.009223,-0.001921,-3.124381,0.005622,0.000191,-3.899973,px4_default
12776000,-0.009836,-0.001475,-3.123415,0.006067,0.000477,-3.930294,px4_default
12796000,-0.010923,-0.000683,-3.122982,0.006734,0.000970,-3.975905,px4_default
12816000,-0.012621,0.000551,-3.123056,0.007171,0.001319,-4.006422,px4_default
12836000,-0.015066,0.002321,-3.123607,0.007811,0.001941,-4.052292,px4_default
12856000,-0.018393,0.004719,-3.124596,0.008221,0.002382,-4.082984,px4_default
12876000,-0.022740,0.007836,-3.125980,0.008813,0.003087,-4.129192,px4_default
12896000,-0.028242,0.011760,-3.127707,0.009181,0.003624,-4.160079,px4_default
12916000,-0.035036,0.016576,-3.129721,0.009703,0.004460,-4.206574,px4_default
12936000,-0.043257,0.022368,-3.131959,0.010023,0.005057,-4.237660,px4_default
12956000,-0.053038,0.029217,-3.134353,0.010481,0.006024,-4.284408,px4_default
12976000,-0.064515,0.037201,-3.136827,0.010774,0.006692,-4.315683,px4_default
12996000,-0.077818,0.046395,-3.139299,0.011217,0.007732,-4.362720,px4_default
13016000,-0.093173,0.056935,-3.141682,0.011505,0.008426,-4.394217,px4_default
13036000,-0.110704,0.068884,-3.143878,0.011970,0.009460,-4.441552,px4_default
13056000,-0.130473,0.082272,-3.145790,0.012293,0.010147,-4.473242,px4_default
13076000,-0.152600,0.097165,-3.147311,0.012798,0.011176,-4.520972,px4_default
13096000,-0.177101,0.113563,-3.148199,0.013141,0.011816,-4.552931,px4_default
13116000,-0.203809,0.131346,-3.148029,0.013656,0.012753,-4.601077,px4_default
13136000,-0.232715,0.150471,-3.146683,0.014007,0.013346,-4.633311,px4_default
13156000,-0.264034,0.171007,-3.144430,0.014565,0.014147,-4.681852,px4_default
13176000,-0.297943,0.192977,-3.141548,0.014943,0.014653,-4.714345,px4_default
13196000,-0.334424,0.216292,-3.138096,0.015511,0.015266,-4.763288,px4_default
13216000,-0.373351,0.240814,-3.133999,0.015875,0.015637,-4.796058,px4_default
13236000,-0.414623,0.266452,-3.129250,0.016402,0.016141,-4.845421,px4_default
13256000,-0.458259,0.293216,-3.124042,0.016734,0.016425,-4.878483,px4_default
13276000,-0.504254,0.321128,-3.118577,0.017230,0.016860,-4.928349,px4_default
13296000,-0.552508,0.350167,-3.112922,0.017553,0.017114,-4.961938,px4_default
13316000,-0.602951,0.380329,-3.107142,0.018031,0.017474,-5.012894,px4_default
13336000,-0.655571,0.411644,-3.101302,0.018347,0.017682,-5.047279,px4_default
13356000,-0.710129,0.444023,-3.095469,0.018808,0.017962,-5.099532,px4_default
13376000,-0.766519,0.477441,-3.089700,0.019107,0.018142,-5.134773,px4_default
13396000,-0.824638,0.511879,-3.084046,0.019526,0.018343,-5.188389,px4_default
13416000,-0.884378,0.547314,-3.078558,0.019786,0.018460,-5.224586,px4_default
13436000,-0.945625,0.583720,-3.073284,0.020136,0.018611,-5.279552,px4_default
13456000,-1.008274,0.621075,-3.068268,0.020325,0.018674,-5.316685,px4_default
13476000,-1.072213,0.659356,-3.063551,0.020550,0.018767,-5.372995,px4_default
13496000,-1.137326,0.698535,-3.059171,0.020647,0.018814,-5.410996,px4_default
13516000,-1.203503,0.738590,-3.055163,0.020703,0.018863,-5.468698,px4_default
13536000,-1.270631,0.779495,-3.051559,0.020689,0.018903,-5.507571,px4_default
13556000,-1.338593,0.821223,-3.048389,0.020549,0.018977,-5.566566,px4_default
13576000,-1.407272,0.863747,-3.045677,0.020393,0.019042,-5.606298,px4_default
13596000,-1.476556,0.907044,-3.043446,0.020022,0.019146,-5.666688,px4_default
13616000,-1.546327,0.951084,-3.041714,0.019684,0.019246,-5.707384,px4_default
13636000,-1.616480,0.995880,-3.040529,0.019036,0.019447,-5.769076,px4_default
13656000,-1.686870,1.041373,-3.039884,0.018477,0.019605,-5.810701,px4_default
13676000,-1.757379,1.087524,-3.039778,0.017504,0.019925,-5.873737,px4_default
13696000,-1.827894,1.134310,-3.040216,0.016739,0.020200,-5.916219,px4_default
13716000,-1.898276,1.181689,-3.041201,0.015405,0.020733,-5.980581,px4_default
13736000,-1.968415,1.229636,-3.042731,0.014420,0.021161,-6.023863,px4_default
13756000,-2.038199,1.278128,-3.044803,0.012717,0.021972,-6.089449,px4_default
13776000,-2.107527,1.327147,-3.047409,0.011475,0.022599,-6.133558,px4_default
13796000,-2.176265,1.376653,-3.050538,0.009449,0.023674,-6.200293,px4_default
13816000,-2.244280,1.426604,-3.054175,0.007999,0.024477,-6.245151,px4_default
13836000,-2.311482,1.476991,-3.058304,0.005670,0.025818,-6.312983,px4_default
13856000,-2.377757,1.527787,-3.062905,0.003996,0.026823,-6.358594,px4_default
13876000,-2.442956,1.578936,-3.067951,0.001360,0.028482,-6.427529,px4_default
13896000,-2.506990,1.630425,-3.073411,-0.000488,0.029706,-6.473862,px4_default
13916000,-2.569762,1.682222,-3.079200,-0.003407,0.031723,-6.543895,px4_default
13936000,-2.631158,1.734319,-3.085296,-0.005438,0.033180,-6.590915,px4_default
13956000,-2.690953,1.786631,-3.091729,-0.008623,0.035623,-6.662047,px4_default
13976000,-2.749147,1.839127,-3.098449,-0.010840,0.037386,-6.709820,px4_default
13996000,-2.805644,1.891764,-3.105420,-0.014302,0.040241,-6.782008,px4_default
14016000,-2.860375,1.944517,-3.112586,-0.016715,0.042317,-6.830463,px4_default
14036000,-2.913219,1.997311,-3.119900,-0.020444,0.045632,-6.903623,px4_default
14056000,-2.964084,2.050103,-3.127332,-0.023009,0.047990,-6.952726,px4_default
14076000,-3.012900,2.102866,-3.134851,-0.026941,0.051746,-7.026858,px4_default
14096000,-3.059604,2.155540,-3.142340,-0.029617,0.054416,-7.076610,px4_default
14116000,-3.104147,2.208076,-3.149691,-0.033706,0.058694,-7.151720,px4_default
14136000,-3.146448,2.260457,-3.156913,-0.036477,0.061708,-7.202108,px4_default
14156000,-3.186408,2.312672,-3.164050,-0.040704,0.066547,-7.278174,px4_default
14176000,-3.223982,2.364709,-3.171060,-0.043565,0.069960,-7.329202,px4_default
14196000,-3.259106,2.416524,-3.177882,-0.047908,0.075365,-7.406221,px4_default
14216000,-3.291747,2.468117,-3.184483,-0.050866,0.079194,-7.457920,px4_default
14236000,-3.321853,2.519469,-3.190840,-0.055334,0.085204,-7.535964,px4_default
14256000,-3.349214,2.570566,-3.196904,-0.058334,0.089413,-7.588349,px4_default
14276000,-3.373938,2.621366,-3.202635,-0.062821,0.096034,-7.667468,px4_default
14296000,-3.396015,2.671883,-3.208013,-0.065801,0.100633,-7.720549,px4_default
14316000,-3.415416,2.722114,-3.213018,-0.070191,0.107909,-7.800762,px4_default
14336000,-3.432122,2.772069,-3.217629,-0.073098,0.112923,-7.854542,px4_default
14356000,-3.446107,2.821713,-3.221817,-0.077383,0.120807,-7.935757,px4_default
14376000,-3.457363,2.871041,-3.225561,-0.080180,0.126269,-7.990212,px4_default
14396000,-3.465860,2.920070,-3.228882,-0.084276,0.134772,-8.072367,px4_default
14416000,-3.471566,2.968789,-3.231795,-0.086893,0.140643,-8.127462,px4_default
14436000,-3.474480,3.017190,-3.234285,-0.090705,0.149721,-8.210588,px4_default
14456000,-3.474610,3.065288,-3.236333,-0.093137,0.155969,-8.266334,px4_default
14476000,-3.471948,3.113088,-3.237940,-0.096607,0.165647,-8.350434,px4_default
14496000,-3.466480,3.160592,-3.239117,-0.098822,0.172280,-8.406825,px4_default
14516000,-3.458212,3.207767,-3.239861,-0.101897,0.182542,-8.491886,px4_default
14536000,-3.447142,3.254628,-3.240179,-0.103835,0.189557,-8.548931,px4_default
14556000,-3.433228,3.301170,-3.239980,-0.106564,0.200333,-8.635005,px4_default
14576000,-3.416477,3.347399,-3.239273,-0.108200,0.207696,-8.692708,px4_default
14596000,-3.396961,3.393256,-3.238168,-0.110501,0.218966,-8.779758,px4_default
14616000,-3.374706,3.438737,-3.236669,-0.111824,0.226642,-8.838094,px4_default
14636000,-3.349724,3.483837,-3.234789,-0.113583,0.238377,-8.926104,px4_default
14656000,-3.322043,3.528510,-3.232560,-0.114564,0.246346,-8.985125,px4_default
14676000,-3.291684,3.572740,-3.230003,-0.115717,0.258471,-9.074195,px4_default
14696000,-3.258700,3.616518,-3.227095,-0.116318,0.266676,-9.133913,px4_default
14716000,-3.223133,3.659834,-3.223824,-0.116836,0.279198,-9.224031,px4_default
14736000,-3.185005,3.702644,-3.220242,-0.116998,0.287663,-9.284442,px4_default
14756000,-3.144342,3.744891,-3.216411,-0.116961,0.300532,-9.375547,px4_default
14776000,-3.101177,3.786549,-3.212356,-0.116676,0.309218,-9.436611,px4_default
14796000,-3.055547,3.827584,-3.208098,-0.116002,0.322387,-9.528650,px4_default
14816000,-3.007486,3.867966,-3.203659,-0.115356,0.331238,-9.590305,px4_default
14836000,-2.957073,3.907630,-3.199064,-0.114102,0.344639,-9.683239,px4_default
14856000,-2.904320,3.946550,-3.194333,-0.113099,0.353663,-9.745487,px4_default
14876000,-2.849135,3.984637,-3.189481,-0.111292,0.367300,-9.839309,px4_default
14896000,-2.791700,4.021922,-3.184535,-0.109912,0.376473,-9.902148,px4_default
14916000,-2.732106,4.058340,-3.179520,-0.107511,0.390259,-9.996861,px4_default
14936000,-2.670384,4.093864,-3.174452,-0.105711,0.399483,-10.060293,px4_default
14956000,-2.606559,4.128476,-3.169348,-0.102705,0.413368,-10.155883,px4_default
14976000,-2.540710,4.162120,-3.164227,-0.100457,0.422621,-10.219896,px4_default
14996000,-2.472888,4.194764,-3.159107,-0.096803,0.436574,-10.316334,px4_default
15016000,-2.403131,4.226377,-3.154002,-0.094153,0.445888,-10.380896,px4_default
15036000,-2.331475,4.256933,-3.148927,-0.089846,0.459894,-10.478172,px4_default
15056000,-2.257980,4.286392,-3.143897,-0.086775,0.469288,-10.543323,px4_default
15076000,-2.182724,4.314711,-3.138928,-0.081775,0.483376,-10.641529,px4_default
15096000,-2.105738,4.341864,-3.134032,-0.078224,0.492813,-10.707319,px4_default
15116000,-2.027069,4.367820,-3.129221,-0.072566,0.507032,-10.806486,px4_default
15136000,-1.946746,4.392553,-3.124506,-0.068549,0.516561,-10.872912,px4_default
