timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
12740000,0.005817,-0.005702,-3.095994,-0.000404,-0.004829,-3.759026,px4_default
12760000,0.005814,-0.005714,-3.094568,-0.001017,-0.004731,-3.805267,px4_default
12780000,0.005809,-0.005731,-3.093121,-0.001419,-0.004675,-3.836219,px4_default
12800000,0.005740,-0.005991,-3.090653,-0.002003,-0.004647,-3.882957,px4_default
12820000,0.005663,-0.006282,-3.088215,-0.002374,-0.004644,-3.914245,px4_default
12840000,0.005394,-0.007304,-3.086489,-0.002902,-0.004659,-3.961371,px4_default
12860000,0.005106,-0.008402,-3.084803,-0.003216,-0.004671,-3.992958,px4_default
12880000,0.004513,-0.010692,-3.083753,-0.003673,-0.004703,-4.040456,px4_default
12900000,0.003885,-0.013125,-3.082749,-0.003907,-0.004727,-4.072270,px4_default
12920000,0.002850,-0.017188,-3.082279,-0.004220,-0.004768,-4.120151,px4_default
12940000,0.001759,-0.021480,-3.081854,-0.004386,-0.004790,-4.152206,px4_default
12960000,0.000170,-0.027816,-3.081836,-0.004600,-0.004846,-4.200472,px4_default
12980000,-0.001498,-0.034487,-3.081854,-0.004726,-0.004894,-4.232751,px4_default
13000000,-0.003742,-0.043590,-3.082130,-0.004864,-0.004971,-4.281381,px4_default
13020000,-0.006093,-0.053151,-3.082421,-0.004930,-0.005042,-4.313911,px4_default
13040000,-0.009090,-0.065504,-3.082801,-0.004990,-0.005178,-4.362868,px4_default
13060000,-0.012222,-0.078456,-3.083161,-0.005003,-0.005286,-4.395652,px4_default
13080000,-0.016058,-0.094532,-3.083422,-0.005024,-0.005455,-4.444976,px4_default
13100000,-0.020043,-0.111283,-3.083487,-0.005043,-0.005572,-4.477973,px4_default
13120000,-0.024697,-0.131091,-3.082659,-0.005092,-0.005764,-4.527652,px4_default
13140000,-0.029494,-0.151635,-3.081490,-0.005131,-0.005902,-4.560873,px4_default
13160000,-0.034863,-0.175100,-3.078968,-0.005213,-0.006154,-4.610859,px4_default
13180000,-0.040374,-0.199449,-3.076249,-0.005273,-0.006342,-4.644278,px4_default
13200000,-0.046385,-0.226910,-3.072836,-0.005398,-0.006652,-4.694582,px4_default
13220000,-0.052519,-0.255345,-3.069364,-0.005493,-0.006865,-4.728230,px4_default
13240000,-0.059037,-0.286839,-3.065704,-0.005650,-0.007202,-4.778869,px4_default
13260000,-0.065639,-0.319317,-3.062019,-0.005763,-0.007437,-4.812781,px4_default
13280000,-0.072480,-0.354575,-3.058263,-0.005921,-0.007794,-4.863821,px4_default
13300000,-0.079360,-0.390813,-3.054517,-0.006018,-0.008027,-4.897986,px4_default
13320000,-0.086337,-0.429553,-3.050799,-0.006167,-0.008347,-4.949534,px4_default
13340000,-0.093301,-0.469259,-3.047131,-0.006273,-0.008552,-4.984187,px4_default
13360000,-0.100230,-0.511198,-3.043575,-0.006463,-0.008784,-5.036746,px4_default
13380000,-0.107085,-0.554074,-3.040106,-0.006591,-0.008922,-5.072134,px4_default
13400000,-0.113783,-0.598919,-3.036819,-0.006787,-0.009104,-5.125743,px4_default
13420000,-0.120337,-0.644657,-3.033657,-0.006916,-0.009211,-5.161849,px4_default
13440000,-0.126618,-0.692113,-3.030735,-0.007100,-0.009359,-5.216566,px4_default
13460000,-0.132683,-0.740406,-3.027972,-0.007257,-0.009424,-5.253499,px4_default
13480000,-0.138365,-0.790172,-3.025492,-0.007513,-0.009560,-5.309468,px4_default
13500000,-0.143750,-0.840703,-3.023207,-0.007710,-0.009672,-5.347206,px4_default
13520000,-0.148653,-0.892470,-3.021235,-0.008008,-0.009875,-5.404478,px4_default
13540000,-0.153171,-0.944919,-3.019489,-0.008204,-0.010047,-5.443053,px4_default
13560000,-0.157116,-0.998381,-3.018075,-0.008489,-0.010342,-5.501679,px4_default
13580000,-0.160581,-1.052425,-3.016913,-0.008671,-0.010580,-5.541200,px4_default
13600000,-0.163391,-1.107265,-3.016094,-0.008929,-0.011006,-5.601129,px4_default
13620000,-0.165621,-1.162576,-3.015547,-0.009106,-0.011358,-5.641548,px4_default
13640000,-0.167121,-1.218479,-3.015342,-0.009341,-0.012008,-5.702724,px4_default
13660000,-0.167937,-1.274729,-3.015423,-0.009464,-0.012528,-5.743908,px4_default
13680000,-0.167957,-1.331379,-3.015835,-0.009600,-0.013455,-5.806198,px4_default
13700000,-0.167181,-1.388235,-3.016540,-0.009660,-0.014199,-5.848088,px4_default
13720000,-0.165551,-1.445311,-3.017560,-0.009689,-0.015494,-5.911488,px4_default
13740000,-0.163008,-1.502440,-3.018874,-0.009661,-0.016458,-5.954096,px4_default
13760000,-0.159561,-1.559621,-3.020479,-0.009556,-0.018104,-6.018567,px4_default
13780000,-0.155078,-1.616699,-3.022372,-0.009432,-0.019318,-6.061885,px4_default
13800000,-0.149650,-1.673684,-3.024525,-0.009158,-0.021316,-6.127364,px4_default
13820000,-0.143059,-1.730372,-3.026946,-0.008970,-0.022771,-6.171402,px4_default
13840000,-0.135491,-1.786812,-3.029592,-0.008612,-0.025117,-6.237963,px4_default
13860000,-0.126630,-1.842773,-3.032477,-0.008336,-0.026807,-6.282703,px4_default
13880000,-0.116767,-1.898364,-3.035548,-0.007893,-0.029532,-6.350382,px4_default
13900000,-0.105477,-1.953274,-3.038818,-0.007541,-0.031461,-6.395837,px4_default
13920000,-0.093168,-2.007699,-3.042230,-0.006943,-0.034548,-6.464611,px4_default
13940000,-0.079295,-2.061230,-3.045790,-0.006446,-0.036698,-6.510753,px4_default
13960000,-0.064395,-2.114174,-3.049447,-0.005620,-0.040094,-6.580509,px4_default
13980000,-0.047788,-2.166007,-3.053186,-0.004983,-0.042458,-6.627343,px4_default
14000000,-0.030150,-2.217169,-3.056977,-0.003890,-0.046149,-6.698089,px4_default
14020000,-0.010669,-2.266968,-3.060771,-0.003056,-0.048732,-6.745617,px4_default
14040000,0.009832,-2.316012,-3.064567,-0.001636,-0.052752,-6.817396,px4_default
14060000,0.032323,-2.363456,-3.068276,-0.000588,-0.055547,-6.865599,px4_default
14080000,0.055821,-2.410090,-3.071940,0.001139,-0.059909,-6.938416,px4_default
14100000,0.081454,-2.454868,-3.075409,0.002416,-0.062903,-6.987283,px4_default
14120000,0.108073,-2.498789,-3.078789,0.004455,-0.067566,-7.061170,px4_default
14140000,0.136977,-2.540596,-3.081851,0.005945,-0.070753,-7.110771,px4_default
14160000,0.166842,-2.581516,-3.084780,0.008386,-0.075645,-7.185690,px4_default
14180000,0.199010,-2.620155,-3.087017,0.010152,-0.078986,-7.235983,px4_default
14200000,0.232054,-2.657928,-3.088991,0.013043,-0.084060,-7.311885,px4_default
14220000,0.267497,-2.693238,-3.090180,0.015132,-0.087525,-7.362845,px4_default
14240000,0.303762,-2.727704,-3.091101,0.018535,-0.092780,-7.439780,px4_default
14260000,0.342588,-2.759467,-3.091450,0.020995,-0.096323,-7.491416,px4_default
14280000,0.382203,-2.790397,-3.091623,0.024951,-0.101676,-7.569396,px4_default
14300000,0.424391,-2.818555,-3.091130,0.027760,-0.105270,-7.621722,px4_default
14320000,0.467285,-2.845950,-3.090455,0.032277,-0.110714,-7.700781,px4_default
14340000,0.512709,-2.870525,-3.089009,0.035482,-0.114360,-7.753855,px4_default
14360000,0.558744,-2.894416,-3.087376,0.040579,-0.119846,-7.834012,px4_default
