timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
12704000,-0.034113,-0.034073,-3.168081,-0.032535,-0.026275,-3.839510,px4_default
12724000,-0.034113,-0.034073,-3.168081,-0.032469,-0.025756,-3.869827,px4_default
12744000,-0.034113,-0.034073,-3.168081,-0.032388,-0.024973,-3.915504,px4_default
12764000,-0.034114,-0.034073,-3.168081,-0.032344,-0.024442,-3.946115,px4_default
12784000,-0.034117,-0.034073,-3.168080,-0.032299,-0.023656,-3.992216,px4_default
12804000,-0.034125,-0.034073,-3.168077,-0.032268,-0.023124,-4.023084,px4_default
12824000,-0.034141,-0.034073,-3.168072,-0.032240,-0.022343,-4.069565,px4_default
12844000,-0.034173,-0.034074,-3.168062,-0.032242,-0.021838,-4.100665,px4_default
12864000,-0.034228,-0.034075,-3.168045,-0.032224,-0.021106,-4.147528,px4_default
12884000,-0.034315,-0.034076,-3.168018,-0.032238,-0.020638,-4.178879,px4_default
12904000,-0.034447,-0.034078,-3.167976,-0.032234,-0.019957,-4.226081,px4_default
12924000,-0.034636,-0.034081,-3.167917,-0.032230,-0.019526,-4.257648,px4_default
12944000,-0.034900,-0.034085,-3.167834,-0.032220,-0.018917,-4.305146,px4_default
12964000,-0.035256,-0.034091,-3.167722,-0.032182,-0.018515,-4.336923,px4_default
12984000,-0.035724,-0.034099,-3.167573,-0.032145,-0.017928,-4.384754,px4_default
13004000,-0.036326,-0.034108,-3.167383,-0.032123,-0.017541,-4.416747,px4_default
13024000,-0.037086,-0.034120,-3.167142,-0.032101,-0.016959,-4.464906,px4_default
13044000,-0.038029,-0.034134,-3.166843,-0.032099,-0.016579,-4.497125,px4_default
13064000,-0.039181,-0.034152,-3.166477,-0.032054,-0.015958,-4.545655,px4_default
13084000,-0.040570,-0.034173,-3.166035,-0.032016,-0.015536,-4.578115,px4_default
13104000,-0.042226,-0.034198,-3.165507,-0.031946,-0.014892,-4.626965,px4_default
13124000,-0.044178,-0.034227,-3.164883,-0.031863,-0.014435,-4.659678,px4_default
13144000,-0.046457,-0.034261,-3.164154,-0.031765,-0.013772,-4.708921,px4_default
13164000,-0.049095,-0.034300,-3.163309,-0.031654,-0.013305,-4.741897,px4_default
13184000,-0.052123,-0.034345,-3.162337,-0.031488,-0.012605,-4.791555,px4_default
13204000,-0.055572,-0.034396,-3.161227,-0.031360,-0.012124,-4.824809,px4_default
13224000,-0.059474,-0.034453,-3.159970,-0.031097,-0.011427,-4.874906,px4_default
13244000,-0.063861,-0.034517,-3.158553,-0.030909,-0.010977,-4.908432,px4_default
13264000,-0.068764,-0.034589,-3.156967,-0.030531,-0.010354,-4.958902,px4_default
13284000,-0.074212,-0.034669,-3.155201,-0.030262,-0.009965,-4.992687,px4_default
13304000,-0.080235,-0.034757,-3.153245,-0.029832,-0.009421,-5.043804,px4_default
13324000,-0.086862,-0.034855,-3.151088,-0.029509,-0.009082,-5.078220,px4_default
13344000,-0.094119,-0.034962,-3.148720,-0.029020,-0.008598,-5.130416,px4_default
13364000,-0.102033,-0.035080,-3.146133,-0.028664,-0.008300,-5.165595,px4_default
13384000,-0.110628,-0.035209,-3.143317,-0.028104,-0.007903,-5.218998,px4_default
13404000,-0.119926,-0.035350,-3.140263,-0.027740,-0.007663,-5.254999,px4_default
13424000,-0.129950,-0.035504,-3.136963,-0.027224,-0.007363,-5.309621,px4_default
13444000,-0.140717,-0.035672,-3.133410,-0.026909,-0.007193,-5.346427,px4_default
13464000,-0.152247,-0.035854,-3.129595,-0.026519,-0.006992,-5.402296,px4_default
13484000,-0.164553,-0.036051,-3.125514,-0.026318,-0.006885,-5.439951,px4_default
13504000,-0.177649,-0.036266,-3.121159,-0.026103,-0.006766,-5.497049,px4_default
13524000,-0.191546,-0.036498,-3.116525,-0.026034,-0.006781,-5.535575,px4_default
13544000,-0.206254,-0.036750,-3.111609,-0.026046,-0.006870,-5.593956,px4_default
13564000,-0.221778,-0.037023,-3.106404,-0.026151,-0.006993,-5.633304,px4_default
13584000,-0.238124,-0.037319,-3.100909,-0.026398,-0.007273,-5.692928,px4_default
13604000,-0.255293,-0.037639,-3.095120,-0.026642,-0.007501,-5.733057,px4_default
13624000,-0.273285,-0.037985,-3.089036,-0.027157,-0.007946,-5.793898,px4_default
13644000,-0.292098,-0.038359,-3.082654,-0.027589,-0.008294,-5.834863,px4_default
13664000,-0.311728,-0.038765,-3.075975,-0.028375,-0.008891,-5.896919,px4_default
13684000,-0.332167,-0.039203,-3.068999,-0.028995,-0.009358,-5.938704,px4_default
13704000,-0.353406,-0.039678,-3.061726,-0.030061,-0.010166,-6.002004,px4_default
13724000,-0.375435,-0.040192,-3.054158,-0.030837,-0.010803,-6.044648,px4_default
13744000,-0.398241,-0.040748,-3.046296,-0.032165,-0.011822,-6.109192,px4_default
13764000,-0.421808,-0.041349,-3.038144,-0.033172,-0.012562,-6.152635,px4_default
13784000,-0.446120,-0.042000,-3.029706,-0.034834,-0.013756,-6.218407,px4_default
13804000,-0.471158,-0.042705,-3.020983,-0.036043,-0.014592,-6.262630,px4_default
13824000,-0.496901,-0.043467,-3.011983,-0.038031,-0.015921,-6.329588,px4_default
13844000,-0.523328,-0.044291,-3.002710,-0.039477,-0.016821,-6.374607,px4_default
13864000,-0.550415,-0.045183,-2.993169,-0.041755,-0.018209,-6.442698,px4_default
13884000,-0.578137,-0.046147,-2.983366,-0.043404,-0.019100,-6.488523,px4_default
13904000,-0.606469,-0.047189,-2.973310,-0.046055,-0.020445,-6.557785,px4_default
13924000,-0.635382,-0.048315,-2.963006,-0.047927,-0.021335,-6.604319,px4_default
13944000,-0.664849,-0.049531,-2.952462,-0.050876,-0.022691,-6.674644,px4_default
13964000,-0.694840,-0.050844,-2.941688,-0.052976,-0.023572,-6.721891,px4_default
13984000,-0.725325,-0.052261,-2.930690,-0.056330,-0.024893,-6.793308,px4_default
14004000,-0.756273,-0.053789,-2.919478,-0.058661,-0.025810,-6.841267,px4_default
14024000,-0.787654,-0.055436,-2.908061,-0.062471,-0.027189,-6.913785,px4_default
14044000,-0.819435,-0.057211,-2.896449,-0.065161,-0.028126,-6.962494,px4_default
14064000,-0.851584,-0.059121,-2.884651,-0.069378,-0.029586,-7.036106,px4_default
14084000,-0.884069,-0.061176,-2.872678,-0.072401,-0.030525,-7.085568,px4_default
14104000,-0.916857,-0.063385,-2.860539,-0.077151,-0.031970,-7.160283,px4_default
14124000,-0.949916,-0.065757,-2.848246,-0.080499,-0.032914,-7.210464,px4_default
14144000,-0.983214,-0.068304,-2.835808,-0.085719,-0.034317,-7.286293,px4_default
14164000,-1.016718,-0.071036,-2.823237,-0.089339,-0.035284,-7.337193,px4_default
14184000,-1.050396,-0.073964,-2.810543,-0.095078,-0.036671,-7.414171,px4_default
14204000,-1.084218,-0.077098,-2.797737,-0.098998,-0.037693,-7.465814,px4_default
14224000,-1.118151,-0.080451,-2.784831,-0.105142,-0.039167,-7.543852,px4_default
14244000,-1.152166,-0.084035,-2.771836,-0.109405,-0.040180,-7.596229,px4_default
14264000,-1.186231,-0.087863,-2.758762,-0.116036,-0.041756,-7.675320,px4_default
14284000,-1.220319,-0.091947,-2.745621,-0.120657,-0.042777,-7.728445,px4_default
14304000,-1.254400,-0.096301,-2.732424,-0.127815,-0.044390,-7.808655,px4_default
14324000,-1.288446,-0.100938,-2.719183,-0.132781,-0.045480,-7.862500,px4_default
