timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
36100000,0.000000,0.000000,-5.000000,-0.039973,-0.028412,-4.956390,px4_default
36120000,-0.000003,0.000002,-4.998841,-0.041403,-0.027888,-4.958649,px4_default
36140000,-0.000071,0.000051,-4.996875,-0.042568,-0.027373,-4.960677,px4_default
36160000,-0.000345,0.000250,-4.995358,-0.044776,-0.026270,-4.964492,px4_default
36180000,-0.000958,0.000696,-4.994392,-0.046609,-0.025285,-4.967504,px4_default
36200000,-0.002045,0.001488,-4.993959,-0.050165,-0.023265,-4.972769,px4_default
36220000,-0.003743,0.002722,-4.994034,-0.053105,-0.021511,-4.976693,px4_default
36240000,-0.006188,0.004492,-4.994585,-0.058497,-0.018187,-4.983128,px4_default
36260000,-0.009515,0.006890,-4.995574,-0.062978,-0.015321,-4.987783,px4_default
36280000,-0.013862,0.010007,-4.996958,-0.070944,-0.010160,-4.995094,px4_default
36300000,-0.019364,0.013931,-4.998685,-0.077235,-0.006019,-5.000134,px4_default
36320000,-0.026158,0.018747,-5.000699,-0.088332,0.001350,-5.007696,px4_default
36340000,-0.034379,0.024539,-5.002937,-0.096736,0.006948,-5.012511,px4_default
36360000,-0.044160,0.031387,-5.005331,-0.111216,0.016723,-5.018870,px4_default
36380000,-0.055637,0.039371,-5.007804,-0.121728,0.023800,-5.022360,px4_default
36400000,-0.068940,0.048566,-5.010277,-0.139580,0.035999,-5.026570,px4_default
36420000,-0.084295,0.059105,-5.012660,-0.152792,0.045064,-5.028819,px4_default
36440000,-0.101826,0.071055,-5.014856,-0.174663,0.060111,-5.031306,px4_default
36460000,-0.121594,0.084443,-5.016768,-0.190850,0.071363,-5.032109,px4_default
36480000,-0.143722,0.099336,-5.018289,-0.217199,0.089657,-5.032272,px4_default
36500000,-0.168223,0.115734,-5.019176,-0.236408,0.103029,-5.031709,px4_default
36520000,-0.194931,0.133517,-5.019007,-0.267902,0.124993,-5.029930,px4_default
36540000,-0.223837,0.152642,-5.017661,-0.290552,0.140720,-5.028249,px4_default
36560000,-0.255156,0.173177,-5.015408,-0.327710,0.166606,-5.024766,px4_default
36580000,-0.289065,0.195148,-5.012527,-0.354363,0.185107,-5.021943,px4_default
36600000,-0.325546,0.218463,-5.009074,-0.397204,0.214727,-5.016993,px4_default
36620000,-0.364473,0.242984,-5.004977,-0.428099,0.236081,-5.013108,px4_default
36640000,-0.405745,0.268623,-5.000227,-0.476859,0.269471,-5.006840,px4_default
36660000,-0.449381,0.295387,-4.995020,-0.511722,0.293371,-5.002181,px4_default
36680000,-0.495376,0.323299,-4.989554,-0.566810,0.330962,-4.994775,px4_default
36700000,-0.543630,0.352338,-4.983900,-0.605629,0.357438,-4.989528,px4_default
36720000,-0.594073,0.382500,-4.978120,-0.666970,0.399286,-4.981270,px4_default
36740000,-0.646692,0.413815,-4.972280,-0.709667,0.428331,-4.975598,px4_default
36760000,-0.701251,0.446194,-4.966447,-0.776975,0.474454,-4.966757,px4_default
