timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
35808000,0.000000,0.000000,-5.000000,-0.031129,-0.037088,-4.989936,px4_default
35828000,-0.000003,-0.000012,-4.998574,-0.031453,-0.036549,-4.990702,px4_default
35848000,-0.000008,-0.000029,-4.997128,-0.031717,-0.036347,-4.991465,px4_default
35868000,-0.000077,-0.000289,-4.994660,-0.032249,-0.036398,-4.993090,px4_default
35888000,-0.000154,-0.000580,-4.992222,-0.032702,-0.036736,-4.994445,px4_default
35908000,-0.000423,-0.001602,-4.990495,-0.033556,-0.037805,-4.996890,px4_default
35928000,-0.000711,-0.002700,-4.988809,-0.034275,-0.039043,-4.998825,px4_default
35948000,-0.001304,-0.004990,-4.987759,-0.035562,-0.041714,-5.002045,px4_default
35968000,-0.001932,-0.007423,-4.986756,-0.036587,-0.044165,-5.004382,px4_default
35988000,-0.002968,-0.011486,-4.986285,-0.038383,-0.048913,-5.008030,px4_default
36008000,-0.004059,-0.015778,-4.985860,-0.039781,-0.052907,-5.010395,px4_default
36028000,-0.005647,-0.022114,-4.985842,-0.042228,-0.060218,-5.013418,px4_default
36048000,-0.007315,-0.028785,-4.985860,-0.044052,-0.065917,-5.014967,px4_default
36068000,-0.009560,-0.037888,-4.986136,-0.047226,-0.076169,-5.016652,px4_default
36088000,-0.011910,-0.047449,-4.986427,-0.049604,-0.084095,-5.017419,px4_default
36108000,-0.014907,-0.059802,-4.986807,-0.053563,-0.097789,-5.018228,px4_default
36128000,-0.018039,-0.072754,-4.987167,-0.056573,-0.108433,-5.018502,px4_default
36148000,-0.021876,-0.088830,-4.987429,-0.061486,-0.126419,-5.018618,px4_default
36168000,-0.025860,-0.105581,-4.987493,-0.065074,-0.139951,-5.018451,px4_default
36188000,-0.030514,-0.125389,-4.986665,-0.070919,-0.162718,-5.017845,px4_default
36208000,-0.035312,-0.145933,-4.985497,-0.075060,-0.179409,-5.017194,px4_default
36228000,-0.040681,-0.169398,-4.982975,-0.081848,-0.207405,-5.015872,px4_default
36248000,-0.046192,-0.193747,-4.980256,-0.086525,-0.227469,-5.014760,px4_default
36268000,-0.052202,-0.221208,-4.976843,-0.091549,-0.249301,-5.013456,px4_default
36288000,-0.058336,-0.249642,-4.973370,-0.099387,-0.284544,-5.011133,px4_default
36308000,-0.064854,-0.281137,-4.969710,-0.104879,-0.309933,-5.009332,px4_default
36328000,-0.071457,-0.313615,-4.966026,-0.113466,-0.350892,-5.006331,px4_default
36348000,-0.078297,-0.348873,-4.962269,-0.119316,-0.379872,-5.004143,px4_default
36368000,-0.085177,-0.385111,-4.958523,-0.128455,-0.426556,-5.000550,px4_default
36388000,-0.092155,-0.423851,-4.954806,-0.134651,-0.459476,-4.998010,px4_default
36408000,-0.099118,-0.463557,-4.951137,-0.144048,-0.511498,-4.993983,px4_default
36428000,-0.106048,-0.505496,-4.947581,-0.150498,-0.548309,-4.991144,px4_default
36448000,-0.112903,-0.548371,-4.944112,-0.160139,-0.605863,-4.986759,px4_default
36468000,-0.119600,-0.593217,-4.940825,-0.166606,-0.645999,-4.983776,px4_default
36488000,-0.126155,-0.638955,-4.937664,-0.176303,-0.708774,-4.979279,px4_default
36508000,-0.132436,-0.686411,-4.934741,-0.182641,-0.752039,-4.976307,px4_default
36528000,-0.138500,-0.734704,-4.931979,-0.192053,-0.819259,-4.971946,px4_default
36548000,-0.144183,-0.784470,-4.929499,-0.198135,-0.865344,-4.969135,px4_default
36568000,-0.149567,-0.835001,-4.927214,-0.207128,-0.936887,-4.965079,px4_default
36588000,-0.154471,-0.886768,-4.925242,-0.212860,-0.985772,-4.962531,px4_default
36608000,-0.158988,-0.939217,-4.923495,-0.221004,-1.060763,-4.958994,px4_default
36628000,-0.162933,-0.992679,-4.922082,-0.226182,-1.112030,-4.956859,px4_default
36648000,-0.166398,-1.046723,-4.920920,-0.233311,-1.190181,-4.954063,px4_default
36668000,-0.169208,-1.101563,-4.920101,-0.237658,-1.243192,-4.952506,px4_default
36688000,-0.171438,-1.156874,-4.919553,-0.243468,-1.323861,-4.950628,px4_default
36708000,-0.172939,-1.212777,-4.919348,-0.246779,-1.378197,-4.949698,px4_default
36728000,-0.173754,-1.269027,-4.919429,-0.250949,-1.460666,-4.948884,px4_default
36748000,-0.173774,-1.325677,-4.919841,-0.253057,-1.516016,-4.948740,px4_default
36768000,-0.172998,-1.382533,-4.920547,-0.255142,-1.599448,-4.949099,px4_default
36788000,-0.171368,-1.439609,-4.921566,-0.255757,-1.655215,-4.949739,px4_default
36808000,-0.168825,-1.496738,-4.922881,-0.255452,-1.738914,-4.951298,px4_default
36828000,-0.165379,-1.553919,-4.924486,-0.254331,-1.794665,-4.952799,px4_default
36848000,-0.160896,-1.610997,-4.926378,-0.251267,-1.877964,-4.955594,px4_default
36868000,-0.155467,-1.667982,-4.928531,-0.248252,-1.933193,-4.957823,px4_default
36888000,-0.148876,-1.724670,-4.930952,-0.242212,-2.015317,-4.961729,px4_default
36908000,-0.141309,-1.781110,-4.933598,-0.237141,-2.069575,-4.964629,px4_default
36928000,-0.132448,-1.837071,-4.936483,-0.227801,-2.149909,-4.969506,px4_default
36948000,-0.122585,-1.892662,-4.939554,-0.220457,-2.202722,-4.973011,px4_default
36968000,-0.111295,-1.947572,-4.942824,-0.207658,-2.280748,-4.978589,px4_default
36988000,-0.098986,-2.001997,-4.946237,-0.197799,-2.331706,-4.982605,px4_default
37008000,-0.085113,-2.055528,-4.949796,-0.181144,-2.406736,-4.988771,px4_default
37028000,-0.070212,-2.108472,-4.953453,-0.168696,-2.455645,-4.992980,px4_default
37048000,-0.053605,-2.160305,-4.957193,-0.148085,-2.527383,-4.999289,px4_default
37068000,-0.035967,-2.211467,-4.960983,-0.132961,-2.573942,-5.003450,px4_default
37088000,-0.016486,-2.261266,-4.964777,-0.108209,-2.641803,-5.009357,px4_default
37108000,0.004015,-2.310310,-4.968574,-0.090437,-2.685854,-5.012987,px4_default
37128000,0.026506,-2.357754,-4.972282,-0.061530,-2.749577,-5.017937,px4_default
37148000,0.050003,-2.404388,-4.975946,-0.040880,-2.790637,-5.020900,px4_default
37168000,0.075636,-2.449166,-4.979416,-0.007814,-2.850020,-5.024824,px4_default
37188000,0.102255,-2.493087,-4.982795,0.015800,-2.887827,-5.027003,px4_default
