timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
36528000,0.000000,0.000000,-5.000000,-0.012516,-0.030166,-4.983531,px4_default
36548000,0.000006,0.000008,-4.999392,-0.012666,-0.029802,-4.984878,px4_default
36568000,0.000063,0.000092,-4.998603,-0.012672,-0.028984,-4.987390,px4_default
36588000,0.000191,0.000279,-4.997724,-0.012482,-0.028211,-4.989428,px4_default
36608000,0.000569,0.000830,-4.997334,-0.011822,-0.026596,-4.992941,px4_default
36628000,0.001251,0.001824,-4.997279,-0.011084,-0.025147,-4.995592,px4_default
36648000,0.002227,0.003244,-4.997494,-0.009424,-0.022317,-4.999975,px4_default
36668000,0.003719,0.005415,-4.998076,-0.007885,-0.019913,-5.003124,px4_default
36688000,0.005842,0.008499,-4.998955,-0.004824,-0.015404,-5.007940,px4_default
36708000,0.008481,0.012330,-5.000026,-0.002301,-0.011808,-5.010996,px4_default
36728000,0.011825,0.017179,-5.001313,0.002390,-0.005343,-5.014986,px4_default
36748000,0.016198,0.023510,-5.002779,0.006120,-0.000293,-5.017169,px4_default
36768000,0.021305,0.030895,-5.004311,0.012734,0.008545,-5.020010,px4_default
36788000,0.027227,0.039446,-5.005895,0.018033,0.015519,-5.021593,px4_default
36808000,0.034644,0.050129,-5.007435,0.027156,0.027462,-5.023619,px4_default
36828000,0.043008,0.062156,-5.008873,0.034166,0.036555,-5.024684,px4_default
36848000,0.052324,0.075532,-5.010158,0.046190,0.052084,-5.025842,px4_default
36868000,0.063224,0.091144,-5.010586,0.055117,0.063619,-5.026350,px4_default
36888000,0.075111,0.108166,-5.010144,0.070344,0.083157,-5.026494,px4_default
36908000,0.087908,0.126495,-5.008996,0.081335,0.097323,-5.026343,px4_default
36928000,0.102164,0.146949,-5.007051,0.099764,0.120898,-5.025544,px4_default
36948000,0.117740,0.169325,-5.004739,0.113179,0.138014,-5.024730,px4_default
36968000,0.134330,0.193164,-5.002183,0.135015,0.165810,-5.023017,px4_default
36988000,0.152268,0.218927,-4.999358,0.151008,0.186009,-5.021492,px4_default
37008000,0.171690,0.246757,-4.996293,0.176674,0.218387,-5.018749,px4_default
37028000,0.192103,0.275938,-4.993093,0.195096,0.241509,-5.016597,px4_default
37048000,0.213645,0.306641,-4.989755,0.224805,0.278514,-5.012923,px4_default
37068000,0.236813,0.339458,-4.986271,0.245783,0.304560,-5.010222,px4_default
37088000,0.260942,0.373485,-4.982727,0.279695,0.346146,-5.005729,px4_default
37108000,0.286030,0.408707,-4.979129,0.303604,0.375285,-5.002512,px4_default
37128000,0.312792,0.445932,-4.975488,0.341420,0.421071,-4.997400,px4_default
37148000,0.340524,0.484259,-4.971853,0.368269,0.453156,-4.993788,px4_default
37168000,0.369182,0.523629,-4.968228,0.410020,0.502918,-4.988217,px4_default
37188000,0.399294,0.564563,-4.964657,0.454547,0.555138,-4.982426,px4_default
