timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
34488000,0.000000,0.000000,-5.000000,-0.023997,-0.050797,-4.991634,px4_default
34508000,-0.000000,-0.000000,-5.000000,-0.024138,-0.049924,-4.991627,px4_default
34528000,-0.000000,-0.000000,-5.000000,-0.024355,-0.048573,-4.991643,px4_default
34548000,-0.000001,-0.000000,-5.000000,-0.024501,-0.047651,-4.991664,px4_default
34568000,-0.000004,-0.000000,-4.999999,-0.024723,-0.046238,-4.991707,px4_default
34588000,-0.000012,-0.000000,-4.999996,-0.024883,-0.045236,-4.991765,px4_default
34608000,-0.000029,-0.000000,-4.999991,-0.025126,-0.043699,-4.991843,px4_default
34628000,-0.000061,-0.000001,-4.999981,-0.025297,-0.042628,-4.991899,px4_default
34648000,-0.000116,-0.000002,-4.999964,-0.025567,-0.040982,-4.991947,px4_default
34668000,-0.000203,-0.000003,-4.999937,-0.025764,-0.039874,-4.991945,px4_default
34688000,-0.000334,-0.000006,-4.999895,-0.026091,-0.038118,-4.991897,px4_default
34708000,-0.000524,-0.000009,-4.999835,-0.026344,-0.036938,-4.991828,px4_default
34728000,-0.000788,-0.000013,-4.999753,-0.026791,-0.035152,-4.991646,px4_default
34748000,-0.001144,-0.000019,-4.999640,-0.027140,-0.033915,-4.991481,px4_default
34768000,-0.001612,-0.000026,-4.999492,-0.027767,-0.032050,-4.991141,px4_default
34788000,-0.002214,-0.000035,-4.999302,-0.028262,-0.030781,-4.990838,px4_default
34808000,-0.002974,-0.000047,-4.999061,-0.029168,-0.028883,-4.990234,px4_default
34828000,-0.003916,-0.000062,-4.998762,-0.029897,-0.027609,-4.989727,px4_default
34848000,-0.005068,-0.000079,-4.998396,-0.031244,-0.025684,-4.988797,px4_default
34868000,-0.006457,-0.000100,-4.997953,-0.032316,-0.024408,-4.988062,px4_default
34888000,-0.008113,-0.000125,-4.997426,-0.034289,-0.022452,-4.986765,px4_default
34908000,-0.010065,-0.000155,-4.996802,-0.035844,-0.021156,-4.985785,px4_default
34928000,-0.012345,-0.000189,-4.996073,-0.038570,-0.019224,-4.984144,px4_default
34948000,-0.014982,-0.000228,-4.995227,-0.040726,-0.017894,-4.982912,px4_default
34968000,-0.018010,-0.000272,-4.994256,-0.044405,-0.015909,-4.980840,px4_default
34988000,-0.021459,-0.000323,-4.993146,-0.047213,-0.014566,-4.979278,px4_default
35008000,-0.025362,-0.000380,-4.991889,-0.052001,-0.012539,-4.976645,px4_default
35028000,-0.029749,-0.000445,-4.990472,-0.055558,-0.011205,-4.974718,px4_default
35048000,-0.034651,-0.000516,-4.988886,-0.061638,-0.009178,-4.971506,px4_default
35068000,-0.040099,-0.000596,-4.987120,-0.066067,-0.007868,-4.969187,px4_default
35088000,-0.046123,-0.000685,-4.985163,-0.073530,-0.005915,-4.965355,px4_default
35108000,-0.052749,-0.000782,-4.983006,-0.079030,-0.004655,-4.962615,px4_default
35128000,-0.060006,-0.000890,-4.980639,-0.088103,-0.002826,-4.958210,px4_default
35148000,-0.067920,-0.001008,-4.978052,-0.094852,-0.001606,-4.955027,px4_default
35168000,-0.076515,-0.001137,-4.975235,-0.105794,0.000164,-4.949968,px4_default
35188000,-0.085814,-0.001278,-4.972181,-0.113726,0.001311,-4.946376,px4_default
35208000,-0.095837,-0.001432,-4.968882,-0.126619,0.002997,-4.940610,px4_default
35228000,-0.106605,-0.001599,-4.965328,-0.135809,0.004081,-4.936522,px4_default
35248000,-0.118134,-0.001781,-4.961514,-0.150792,0.005643,-4.929951,px4_default
35268000,-0.130440,-0.001979,-4.957433,-0.161475,0.006630,-4.925293,px4_default
35288000,-0.143536,-0.002193,-4.953078,-0.178553,0.008026,-4.917931,px4_default
35308000,-0.157434,-0.002426,-4.948444,-0.197129,0.009350,-4.910045,px4_default
35328000,-0.172141,-0.002678,-4.943527,-0.210068,0.010162,-4.904527,px4_default
35348000,-0.187666,-0.002951,-4.938323,-0.223780,0.010974,-4.898757,px4_default
