timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
36120000,0.000000,0.000000,-5.000000,-0.023253,-0.069491,-5.000070,px4_default
36140000,0.000189,0.000347,-4.999728,-0.022693,-0.068283,-4.995884,px4_default
36160000,0.000796,0.001460,-4.998860,-0.022109,-0.067110,-4.992586,px4_default
36180000,0.001823,0.003352,-4.997398,-0.020945,-0.064830,-4.986942,px4_default
36200000,0.003273,0.006026,-4.995346,-0.019947,-0.062890,-4.982697,px4_default
36220000,0.005145,0.009487,-4.992707,-0.018063,-0.059264,-4.975589,px4_default
36240000,0.007438,0.013735,-4.989488,-0.016557,-0.056383,-4.970386,px4_default
36260000,0.010153,0.018772,-4.985694,-0.013860,-0.051216,-4.961829,px4_default
36280000,0.013288,0.024599,-4.981331,-0.011783,-0.047236,-4.955661,px4_default
36300000,0.016842,0.031217,-4.976405,-0.008124,-0.040144,-4.945617,px4_default
36320000,0.020815,0.038627,-4.970922,-0.005350,-0.034762,-4.938436,px4_default
36340000,0.025205,0.046830,-4.964889,-0.000693,-0.025682,-4.926982,px4_default
36360000,0.030012,0.055825,-4.958312,0.002854,-0.018790,-4.918813,px4_default
36380000,0.035233,0.065614,-4.951198,0.008689,-0.007420,-4.905843,px4_default
36400000,0.040869,0.076197,-4.943553,0.012966,0.000954,-4.896680,px4_default
36420000,0.046917,0.087575,-4.935386,0.020015,0.014754,-4.882173,px4_default
36440000,0.053376,0.099746,-4.926703,0.025076,0.024678,-4.872050,px4_default
36460000,0.060246,0.112713,-4.917512,0.033433,0.041001,-4.856080,px4_default
36480000,0.067524,0.126474,-4.907822,0.039410,0.052672,-4.844984,px4_default
36500000,0.075209,0.141031,-4.897638,0.048997,0.071373,-4.827672,px4_default
36520000,0.083300,0.156384,-4.886971,0.055811,0.084625,-4.815711,px4_default
36540000,0.091795,0.172532,-4.875829,0.066651,0.105673,-4.797161,px4_default
36560000,0.100694,0.189476,-4.864220,0.074418,0.120623,-4.784352,px4_default
36580000,0.109993,0.207216,-4.852154,0.086672,0.144134,-4.764636,px4_default
36600000,0.119692,0.225752,-4.839640,0.095337,0.160614,-4.751133,px4_default
36620000,0.129789,0.245085,-4.826687,0.109137,0.186580,-4.730349,px4_default
36640000,0.140282,0.265213,-4.813306,0.118755,0.204622,-4.716186,px4_default
36660000,0.151170,0.286139,-4.799507,0.134195,0.233034,-4.694457,px4_default
36680000,0.162451,0.307861,-4.785301,0.144987,0.252738,-4.679688,px4_default
36700000,0.174123,0.330380,-4.770699,0.161914,0.283433,-4.657183,px4_default
36720000,0.186184,0.353695,-4.755711,0.173889,0.304768,-4.641895,px4_default
36740000,0.198633,0.377808,-4.740350,0.186097,0.326601,-4.626435,px4_default
36760000,0.211467,0.402717,-4.724628,0.205429,0.360645,-4.602844,px4_default
36780000,0.224686,0.428423,-4.708558,0.225473,0.395915,-4.578923,px4_default
36800000,0.238286,0.454927,-4.692152,0.239377,0.420193,-4.562755,px4_default
36820000,0.252266,0.482227,-4.675423,0.261034,0.457742,-4.538219,px4_default
36840000,0.266624,0.510324,-4.658385,0.275876,0.483456,-4.521706,px4_default
36860000,0.281359,0.539219,-4.641053,0.299091,0.523285,-4.496660,px4_default
36880000,0.296468,0.568911,-4.623440,0.315022,0.550556,-4.479815,px4_default
36900000,0.311949,0.599400,-4.605562,0.339597,0.592532,-4.454360,px4_default
36920000,0.327801,0.630686,-4.587434,0.356607,0.621337,-4.437275,px4_default
36940000,0.344022,0.662770,-4.569071,0.382690,0.665534,-4.411557,px4_default
36960000,0.360609,0.695650,-4.550490,0.400571,0.695719,-4.394361,px4_default
36980000,0.377561,0.729329,-4.531708,0.428115,0.742079,-4.368517,px4_default
37000000,0.394877,0.763804,-4.512741,0.446846,0.773643,-4.351289,px4_default
37020000,0.412554,0.799077,-4.493607,0.475791,0.822104,-4.325511,px4_default
37040000,0.430592,0.835147,-4.474323,0.495339,0.855009,-4.308351,px4_default
37060000,0.448987,0.872015,-4.454908,0.525479,0.905447,-4.282709,px4_default
37080000,0.467740,0.909680,-4.435380,0.545974,0.939745,-4.265697,px4_default
37100000,0.486849,0.948142,-4.415759,0.577310,0.992206,-4.240328,px4_default
37120000,0.506312,0.987402,-4.396062,0.598750,1.027905,-4.223539,px4_default
37140000,0.526130,1.027460,-4.376310,0.631419,1.082410,-4.198528,px4_default
37160000,0.546300,1.068315,-4.356523,0.653636,1.119420,-4.181997,px4_default
37180000,0.566823,1.109967,-4.336720,0.687586,1.175954,-4.157458,px4_default
37200000,0.587698,1.152418,-4.316920,0.710536,1.214288,-4.141266,px4_default
37220000,0.608926,1.195665,-4.297146,0.745721,1.272881,-4.117348,px4_default
37240000,0.630506,1.239710,-4.277417,0.769536,1.312621,-4.101635,px4_default
37260000,0.652439,1.284553,-4.257753,0.805787,1.373246,-4.078436,px4_default
37280000,0.674726,1.330193,-4.238175,0.830414,1.414403,-4.063254,px4_default
37300000,0.697370,1.376630,-4.218705,0.867653,1.477071,-4.040823,px4_default
37320000,0.720370,1.423865,-4.199362,0.892915,1.519585,-4.026195,px4_default
37340000,0.743731,1.471897,-4.180167,0.931207,1.584354,-4.004685,px4_default
37360000,0.767454,1.520725,-4.161142,0.957069,1.628239,-3.990690,px4_default
37380000,0.791543,1.570351,-4.142307,0.996390,1.695130,-3.970245,px4_default
37400000,0.816002,1.620774,-4.123683,1.022874,1.740403,-3.956969,px4_default
37420000,0.840836,1.671992,-4.105292,1.063231,1.809456,-3.937908,px4_default
37440000,0.866050,1.724007,-4.087157,1.090437,1.856239,-3.925830,px4_default
37460000,0.891649,1.776817,-4.069300,1.131646,1.927477,-3.908724,px4_default
37480000,0.917641,1.830422,-4.051744,1.159425,1.975659,-3.898127,px4_default
37500000,0.944033,1.884821,-4.034516,1.201255,2.048720,-3.883331,px4_default
37520000,0.970834,1.940013,-4.017642,1.229243,2.097891,-3.874259,px4_default
37540000,0.998052,1.995997,-4.001154,1.271287,2.172138,-3.861869,px4_default
37560000,1.025692,2.052758,-3.985090,1.299259,2.221830,-3.854338,px4_default
37580000,1.053360,2.109465,-3.969703,1.341043,2.296429,-3.844247,px4_default
37600000,1.080702,2.165372,-3.955192,1.368718,2.346096,-3.838222,px4_default
37620000,1.107723,2.220471,-3.941535,1.409831,2.420202,-3.830435,px4_default
37640000,1.134432,2.274761,-3.928712,1.436920,2.469222,-3.825931,px4_default
37660000,1.160840,2.328245,-3.916700,1.477025,2.542024,-3.820149,px4_default
37680000,1.186955,2.380922,-3.905477,1.503278,2.589781,-3.817035,px4_default
37700000,1.212789,2.432793,-3.895020,1.542011,2.660393,-3.813149,px4_default
37720000,1.238349,2.483858,-3.885306,1.567324,2.706587,-3.811118,px4_default
37740000,1.263645,2.534119,-3.876313,1.604459,2.774393,-3.808867,px4_default
37760000,1.288688,2.583574,-3.868019,1.628730,2.818725,-3.807779,px4_default
37780000,1.313485,2.632225,-3.860401,1.664153,2.883254,-3.806918,px4_default
37800000,1.338045,2.680072,-3.853437,1.687234,2.925185,-3.806711,px4_default
37820000,1.362379,2.727115,-3.847106,1.721054,2.986420,-3.806905,px4_default
37840000,1.386494,2.773355,-3.841387,1.743059,3.026072,-3.807340,px4_default
37860000,1.410399,2.818791,-3.836257,1.775262,3.083783,-3.808414,px4_default
37880000,1.434103,2.863424,-3.831697,1.796050,3.120699,-3.809489,px4_default
37900000,1.457613,2.907254,-3.827687,1.826496,3.174450,-3.811417,px4_default
37920000,1.480939,2.950281,-3.824205,1.846219,3.208959,-3.812954,px4_default
37940000,1.504087,2.992506,-3.821233,1.874963,3.258758,-3.815603,px4_default
37960000,1.527066,3.033927,-3.818751,1.893667,3.290906,-3.817538,px4_default
37980000,1.549884,3.074547,-3.816740,1.920770,3.336794,-3.820860,px4_default
38000000,1.572548,3.114364,-3.815181,1.938362,3.366227,-3.823248,px4_default
38020000,1.595065,3.153379,-3.814056,1.964065,3.408695,-3.827070,px4_default
38040000,1.617443,3.191593,-3.813348,1.980606,3.435520,-3.829840,px4_default
38060000,1.639688,3.229004,-3.813038,2.004833,3.474321,-3.834183,px4_default
38080000,1.661809,3.265613,-3.813110,2.020521,3.499016,-3.837248,px4_default
38100000,1.683812,3.301420,-3.813547,2.043530,3.534684,-3.842013,px4_default
38120000,1.705703,3.336426,-3.814332,2.058449,3.557329,-3.845322,px4_default
38140000,1.727489,3.370631,-3.815449,2.080255,3.589650,-3.850465,px4_default
38160000,1.749178,3.404033,-3.816883,2.094507,3.610362,-3.853976,px4_default
38180000,1.770775,3.436634,-3.818617,2.115220,3.639567,-3.859427,px4_default
38200000,1.792287,3.468433,-3.820637,2.128744,3.658169,-3.863141,px4_default
38220000,1.813720,3.499432,-3.822928,2.148635,3.684813,-3.868822,px4_default
38240000,1.835081,3.529629,-3.825474,2.161556,3.701489,-3.872716,px4_default
38260000,1.856376,3.559024,-3.828262,2.180680,3.725477,-3.878627,px4_default
38280000,1.877610,3.587618,-3.831278,2.199460,3.748057,-3.884634,px4_default
38300000,1.898790,3.615411,-3.834507,2.211731,3.762143,-3.888699,px4_default
38320000,1.919922,3.642403,-3.837937,2.223948,3.775859,-3.892774,px4_default
38340000,1.941012,3.668594,-3.841553,2.241952,3.795029,-3.898965,px4_default
38360000,1.962066,3.693983,-3.845343,2.253924,3.807375,-3.903093,px4_default
38380000,1.983090,3.718572,-3.849293,2.271623,3.824574,-3.909324,px4_default
38400000,2.004089,3.742359,-3.853391,2.283328,3.835407,-3.913485,px4_default
38420000,2.025070,3.765346,-3.857625,2.300774,3.850732,-3.919720,px4_default
38440000,2.046039,3.787531,-3.861981,2.312268,3.860160,-3.923895,px4_default
38460000,2.067000,3.808916,-3.866448,2.329492,3.873542,-3.930138,px4_default
38480000,2.087962,3.829500,-3.871014,2.340931,3.881845,-3.934295,px4_default
38500000,2.108928,3.849283,-3.875666,2.358067,3.893367,-3.940507,px4_default
38520000,2.129906,3.868264,-3.880394,2.369521,3.900558,-3.944615,px4_default
38540000,2.150900,3.886446,-3.885184,2.386692,3.910300,-3.950739,px4_default
38560000,2.171918,3.903826,-3.890026,2.398166,3.916285,-3.954788,px4_default
38580000,2.192966,3.920405,-3.894908,2.415453,3.924515,-3.960793,px4_default
38600000,2.214049,3.936184,-3.899819,2.426987,3.929370,-3.964785,px4_default
38620000,2.235174,3.951162,-3.904747,2.438611,3.933950,-3.968724,px4_default
38640000,2.256347,3.965340,-3.909682,2.456115,3.940035,-3.974561,px4_default
38660000,2.277575,3.978716,-3.914610,2.467875,3.943662,-3.978374,px4_default
38680000,2.298863,3.991292,-3.919522,2.485545,3.948228,-3.984019,px4_default
38700000,2.320220,4.003068,-3.924407,2.497424,3.950817,-3.987684,px4_default
38720000,2.341652,4.014043,-3.929252,2.515426,3.954029,-3.993021,px4_default
38740000,2.363165,4.024217,-3.934047,2.527473,3.955602,-3.996466,px4_default
38760000,2.384767,4.033591,-3.938780,2.545752,3.957366,-4.001429,px4_default
38780000,2.406465,4.042164,-3.943440,2.558057,3.958079,-4.004591,px4_default
38800000,2.428267,4.049937,-3.948015,2.576716,3.958463,-4.009109,px4_default
38820000,2.450181,4.056909,-3.952495,2.589322,3.958324,-4.011969,px4_default
38840000,2.472214,4.063081,-3.956867,2.608417,3.957302,-4.016032,px4_default
38860000,2.494375,4.068453,-3.961119,2.621344,3.956190,-4.018652,px4_default
38880000,2.516672,4.073024,-3.965240,2.641024,3.953869,-4.022449,px4_default
38900000,2.539114,4.076795,-3.969218,2.654362,3.951894,-4.024834,px4_default
38920000,2.561711,4.079765,-3.973041,2.674737,3.948302,-4.028120,px4_default
38940000,2.584472,4.081936,-3.976695,2.688565,3.945377,-4.030093,px4_default
38960000,2.607409,4.083306,-3.980169,2.709709,3.940393,-4.032670,px4_default
38980000,2.630540,4.083876,-3.983451,2.724071,3.936615,-4.034114,px4_default
39000000,2.653697,4.083650,-3.986505,2.738654,3.932490,-4.035326,px4_default
39020000,2.677126,4.082631,-3.989350,2.753451,3.928014,-4.036294,px4_default
39040000,2.700858,4.080809,-3.991971,2.776072,3.920604,-4.037260,px4_default
39060000,2.724823,4.078187,-3.994345,2.791451,3.915258,-4.037583,px4_default
39080000,2.749032,4.074766,-3.996457,2.815000,3.906447,-4.037467,px4_default
39100000,2.773499,4.070545,-3.998290,2.831015,3.900139,-4.037007,px4_default
39120000,2.798238,4.065525,-3.999831,2.855523,3.890022,-4.035741,px4_default
39140000,2.823266,4.059705,-4.001062,2.872169,3.882751,-4.034452,px4_default
39160000,2.848598,4.053086,-4.001967,2.897568,3.870865,-4.031934,px4_default
39180000,2.874252,4.045668,-4.002530,2.914842,3.862499,-4.029809,px4_default
39200000,2.900247,4.037451,-4.002731,2.941332,3.849417,-4.025918,px4_default
39220000,2.926603,4.028436,-4.002552,2.959383,3.840347,-4.022871,px4_default
39240000,2.953343,4.018621,-4.001973,2.987008,3.826027,-4.017505,px4_default
39260000,2.980489,4.008009,-4.000975,3.005807,3.816074,-4.013410,px4_default
39280000,3.008068,3.996599,-3.999534,3.034610,3.800525,-4.006474,px4_default
39300000,3.036106,3.984391,-3.997629,3.054225,3.789753,-4.001310,px4_default
39320000,3.064634,3.971386,-3.995235,3.084293,3.772976,-3.992667,px4_default
39340000,3.093687,3.957584,-3.992325,3.104775,3.761334,-3.986203,px4_default
39360000,3.123304,3.942986,-3.988870,3.125639,3.749400,-3.979251,px4_default
39380000,3.153527,3.927592,-3.984838,3.157702,3.730771,-3.967747,px4_default
