x_axis,y_axis,twin_similarity_score,expected_tracking_penalty_pct
0.000000,0.900000,47.639515,52.360485
0.100000,0.900000,43.945592,56.054408
0.200000,0.900000,40.836625,59.163375
0.300000,0.900000,38.190495,61.809505
0.400000,0.900000,35.915778,64.084222
0.500000,0.900000,33.942894,66.057106
0.600000,0.900000,32.218096,67.781904
0.700000,0.900000,30.699307,69.300693
0.800000,0.900000,29.353185,70.646815
0.900000,0.900000,28.153013,71.846987
0.000000,0.922222,57.329907,42.670093
0.100000,0.922222,52.884600,47.115400
0.200000,0.922222,49.143236,50.856764
0.300000,0.922222,45.958854,54.041146
0.400000,0.922222,43.221435,56.778565
0.500000,0.922222,40.847245,59.152755
0.600000,0.922222,38.771605,61.228395
0.700000,0.922222,36.943878,63.056122
0.800000,0.922222,35.323940,64.676060
0.900000,0.922222,33.879640,66.120360
0.000000,0.944444,68.130665,31.869335
0.100000,0.944444,62.847877,37.152123
0.200000,0.944444,58.401653,41.598347
0.300000,0.944444,54.617345,45.382655
0.400000,0.944444,51.364205,48.635795
0.500000,0.944444,48.542726,51.457274
0.600000,0.944444,46.076042,53.923958
0.700000,0.944444,43.903978,56.096022
0.800000,0.944444,41.978849,58.021151
0.900000,0.944444,40.262448,59.737552
0.000000,0.966667,80.047080,19.952920
0.100000,0.966667,73.840304,26.159696
0.200000,0.966667,68.616413,31.383587
0.300000,0.966667,64.170208,35.829792
0.400000,0.966667,60.348077,39.651923
0.500000,0.966667,57.033106,42.966894
0.600000,0.966667,54.134986,45.865014
0.700000,0.966667,51.583017,48.416983
0.800000,0.966667,49.321173,50.678827
0.900000,0.966667,47.304564,52.695436
0.000000,0.988889,93.074132,6.925868
0.100000,0.988889,85.857251,14.142749
0.200000,0.988889,79.783211,20.216789
0.300000,0.988889,74.613421,25.386579
0.400000,0.988889,70.169267,29.830733
0.500000,0.988889,66.314810,33.685190
0.600000,0.988889,62.945043,37.054957
0.700000,0.988889,59.977760,40.022240
0.800000,0.988889,57.347818,42.652182
0.900000,0.988889,55.003021,44.996979
0.000000,1.011111,93.285775,6.714225
0.100000,1.011111,86.052483,13.947517
0.200000,1.011111,79.964631,20.035369
0.300000,1.011111,74.783085,25.216915
0.400000,1.011111,70.328826,29.671174
0.500000,1.011111,66.465604,33.534396
0.600000,1.011111,63.088174,36.911826
0.700000,1.011111,60.114144,39.885856
0.800000,1.011111,57.478222,42.521778
0.900000,1.011111,55.128093,44.871907
0.000000,1.033333,81.702985,18.297015
0.100000,1.033333,75.367812,24.632188
0.200000,1.033333,70.035856,29.964144
0.300000,1.033333,65.497675,34.502325
0.400000,1.033333,61.596476,38.403524
0.500000,1.033333,58.212930,41.787070
0.600000,1.033333,55.254857,44.745143
0.700000,1.033333,52.650096,47.349904
0.800000,1.033333,50.341463,49.658537
0.900000,1.033333,48.283137,51.716863
0.000000,1.055556,72.131521,27.868479
0.100000,1.055556,66.538510,33.461490
0.200000,1.055556,61.831189,38.168811
0.300000,1.055556,57.824654,42.175346
0.400000,1.055556,54.380479,45.619521
0.500000,1.055556,51.393313,48.606687
0.600000,1.055556,48.781778,51.218222
0.700000,1.055556,46.482163,53.517837
0.800000,1.055556,44.443985,55.556015
0.900000,1.055556,42.626791,57.373209
0.000000,1.077778,64.149820,35.850180
0.100000,1.077778,59.175703,40.824297
0.200000,1.077778,54.989270,45.010730
0.300000,1.077778,51.426077,48.573923
0.400000,1.077778,48.363017,51.636983
0.500000,1.077778,45.706395,54.293605
0.600000,1.077778,43.383839,56.616161
0.700000,1.077778,41.338687,58.661313
0.800000,1.077778,39.526043,60.473957
0.900000,1.077778,37.909930,62.090070
0.000000,1.100000,57.437514,42.562486
0.100000,1.100000,52.983863,47.016137
0.200000,1.100000,49.235477,50.764523
0.300000,1.100000,46.045118,53.954882
0.400000,1.100000,43.302561,56.697439
0.500000,1.100000,40.923914,59.076086
0.600000,1.100000,38.844378,61.155622
0.700000,1.100000,37.013221,62.986779
0.800000,1.100000,35.390242,64.609758
0.900000,1.100000,33.943231,66.056769
