t_s,x_m,y_m,z_m,error_norm_m
0.000000,0.000000,0.000000,-3.000000,0.000000
0.050083,0.004153,-0.001805,-2.997946,0.029464
0.100167,0.004203,0.025890,-2.998020,0.029114
0.150250,0.003343,0.052791,-2.997988,0.029450
0.200334,0.003300,0.079207,-2.997964,0.030440
0.250417,0.002159,0.106535,-2.998068,0.030377
0.300501,0.000616,0.133827,-2.997900,0.030333
0.350584,-0.001436,0.161013,-2.997814,0.030328
0.400668,-0.003650,0.187958,-2.997860,0.030552
0.450751,-0.005917,0.215075,-2.998062,0.030615
0.500835,-0.008609,0.241671,-2.998188,0.031144
0.550918,-0.013068,0.268837,-2.998265,0.030851
0.601002,-0.016602,0.295519,-2.997265,0.031290
0.651085,-0.019007,0.322614,-2.997373,0.031397
0.701169,-0.022507,0.350097,-2.997054,0.031020
0.751252,-0.025945,0.376704,-2.997036,0.031500
0.801336,-0.030166,0.403207,-2.996392,0.032022
0.851419,-0.034181,0.429707,-2.996763,0.032480
0.901503,-0.039687,0.456453,-2.996735,0.032448
0.951586,-0.044918,0.483494,-2.996994,0.032160
1.001669,-0.049798,0.509414,-2.997586,0.033006
1.051753,-0.054461,0.535598,-2.997852,0.033704
1.101836,-0.060381,0.562119,-2.997495,0.033850
1.151920,-0.066649,0.587507,-2.997954,0.034929
1.202003,-0.072476,0.614113,-2.998172,0.034981
1.252087,-0.080026,0.641411,-2.998433,0.033919
1.302170,-0.086706,0.668267,-2.998278,0.033554
1.352254,-0.094043,0.694479,-2.998857,0.033568
1.402337,-0.100815,0.720586,-2.999352,0.033870
1.452421,-0.107651,0.746569,-2.999595,0.034328
1.502504,-0.115281,0.772043,-2.999679,0.035036
1.552588,-0.122991,0.798149,-2.999720,0.035156
1.602671,-0.130832,0.823405,-2.999642,0.036057
1.652755,-0.139667,0.849069,-3.000160,0.036182
1.702838,-0.149148,0.874074,-3.000344,0.036692
1.752922,-0.158898,0.899067,-3.000347,0.037134
1.803005,-0.168094,0.924660,-3.000353,0.037256
1.853088,-0.177770,0.950265,-3.000959,0.037163
1.903172,-0.188583,0.975531,-3.000408,0.036987
1.953255,-0.198607,1.000449,-3.000185,0.037450
2.003339,-0.209255,1.025056,-3.000045,0.037938
2.053422,-0.219471,1.049946,-2.999576,0.038411
2.103506,-0.230869,1.075262,-3.000001,0.037912
2.153589,-0.242770,1.100009,-3.000151,0.037726
2.203673,-0.253811,1.125287,-3.000060,0.037517
2.253756,-0.266053,1.149571,-3.000136,0.037604
2.303840,-0.278061,1.173725,-2.999862,0.037971
2.353923,-0.291033,1.196817,-2.999751,0.038780
2.404007,-0.303045,1.220641,-2.999935,0.039395
2.454090,-0.315601,1.243995,-3.000165,0.040155
2.504174,-0.329390,1.268145,-3.000184,0.039644
2.554257,-0.343030,1.292053,-3.000089,0.039438
2.604341,-0.356908,1.316019,-3.000358,0.039018
2.654424,-0.370663,1.339325,-3.000622,0.039229
2.704508,-0.384293,1.362324,-3.000957,0.039767
2.754591,-0.399359,1.385989,-3.000970,0.039022
2.804674,-0.413235,1.408635,-3.001047,0.039776
2.854758,-0.428410,1.431198,-3.001606,0.039814
2.904841,-0.443850,1.453885,-3.002193,0.039604
2.954925,-0.459441,1.476355,-3.002966,0.039469
3.005008,-0.475183,1.498332,-3.003293,0.039698
3.055092,-0.491612,1.520960,-3.003371,0.039027
3.105175,-0.507148,1.543321,-3.004009,0.039044
3.155259,-0.523577,1.564605,-3.003850,0.039470
3.205342,-0.539972,1.585737,-3.004247,0.039977
3.255426,-0.557208,1.606852,-3.004779,0.039972
3.305509,-0.574092,1.628362,-3.005116,0.039882
3.355593,-0.591397,1.649012,-3.005353,0.040213
3.405676,-0.608647,1.670403,-3.006342,0.039930
3.455760,-0.626246,1.691121,-3.006068,0.040056
3.505843,-0.644915,1.712074,-3.006624,0.039244
3.555927,-0.663319,1.732686,-3.006700,0.038893
3.606010,-0.681638,1.753392,-3.007458,0.038462
3.656093,-0.700771,1.773358,-3.008146,0.038057
3.706177,-0.719821,1.793324,-3.008700,0.037705
3.756260,-0.738645,1.813196,-3.009348,0.037561
3.806344,-0.757584,1.832771,-3.009358,0.037593
3.856427,-0.777254,1.852077,-3.010018,0.037276
3.906511,-0.796337,1.870965,-3.010073,0.037694
3.956594,-0.816521,1.889229,-3.010458,0.037758
4.006678,-0.836604,1.906874,-3.010982,0.038316
4.056761,-0.856276,1.925163,-3.011736,0.038668
4.106845,-0.875895,1.943275,-3.012368,0.039185
4.156928,-0.897061,1.961138,-3.012686,0.038771
4.207012,-0.917854,1.978907,-3.012666,0.038682
4.257095,-0.939114,1.996973,-3.013256,0.038010
4.307179,-0.960521,2.013912,-3.013092,0.038017
4.357262,-0.981626,2.030950,-3.013121,0.038147
4.407346,-1.003302,2.048099,-3.013361,0.037753
4.457429,-1.024445,2.064315,-3.013422,0.038369
4.507513,-1.046350,2.080523,-3.014677,0.038328
4.557596,-1.068001,2.096638,-3.014137,0.038619
4.607679,-1.090461,2.112213,-3.014983,0.038543
4.657763,-1.112990,2.127394,-3.014985,0.038693
4.707846,-1.134645,2.142481,-3.015073,0.039531
4.757930,-1.156905,2.157207,-3.015404,0.040095
4.808013,-1.179694,2.171335,-3.015393,0.040631
4.858097,-1.202829,2.185654,-3.015629,0.040724
4.908180,-1.226528,2.200301,-3.015961,0.040126
4.958264,-1.250379,2.214702,-3.016423,0.039517
5.008347,-1.273444,2.229147,-3.017070,0.039419
5.058431,-1.296452,2.243222,-3.017135,0.039624
5.108514,-1.320501,2.256898,-3.017198,0.039223
5.158598,-1.344041,2.270180,-3.017764,0.039380
5.208681,-1.368225,2.283686,-3.018071,0.038879
5.258765,-1.392345,2.296550,-3.018774,0.038732
5.308848,-1.416436,2.308611,-3.019205,0.039056
5.358932,-1.441490,2.320928,-3.019264,0.038441
5.409015,-1.466140,2.332572,-3.020345,0.038401
5.459098,-1.490480,2.343830,-3.021091,0.038820
5.509182,-1.515078,2.354914,-3.021312,0.039116
5.559265,-1.540241,2.366801,-3.021140,0.038480
5.609349,-1.564944,2.377401,-3.021643,0.038836
5.659432,-1.589067,2.388322,-3.021535,0.039515
5.709516,-1.614464,2.399058,-3.022517,0.039080
5.759599,-1.639832,2.409422,-3.022938,0.038873
5.809683,-1.665008,2.419704,-3.023075,0.038863
5.859766,-1.690534,2.430026,-3.023595,0.038466
5.909850,-1.716157,2.439703,-3.024316,0.038243
5.959933,-1.740823,2.447910,-3.025063,0.039502
6.010017,-1.766905,2.456814,-3.025465,0.039176
6.060100,-1.792211,2.464748,-3.025392,0.039976
6.110184,-1.818080,2.472850,-3.025662,0.040126
6.160267,-1.844042,2.480727,-3.026527,0.040188
6.210351,-1.870070,2.488853,-3.026922,0.040085
6.260434,-1.896315,2.496267,-3.026981,0.040080
6.310518,-1.923158,2.502805,-3.027832,0.039775
6.360601,-1.949723,2.508893,-3.027766,0.039956
6.410684,-1.975193,2.515843,-3.028941,0.040572
6.460768,-2.001701,2.522620,-3.029166,0.040374
6.510851,-2.028179,2.528369,-3.029587,0.040548
6.560935,-2.055031,2.534708,-3.030267,0.040071
6.611018,-2.081985,2.539124,-3.030956,0.040189
6.661102,-2.108704,2.544435,-3.031747,0.040105
6.711185,-2.135787,2.548635,-3.032526,0.040063
6.761269,-2.162171,2.552758,-3.032726,0.040669
6.811352,-2.189203,2.557392,-3.033472,0.040368
6.861436,-2.216023,2.561378,-3.034192,0.040447
6.911519,-2.243831,2.564982,-3.034536,0.039719
6.961603,-2.270226,2.568346,-3.035009,0.040298
7.011686,-2.297324,2.572165,-3.034986,0.040034
7.061770,-2.324253,2.575296,-3.035428,0.040071
7.111853,-2.351046,2.578157,-3.035707,0.040280
7.161937,-2.378085,2.580733,-3.036556,0.040233
7.212020,-2.405221,2.582959,-3.036957,0.040182
7.262104,-2.432748,2.583851,-3.037456,0.040098
7.312187,-2.460110,2.584929,-3.038230,0.040011
7.362270,-2.486509,2.586273,-3.038516,0.040712
7.412354,-2.513818,2.587829,-3.039503,0.040357
7.462437,-2.541176,2.588550,-3.039877,0.040184
7.512521,-2.568705,2.588196,-3.040147,0.040089
7.562604,-2.596083,2.589071,-3.041053,0.039648
7.612688,-2.622989,2.589095,-3.041711,0.039849
7.662771,-2.649514,2.588769,-3.042035,0.040466
7.712855,-2.677096,2.588167,-3.042670,0.040029
7.762938,-2.704101,2.586716,-3.043126,0.040288
7.813022,-2.730644,2.585750,-3.043595,0.040807
7.863105,-2.757855,2.584304,-3.043856,0.040731
7.913189,-2.785110,2.582412,-3.044649,0.040575
7.963272,-2.811425,2.580014,-3.045245,0.041378
8.013356,-2.838698,2.576556,-3.046056,0.041349
8.063439,-2.865918,2.574488,-3.047114,0.040998
8.113523,-2.893466,2.571810,-3.047458,0.040428
8.163606,-2.921346,2.568460,-3.048035,0.039546
8.213689,-2.947586,2.564876,-3.048367,0.040253
8.263773,-2.974585,2.560616,-3.048935,0.040214
8.313856,-3.001882,2.556889,-3.049160,0.039751
8.363940,-3.028242,2.552274,-3.049493,0.040245
8.414023,-3.055132,2.547726,-3.050467,0.040055
8.464107,-3.081557,2.542806,-3.051266,0.040308
8.514190,-3.108415,2.537540,-3.051880,0.040104
8.564274,-3.133914,2.532624,-3.052391,0.041150
8.614357,-3.160379,2.526259,-3.052893,0.041276
8.664441,-3.187275,2.520093,-3.053295,0.040884
8.714524,-3.214280,2.513910,-3.053982,0.040271
8.764608,-3.240529,2.507510,-3.054267,0.040386
8.814691,-3.266645,2.502007,-3.055170,0.040480
8.864775,-3.292935,2.494193,-3.055843,0.040393
8.914858,-3.318610,2.485903,-3.056638,0.040830
8.964942,-3.345231,2.478444,-3.057005,0.040274
9.015025,-3.372091,2.470056,-3.057538,0.039387
9.065109,-3.397957,2.461775,-3.057709,0.039444
9.115192,-3.424548,2.453045,-3.057829,0.038704
9.165275,-3.448756,2.442949,-3.059077,0.040084
9.215359,-3.474093,2.434016,-3.059705,0.040326
9.265442,-3.500581,2.424716,-3.060535,0.039306
9.315526,-3.526194,2.414805,-3.061276,0.039063
9.365609,-3.550878,2.404786,-3.061806,0.039664
9.415693,-3.576613,2.394389,-3.062834,0.039054
9.465776,-3.601841,2.384167,-3.063075,0.038943
9.515860,-3.626791,2.373390,-3.063572,0.038960
9.565943,-3.651961,2.361192,-3.063623,0.038666
9.616027,-3.677157,2.349571,-3.064606,0.038128
9.666110,-3.701409,2.338143,-3.064913,0.038509
9.716194,-3.726393,2.325546,-3.065583,0.037969
9.766277,-3.749744,2.313398,-3.066191,0.038943
9.816361,-3.773968,2.300304,-3.067034,0.038880
9.866444,-3.798006,2.287090,-3.067520,0.038925
9.916528,-3.822637,2.275035,-3.067813,0.038296
9.966611,-3.846559,2.262085,-3.067945,0.038263
10.016694,-3.869730,2.248646,-3.068772,0.038708
10.066778,-3.891457,2.235624,-3.069485,0.040490
10.116861,-3.915211,2.221949,-3.070528,0.040064
10.166945,-3.937869,2.207855,-3.071233,0.040616
10.217028,-3.962206,2.193957,-3.071121,0.039537
10.267112,-3.985445,2.178304,-3.072070,0.039088
10.317195,-4.008882,2.163537,-3.072865,0.038409
10.367279,-4.031136,2.148481,-3.073070,0.038835
10.417362,-4.053712,2.133110,-3.074422,0.038583
10.467446,-4.075772,2.118174,-3.075071,0.038868
10.517529,-4.097752,2.102099,-3.076016,0.038927
10.567613,-4.119657,2.086034,-3.076542,0.038988
10.617696,-4.140845,2.070911,-3.077326,0.039696
10.667780,-4.162600,2.054495,-3.078348,0.039512
10.717863,-4.184239,2.037746,-3.079185,0.039283
10.767947,-4.204936,2.020585,-3.079720,0.039815
10.818030,-4.226829,2.003341,-3.080335,0.039014
10.868114,-4.247870,1.986738,-3.081036,0.039005
10.918197,-4.269062,1.969128,-3.081874,0.038514
10.968280,-4.289954,1.950995,-3.082424,0.038120
11.018364,-4.310990,1.933037,-3.083338,0.037421
11.068447,-4.331639,1.914408,-3.083971,0.036866
11.118531,-4.352540,1.896407,-3.085199,0.035962
11.168614,-4.372311,1.878681,-3.086011,0.036157
11.218698,-4.391803,1.859483,-3.086983,0.036103
11.268781,-4.410339,1.840389,-3.088500,0.036783
11.318865,-4.429246,1.822204,-3.089334,0.037300
11.368948,-4.447014,1.802512,-3.090296,0.038347
11.419032,-4.465462,1.783295,-3.091485,0.038716
11.469115,-4.484295,1.763746,-3.092166,0.038537
11.519199,-4.502628,1.743038,-3.092921,0.038342
11.569282,-4.520992,1.722994,-3.093276,0.038207
11.619366,-4.538911,1.702893,-3.094047,0.038294
11.669449,-4.556958,1.682690,-3.095025,0.038070
11.719533,-4.574224,1.662167,-3.095489,0.038389
11.769616,-4.591604,1.641229,-3.096089,0.038306
11.819699,-4.608219,1.621022,-3.097094,0.039015
11.869783,-4.625025,1.599863,-3.098075,0.039070
11.919866,-4.641337,1.578408,-3.099329,0.039306
11.969950,-4.657609,1.556960,-3.100029,0.039487
12.020033,-4.673391,1.536019,-3.101342,0.040141
12.070117,-4.688931,1.513451,-3.102125,0.040250
12.120200,-4.704300,1.491054,-3.103111,0.040428
12.170284,-4.720490,1.467921,-3.103377,0.039457
12.220367,-4.735782,1.444693,-3.103587,0.039130
12.270451,-4.751168,1.421295,-3.104287,0.038459
12.320534,-4.766355,1.398280,-3.104665,0.037986
12.370618,-4.781129,1.374948,-3.105356,0.037579
12.420701,-4.795814,1.352517,-3.105878,0.037466
12.470785,-4.810249,1.328961,-3.106317,0.036982
12.520868,-4.823755,1.304786,-3.106864,0.036916
12.570952,-4.837035,1.281704,-3.107647,0.037299
12.621035,-4.849538,1.257461,-3.108538,0.037734
12.671119,-4.862631,1.233451,-3.109349,0.037566
12.721202,-4.874929,1.208723,-3.110105,0.037671
12.771285,-4.887535,1.184635,-3.110734,0.037576
12.821369,-4.900014,1.160231,-3.111505,0.037277
12.871452,-4.912735,1.136120,-3.112412,0.036678
12.921536,-4.924156,1.111981,-3.112933,0.037117
12.971619,-4.936312,1.086799,-3.113222,0.036311
13.021703,-4.947903,1.061778,-3.113582,0.035893
13.071786,-4.959133,1.035480,-3.114654,0.034984
13.121870,-4.969951,1.010513,-3.115388,0.034845
13.171953,-4.980071,0.985859,-3.116329,0.035242
13.222037,-4.989122,0.961313,-3.117188,0.036467
13.272120,-4.998540,0.937324,-3.118229,0.037400
13.322204,-5.008176,0.912377,-3.119003,0.037578
13.372287,-5.017606,0.887438,-3.119669,0.037775
13.422371,-5.027093,0.862223,-3.120350,0.037615
