t_s,x_m,y_m,z_m,error_norm_m
0.000000,0.000000,0.000000,-3.000000,0.000000
0.025042,-0.000017,0.000012,-2.998421,0.000000
0.050083,-0.000188,0.000136,-2.996227,0.000000
0.075125,-0.000738,0.000536,-2.994739,0.000000
0.100167,-0.001887,0.001373,-2.994022,0.000000
0.125209,-0.003910,0.002843,-2.994072,0.000000
0.150250,-0.007126,0.005169,-2.994864,0.000000
0.175292,-0.011670,0.008436,-2.996260,0.000000
0.200334,-0.017766,0.012791,-2.998183,0.000000
0.225376,-0.025637,0.018377,-3.000544,0.000000
0.250417,-0.035718,0.025476,-3.003265,0.000000
0.275459,-0.048184,0.034186,-3.006198,0.000000
0.300501,-0.063143,0.044560,-3.009200,0.000000
0.325543,-0.080886,0.056765,-3.012131,0.000000
0.350584,-0.101679,0.070955,-3.014838,0.000000
0.375626,-0.126138,0.087501,-3.017080,0.000000
0.400668,-0.153988,0.106207,-3.018661,0.000000
0.425710,-0.185122,0.126985,-3.019069,0.000000
0.450751,-0.219397,0.149704,-3.017867,0.000000
0.475793,-0.257194,0.174498,-3.015235,0.000000
0.500835,-0.299053,0.201531,-3.011581,0.000000
0.525876,-0.344522,0.230417,-3.007077,0.000000
0.550918,-0.393412,0.260961,-3.001647,0.000000
0.575960,-0.445666,0.293108,-2.995463,0.000000
0.601002,-0.501579,0.327032,-2.988828,0.000000
0.626043,-0.560894,0.362660,-2.981922,0.000000
0.651085,-0.623326,0.399909,-2.974873,0.000000
0.676127,-0.688682,0.438734,-2.967791,0.000000
0.701169,-0.756700,0.479054,-2.960774,0.000000
0.726210,-0.827529,0.521031,-2.953942,0.000000
0.751252,-0.900653,0.564436,-2.947370,0.000000
0.776294,-0.975863,0.609214,-2.941130,0.000000
0.801336,-1.052980,0.655327,-2.935292,0.000000
0.826377,-1.131873,0.702779,-2.929941,0.000000
0.851419,-1.212444,0.751618,-2.925185,0.000000
0.876461,-1.294316,0.801659,-2.921018,0.000000
0.901503,-1.377297,0.852855,-2.917488,0.000000
0.926544,-1.461200,0.905167,-2.914632,0.000000
0.951586,-1.545881,0.958640,-2.912550,0.000000
0.976628,-1.631105,1.013241,-2.911291,0.000000
1.001669,-1.716601,1.068815,-2.910803,0.000000
1.026711,-1.802182,1.125311,-2.911089,0.000000
1.051753,-1.887635,1.182673,-2.912154,0.000000
1.076795,-1.972701,1.240955,-2.914100,0.000000
1.101836,-2.057214,1.300021,-2.916829,0.000000
1.126878,-2.140994,1.359815,-2.920314,0.000000
1.151920,-2.223820,1.420269,-2.924533,0.000000
1.176962,-2.305480,1.481366,-2.929481,0.000000
1.202003,-2.385641,1.543108,-2.935180,0.000000
1.227045,-2.464224,1.605347,-2.941499,0.000000
1.252087,-2.541078,1.668050,-2.948351,0.000000
1.277129,-2.616027,1.731184,-2.955653,0.000000
1.302170,-2.688584,1.794674,-2.963459,0.000000
1.327212,-2.758661,1.858433,-2.971697,0.000000
1.352254,-2.826279,1.922381,-2.980262,0.000000
1.377295,-2.891284,1.986438,-2.989070,0.000000
1.402337,-2.953508,2.050511,-2.998062,0.000000
1.427379,-3.012442,2.114534,-3.007179,0.000000
1.452421,-3.068276,2.178409,-3.016214,0.000000
