t_s,x_m,y_m,z_m,error_norm_m
0.000000,0.000000,0.000000,-3.000000,0.000000
0.050083,0.014936,-0.010907,-2.999292,0.041055
0.100167,0.014506,-0.011394,-2.999780,0.067637
0.150250,0.013852,0.014648,-2.999825,0.068842
0.200334,0.013148,0.043857,-2.999618,0.067005
0.250417,0.011689,0.071026,-2.998965,0.067044
0.300501,0.009557,0.099424,-2.998184,0.065796
0.350584,0.008951,0.126970,-2.998608,0.065750
0.400668,0.007730,0.153952,-2.998492,0.066183
0.450751,0.006304,0.181484,-2.999343,0.066076
0.500835,0.004458,0.208218,-2.999137,0.066706
0.550918,0.000835,0.235528,-2.997840,0.066373
0.601002,-0.001573,0.260861,-2.998379,0.068271
0.651085,-0.005302,0.287566,-2.998244,0.068552
0.701169,-0.008487,0.312514,-2.997185,0.070747
0.751252,-0.012770,0.340541,-2.997661,0.069661
0.801336,-0.015935,0.364225,-2.996313,0.073176
0.851419,-0.018375,0.390541,-2.996266,0.074371
0.901503,-0.023363,0.418752,-2.997075,0.073002
0.951586,-0.028141,0.445897,-2.995897,0.072864
1.001669,-0.034423,0.471535,-2.994473,0.073755
1.051753,-0.042117,0.497831,-2.994680,0.073525
1.101836,-0.047385,0.524317,-2.993620,0.073960
1.151920,-0.054544,0.550448,-2.993398,0.074136
1.202003,-0.059130,0.578822,-2.994320,0.072838
1.252087,-0.065077,0.602282,-2.995510,0.075813
1.302170,-0.070292,0.628017,-2.995542,0.077001
1.352254,-0.074822,0.651515,-2.995924,0.080555
1.402337,-0.082414,0.678432,-2.995547,0.079933
1.452421,-0.090263,0.706590,-2.995521,0.078070
1.502504,-0.096911,0.731772,-2.994850,0.079498
1.552588,-0.106654,0.758108,-2.994695,0.078667
1.602671,-0.112580,0.782546,-2.994348,0.081094
1.652755,-0.124395,0.810680,-2.995036,0.077759
1.702838,-0.133128,0.835536,-2.995184,0.078699
1.752922,-0.141851,0.860995,-2.995741,0.079071
1.803005,-0.150895,0.887728,-2.994822,0.078316
1.853088,-0.161086,0.915395,-2.996097,0.076068
1.903172,-0.172244,0.941621,-2.995284,0.074929
1.953255,-0.180427,0.965946,-2.993965,0.076863
2.003339,-0.190976,0.990433,-2.994135,0.077478
2.053422,-0.202024,1.016415,-2.993379,0.076677
2.103506,-0.211146,1.042946,-2.993487,0.076230
2.153589,-0.221029,1.068497,-2.994525,0.076248
