t_s,x_m,y_m,z_m,error_norm_m,score_hint
0.000000,2.602290,-0.014416,-3.050891,0.014624,95.963718
0.050083,2.601602,-0.014180,-3.051377,0.041491,95.963718
0.100167,2.601138,0.012563,-3.052724,0.042021,95.963718
0.150250,2.600327,0.038910,-3.053700,0.042934,95.963718
0.200334,2.599407,0.067628,-3.054462,0.041471,95.963718
0.250417,2.597850,0.094811,-3.054849,0.041514,95.963718
0.300501,2.595716,0.122911,-3.055127,0.040629,95.963718
0.350584,2.594656,0.150366,-3.056404,0.040405,95.963718
0.400668,2.593064,0.177392,-3.057229,0.040595,95.963718
0.450751,2.591246,0.204822,-3.058856,0.040367,95.963718
0.500835,2.589042,0.231646,-3.059598,0.040717,95.963718
0.550918,2.585435,0.258892,-3.059426,0.040544,95.963718
0.601002,2.582668,0.284647,-3.060782,0.041890,95.963718
0.651085,2.578839,0.311420,-3.061572,0.042137,95.963718
0.701169,2.575348,0.336863,-3.061589,0.043739,95.963718
0.751252,2.570962,0.364605,-3.062880,0.042927,95.963718
0.801336,2.567345,0.389076,-3.062649,0.045471,95.963718
0.851419,2.564201,0.415508,-3.063497,0.046064,95.963718
0.901503,2.559076,0.443347,-3.065055,0.045000,95.963718
0.951586,2.554039,0.470371,-3.064953,0.044822,95.963718
1.001669,2.547803,0.496250,-3.064642,0.045658,95.963718
1.051753,2.540439,0.522606,-3.065687,0.045799,95.963718
1.101836,2.534826,0.549087,-3.065672,0.046030,95.963718
1.151920,2.527724,0.575284,-3.066351,0.046323,95.963718
1.202003,2.522483,0.603145,-3.067980,0.044963,95.963718
1.252087,2.516152,0.627301,-3.069828,0.047142,95.963718
1.302170,2.510302,0.653144,-3.070707,0.047766,95.963718
1.352254,2.504897,0.677288,-3.071874,0.050116,95.963718
1.402337,2.497127,0.703974,-3.072404,0.049613,95.963718
1.452421,2.489097,0.731570,-3.073223,0.048118,95.963718
1.502504,2.481898,0.756910,-3.073499,0.049006,95.963718
1.552588,2.472312,0.783094,-3.074202,0.048553,95.963718
1.602671,2.465520,0.807828,-3.074741,0.050030,95.963718
1.652755,2.454245,0.835310,-3.076138,0.047827,95.963718
1.702838,2.445215,0.860307,-3.077080,0.048485,95.963718
1.752922,2.436126,0.885731,-3.078360,0.048637,95.963718
1.803005,2.426730,0.912083,-3.078404,0.047909,95.963718
1.853088,2.416407,0.939108,-3.080274,0.046103,95.963718
1.903172,2.405294,0.965023,-3.080399,0.045346,95.963718
1.953255,2.396346,0.989483,-3.080098,0.046486,95.963718
2.003339,2.385559,1.014036,-3.081033,0.046926,95.963718
2.053422,2.374333,1.039679,-3.081192,0.046278,95.963718
2.103506,2.364487,1.065703,-3.082067,0.045482,95.963718
2.153589,2.354006,1.090960,-3.083713,0.045137,95.963718
2.203673,2.342791,1.116551,-3.084600,0.044364,95.963718
2.253756,2.330799,1.141293,-3.085022,0.044176,95.963718
2.303840,2.318758,1.166095,-3.085160,0.043945,95.963718
2.353923,2.304656,1.191606,-3.086778,0.042056,95.963718
2.404007,2.291674,1.215545,-3.088351,0.041984,95.963718
2.454090,2.278053,1.237640,-3.088947,0.043526,95.963718
2.504174,2.265803,1.259828,-3.091087,0.045168,95.963718
2.554257,2.251454,1.282899,-3.091934,0.045422,95.963718
2.604341,2.239270,1.305541,-3.093052,0.046719,95.963718
2.654424,2.224867,1.328934,-3.094798,0.046440,95.963718
2.704508,2.211763,1.352657,-3.094286,0.046537,95.963718
2.754591,2.197662,1.377660,-3.094951,0.044952,95.963718
2.804674,2.181986,1.400302,-3.096733,0.044688,95.963718
2.854758,2.166108,1.420769,-3.097843,0.046391,95.963718
2.904841,2.153020,1.442519,-3.097884,0.048066,95.963718
2.954925,2.137085,1.464821,-3.099030,0.047939,95.963718
3.005008,2.121352,1.486274,-3.099741,0.048658,95.963718
3.055092,2.105257,1.507903,-3.101902,0.048853,95.963718
3.105175,2.089341,1.529412,-3.104001,0.049205,95.963718
3.155259,2.072967,1.549898,-3.105028,0.050330,95.963718
3.205342,2.056613,1.571138,-3.104597,0.050823,95.963718
3.255426,2.040285,1.592604,-3.105053,0.050994,95.963718
3.305509,2.023200,1.612469,-3.105689,0.052210,95.963718
3.355593,2.005831,1.632599,-3.106955,0.052932,95.963718
3.405676,1.991085,1.652243,-3.107336,0.055238,95.963718
3.455760,1.971443,1.672621,-3.108293,0.054626,95.963718
3.505843,1.953440,1.692669,-3.109191,0.054958,95.963718
3.555927,1.934746,1.712659,-3.108918,0.055094,95.963718
3.606010,1.914736,1.732866,-3.109228,0.054356,95.963718
3.656093,1.895978,1.753963,-3.110270,0.053139,95.963718
3.706177,1.876842,1.773788,-3.111150,0.052846,95.963718
3.756260,1.859165,1.791331,-3.112693,0.055037,95.963718
3.806344,1.838910,1.808842,-3.113763,0.056162,95.963718
3.856427,1.819340,1.828905,-3.113776,0.055270,95.963718
3.906511,1.799744,1.850039,-3.114955,0.053165,95.963718
3.956594,1.778790,1.868878,-3.117099,0.052350,95.963718
4.006678,1.760109,1.888085,-3.118327,0.052170,95.963718
4.056761,1.740360,1.905609,-3.119780,0.052927,95.963718
4.106845,1.720672,1.925304,-3.120598,0.051756,95.963718
4.156928,1.700358,1.943227,-3.120488,0.051853,95.963718
4.207012,1.679155,1.961278,-3.121057,0.051250,95.963718
4.257095,1.656811,1.977246,-3.122945,0.051692,95.963718
4.307179,1.635641,1.994081,-3.124069,0.051897,95.963718
4.357262,1.612529,2.011155,-3.124756,0.050939,95.963718
4.407346,1.591180,2.029097,-3.125101,0.049900,95.963718
4.457429,1.568919,2.044496,-3.127122,0.050447,95.963718
4.507513,1.548068,2.061538,-3.126816,0.050238,95.963718
4.557596,1.526358,2.078768,-3.126880,0.049356,95.963718
4.607679,1.503308,2.094135,-3.128081,0.049223,95.963718
4.657763,1.482978,2.109280,-3.129780,0.050412,95.963718
4.707846,1.459673,2.122616,-3.130795,0.051684,95.963718
4.757930,1.437715,2.137176,-3.132276,0.052373,95.963718
4.808013,1.412348,2.151329,-3.133113,0.051745,95.963718
4.858097,1.390920,2.166630,-3.134483,0.051737,95.963718
4.908180,1.368504,2.181860,-3.135559,0.051251,95.963718
4.958264,1.345478,2.193894,-3.137058,0.053093,95.963718
5.008347,1.323138,2.206861,-3.136136,0.054453,95.963718
5.058431,1.298314,2.218620,-3.137395,0.055380,95.963718
5.108514,1.274745,2.232726,-3.137572,0.054784,95.963718
5.158598,1.251414,2.243610,-3.137720,0.056978,95.963718
5.208681,1.228533,2.256232,-3.138754,0.057641,95.963718
5.258765,1.205265,2.268002,-3.139455,0.058739,95.963718
5.308848,1.182126,2.281589,-3.140828,0.058149,95.963718
5.358932,1.157410,2.291898,-3.141732,0.059442,95.963718
5.409015,1.134383,2.303687,-3.142490,0.060200,95.963718
5.459098,1.111171,2.314489,-3.143358,0.061556,95.963718
5.509182,1.086484,2.326432,-3.143522,0.061063,95.963718
