t_s,x_m,y_m,z_m,error_norm_m
0.000000,0.000000,0.000000,-3.000000,0.000000
0.038397,-0.000007,-0.000027,-2.997345,0.000000
0.076795,-0.000131,-0.000493,-2.992954,0.000000
0.115192,-0.000581,-0.002205,-2.989569,0.000000
0.153589,-0.001555,-0.005961,-2.987359,0.000000
0.191987,-0.003239,-0.012554,-2.986179,0.000000
0.230384,-0.005811,-0.022771,-2.985844,0.000000
0.268781,-0.009443,-0.037417,-2.986122,0.000000
0.307179,-0.014302,-0.057307,-2.986730,0.000000
0.345576,-0.020524,-0.083167,-2.987337,0.000000
0.383973,-0.028176,-0.115436,-2.987081,0.000000
0.422371,-0.037176,-0.154081,-2.984621,0.000000
0.460768,-0.047376,-0.199157,-2.979583,0.000000
0.499165,-0.058641,-0.251115,-2.973199,0.000000
0.537563,-0.070773,-0.310253,-2.966407,0.000000
0.575960,-0.083431,-0.375915,-2.959474,0.000000
0.614357,-0.096305,-0.447515,-2.952619,0.000000
0.652755,-0.109103,-0.524608,-2.946035,0.000000
0.691152,-0.121537,-0.606732,-2.939891,0.000000
0.729549,-0.133317,-0.693425,-2.934340,0.000000
0.767947,-0.144154,-0.784221,-2.929511,0.000000
0.806344,-0.153709,-0.878731,-2.925548,0.000000
0.844741,-0.161728,-0.976346,-2.922514,0.000000
0.883139,-0.167928,-1.076569,-2.920474,0.000000
0.921536,-0.172029,-1.178899,-2.919473,0.000000
0.959933,-0.173759,-1.282835,-2.919530,0.000000
0.998331,-0.172845,-1.387869,-2.920642,0.000000
1.036728,-0.168969,-1.493495,-2.922806,0.000000
1.075125,-0.161824,-1.599182,-2.925986,0.000000
1.113523,-0.151231,-1.704418,-2.930087,0.000000
1.151920,-0.136945,-1.808670,-2.935019,0.000000
1.190317,-0.118721,-1.911454,-2.940673,0.000000
1.228715,-0.096322,-2.012275,-2.946920,0.000000
1.267112,-0.069519,-2.110635,-2.953609,0.000000
1.305509,-0.037881,-2.205915,-2.960572,0.000000
1.343907,-0.001290,-2.297619,-2.967591,0.000000
1.382304,0.040392,-2.385314,-2.974448,0.000000
1.420701,0.087368,-2.468523,-2.980905,0.000000
1.459098,0.139835,-2.546781,-2.986709,0.000000
1.497496,0.197827,-2.619750,-2.991300,0.000000
1.535893,0.261324,-2.687183,-2.994175,0.000000
1.574290,0.330548,-2.748674,-2.995400,0.000000
1.612688,0.405473,-2.804109,-2.995290,0.000000
1.651085,0.485962,-2.853500,-2.993681,0.000000
1.689482,0.571827,-2.896886,-2.990492,0.000000
1.727880,0.662978,-2.934291,-2.985971,0.000000
1.766277,0.759280,-2.965777,-2.980432,0.000000
1.804674,0.860664,-2.991325,-2.973994,0.000000
1.843072,0.966886,-3.010955,-2.966865,0.000000
1.881469,1.077473,-3.025034,-2.959270,0.000000
1.919866,1.192143,-3.033682,-2.951355,0.000000
