t_s,x_m,y_m,z_m,error_norm_m
0.000000,0.000000,0.000000,-3.000000,0.000000
0.046745,0.006719,-0.012055,-2.995216,1.265033
0.093489,0.004789,-0.011515,-2.994868,1.111638
0.140234,0.136682,-0.059742,-1.738331,0.318272
0.186978,0.163268,-0.068828,-1.895340,0.319932
0.233723,0.191209,-0.080139,-2.052147,0.321996
0.280467,0.223244,-0.091161,-2.209747,0.323082
0.327212,0.256386,-0.102860,-2.366838,0.324995
0.373957,0.292532,-0.115825,-2.524151,0.326615
0.420701,0.330487,-0.130087,-2.681339,0.328530
0.467446,0.371751,-0.144695,-2.837975,0.182676
0.514190,0.414299,-0.160635,-2.994422,0.087417
0.560935,0.458063,-0.176445,-2.994861,0.089116
0.607679,0.502945,-0.192256,-2.993775,0.089839
0.654424,0.549423,-0.206873,-2.993781,0.089326
0.701169,0.595979,-0.222770,-2.993398,0.088418
0.747913,0.638736,-0.240413,-2.994207,0.090504
0.794658,0.686389,-0.257230,-2.994455,0.088224
0.841402,0.730099,-0.274596,-2.992999,0.089656
0.888147,0.773279,-0.291954,-2.992691,0.091533
0.934891,0.817064,-0.309662,-2.991817,0.092801
0.981636,0.864722,-0.326753,-2.990656,0.090557
1.028381,0.910502,-0.343353,-2.991997,0.090006
1.075125,0.957160,-0.360783,-2.991781,0.088540
1.121870,0.999967,-0.377261,-2.992032,0.090984
1.168614,1.044521,-0.395120,-2.991562,0.091467
1.215359,1.089573,-0.409412,-2.990385,0.092447
1.262104,1.133323,-0.425865,-2.989864,0.094065
1.308848,1.177169,-0.443702,-2.990990,0.095067
1.355593,1.221879,-0.459784,-2.990528,0.095847
1.402337,1.267102,-0.475994,-2.990435,0.096068
1.449082,1.308689,-0.493478,-2.989960,0.099507
1.495826,1.352525,-0.509939,-2.989225,0.101066
1.542571,1.398495,-0.525041,-2.989394,0.100811
1.589316,1.444564,-0.542385,-2.990833,0.099777
1.636060,1.488411,-0.559479,-2.990846,0.101091
1.682805,1.532297,-0.577387,-2.992078,0.102079
1.729549,1.578519,-0.593421,-2.992596,0.101315
1.776294,1.622062,-0.609963,-2.992579,0.103067
1.823038,1.668274,-0.625474,-2.993216,0.102442
1.869783,1.714480,-0.641848,-2.994407,0.101590
1.916528,1.761735,-0.656855,-2.995322,0.100122
1.963272,1.805400,-0.671551,-2.994545,0.102305
2.010017,1.847784,-0.688928,-2.994289,0.104932
2.056761,1.892873,-0.703589,-2.994458,0.105716
2.103506,1.938386,-0.720375,-2.993769,0.105537
2.150250,1.984159,-0.736695,-2.994439,0.105172
2.196995,2.028622,-0.754656,-2.995561,0.105564
2.243740,2.072002,-0.770847,-2.995791,0.107550
2.290484,2.117922,-0.786179,-2.995213,0.107389
2.337229,2.163068,-0.804339,-2.995317,0.107120
2.383973,2.206235,-0.821365,-2.995371,0.109084
2.430718,2.253041,-0.836309,-2.995976,0.108129
2.477462,2.298389,-0.851880,-2.997917,0.108377
2.524207,2.343405,-0.869093,-2.998559,0.108494
2.570952,2.387901,-0.886805,-2.996922,0.109011
2.617696,2.433384,-0.903704,-2.996386,0.108807
2.664441,2.478839,-0.919412,-2.995244,0.109002
2.711185,2.523812,-0.937417,-2.994763,0.108971
2.757930,2.569342,-0.956135,-2.994468,0.108221
2.804674,2.614040,-0.972934,-2.994698,0.108775
2.851419,2.660889,-0.989120,-2.994559,0.107442
2.898164,2.703498,-1.007866,-2.994092,0.109539
2.944908,2.751963,-1.025452,-2.995056,0.106221
2.991653,2.796115,-1.040209,-2.993849,0.107899
3.038397,2.842681,-1.056839,-2.993600,0.106725
3.085142,2.886588,-1.072866,-2.993282,0.108275
3.131886,2.930441,-1.090990,-2.993240,0.109313
3.178631,2.976167,-1.107406,-2.993501,0.108970
3.225376,3.021991,-1.123881,-2.993894,0.108512
3.272120,3.069181,-1.138498,-2.993216,0.107308
3.318865,3.113609,-1.153074,-2.993325,0.108760
3.365609,3.158713,-1.168470,-2.992491,0.109404
3.412354,3.204744,-1.186165,-2.993456,0.108357
3.459098,3.250082,-1.204314,-2.993550,0.107900
3.505843,3.293720,-1.221828,-2.992557,0.108995
3.552588,3.339102,-1.237726,-2.994541,0.106258
3.599332,3.384069,-1.254645,-2.994462,0.101348
3.646077,3.428164,-1.269105,-2.994397,0.095520
3.692821,3.470174,-1.281477,-2.995037,0.089779
3.739566,3.507408,-1.293662,-2.994939,0.086377
3.786311,3.544322,-1.304774,-2.995008,0.081192
3.833055,3.578154,-1.313554,-2.994082,0.077263
3.879800,3.611735,-1.319253,-2.995233,0.071623
3.926544,3.637478,-1.323798,-2.996607,0.071538
3.973289,3.666436,-1.330922,-2.997616,0.065750
4.020033,3.690165,-1.335462,-2.999187,0.063384
4.066778,3.714383,-1.337850,-2.999571,0.058720
4.113523,3.738177,-1.337269,-2.999520,0.052504
4.160267,3.757284,-1.337182,-2.999078,0.049210
4.207012,3.775660,-1.337386,-2.998287,0.045471
4.253756,3.790309,-1.337563,-2.999800,0.044435
4.300501,3.803790,-1.333167,-3.000463,0.042352
4.347245,3.816446,-1.327425,-3.001577,0.040060
4.393990,3.825949,-1.319525,-3.000978,0.039326
4.440735,3.832236,-1.307465,-3.001231,0.037733
4.487479,3.838474,-1.296320,-3.003316,0.036498
4.534224,3.843588,-1.284218,-3.003454,0.035621
4.580968,3.848884,-1.273941,-3.004901,0.035755
4.627713,3.852423,-1.265017,-3.006104,0.038070
4.674457,3.855602,-1.254797,-3.005507,0.039956
4.721202,3.860471,-1.242681,-3.005880,0.039204
4.767947,3.867159,-1.231914,-3.006741,0.038196
4.814691,3.871045,-1.222254,-3.008041,0.039696
4.861436,3.876808,-1.210697,-3.008048,0.038871
4.908180,3.883588,-1.202238,-3.008751,0.039709
4.954925,3.888781,-1.191670,-3.008706,0.040038
5.001669,3.891702,-1.180813,-3.007904,0.041641
5.048414,3.897131,-1.168577,-3.009789,0.040056
5.095159,3.899660,-1.155159,-3.010373,0.039795
5.141903,3.903463,-1.144755,-3.011720,0.040780
5.188648,3.908467,-1.131837,-3.012680,0.039339
5.235392,3.911835,-1.121218,-3.012026,0.041043
5.282137,3.916681,-1.110671,-3.010816,0.041968
5.328881,3.920662,-1.100750,-3.012053,0.043160
5.375626,3.924586,-1.090084,-3.013471,0.043874
5.422371,3.928916,-1.081903,-3.014777,0.045968
5.469115,3.934721,-1.069608,-3.014681,0.044716
5.515860,3.939152,-1.058490,-3.014672,0.045199
5.562604,3.942392,-1.046258,-3.015222,0.045701
5.609349,3.948213,-1.035265,-3.016621,0.044847
5.656093,3.954356,-1.022484,-3.018392,0.042562
5.702838,3.959238,-1.010184,-3.020807,0.041356
5.749583,3.961590,-0.999357,-3.020304,0.043804
5.796327,3.967783,-0.987587,-3.021063,0.042392
5.843072,3.970960,-0.977926,-3.022857,0.044224
5.889816,3.977043,-0.965699,-3.023524,0.042666
5.936561,3.981677,-0.952969,-3.024534,0.041941
5.983306,3.989184,-0.941932,-3.026594,0.039485
6.030050,3.993898,-0.932311,-3.027056,0.040481
6.076795,3.999274,-0.924425,-3.028361,0.041779
6.123539,4.008284,-0.913617,-3.030283,0.038577
6.170284,4.012288,-0.902906,-3.031689,0.039270
6.217028,4.019251,-0.890831,-3.033730,0.036795
6.263773,4.024456,-0.879677,-3.037221,0.036017
6.310518,4.029338,-0.869627,-3.037735,0.036685
6.357262,4.035310,-0.858734,-3.039208,0.035877
6.404007,4.041530,-0.846954,-3.039694,0.034416
6.450751,4.046393,-0.835928,-3.040512,0.034403
6.497496,4.049972,-0.826324,-3.041226,0.036298
6.544240,4.056755,-0.816583,-3.041919,0.035849
6.590985,4.061136,-0.804814,-3.041897,0.035762
6.637730,4.065904,-0.794497,-3.043153,0.036238
6.684474,4.070941,-0.782312,-3.043727,0.035336
6.731219,4.077234,-0.772588,-3.045022,0.035156
6.777963,4.082708,-0.761196,-3.046021,0.034427
6.824708,4.088733,-0.752746,-3.046371,0.035605
6.871452,4.090437,-0.741284,-3.047788,0.037263
6.918197,4.097221,-0.729897,-3.049090,0.035604
6.964942,4.102242,-0.718800,-3.049600,0.035459
7.011686,4.107378,-0.710180,-3.050353,0.037035
7.058431,4.110463,-0.699084,-3.051152,0.038129
7.105175,4.113295,-0.685644,-3.051578,0.037929
7.151920,4.118262,-0.674866,-3.052943,0.037938
7.198664,4.122170,-0.662699,-3.051776,0.038221
7.245409,4.126979,-0.652199,-3.052096,0.038686
7.292154,4.133397,-0.639399,-3.053229,0.036349
7.338898,4.136814,-0.627908,-3.053312,0.037359
7.385643,4.139240,-0.617341,-3.053854,0.039644
7.432387,4.144222,-0.607086,-3.053315,0.040296
7.479132,4.150861,-0.593843,-3.054551,0.037585
7.525876,4.155035,-0.583514,-3.054727,0.038700
7.572621,4.159856,-0.573772,-3.055783,0.039397
7.619366,4.164117,-0.565054,-3.054839,0.041638
7.666110,4.167531,-0.557486,-3.054128,0.045204
7.712855,4.171340,-0.545295,-3.055887,0.045082
7.759599,4.174727,-0.535739,-3.057461,0.046906
7.806344,4.180867,-0.522616,-3.057791,0.044856
7.853088,4.188024,-0.512906,-3.059094,0.043718
7.899833,4.193333,-0.504676,-3.059620,0.045180
7.946578,4.197256,-0.495129,-3.060005,0.046914
7.993322,4.203296,-0.483217,-3.060599,0.045553
8.040067,4.209608,-0.471678,-3.062188,0.043971
8.086811,4.215592,-0.462148,-3.061607,0.044526
8.133556,4.222205,-0.451764,-3.061486,0.044037
8.180301,4.226297,-0.440764,-3.064357,0.043966
8.227045,4.230959,-0.429935,-3.066054,0.043999
8.273790,4.236298,-0.418461,-3.067490,0.043202
8.320534,4.240864,-0.405283,-3.067933,0.042086
8.367279,4.245515,-0.393154,-3.068867,0.041523
8.414023,4.250338,-0.384788,-3.070709,0.042996
8.460768,4.256982,-0.377368,-3.071712,0.044164
8.507513,4.260459,-0.365718,-3.072740,0.044610
8.554257,4.266157,-0.353294,-3.074087,0.042949
8.601002,4.270843,-0.341968,-3.074962,0.042850
8.647746,4.277214,-0.329841,-3.076922,0.040802
8.694491,4.282351,-0.319651,-3.077854,0.041139
8.741235,4.288219,-0.309585,-3.077813,0.041246
8.787980,4.291135,-0.299581,-3.078525,0.043311
8.834725,4.295488,-0.287177,-3.078336,0.042951
8.881469,4.297896,-0.274359,-3.079510,0.043593
8.928214,4.304524,-0.264738,-3.081025,0.042985
8.974958,4.307810,-0.253099,-3.080625,0.044056
9.021703,4.312814,-0.240637,-3.082086,0.042972
9.068447,4.316314,-0.230215,-3.083845,0.044233
9.115192,4.318730,-0.217305,-3.085012,0.045059
9.161937,4.323645,-0.207514,-3.085931,0.045250
9.208681,4.326734,-0.196502,-3.086502,0.046033
9.255426,4.329484,-0.186512,-3.087101,0.047376
9.302170,4.333515,-0.177784,-3.089288,0.048107
9.348915,4.338041,-0.166717,-3.090181,0.047196
9.395659,4.339284,-0.152305,-3.091264,0.046110
9.442404,4.338144,-0.137289,-3.092060,0.046180
9.489149,4.341378,-0.124347,-3.094247,0.044160
9.535893,4.341483,-0.111055,-3.095550,0.044128
9.582638,4.341831,-0.098070,-3.096321,0.044175
9.629382,4.340926,-0.084347,-3.097736,0.044360
9.676127,4.339636,-0.068768,-3.098989,0.043279
9.722871,4.336448,-0.053645,-3.099266,0.043707
9.769616,4.333801,-0.038826,-3.101041,0.043940
9.816361,4.328765,-0.024425,-3.101920,0.045889
9.863105,4.327228,-0.008300,-3.101955,0.044879
9.909850,4.321333,0.010576,-3.102030,0.043465
9.956594,4.315771,0.028013,-3.103971,0.043038
10.003339,4.310374,0.045303,-3.104102,0.043011
10.050083,4.301778,0.062442,-3.106644,0.044059
10.096828,4.295684,0.078545,-3.108053,0.045275
10.143573,4.288898,0.094557,-3.108212,0.046972
10.190317,4.283084,0.112070,-3.108685,0.046945
10.237062,4.276255,0.130172,-3.109444,0.046664
10.283806,4.268943,0.150125,-3.109365,0.044893
10.330551,4.261876,0.169262,-3.110501,0.043667
10.377295,4.254930,0.187598,-3.112454,0.043051
10.424040,4.248619,0.203299,-3.113724,0.044825
10.470785,4.239992,0.221082,-3.113626,0.045494
10.517529,4.233163,0.238422,-3.113440,0.046064
10.564274,4.226797,0.256177,-3.115524,0.045796
10.611018,4.219329,0.273433,-3.115759,0.046581
10.657763,4.212330,0.291310,-3.116885,0.046520
10.704508,4.205466,0.309072,-3.118958,0.046416
10.751252,4.199774,0.326700,-3.119836,0.046277
10.797997,4.195428,0.345663,-3.121236,0.044546
10.844741,4.185969,0.362872,-3.123004,0.045640
10.891486,4.178779,0.379437,-3.123933,0.046928
10.938230,4.171785,0.395419,-3.125504,0.048687
10.984975,4.164763,0.412300,-3.126159,0.049657
11.031720,4.159502,0.430043,-3.126930,0.049427
11.078464,4.153085,0.446803,-3.127387,0.050445
11.125209,4.146880,0.465397,-3.127773,0.049653
11.171953,4.140234,0.484329,-3.128469,0.048578
11.218698,4.133449,0.500212,-3.128982,0.050549
11.265442,4.127091,0.514923,-3.129948,0.053588
11.312187,4.119599,0.532179,-3.129876,0.054366
11.358932,4.112372,0.549076,-3.130049,0.055450
11.405676,4.104882,0.568187,-3.130844,0.054307
11.452421,4.098314,0.585885,-3.131333,0.054493
11.499165,4.092359,0.603899,-3.132912,0.054161
11.545910,4.085481,0.622146,-3.133983,0.053766
11.592654,4.076379,0.639649,-3.135160,0.054309
11.639399,4.069013,0.656475,-3.135408,0.055474
11.686144,4.061673,0.673767,-3.136249,0.056096
11.732888,4.053425,0.692772,-3.136065,0.055319
11.779633,4.044467,0.708698,-3.136607,0.057577
11.826377,4.037809,0.725339,-3.137769,0.058676
11.873122,4.030811,0.741940,-3.138761,0.059900
11.919866,4.023759,0.762559,-3.138818,0.057372
11.966611,4.016859,0.778492,-3.138693,0.059429
12.013356,4.009825,0.796586,-3.138084,0.059527
12.060100,4.001843,0.813393,-3.139807,0.060536
12.106845,3.993240,0.830555,-3.140531,0.061521
12.153589,3.985898,0.847337,-3.140975,0.062722
12.200334,3.977338,0.868409,-3.142725,0.059771
12.247078,3.969360,0.888617,-3.144180,0.057633
