t_s,x_m,y_m,z_m,error_norm_m,score_hint
0.000000,-2.057973,0.821771,-1.677244,1.666934,95.018365
0.046745,-2.057312,-0.852094,-1.582812,0.275291,95.018365
0.093489,-2.249839,-0.935394,-1.739785,0.273579,95.018365
0.140234,-2.436725,-1.019315,-1.897302,0.273549,95.018365
0.186978,-2.621653,-1.102644,-2.054485,0.273161,95.018365
0.233723,-2.804475,-1.186988,-2.211500,0.271999,95.018365
0.280467,-2.983137,-1.270461,-2.369175,0.271691,95.018365
0.327212,-3.159878,-1.353789,-2.526427,0.270943,95.018365
0.373957,-3.333275,-1.437412,-2.683863,0.270364,95.018365
0.420701,-3.504225,-1.521354,-2.841194,0.269434,95.018365
0.467446,-3.671603,-1.604902,-2.998067,0.019893,95.018365
0.514190,-3.617202,-1.605090,-2.997518,0.020344,95.018365
0.560935,-3.563663,-1.604527,-2.997884,0.021351,95.018365
0.607679,-3.509285,-1.603964,-2.996979,0.021718,95.018365
0.654424,-3.453710,-1.602506,-2.996984,0.020696,95.018365
0.701169,-3.398078,-1.602009,-2.996665,0.019833,95.018365
0.747913,-3.345294,-1.602820,-2.997339,0.021769,95.018365
0.794658,-3.288838,-1.603012,-2.997546,0.020102,95.018365
0.841402,-3.235339,-1.603616,-2.996333,0.021605,95.018365
0.888147,-3.182238,-1.604214,-2.996076,0.023360,95.018365
0.934891,-3.128683,-1.605074,-2.995347,0.024816,95.018365
0.981636,-3.072224,-1.605471,-2.994380,0.023489,95.018365
1.028381,-3.017173,-1.605501,-2.995498,0.022975,95.018365
1.075125,-2.961464,-1.606152,-2.995318,0.022281,95.018365
1.121870,-2.908642,-1.606090,-2.995527,0.024050,95.018365
1.168614,-2.854510,-1.607064,-2.995135,0.024977,95.018365
1.215359,-2.800006,-1.605362,-2.994154,0.025004,95.018365
1.262104,-2.746477,-1.605281,-2.993720,0.026256,95.018365
1.308848,-2.692877,-1.606239,-2.994659,0.027361,95.018365
1.355593,-2.638628,-1.605879,-2.994273,0.027845,95.018365
1.402337,-2.583995,-1.605616,-2.994196,0.027926,95.018365
1.449082,-2.532088,-1.606308,-2.993800,0.030878,95.018365
1.495826,-2.478496,-1.606233,-2.993187,0.032106,95.018365
1.542571,-2.423302,-1.605139,-2.993329,0.031461,95.018365
1.589316,-2.368034,-1.605726,-2.994528,0.030838,95.018365
1.636060,-2.314433,-1.606126,-2.994538,0.032030,95.018365
1.682805,-2.260802,-1.607137,-2.995565,0.033169,95.018365
1.729549,-2.205420,-1.606741,-2.995997,0.032425,95.018365
1.776294,-2.152046,-1.606727,-2.995982,0.033769,95.018365
1.823038,-2.096671,-1.605939,-2.996513,0.032958,95.018365
1.869783,-2.041301,-1.605800,-2.997506,0.032242,95.018365
1.916528,-1.985143,-1.604634,-2.998269,0.030621,95.018365
1.963272,-1.931679,-1.603235,-2.997621,0.031767,95.018365
2.010017,-1.879174,-1.603847,-2.997408,0.034082,95.018365
2.056761,-1.824642,-1.602422,-2.997548,0.034165,95.018365
2.103506,-1.769791,-1.602591,-2.996974,0.034131,95.018365
2.150250,-1.714745,-1.602410,-2.997532,0.033786,95.018365
2.196995,-1.660682,-1.603460,-2.998467,0.034512,95.018365
2.243740,-1.607431,-1.603183,-2.998660,0.035978,95.018365
2.290484,-1.552275,-1.602261,-2.998178,0.035532,95.018365
2.337229,-1.497699,-1.603461,-2.998264,0.035805,95.018365
2.383973,-1.444608,-1.603809,-2.998309,0.037495,95.018365
2.430718,-1.388787,-1.602596,-2.998813,0.036312,95.018365
2.477462,-1.334060,-1.601855,-3.000430,0.036281,95.018365
2.524207,-1.279582,-1.602343,-3.000966,0.036598,95.018365
2.570952,-1.225494,-1.603206,-2.999601,0.037321,95.018365
2.617696,-1.170666,-1.603460,-2.999155,0.037280,95.018365
2.664441,-1.115859,-1.602820,-2.998203,0.037211,95.018365
2.711185,-1.061413,-1.603904,-2.997803,0.037640,95.018365
2.757930,-1.006549,-1.605521,-2.997557,0.037753,95.018365
2.804674,-0.952309,-1.605699,-2.997749,0.038279,95.018365
2.851419,-0.896457,-1.605419,-2.997632,0.037164,95.018365
2.898164,-0.843784,-1.607058,-2.997243,0.039509,95.018365
2.944908,-0.786719,-1.607826,-2.998047,0.037350,95.018365
2.991653,-0.732889,-1.606473,-2.997041,0.038068,95.018365
3.038397,-0.677249,-1.606525,-2.996833,0.037228,95.018365
3.085142,-0.623602,-1.606125,-2.996569,0.038275,95.018365
3.131886,-0.569996,-1.607297,-2.996533,0.039610,95.018365
3.178631,-0.514986,-1.607188,-2.996751,0.039324,95.018365
3.225376,-0.459902,-1.607124,-2.997078,0.038968,95.018365
3.272120,-0.403794,-1.605666,-2.996514,0.037444,95.018365
3.318865,-0.349756,-1.604177,-2.996604,0.037953,95.018365
3.365609,-0.295212,-1.603303,-2.995909,0.038147,95.018365
3.412354,-0.239973,-1.604154,-2.996713,0.037676,95.018365
3.459098,-0.185253,-1.605345,-2.996792,0.037857,95.018365
3.505843,-0.131809,-1.606060,-2.995964,0.039333,95.018365
3.552588,-0.077056,-1.605562,-2.997617,0.039130,95.018365
3.599332,-0.022394,-1.605982,-2.997546,0.039290,95.018365
3.646077,0.033192,-1.605636,-2.997451,0.038427,95.018365
3.692821,0.088793,-1.604803,-2.997906,0.037451,95.018365
3.739566,0.142391,-1.604908,-2.997710,0.038625,95.018365
3.786311,0.197327,-1.605286,-2.997617,0.038505,95.018365
3.833055,0.251529,-1.604995,-2.996658,0.039086,95.018365
3.879800,0.307121,-1.603472,-2.997393,0.038035,95.018365
3.926544,0.358413,-1.602161,-2.998278,0.041345,95.018365
3.973289,0.413695,-1.603863,-2.998823,0.040929,95.018365
4.020033,0.466633,-1.604706,-2.999799,0.042809,95.018365
4.066778,0.521516,-1.605014,-2.999750,0.042720,95.018365
4.113523,0.577660,-1.604174,-2.999301,0.041256,95.018365
4.160267,0.631866,-1.604783,-2.998491,0.041891,95.018365
4.207012,0.687102,-1.606688,-2.997353,0.041736,95.018365
4.253756,0.741122,-1.609652,-2.998099,0.042990,95.018365
4.300501,0.795844,-1.610265,-2.998100,0.043167,95.018365
4.347245,0.851525,-1.610947,-2.998440,0.042428,95.018365
4.393990,0.906420,-1.611089,-2.997317,0.042390,95.018365
4.440735,0.960481,-1.609190,-2.996867,0.042642,95.018365
4.487479,1.015863,-1.608905,-2.997912,0.041908,95.018365
4.534224,1.070402,-1.607902,-2.997335,0.041954,95.018365
4.580968,1.125077,-1.608268,-2.997848,0.042077,95.018365
4.627713,1.178434,-1.609648,-2.998159,0.043719,95.018365
4.674457,1.231522,-1.610056,-2.996969,0.045500,95.018365
4.721202,1.285876,-1.609043,-2.996588,0.045708,95.018365
4.767947,1.341596,-1.609041,-2.996614,0.044766,95.018365
4.814691,1.395213,-1.609869,-2.997004,0.046024,95.018365
4.861436,1.450239,-1.609276,-2.996318,0.045689,95.018365
4.908180,1.506027,-1.611004,-2.996211,0.045084,95.018365
4.954925,1.560625,-1.611152,-2.995482,0.045341,95.018365
5.001669,1.613519,-1.611082,-2.994122,0.047275,95.018365
5.048414,1.668294,-1.609979,-2.995000,0.046910,95.018365
5.095159,1.720894,-1.607989,-2.994795,0.048664,95.018365
