t_s,x_m,y_m,z_m,error_norm_m
0.000000,0.000000,0.000000,-3.000000,0.000000
0.031720,0.005149,-0.004924,-2.995954,0.007743
0.063439,0.005125,-0.004394,-2.994711,0.007427
0.095159,0.005680,-0.004250,-2.993473,0.008317
0.126878,0.005973,-0.003412,-2.993150,0.009045
0.158598,0.007633,-0.001530,-2.993624,0.010796
0.190317,0.010699,0.002119,-2.995004,0.012849
0.222037,0.014684,0.008323,-2.996406,0.015422
0.253756,0.021289,0.016815,-2.998503,0.018621
0.285476,0.028986,0.028470,-3.000494,0.022570
0.317195,0.039625,0.043619,-3.002862,0.026926
0.348915,0.052641,0.063067,-3.005277,0.030933
0.380634,0.068400,0.086379,-3.007023,0.035253
0.412354,0.087087,0.113858,-3.005591,0.039565
0.444073,0.108349,0.145297,-3.002791,0.044839
0.475793,0.133033,0.181120,-2.998755,0.049611
0.507513,0.160447,0.221202,-2.994632,0.054771
0.539232,0.190268,0.265145,-2.989695,0.059992
0.570952,0.223986,0.312516,-2.985107,0.065350
0.602671,0.260329,0.364530,-2.979901,0.069604
0.634391,0.299145,0.420208,-2.973964,0.073993
0.666110,0.340461,0.478277,-2.968057,0.079022
0.697830,0.384934,0.539870,-2.962671,0.083343
0.729549,0.432642,0.603414,-2.957708,0.087851
0.761269,0.482602,0.670442,-2.952280,0.091747
0.792988,0.536321,0.740269,-2.947145,0.094231
0.824708,0.591473,0.812027,-2.942355,0.097556
0.856427,0.649450,0.885254,-2.937801,0.100455
0.888147,0.709496,0.959558,-2.933971,0.104190
0.919866,0.771672,1.036636,-2.931039,0.106344
0.951586,0.837012,1.113798,-2.929074,0.108879
0.983306,0.904384,1.191690,-2.927516,0.111024
1.015025,0.973765,1.270311,-2.925557,0.113109
1.046745,1.045880,1.348749,-2.924446,0.114607
1.078464,1.118912,1.426951,-2.924138,0.116820
1.110184,1.195054,1.504581,-2.923846,0.118137
1.141903,1.272786,1.581446,-2.925329,0.119500
1.173623,1.353059,1.657506,-2.926459,0.120030
1.205342,1.435189,1.732655,-2.928652,0.120024
1.237062,1.518085,1.805671,-2.931088,0.120873
1.268781,1.603159,1.876950,-2.934508,0.121008
1.300501,1.689588,1.945440,-2.938920,0.121422
1.332220,1.778194,2.011965,-2.943800,0.120846
1.363940,1.867606,2.076495,-2.948184,0.119940
1.395659,1.958002,2.137443,-2.952894,0.119662
1.427379,2.049990,2.195725,-2.958505,0.118211
1.459098,2.142636,2.249028,-2.964638,0.117921
1.490818,2.235985,2.300392,-2.971067,0.116411
1.522538,2.329845,2.347703,-2.977413,0.115335
1.554257,2.424757,2.390287,-2.983976,0.113859
1.585977,2.521187,2.427997,-2.989549,0.111801
1.617696,2.616386,2.461481,-2.995050,0.110996
1.649416,2.712521,2.490124,-3.000004,0.109747
1.681135,2.808592,2.514195,-3.004824,0.108795
1.712855,2.905246,2.532979,-3.009120,0.107705
1.744574,3.002228,2.546608,-3.012389,0.106556
1.776294,3.098534,2.555314,-3.015414,0.106302
1.808013,3.195294,2.558194,-3.017395,0.105767
1.839733,3.291127,2.555402,-3.019114,0.106174
1.871452,3.387217,2.547593,-3.019763,0.106166
1.903172,3.483096,2.534528,-3.020081,0.106100
1.934891,3.578501,2.516571,-3.019585,0.106051
1.966611,3.673477,2.494477,-3.018656,0.105992
1.998331,3.767540,2.467675,-3.017817,0.106204
2.030050,3.860502,2.435000,-3.016673,0.106397
2.061770,3.952478,2.397673,-3.015673,0.106509
