t_s,x_m,y_m,z_m,error_norm_m
0.000000,0.000000,0.000000,-3.000000,0.000000
0.031720,0.000037,0.000054,-2.998960,0.000000
0.063439,0.000227,0.000331,-2.997686,0.000000
0.095159,0.001007,0.001469,-2.997298,0.000000
0.126878,0.002511,0.003657,-2.997605,0.000000
0.158598,0.005285,0.007691,-2.998725,0.000000
0.190317,0.009435,0.013714,-3.000394,0.000000
0.222037,0.015468,0.022453,-3.002534,0.000000
0.253756,0.023559,0.034150,-3.004914,0.000000
0.285476,0.034111,0.049362,-3.007325,0.000000
0.317195,0.047441,0.068520,-3.009485,0.000000
0.348915,0.063502,0.091542,-3.010576,0.000000
0.380634,0.082417,0.118631,-3.009489,0.000000
0.412354,0.104010,0.149602,-3.006777,0.000000
0.444073,0.128791,0.185204,-3.003037,0.000000
0.475793,0.156418,0.224874,-2.998703,0.000000
0.507513,0.187230,0.268972,-2.993857,0.000000
0.539232,0.220801,0.316776,-2.988679,0.000000
0.570952,0.257478,0.368600,-2.983236,0.000000
0.602671,0.296842,0.423746,-2.977658,0.000000
0.634391,0.339181,0.482404,-2.972029,0.000000
0.666110,0.384213,0.544062,-2.966446,0.000000
0.697830,0.432012,0.608622,-2.960998,0.000000
0.729549,0.482444,0.675759,-2.955763,0.000000
0.761269,0.535583,0.745332,-2.950835,0.000000
0.792988,0.591145,0.816904,-2.946248,0.000000
0.824708,0.649447,0.890488,-2.942132,0.000000
0.856427,0.709907,0.965477,-2.938447,0.000000
0.888147,0.773184,1.042004,-2.935424,0.000000
0.919866,0.838411,1.119410,-2.932911,0.000000
0.951586,0.906327,1.197738,-2.931132,0.000000
0.983306,0.976033,1.276471,-2.929719,0.000000
1.015025,1.048198,1.355421,-2.928680,0.000000
1.046745,1.122147,1.434221,-2.928011,0.000000
1.078464,1.198368,1.512500,-2.928012,0.000000
1.110184,1.276447,1.590069,-2.928678,0.000000
1.141903,1.356539,1.666552,-2.930084,0.000000
1.173623,1.438423,1.741694,-2.932172,0.000000
1.205342,1.522055,1.815243,-2.934920,0.000000
1.237062,1.607391,1.886803,-2.938323,0.000000
