t_s,x_m,y_m,z_m,error_norm_m
0.000000,0.000000,0.000000,-3.000000,0.000000
0.050083,0.013908,-0.013197,-2.992520,0.034552
0.100167,0.015237,-0.012998,-2.992719,0.064130
0.150250,0.044587,0.005324,-2.993323,0.062947
0.200334,0.074039,0.022040,-2.992671,0.062967
0.250417,0.102359,0.038090,-2.993535,0.064049
0.300501,0.132116,0.053803,-2.993015,0.064496
0.350584,0.161308,0.069327,-2.993520,0.065323
0.400668,0.189797,0.087236,-2.992790,0.064982
0.450751,0.219082,0.103812,-2.993393,0.064857
0.500835,0.248952,0.120858,-2.994305,0.063900
0.550918,0.274897,0.138624,-2.994278,0.065244
0.601002,0.305342,0.154806,-2.994135,0.064412
0.651085,0.334415,0.167990,-2.993669,0.066620
0.701169,0.361818,0.188645,-2.994430,0.064623
0.751252,0.391225,0.206067,-2.995264,0.063345
0.801336,0.418262,0.223168,-2.995545,0.064040
0.851419,0.447529,0.240315,-2.996218,0.062885
0.901503,0.480146,0.255699,-2.995694,0.060242
0.951586,0.509231,0.270193,-2.997651,0.060596
1.001669,0.537095,0.284693,-2.998095,0.061842
1.051753,0.566769,0.299743,-2.998953,0.061223
1.101836,0.594677,0.314149,-2.999603,0.062207
1.151920,0.622325,0.329308,-2.999789,0.062735
1.202003,0.651295,0.341843,-2.998503,0.063958
1.252087,0.680873,0.355200,-3.000254,0.063945
1.302170,0.711295,0.371148,-2.998687,0.061464
1.352254,0.738734,0.386940,-2.998649,0.060960
1.402337,0.768418,0.403735,-2.997376,0.058075
1.452421,0.795854,0.417363,-2.997609,0.058695
1.502504,0.822599,0.431020,-2.997254,0.059650
1.552588,0.850073,0.443332,-2.996460,0.060813
1.602671,0.878831,0.457279,-2.997610,0.059535
1.652755,0.905730,0.470220,-2.997661,0.060179
1.702838,0.935159,0.485867,-2.998385,0.056867
1.752922,0.963687,0.498366,-2.998502,0.056139
1.803005,0.991479,0.510298,-2.997417,0.056220
1.853088,1.018682,0.520903,-2.998928,0.057146
1.903172,1.043128,0.532166,-2.997540,0.059642
1.953255,1.070436,0.546018,-2.997635,0.057938
2.003339,1.096901,0.557801,-2.995833,0.058230
2.053422,1.122106,0.572086,-2.996451,0.057382
2.103506,1.150653,0.581969,-2.995505,0.056639
2.153589,1.177234,0.592865,-2.995357,0.056421
2.203673,1.201872,0.605624,-2.996239,0.056181
2.253756,1.227604,0.616740,-2.997227,0.055826
2.303840,1.251913,0.627549,-2.996217,0.056888
2.353923,1.277737,0.637738,-2.997051,0.056486
2.404007,1.304645,0.646516,-2.997458,0.055715
2.454090,1.329551,0.654305,-2.998189,0.056814
2.504174,1.355484,0.663227,-2.999247,0.056125
2.554257,1.382796,0.672135,-2.998726,0.054235
2.604341,1.408342,0.681199,-2.998712,0.053361
2.654424,1.434816,0.689037,-2.998397,0.052136
2.704508,1.461592,0.696618,-2.998054,0.050528
2.754591,1.485355,0.703247,-2.998654,0.051413
2.804674,1.510571,0.709651,-2.998413,0.051091
2.854758,1.534008,0.717705,-2.998824,0.050883
2.904841,1.558337,0.725203,-2.997801,0.050272
2.954925,1.583219,0.734320,-2.999244,0.047624
3.005008,1.605441,0.739053,-2.998687,0.049475
3.055092,1.628662,0.743891,-2.999782,0.049748
3.105175,1.653545,0.747334,-2.999128,0.049312
3.155259,1.676052,0.754776,-3.000088,0.048422
3.205342,1.700653,0.759836,-3.001458,0.046412
3.255426,1.726157,0.761746,-3.000901,0.045114
3.305509,1.749284,0.766007,-3.001511,0.044240
3.355593,1.771862,0.771050,-3.002208,0.043180
3.405676,1.792299,0.774260,-3.002673,0.044564
3.455760,1.812767,0.776700,-3.003560,0.045850
3.505843,1.833720,0.781521,-3.003393,0.045828
3.555927,1.856188,0.785035,-3.004540,0.044365
3.606010,1.876754,0.787941,-3.005397,0.044701
3.656093,1.897952,0.790259,-3.006195,0.044371
3.706177,1.918332,0.792209,-3.006813,0.044716
3.756260,1.937441,0.793833,-3.006919,0.046233
3.806344,1.957689,0.795301,-3.006359,0.046598
3.856427,1.978652,0.793592,-3.007123,0.046114
3.906511,1.999521,0.794672,-3.007471,0.045260
3.956594,2.020207,0.793702,-3.008565,0.044399
4.006678,2.041102,0.792641,-3.009790,0.043079
4.056761,2.061175,0.791745,-3.010073,0.042493
4.106845,2.080064,0.792532,-3.009760,0.043007
4.156928,2.098519,0.792058,-3.011003,0.043563
4.207012,2.117317,0.788773,-3.012239,0.043418
4.257095,2.135133,0.785161,-3.012780,0.044127
4.307179,2.151696,0.783125,-3.013321,0.046001
4.357262,2.168093,0.779887,-3.012744,0.047911
4.407346,2.186372,0.776105,-3.012495,0.047682
4.457429,2.206612,0.771165,-3.012887,0.045095
4.507513,2.226668,0.768460,-3.013199,0.042899
4.557596,2.244930,0.760273,-3.015212,0.041023
4.607679,2.263036,0.754113,-3.014845,0.039903
4.657763,2.280531,0.748216,-3.015192,0.039082
4.707846,2.295838,0.741067,-3.015857,0.039957
4.757930,2.311266,0.733001,-3.016448,0.040447
4.808013,2.329045,0.726307,-3.017275,0.038506
4.858097,2.345158,0.718645,-3.017610,0.037978
4.908180,2.360667,0.713392,-3.017897,0.038110
4.958264,2.374525,0.704932,-3.019130,0.039049
5.008347,2.389107,0.696912,-3.019270,0.039344
5.058431,2.402980,0.686151,-3.020015,0.039679
5.108514,2.416837,0.679525,-3.022481,0.039995
5.158598,2.430849,0.670097,-3.024366,0.039757
5.208681,2.445865,0.660808,-3.024128,0.038577
5.258765,2.458440,0.651711,-3.024575,0.039522
5.308848,2.472601,0.641677,-3.024671,0.038596
5.358932,2.486014,0.631470,-3.024525,0.038196
5.409015,2.500310,0.621263,-3.026315,0.036429
5.459098,2.514829,0.610396,-3.027055,0.034267
5.509182,2.526575,0.598036,-3.028115,0.034265
5.559265,2.537243,0.587303,-3.029359,0.035366
5.609349,2.548957,0.579390,-3.029178,0.036069
5.659432,2.559327,0.567860,-3.030047,0.036922
5.709516,2.568630,0.556188,-3.030962,0.038549
5.759599,2.581961,0.545250,-3.029979,0.036628
5.809683,2.593591,0.534535,-3.031232,0.036041
5.859766,2.601729,0.521050,-3.031316,0.037615
5.909850,2.611657,0.508931,-3.033211,0.037656
5.959933,2.622198,0.495128,-3.035578,0.036324
6.010017,2.633006,0.480337,-3.035343,0.034384
6.060100,2.644328,0.467629,-3.036007,0.032546
6.110184,2.654137,0.453937,-3.035623,0.031652
6.160267,2.663364,0.438415,-3.034706,0.030440
6.210351,2.672182,0.425004,-3.034610,0.030232
6.260434,2.680986,0.408799,-3.036170,0.028323
6.310518,2.688126,0.395801,-3.036199,0.029389
6.360601,2.695664,0.382797,-3.036182,0.030033
6.410684,2.705395,0.368874,-3.036967,0.028209
6.460768,2.710881,0.352995,-3.037148,0.028704
6.510851,2.715507,0.338939,-3.037789,0.030643
6.560935,2.721080,0.326728,-3.037492,0.032986
6.611018,2.727862,0.311503,-3.038377,0.032256
6.661102,2.731602,0.293823,-3.040192,0.031981
6.711185,2.737714,0.278637,-3.040251,0.031607
6.761269,2.744642,0.261325,-3.040101,0.029277
6.811352,2.748835,0.245527,-3.041657,0.029334
6.861436,2.752742,0.228758,-3.041307,0.029348
6.911519,2.757886,0.215101,-3.043607,0.029563
6.961603,2.763044,0.198469,-3.044494,0.028126
7.011686,2.767111,0.182472,-3.043171,0.028325
7.061770,2.770204,0.167713,-3.044167,0.029322
7.111853,2.773011,0.149535,-3.045013,0.027916
7.161937,2.773790,0.133445,-3.045947,0.029150
7.212020,2.776012,0.116476,-3.048552,0.028273
7.262104,2.779954,0.099303,-3.049694,0.026315
7.312187,2.782019,0.082801,-3.049139,0.026306
7.362270,2.784428,0.064250,-3.049846,0.024103
7.412354,2.785771,0.046333,-3.051140,0.022693
7.462437,2.784517,0.028043,-3.052035,0.022623
7.512521,2.786598,0.013226,-3.052915,0.022739
7.562604,2.788806,-0.002556,-3.054636,0.021978
7.612688,2.788347,-0.019301,-3.055453,0.021945
7.662771,2.787184,-0.035616,-3.055277,0.022689
7.712855,2.789012,-0.053318,-3.054349,0.021055
7.762938,2.788890,-0.071175,-3.055254,0.019515
7.813022,2.789263,-0.085524,-3.057011,0.020625
7.863105,2.786834,-0.101389,-3.057859,0.021377
7.913189,2.785564,-0.116956,-3.060059,0.021718
7.963272,2.784322,-0.136313,-3.060826,0.018751
8.013356,2.782178,-0.151623,-3.059997,0.020189
8.063439,2.777211,-0.165192,-3.060917,0.022985
8.113523,2.774499,-0.182622,-3.061398,0.021861
8.163606,2.770419,-0.198332,-3.063229,0.022048
8.213689,2.767691,-0.213533,-3.063723,0.022857
8.263773,2.765873,-0.227996,-3.063428,0.024645
8.313856,2.760110,-0.244071,-3.064079,0.024452
8.363940,2.755419,-0.257936,-3.065234,0.026192
8.414023,2.752287,-0.273782,-3.065922,0.026219
8.464107,2.746389,-0.288139,-3.066266,0.027416
8.514190,2.741414,-0.304075,-3.068200,0.026739
8.564274,2.734004,-0.321801,-3.069031,0.024171
8.614357,2.725896,-0.337434,-3.068860,0.023750
8.664441,2.720144,-0.352426,-3.070643,0.023520
8.714524,2.714985,-0.367964,-3.071569,0.023102
8.764608,2.708541,-0.380394,-3.072860,0.025261
8.814691,2.701507,-0.393487,-3.072644,0.026931
8.864775,2.693446,-0.408012,-3.073091,0.026756
8.914858,2.687153,-0.423270,-3.074965,0.026020
8.964942,2.680074,-0.436939,-3.075305,0.026898
9.015025,2.671477,-0.450265,-3.075792,0.027417
9.065109,2.662695,-0.464441,-3.076744,0.026948
9.115192,2.655546,-0.481837,-3.077953,0.024649
9.165275,2.646754,-0.494319,-3.078157,0.025846
9.215359,2.638433,-0.506316,-3.077771,0.027889
9.265442,2.628250,-0.519632,-3.079041,0.027374
9.315526,2.615663,-0.533731,-3.078774,0.025305
9.365609,2.605536,-0.547944,-3.079509,0.024497
9.415693,2.594728,-0.560199,-3.080212,0.024628
9.465776,2.583050,-0.571634,-3.081455,0.024507
9.515860,2.571183,-0.583463,-3.082874,0.023994
9.565943,2.559217,-0.593928,-3.082605,0.024901
9.616027,2.548537,-0.603726,-3.083524,0.026711
9.666110,2.536547,-0.617950,-3.085001,0.024995
9.716194,2.524673,-0.628919,-3.085070,0.025845
9.766277,2.511068,-0.639699,-3.086264,0.025093
9.816361,2.495315,-0.651062,-3.087775,0.022331
9.866444,2.482207,-0.662939,-3.090014,0.021556
9.916528,2.468776,-0.674911,-3.090726,0.021555
9.966611,2.453672,-0.684792,-3.090265,0.021275
10.016694,2.439036,-0.693387,-3.090564,0.021532
10.066778,2.424365,-0.700858,-3.092756,0.021278
10.116861,2.410225,-0.708215,-3.094504,0.021980
10.166945,2.394475,-0.713870,-3.095291,0.022097
10.217028,2.378228,-0.722334,-3.096632,0.021179
10.267112,2.361598,-0.729668,-3.096824,0.020750
10.317195,2.348841,-0.738410,-3.098262,0.023537
10.367279,2.334370,-0.742833,-3.101085,0.025096
10.417362,2.318620,-0.747818,-3.102031,0.026159
10.467446,2.300533,-0.754746,-3.102890,0.024925
10.517529,2.284780,-0.759788,-3.102876,0.026594
10.567613,2.268057,-0.765977,-3.105432,0.026864
10.617696,2.250910,-0.770850,-3.104848,0.027732
10.667780,2.233869,-0.775535,-3.105702,0.028634
10.717863,2.217011,-0.778695,-3.106411,0.030029
10.767947,2.198760,-0.783950,-3.107115,0.030241
10.818030,2.182387,-0.789502,-3.106914,0.032866
10.868114,2.165655,-0.792191,-3.107579,0.035044
10.918197,2.145579,-0.796070,-3.108531,0.034283
10.968280,2.127613,-0.796652,-3.109273,0.035577
11.018364,2.109312,-0.798710,-3.110048,0.036916
11.068447,2.089289,-0.802601,-3.110894,0.037021
11.118531,2.070968,-0.806629,-3.109831,0.039707
11.168614,2.049302,-0.809478,-3.110441,0.039012
11.218698,2.030836,-0.812152,-3.111807,0.041418
11.268781,2.012904,-0.812185,-3.113593,0.043808
11.318865,1.991717,-0.812981,-3.115680,0.043670
11.368948,1.969406,-0.811462,-3.115888,0.042524
11.419032,1.949018,-0.811705,-3.115098,0.044258
11.469115,1.926908,-0.811363,-3.115813,0.044188
11.519199,1.907531,-0.810831,-3.117312,0.046650
11.569282,1.883182,-0.810349,-3.118558,0.045058
11.619366,1.862822,-0.809073,-3.116412,0.047981
11.669449,1.840271,-0.807598,-3.119325,0.047841
11.719533,1.820786,-0.804546,-3.119458,0.050824
11.769616,1.799574,-0.800599,-3.121519,0.051786
11.819699,1.775892,-0.797557,-3.123746,0.051187
11.869783,1.751303,-0.793253,-3.125824,0.049646
11.919866,1.728628,-0.790212,-3.126996,0.050829
11.969950,1.708264,-0.784098,-3.127985,0.053176
12.020033,1.684017,-0.780551,-3.129509,0.053263
12.070117,1.659997,-0.775466,-3.131851,0.053130
12.120200,1.638616,-0.771057,-3.133146,0.056120
12.170284,1.614718,-0.762662,-3.135554,0.055385
12.220367,1.592741,-0.757361,-3.136426,0.058114
12.270451,1.568660,-0.750407,-3.136279,0.058678
12.320534,1.542048,-0.743264,-3.136718,0.057073
12.370618,1.518255,-0.738244,-3.136929,0.059207
12.420701,1.493020,-0.731352,-3.138191,0.059423
12.470785,1.467037,-0.723702,-3.140244,0.058825
12.520868,1.442344,-0.716737,-3.141332,0.060090
12.570952,1.417279,-0.709071,-3.143227,0.060903
12.621035,1.394849,-0.700399,-3.144881,0.063888
12.671119,1.368179,-0.691706,-3.148129,0.063276
12.721202,1.345572,-0.682730,-3.149142,0.066570
12.771285,1.318881,-0.674232,-3.150586,0.066694
12.821369,1.290950,-0.666308,-3.150638,0.066392
12.871452,1.264756,-0.656968,-3.151531,0.067148
12.921536,1.237705,-0.646553,-3.151548,0.066942
12.971619,1.213150,-0.636247,-3.152185,0.069130
13.021703,1.185597,-0.624998,-3.153101,0.068497
13.071786,1.158049,-0.614120,-3.154119,0.068297
13.121870,1.130075,-0.602336,-3.155045,0.067511
13.171953,1.101833,-0.588438,-3.155828,0.065630
13.222037,1.073029,-0.577909,-3.155850,0.065368
13.272120,1.046764,-0.565539,-3.157861,0.066274
13.322204,1.018621,-0.553921,-3.159507,0.066291
13.372287,0.992033,-0.542510,-3.160828,0.067971
13.422371,0.964815,-0.528977,-3.162698,0.068115
13.472454,0.938657,-0.515804,-3.163210,0.069642
13.522538,0.911506,-0.502712,-3.163615,0.070597
