t_s,x_m,y_m,z_m,error_norm_m,score_hint
0.000000,0.016046,-0.017202,-2.996699,0.023754,95.361047
0.050083,0.016431,-0.015898,-2.995934,0.035640,95.361047
0.100167,0.046621,0.000933,-2.997927,0.035271,95.361047
0.150250,0.075973,0.018863,-3.000256,0.034116,95.361047
0.200334,0.105397,0.035578,-3.001535,0.034200,95.361047
0.250417,0.133968,0.051784,-3.004071,0.034827,95.361047
0.300501,0.163610,0.067724,-3.005450,0.035454,95.361047
0.350584,0.192823,0.083507,-3.007678,0.036207,95.361047
0.400668,0.221501,0.101062,-3.008872,0.035619,95.361047
0.450751,0.250767,0.117600,-3.011172,0.035521,95.361047
0.500835,0.280465,0.134470,-3.013724,0.034861,95.361047
0.550918,0.307208,0.151858,-3.015488,0.034931,95.361047
0.601002,0.337316,0.168034,-3.017152,0.034661,95.361047
0.651085,0.366383,0.181937,-3.018540,0.036835,95.361047
0.701169,0.394186,0.201415,-3.020946,0.034271,95.361047
0.751252,0.423480,0.218439,-3.023408,0.033178,95.361047
0.801336,0.450981,0.235193,-3.025404,0.033136,95.361047
0.851419,0.480141,0.251947,-3.027720,0.032140,95.361047
0.901503,0.511799,0.267346,-3.029035,0.031101,95.361047
0.951586,0.540791,0.282041,-3.032411,0.031619,95.361047
1.001669,0.568851,0.296703,-3.034521,0.032563,95.361047
1.051753,0.598250,0.311738,-3.036971,0.032424,95.361047
1.101836,0.626307,0.326250,-3.039241,0.033184,95.361047
1.151920,0.654150,0.341283,-3.041119,0.033415,95.361047
1.202003,0.682964,0.354305,-3.041766,0.034916,95.361047
1.252087,0.712213,0.367897,-3.044937,0.035457,95.361047
1.302170,0.742074,0.383386,-3.045337,0.033975,95.361047
1.352254,0.769675,0.398708,-3.047007,0.033235,95.361047
1.402337,0.798937,0.414732,-3.047640,0.031124,95.361047
1.452421,0.826489,0.428329,-3.049523,0.031564,95.361047
1.502504,0.853498,0.441895,-3.050911,0.032093,95.361047
1.552588,0.881029,0.454396,-3.051926,0.033210,95.361047
1.602671,0.909497,0.468068,-3.054554,0.032444,95.361047
1.652755,0.936543,0.480927,-3.056263,0.032867,95.361047
1.702838,0.965460,0.495758,-3.058524,0.030435,95.361047
1.752922,0.993672,0.508166,-3.060274,0.030307,95.361047
1.803005,1.021303,0.520088,-3.061016,0.030735,95.361047
1.853088,1.048462,0.530951,-3.063916,0.031763,95.361047
1.903172,1.073523,0.542243,-3.064393,0.033225,95.361047
1.953255,1.100699,0.555412,-3.066100,0.031756,95.361047
2.003339,1.127211,0.566962,-3.066220,0.032033,95.361047
2.053422,1.152745,0.580320,-3.068349,0.030537,95.361047
2.103506,1.180752,0.590307,-3.069170,0.030838,95.361047
2.153589,1.207249,0.600984,-3.070648,0.030798,95.361047
2.203673,1.232255,0.612987,-3.072978,0.029812,95.361047
2.253756,1.258046,0.623685,-3.075390,0.029295,95.361047
2.303840,1.282733,0.634079,-3.076131,0.029729,95.361047
2.353923,1.308518,0.643933,-3.078401,0.029348,95.361047
2.404007,1.335080,0.652655,-3.080309,0.029210,95.361047
2.454090,1.360100,0.660557,-3.082480,0.030206,95.361047
2.504174,1.385852,0.669232,-3.084916,0.029804,95.361047
2.554257,1.412598,0.677819,-3.086031,0.028892,95.361047
2.604341,1.437979,0.686442,-3.087560,0.028255,95.361047
2.654424,1.464015,0.694068,-3.088832,0.027841,95.361047
2.704508,1.490235,0.701419,-3.090073,0.027281,95.361047
2.754591,1.514153,0.707975,-3.092093,0.027908,95.361047
2.804674,1.539117,0.714280,-3.093406,0.028112,95.361047
2.854758,1.562703,0.721740,-3.095255,0.027488,95.361047
2.904841,1.586913,0.728699,-3.095901,0.027023,95.361047
2.954925,1.611493,0.736789,-3.098595,0.024486,95.361047
3.005008,1.634031,0.741506,-3.099616,0.025889,95.361047
3.055092,1.657272,0.746217,-3.102006,0.026118,95.361047
3.105175,1.681712,0.749796,-3.102931,0.026698,95.361047
3.155259,1.704323,0.756288,-3.105194,0.025191,95.361047
3.205342,1.728455,0.760908,-3.107790,0.023832,95.361047
3.255426,1.753215,0.763079,-3.108774,0.024281,95.361047
3.305509,1.776143,0.766925,-3.110723,0.023640,95.361047
3.355593,1.798609,0.771271,-3.112736,0.022425,95.361047
3.405676,1.819418,0.774155,-3.114549,0.022952,95.361047
3.455760,1.840198,0.776373,-3.116706,0.023589,95.361047
3.505843,1.861290,0.780289,-3.117977,0.022791,95.361047
3.555927,1.883466,0.783136,-3.120335,0.021379,95.361047
3.606010,1.904162,0.785440,-3.122444,0.021084,95.361047
3.656093,1.925278,0.787214,-3.124496,0.020526,95.361047
3.706177,1.945725,0.788624,-3.126390,0.020409,95.361047
3.756260,1.965165,0.789701,-3.127850,0.021119,95.361047
3.806344,1.985402,0.790574,-3.128747,0.021194,95.361047
3.856427,2.006120,0.788974,-3.130739,0.021311,95.361047
3.906511,2.026710,0.789380,-3.132377,0.020385,95.361047
3.956594,2.047106,0.788160,-3.134628,0.019813,95.361047
4.006678,2.067601,0.786784,-3.136980,0.018858,95.361047
4.056761,2.087421,0.785444,-3.138540,0.018347,95.361047
4.106845,2.106294,0.785280,-3.139594,0.018082,95.361047
4.156928,2.124782,0.784084,-3.141938,0.017939,95.361047
4.207012,2.143467,0.780693,-3.144267,0.017947,95.361047
4.257095,2.161356,0.776970,-3.146009,0.018649,95.361047
4.307179,2.178244,0.774345,-3.147743,0.019725,95.361047
4.357262,2.194945,0.770733,-3.148536,0.021180,95.361047
4.407346,2.212997,0.766628,-3.149595,0.021103,95.361047
4.457429,2.232456,0.761571,-3.151179,0.019434,95.361047
4.507513,2.251715,0.758108,-3.152689,0.017473,95.361047
4.557596,2.269565,0.750450,-3.155609,0.016753,95.361047
4.607679,2.287234,0.744230,-3.156535,0.016377,95.361047
4.657763,2.304381,0.738126,-3.158049,0.015943,95.361047
4.707846,2.319822,0.731003,-3.159818,0.016908,95.361047
4.757930,2.335288,0.723112,-3.161519,0.017830,95.361047
4.808013,2.352452,0.716171,-3.163406,0.016546,95.361047
4.858097,2.368301,0.708427,-3.164875,0.016510,95.361047
4.908180,2.383631,0.702412,-3.166296,0.015927,95.361047
4.958264,2.397655,0.693914,-3.168496,0.016791,95.361047
5.008347,2.412155,0.685672,-3.169777,0.017116,95.361047
5.058431,2.426056,0.675300,-3.171553,0.018255,95.361047
5.108514,2.439877,0.667956,-3.174755,0.017638,95.361047
5.158598,2.453745,0.658437,-3.177463,0.017644,95.361047
5.208681,2.468298,0.648953,-3.178394,0.016966,95.361047
5.258765,2.480951,0.639541,-3.179886,0.017558,95.361047
5.308848,2.494725,0.629358,-3.181078,0.017102,95.361047
