t_s,x_m,y_m,z_m,error_norm_m
0.000000,0.000000,0.000000,-3.000000,0.000000
0.083472,0.005732,-0.004719,-2.996458,1.350315
0.166945,-0.131198,0.050845,-1.654877,0.107453
0.250417,-0.149291,0.057890,-1.758106,0.108111
0.333890,-0.168665,0.065803,-1.860966,0.109063
0.417362,-0.189075,0.074253,-1.964111,0.109777
0.500835,-0.211388,0.083364,-2.067202,0.110325
0.584307,-0.234311,0.092901,-2.170443,0.110890
0.667780,-0.257987,0.103250,-2.273799,0.111434
0.751252,-0.282456,0.113683,-2.377070,0.112239
0.834725,-0.308131,0.124084,-2.480325,0.113130
0.918197,-0.335743,0.134178,-2.582992,0.114434
1.001669,-0.364709,0.145730,-2.685695,0.115513
1.085142,-0.395036,0.156953,-2.789076,0.116010
1.168614,-0.425977,0.169024,-2.892889,0.116253
1.252087,-0.457087,0.181508,-2.995462,0.047842
1.335559,-0.489936,0.195394,-2.995646,0.048115
1.419032,-0.522587,0.208374,-2.996050,0.048903
1.502504,-0.556165,0.221135,-2.995584,0.049000
1.585977,-0.588870,0.235571,-2.995358,0.049238
1.669449,-0.621720,0.248419,-2.995891,0.049878
1.752922,-0.655748,0.261339,-2.995782,0.049465
1.836394,-0.689327,0.274228,-2.996240,0.049436
1.919866,-0.722851,0.286826,-2.996586,0.049594
2.003339,-0.756648,0.300776,-2.996400,0.048993
2.086811,-0.789610,0.314079,-2.996564,0.049393
2.170284,-0.823046,0.327319,-2.996304,0.049415
2.253756,-0.855848,0.339993,-2.996798,0.050193
2.337229,-0.888904,0.352655,-2.997093,0.050764
2.420701,-0.922494,0.365157,-2.997081,0.050948
2.504174,-0.956491,0.377621,-2.997193,0.050795
2.587646,-0.990317,0.391279,-2.996905,0.050285
2.671119,-1.024347,0.405133,-2.997461,0.049458
2.754591,-1.057273,0.418723,-2.998197,0.049736
2.838063,-1.090139,0.432182,-2.998147,0.050161
2.921536,-1.123325,0.444454,-2.997748,0.050841
3.005008,-1.157172,0.458606,-2.998279,0.050054
3.088481,-1.190671,0.471757,-2.997956,0.050059
3.171953,-1.224756,0.485307,-2.997689,0.049362
3.255426,-1.257677,0.499349,-2.997954,0.049466
3.338898,-1.290665,0.512122,-2.998226,0.050071
3.422371,-1.324438,0.525615,-2.998295,0.049664
3.505843,-1.357550,0.538913,-2.998155,0.049942
3.589316,-1.390741,0.552470,-2.997255,0.050073
3.672788,-1.424819,0.565970,-2.996838,0.049416
3.756260,-1.457570,0.579082,-2.997181,0.050075
3.839733,-1.491396,0.592298,-2.997230,0.049563
3.923205,-1.524825,0.605741,-2.997610,0.047516
4.006678,-1.555599,0.619588,-2.996998,0.045945
4.090150,-1.584443,0.634356,-2.996682,0.043881
4.173623,-1.611591,0.648292,-2.996887,0.041959
4.257095,-1.636557,0.662888,-2.997320,0.039893
4.340568,-1.659566,0.676682,-2.998219,0.038279
4.424040,-1.679863,0.690887,-2.998491,0.037195
4.507513,-1.698164,0.706323,-2.998293,0.035509
4.590985,-1.714760,0.721742,-2.998601,0.033671
4.674457,-1.728968,0.737516,-2.999540,0.031922
4.757930,-1.741303,0.751476,-2.999650,0.031720
4.841402,-1.750748,0.766793,-3.000581,0.031202
4.924875,-1.757979,0.782986,-3.001540,0.030294
5.008347,-1.763470,0.798512,-3.001895,0.030113
5.091820,-1.767794,0.814813,-3.003024,0.029029
5.175292,-1.768852,0.832073,-3.003640,0.028062
5.258765,-1.768533,0.848999,-3.004992,0.027276
5.342237,-1.765820,0.865166,-3.006689,0.027592
5.425710,-1.760295,0.881946,-3.008904,0.027729
5.509182,-1.754235,0.898699,-3.009988,0.028303
5.592654,-1.745280,0.916065,-3.011321,0.028751
5.676127,-1.733950,0.933574,-3.013161,0.029310
5.759599,-1.720827,0.951796,-3.014685,0.029642
5.843072,-1.705852,0.969806,-3.016275,0.030603
5.926544,-1.688145,0.987579,-3.017816,0.032004
6.010017,-1.668547,1.006520,-3.019486,0.032667
6.093489,-1.646918,1.024976,-3.020846,0.034195
6.176962,-1.623302,1.044824,-3.023366,0.034590
6.260434,-1.597827,1.063175,-3.025994,0.036571
6.343907,-1.569600,1.081714,-3.028327,0.037154
6.427379,-1.542446,1.101509,-3.030380,0.037240
6.510851,-1.514021,1.122172,-3.032858,0.035889
6.594324,-1.486802,1.142024,-3.035047,0.035884
6.677796,-1.459285,1.160952,-3.037481,0.036457
6.761269,-1.431117,1.180770,-3.040488,0.035848
6.844741,-1.403239,1.200130,-3.042549,0.035950
6.928214,-1.375729,1.219348,-3.045570,0.036190
7.011686,-1.347738,1.238070,-3.047578,0.036781
7.095159,-1.320169,1.258081,-3.049509,0.036507
7.178631,-1.293157,1.277619,-3.051274,0.036957
7.262104,-1.264611,1.297835,-3.054360,0.035813
7.345576,-1.236508,1.317219,-3.057087,0.035667
7.429048,-1.208700,1.335870,-3.058868,0.036444
7.512521,-1.181018,1.354813,-3.061603,0.036891
7.595993,-1.153276,1.373519,-3.063940,0.037574
7.679466,-1.125381,1.394033,-3.066073,0.036667
7.762938,-1.097142,1.413161,-3.067909,0.036817
7.846411,-1.069277,1.433123,-3.070034,0.036398
7.929883,-1.040995,1.452619,-3.072147,0.036175
8.013356,-1.013487,1.472546,-3.074426,0.035937
8.096828,-0.986144,1.492156,-3.076839,0.036037
8.180301,-0.958382,1.510762,-3.078609,0.036881
8.263773,-0.930918,1.530439,-3.080888,0.036885
8.347245,-0.902706,1.549527,-3.083064,0.037027
8.430718,-0.874102,1.568964,-3.085237,0.036688
8.514190,-0.847362,1.588113,-3.087170,0.037551
8.597663,-0.819601,1.607872,-3.089455,0.037333
8.681135,-0.791970,1.627544,-3.091013,0.037389
8.764608,-0.764182,1.648248,-3.093777,0.036281
8.848080,-0.736381,1.667151,-3.096090,0.036756
8.931553,-0.708405,1.687195,-3.098014,0.036259
9.015025,-0.680400,1.706222,-3.099599,0.036667
9.098497,-0.652314,1.725309,-3.102059,0.036814
9.181970,-0.624419,1.745013,-3.104455,0.036554
9.265442,-0.597327,1.763962,-3.106617,0.037382
9.348915,-0.569564,1.783359,-3.109089,0.037434
9.432387,-0.541035,1.802571,-3.111362,0.037293
9.515860,-0.513332,1.821422,-3.114329,0.037759
9.599332,-0.485282,1.840072,-3.116660,0.038343
9.682805,-0.458727,1.858932,-3.118470,0.039557
9.766277,-0.431142,1.878172,-3.120719,0.039875
9.849750,-0.403138,1.897432,-3.122802,0.039823
9.933222,-0.374478,1.918012,-3.125737,0.037412
10.016694,-0.347755,1.935481,-3.128190,0.037944
10.100167,-0.320692,1.952789,-3.130755,0.037692
10.183639,-0.293043,1.968692,-3.132982,0.037593
10.267112,-0.264429,1.983869,-3.135204,0.036808
10.350584,-0.236988,1.998079,-3.137676,0.036708
10.434057,-0.208684,2.011072,-3.139400,0.036465
10.517529,-0.180769,2.022487,-3.140785,0.037042
10.601002,-0.152652,2.034792,-3.142761,0.035975
10.684474,-0.124560,2.045071,-3.145083,0.035779
10.767947,-0.097555,2.055062,-3.146986,0.035815
10.851419,-0.069111,2.064798,-3.148719,0.034522
10.934891,-0.040959,2.072952,-3.150876,0.033883
11.018364,-0.012061,2.081287,-3.152808,0.031997
11.101836,0.016252,2.087635,-3.155216,0.031246
11.185309,0.042550,2.092395,-3.157207,0.032458
11.268781,0.071398,2.097200,-3.158622,0.031322
11.352254,0.099544,2.101888,-3.160197,0.030184
11.435726,0.128344,2.104906,-3.161756,0.029108
11.519199,0.156722,2.106337,-3.162930,0.028866
11.602671,0.185078,2.107005,-3.164230,0.028556
11.686144,0.213610,2.105382,-3.165789,0.028912
11.769616,0.242533,2.104798,-3.167277,0.027812
11.853088,0.270627,2.103067,-3.168489,0.027600
11.936561,0.298352,2.100921,-3.169621,0.027516
12.020033,0.325825,2.097940,-3.170641,0.027772
12.103506,0.354368,2.093237,-3.172115,0.027445
12.186978,0.383046,2.087663,-3.173671,0.026999
12.270451,0.411478,2.081736,-3.175578,0.026594
12.353923,0.439797,2.075124,-3.176678,0.026761
12.437396,0.467891,2.068427,-3.177979,0.027128
12.520868,0.496865,2.060798,-3.179348,0.026969
12.604341,0.524504,2.054176,-3.180276,0.027828
12.687813,0.553097,2.047406,-3.181154,0.027888
12.771285,0.581409,2.039043,-3.182821,0.028470
12.854758,0.609067,2.031803,-3.183976,0.029446
12.938230,0.638301,2.024455,-3.185582,0.028901
13.021703,0.665281,2.017891,-3.186992,0.030224
13.105175,0.693801,2.010368,-3.188633,0.030373
13.188648,0.722581,2.003225,-3.190264,0.030173
13.272120,0.751651,1.996290,-3.191890,0.029644
13.355593,0.779136,1.989202,-3.193849,0.030557
13.439065,0.806906,1.982513,-3.195589,0.031158
13.522538,0.835211,1.975458,-3.196859,0.031460
13.606010,0.864037,1.968204,-3.198091,0.031332
13.689482,0.892833,1.960243,-3.199515,0.031395
13.772955,0.922041,1.952785,-3.201622,0.030802
13.856427,0.950566,1.946387,-3.203248,0.030628
13.939900,0.978304,1.939323,-3.204758,0.031418
14.023372,1.006851,1.931345,-3.205616,0.031830
14.106845,1.035537,1.923843,-3.207265,0.031831
14.190317,1.064584,1.916486,-3.208773,0.031482
14.273790,1.094125,1.909893,-3.210226,0.030443
14.357262,1.123008,1.901880,-3.211974,0.030419
14.440735,1.151184,1.895062,-3.213588,0.030684
14.524207,1.179714,1.888527,-3.214688,0.030631
14.607679,1.208800,1.881295,-3.215658,0.030311
14.691152,1.237108,1.874840,-3.216640,0.030485
14.774624,1.266752,1.867217,-3.218466,0.029588
14.858097,1.295150,1.860065,-3.220148,0.029740
14.941569,1.323796,1.853993,-3.221451,0.029423
15.025042,1.351866,1.847128,-3.222751,0.029888
15.108514,1.381144,1.840403,-3.224357,0.029119
15.191987,1.410226,1.833801,-3.225635,0.028577
15.275459,1.439175,1.827323,-3.227099,0.028101
15.358932,1.467443,1.820008,-3.228670,0.028440
15.442404,1.496090,1.813315,-3.230557,0.028219
