t_s,x_m,y_m,z_m,error_norm_m
0.000000,0.000000,0.000000,-3.000000,0.000000
0.083472,0.011018,-0.015141,-2.994876,1.349822
0.166945,-0.126662,0.039935,-1.657119,0.108227
0.250417,-0.144198,0.047784,-1.759318,0.109970
0.333890,-0.164795,0.054851,-1.861914,0.111060
0.417362,-0.186222,0.064828,-1.965491,0.110813
0.500835,-0.207024,0.073549,-2.067937,0.112517
0.584307,-0.229750,0.083462,-2.170948,0.113330
0.667780,-0.253687,0.093485,-2.273539,0.114595
0.751252,-0.277701,0.103614,-2.376409,0.116051
0.834725,-0.303731,0.113076,-2.480474,0.116384
0.918197,-0.332000,0.122315,-2.582864,0.118037
1.001669,-0.361858,0.134456,-2.686341,0.117999
1.085142,-0.391010,0.145589,-2.790039,0.118787
1.168614,-0.422794,0.158356,-2.893386,0.119078
1.252087,-0.452707,0.171533,-2.995698,0.056252
1.335559,-0.485281,0.183508,-2.996471,0.057609
1.419032,-0.522118,0.196513,-2.996068,0.054931
1.502504,-0.555671,0.208633,-2.996010,0.055498
1.585977,-0.590437,0.223244,-2.996638,0.053612
1.669449,-0.621215,0.238693,-2.996556,0.054661
1.752922,-0.653003,0.251930,-2.997591,0.056037
1.836394,-0.684085,0.265304,-2.997534,0.058025
1.919866,-0.717580,0.278038,-2.996722,0.058282
2.003339,-0.751060,0.290544,-2.997417,0.058598
2.086811,-0.780915,0.303497,-2.997832,0.061838
2.170284,-0.814475,0.316357,-2.997711,0.061939
2.253756,-0.848617,0.328777,-2.997370,0.061779
2.337229,-0.881110,0.340337,-2.997181,0.063487
2.420701,-0.914009,0.351635,-2.998548,0.064964
2.504174,-0.949576,0.364370,-2.996745,0.063575
2.587646,-0.981969,0.379686,-2.995880,0.063360
2.671119,-1.014494,0.396736,-2.995073,0.062243
2.754591,-1.046117,0.410916,-2.994714,0.063417
2.838063,-1.079235,0.424534,-2.993366,0.063659
2.921536,-1.111205,0.437629,-2.992976,0.065071
3.005008,-1.143653,0.451231,-2.993222,0.065765
3.088481,-1.176176,0.465161,-2.992656,0.066342
3.171953,-1.208273,0.477622,-2.992419,0.067913
3.255426,-1.239885,0.493820,-2.992566,0.068310
3.338898,-1.272493,0.505589,-2.992325,0.069686
3.422371,-1.307461,0.517922,-2.991148,0.068837
3.505843,-1.340820,0.531195,-2.991120,0.068903
3.589316,-1.374644,0.544931,-2.991164,0.068345
3.672788,-1.408369,0.559138,-2.991361,0.067657
3.756260,-1.442668,0.572793,-2.991048,0.066755
3.839733,-1.476553,0.587488,-2.990244,0.065686
3.923205,-1.508239,0.597691,-2.989318,0.066754
4.006678,-1.538989,0.611485,-2.989362,0.065209
4.090150,-1.569970,0.626442,-2.990205,0.061082
4.173623,-1.595032,0.640797,-2.989779,0.060866
4.257095,-1.619055,0.654209,-2.992265,0.059826
4.340568,-1.644652,0.667682,-2.992396,0.056269
4.424040,-1.663915,0.680730,-2.993092,0.056587
4.507513,-1.682610,0.693883,-2.992949,0.056010
4.590985,-1.698522,0.706237,-2.993937,0.056577
4.674457,-1.713270,0.721218,-2.994079,0.055146
4.757930,-1.725041,0.737456,-2.994347,0.053640
4.841402,-1.735309,0.753960,-2.995055,0.051649
4.924875,-1.742313,0.771450,-2.995391,0.049981
5.008347,-1.749639,0.787244,-2.997517,0.047815
5.091820,-1.750513,0.803408,-2.998646,0.048500
5.175292,-1.752434,0.818781,-3.002194,0.047643
5.258765,-1.752953,0.834759,-3.003711,0.046681
5.342237,-1.752071,0.851975,-3.005520,0.044695
5.425710,-1.745655,0.867870,-3.007258,0.045748
5.509182,-1.737707,0.885134,-3.009255,0.045526
5.592654,-1.730166,0.901273,-3.011852,0.045620
5.676127,-1.717986,0.919884,-3.013426,0.044744
5.759599,-1.704561,0.938599,-3.016137,0.043609
