t_s,x_m,y_m,z_m,error_norm_m,score_hint
0.000000,-1.878950,-0.603659,-1.508545,0.104385,90.176619
0.083472,-1.843328,-0.514156,-1.509917,0.172812,90.176619
0.166945,-1.960311,-0.537930,-1.610666,0.172299,90.176619
0.250417,-2.075357,-0.560345,-1.710573,0.173147,90.176619
0.333890,-2.190926,-0.582546,-1.810869,0.172588,90.176619
0.417362,-2.305347,-0.601762,-1.912039,0.171831,90.176619
0.500835,-2.417525,-0.621118,-2.012324,0.172647,90.176619
0.584307,-2.529375,-0.638778,-2.113138,0.172732,90.176619
0.667780,-2.640361,-0.655554,-2.213658,0.172969,90.176619
0.751252,-2.749632,-0.671449,-2.314469,0.173712,90.176619
0.834725,-2.858644,-0.687042,-2.416332,0.173333,90.176619
0.918197,-2.967562,-0.702001,-2.516858,0.173117,90.176619
1.001669,-3.075900,-0.713981,-2.618347,0.172113,90.176619
1.085142,-3.181936,-0.725916,-2.720076,0.172130,90.176619
1.168614,-3.288175,-0.735823,-2.821571,0.171411,90.176619
1.252087,-3.391238,-0.744621,-2.922260,0.046254,90.176619
1.335559,-3.364276,-0.712388,-2.924568,0.047401,90.176619
1.419032,-3.340511,-0.679382,-2.925894,0.047369,90.176619
1.502504,-3.314284,-0.647039,-2.927508,0.048359,90.176619
1.585977,-3.288966,-0.612830,-2.929695,0.047395,90.176619
1.669449,-3.260657,-0.577991,-2.931289,0.046103,90.176619
1.752922,-3.233106,-0.544811,-2.933814,0.046380,90.176619
1.836394,-3.205025,-0.511528,-2.935430,0.046683,90.176619
1.919866,-3.178754,-0.478726,-2.936416,0.047220,90.176619
2.003339,-3.152471,-0.446094,-2.938658,0.047888,90.176619
2.086811,-3.123470,-0.413128,-2.940666,0.048657,90.176619
2.170284,-3.097248,-0.380230,-2.942228,0.049058,90.176619
2.253756,-3.071462,-0.347663,-2.943607,0.049731,90.176619
2.337229,-3.044440,-0.315741,-2.945112,0.051233,90.176619
2.420701,-3.017722,-0.284016,-2.947914,0.052856,90.176619
2.504174,-2.993005,-0.251212,-2.948075,0.053222,90.176619
2.587646,-2.965907,-0.216473,-2.949016,0.051957,90.176619
2.671119,-2.938909,-0.180433,-2.950007,0.049407,90.176619
2.754591,-2.911234,-0.146546,-2.951370,0.049071,90.176619
2.838063,-2.884680,-0.113081,-2.951909,0.049071,90.176619
2.921536,-2.857265,-0.080007,-2.953248,0.049522,90.176619
3.005008,-2.830208,-0.046553,-2.955116,0.049494,90.176619
3.088481,-2.803209,-0.012854,-2.956306,0.049290,90.176619
3.171953,-2.775889,0.019743,-2.957772,0.050193,90.176619
3.255426,-2.748206,0.055144,-2.959557,0.048409,90.176619
3.338898,-2.721269,0.087223,-2.961019,0.049752,90.176619
3.422371,-2.696103,0.119725,-2.961701,0.050446,90.176619
3.505843,-2.669730,0.152932,-2.963340,0.050570,90.176619
3.589316,-2.643705,0.186486,-2.965040,0.050295,90.176619
3.672788,-2.617607,0.220393,-2.966867,0.049676,90.176619
3.756260,-2.591939,0.253887,-2.968268,0.049471,90.176619
3.839733,-2.565960,0.288160,-2.969261,0.048568,90.176619
3.923205,-2.538476,0.319001,-2.970150,0.050752,90.176619
4.006678,-2.511727,0.351901,-2.971822,0.050229,90.176619
4.090150,-2.486588,0.385040,-2.974133,0.048740,90.176619
4.173623,-2.458447,0.417093,-2.975362,0.048297,90.176619
4.257095,-2.430963,0.447805,-2.978993,0.048252,90.176619
4.340568,-2.406096,0.477930,-2.980635,0.048439,90.176619
4.424040,-2.377916,0.507101,-2.982722,0.049245,90.176619
4.507513,-2.350748,0.535717,-2.984086,0.050183,90.176619
4.590985,-2.322928,0.563100,-2.986366,0.051763,90.176619
4.674457,-2.295673,0.591819,-2.987915,0.051641,90.176619
4.757930,-2.267622,0.620848,-2.989545,0.050759,90.176619
4.841402,-2.239880,0.649441,-2.991515,0.049784,90.176619
4.924875,-2.211128,0.678141,-2.993151,0.048311,90.176619
5.008347,-2.184053,0.704934,-2.996252,0.047997,90.176619
5.091820,-2.153577,0.731372,-2.998498,0.047703,90.176619
5.175292,-2.125323,0.756582,-3.002733,0.047861,90.176619
5.258765,-2.097454,0.781612,-3.005250,0.048003,90.176619
5.342237,-2.069971,0.806936,-3.007987,0.047412,90.176619
5.425710,-2.039776,0.830636,-3.010637,0.047863,90.176619
5.509182,-2.009867,0.854729,-3.013479,0.047460,90.176619
5.592654,-1.981701,0.877344,-3.016795,0.048088,90.176619
5.676127,-1.951493,0.901179,-3.019233,0.047024,90.176619
5.759599,-1.921788,0.924458,-3.022593,0.045998,90.176619
5.843072,-1.891475,0.946969,-3.024840,0.045327,90.176619
5.926544,-1.863574,0.969913,-3.027381,0.043894,90.176619
6.010017,-1.833937,0.992169,-3.030372,0.042550,90.176619
6.093489,-1.800920,1.012310,-3.033697,0.042543,90.176619
6.176962,-1.771008,1.031769,-3.037158,0.042982,90.176619
