x_axis,y_axis,real_score,twin_score,similarity_score
0.900000,0.850000,78.859689,49.528738,62.806154
0.922222,0.850000,80.811124,50.754359,62.806154
0.944444,0.850000,82.810849,52.010309,62.806154
0.966667,0.850000,84.860058,53.297339,62.806154
0.988889,0.850000,86.959976,54.616217,62.806154
1.011111,0.850000,86.959976,54.616217,62.806154
1.033333,0.850000,84.860058,53.297339,62.806154
1.055556,0.850000,82.810849,52.010309,62.806154
1.077778,0.850000,80.811124,50.754359,62.806154
1.100000,0.850000,78.859689,49.528738,62.806154
0.900000,0.883333,81.126001,50.952122,62.806154
0.922222,0.883333,83.133518,52.212966,62.806154
0.944444,0.883333,85.190712,53.505010,62.806154
0.966667,0.883333,87.298812,54.829027,62.806154
0.988889,0.883333,89.459078,56.185807,62.806154
1.011111,0.883333,89.459078,56.185807,62.806154
1.033333,0.883333,87.298812,54.829027,62.806154
1.055556,0.883333,85.190712,53.505010,62.806154
1.077778,0.883333,83.133518,52.212966,62.806154
1.100000,0.883333,81.126001,50.952122,62.806154
0.900000,0.916667,83.457444,52.416411,62.806154
0.922222,0.916667,85.522654,53.713490,62.806154
0.944444,0.916667,87.638968,55.042666,62.806154
0.966667,0.916667,89.807652,56.404733,62.806154
0.988889,0.916667,92.030002,57.800505,62.806154
1.011111,0.916667,92.030002,57.800505,62.806154
1.033333,0.916667,89.807652,56.404733,62.806154
1.055556,0.916667,87.638968,55.042666,62.806154
1.077778,0.916667,85.522654,53.713490,62.806154
1.100000,0.916667,83.457444,52.416411,62.806154
0.900000,0.950000,85.855889,53.922782,62.806154
0.922222,0.950000,87.980450,55.257137,62.806154
0.944444,0.950000,90.157584,56.624512,62.806154
0.966667,0.950000,92.388593,58.025722,62.806154
0.988889,0.950000,94.674810,59.461607,62.806154
1.011111,0.950000,94.674810,59.461607,62.806154
1.033333,0.950000,92.388593,58.025722,62.806154
1.055556,0.950000,90.157584,56.624512,62.806154
1.077778,0.950000,87.980450,55.257137,62.806154
1.100000,0.950000,85.855889,53.922782,62.806154
0.900000,0.983333,88.323262,55.472444,62.806154
0.922222,0.983333,90.508880,56.845147,62.806154
0.944444,0.983333,92.748582,58.251817,62.806154
0.966667,0.983333,95.043706,59.693297,62.806154
0.988889,0.983333,97.395626,61.170447,62.806154
1.011111,0.983333,97.395626,61.170447,62.806154
1.033333,0.983333,95.043706,59.693297,62.806154
1.055556,0.983333,92.748582,58.251817,62.806154
1.077778,0.983333,90.508880,56.845147,62.806154
1.100000,0.983333,88.323262,55.472444,62.806154
0.900000,1.016667,88.323262,55.472444,62.806154
0.922222,1.016667,90.508880,56.845147,62.806154
0.944444,1.016667,92.748582,58.251817,62.806154
0.966667,1.016667,95.043706,59.693297,62.806154
0.988889,1.016667,97.395626,61.170447,62.806154
1.011111,1.016667,97.395626,61.170447,62.806154
1.033333,1.016667,95.043706,59.693297,62.806154
1.055556,1.016667,92.748582,58.251817,62.806154
1.077778,1.016667,90.508880,56.845147,62.806154
1.100000,1.016667,88.323262,55.472444,62.806154
0.900000,1.050000,85.855889,53.922782,62.806154
0.922222,1.050000,87.980450,55.257137,62.806154
0.944444,1.050000,90.157584,56.624512,62.806154
0.966667,1.050000,92.388593,58.025722,62.806154
0.988889,1.050000,94.674810,59.461607,62.806154
1.011111,1.050000,94.674810,59.461607,62.806154
1.033333,1.050000,92.388593,58.025722,62.806154
1.055556,1.050000,90.157584,56.624512,62.806154
1.077778,1.050000,87.980450,55.257137,62.806154
1.100000,1.050000,85.855889,53.922782,62.806154
0.900000,1.083333,83.457444,52.416411,62.806154
0.922222,1.083333,85.522654,53.713490,62.806154
0.944444,1.083333,87.638968,55.042666,62.806154
0.966667,1.083333,89.807652,56.404733,62.806154
0.988889,1.083333,92.030002,57.800505,62.806154
1.011111,1.083333,92.030002,57.800505,62.806154
1.033333,1.083333,89.807652,56.404733,62.806154
1.055556,1.083333,87.638968,55.042666,62.806154
1.077778,1.083333,85.522654,53.713490,62.806154
1.100000,1.083333,83.457444,52.416411,62.806154
0.900000,1.116667,81.126001,50.952122,62.806154
0.922222,1.116667,83.133518,52.212966,62.806154
0.944444,1.116667,85.190712,53.505010,62.806154
0.966667,1.116667,87.298812,54.829027,62.806154
0.988889,1.116667,89.459078,56.185807,62.806154
1.011111,1.116667,89.459078,56.185807,62.806154
1.033333,1.116667,87.298812,54.829027,62.806154
1.055556,1.116667,85.190712,53.505010,62.806154
1.077778,1.116667,83.133518,52.212966,62.806154
1.100000,1.116667,81.126001,50.952122,62.806154
0.900000,1.150000,78.859689,49.528738,62.806154
0.922222,1.150000,80.811124,50.754359,62.806154
0.944444,1.150000,82.810849,52.010309,62.806154
0.966667,1.150000,84.860058,53.297339,62.806154
0.988889,1.150000,86.959976,54.616217,62.806154
1.011111,1.150000,86.959976,54.616217,62.806154
1.033333,1.150000,84.860058,53.297339,62.806154
1.055556,1.150000,82.810849,52.010309,62.806154
1.077778,1.150000,80.811124,50.754359,62.806154
1.100000,1.150000,78.859689,49.528738,62.806154
