x_axis,y_axis,real_score,twin_score,similarity_score
0.000000,-0.120000,90.846402,57.224967,62.990901
0.100000,-0.120000,89.225796,56.412861,63.224834
0.200000,-0.120000,87.634100,55.594075,63.438861
0.300000,-0.120000,86.070798,54.771558,63.635472
0.400000,-0.120000,84.535383,53.947734,63.816750
0.500000,-0.120000,83.027359,53.124602,63.984453
0.600000,-0.120000,81.546237,52.303819,64.140077
0.700000,-0.120000,80.091536,51.486765,64.284901
0.800000,-0.120000,78.662786,50.674588,64.420027
0.900000,-0.120000,77.259523,49.868250,64.546411
0.000000,-0.093333,92.805279,58.458881,62.990901
0.100000,-0.093333,91.149728,57.604871,63.198072
0.200000,-0.093333,89.523711,56.747905,63.388687
0.300000,-0.093333,87.926701,55.890377,63.564739
0.400000,-0.093333,86.358179,55.034258,63.727904
0.500000,-0.093333,84.817638,54.181175,63.879608
0.600000,-0.093333,83.304579,53.332479,64.021066
0.700000,-0.093333,81.818511,52.489296,64.153325
0.800000,-0.093333,80.358954,51.652559,64.277291
0.900000,-0.093333,78.925433,50.823047,64.393751
0.000000,-0.066667,94.806394,59.719402,62.990901
0.100000,-0.066667,93.115146,58.827721,63.177392
0.200000,-0.066667,91.454068,57.935077,63.348824
0.300000,-0.066667,89.822621,57.043706,63.507060
0.400000,-0.066667,88.220279,56.155439,63.653663
0.500000,-0.066667,86.646520,55.271774,63.789953
0.600000,-0.066667,85.100835,54.393947,63.917054
0.700000,-0.066667,83.582724,53.522975,64.035931
0.800000,-0.066667,82.091695,52.659698,64.147412
0.900000,-0.066667,80.627264,51.804804,64.252217
0.000000,-0.040000,96.850658,61.007102,62.990901
0.100000,-0.040000,95.122942,60.082794,63.163304
0.200000,-0.040000,93.426047,59.158397,63.321096
0.300000,-0.040000,91.759423,58.236152,63.466127
0.400000,-0.040000,90.122530,57.317881,63.599946
0.500000,-0.040000,88.514837,56.405073,63.723862
0.600000,-0.040000,86.935824,55.498947,63.838985
0.700000,-0.040000,85.384978,54.600503,63.946264
0.800000,-0.040000,83.861798,53.710560,64.046516
0.900000,-0.040000,82.365790,52.829788,64.140449
0.000000,-0.013333,98.939002,62.322569,62.990901
0.100000,-0.013333,97.174032,61.371394,63.156167
0.200000,-0.013333,95.440548,60.420420,63.306866
0.300000,-0.013333,93.737987,59.471927,63.444852
0.400000,-0.013333,92.065798,58.527772,63.571677
0.500000,-0.013333,90.423439,57.589469,63.688651
0.600000,-0.013333,88.810379,56.658257,63.796887
0.700000,-0.013333,87.226093,55.735149,63.897335
0.800000,-0.013333,85.670070,54.820974,63.990813
0.900000,-0.013333,84.141804,53.916409,64.078028
0.000000,0.013333,98.939002,62.322569,62.990901
0.100000,0.013333,97.174032,61.371394,63.156167
0.200000,0.013333,95.440548,60.420420,63.306866
0.300000,0.013333,93.737987,59.471927,63.444852
0.400000,0.013333,92.065798,58.527772,63.571677
0.500000,0.013333,90.423439,57.589469,63.688651
0.600000,0.013333,88.810379,56.658257,63.796887
0.700000,0.013333,87.226093,55.735149,63.897335
0.800000,0.013333,85.670070,54.820974,63.990813
0.900000,0.013333,84.141804,53.916409,64.078028
0.000000,0.040000,96.850658,61.007102,62.990901
0.100000,0.040000,95.122942,60.082794,63.163304
0.200000,0.040000,93.426047,59.158397,63.321096
0.300000,0.040000,91.759423,58.236152,63.466127
0.400000,0.040000,90.122530,57.317881,63.599946
0.500000,0.040000,88.514837,56.405073,63.723862
0.600000,0.040000,86.935824,55.498947,63.838985
0.700000,0.040000,85.384978,54.600503,63.946264
0.800000,0.040000,83.861798,53.710560,64.046516
0.900000,0.040000,82.365790,52.829788,64.140449
0.000000,0.066667,94.806394,59.719402,62.990901
0.100000,0.066667,93.115146,58.827721,63.177392
0.200000,0.066667,91.454068,57.935077,63.348824
0.300000,0.066667,89.822621,57.043706,63.507060
0.400000,0.066667,88.220279,56.155439,63.653663
0.500000,0.066667,86.646520,55.271774,63.789953
0.600000,0.066667,85.100835,54.393947,63.917054
0.700000,0.066667,83.582724,53.522975,64.035931
0.800000,0.066667,82.091695,52.659698,64.147412
0.900000,0.066667,80.627264,51.804804,64.252217
0.000000,0.093333,92.805279,58.458881,62.990901
0.100000,0.093333,91.149728,57.604871,63.198072
0.200000,0.093333,89.523711,56.747905,63.388687
0.300000,0.093333,87.926701,55.890377,63.564739
0.400000,0.093333,86.358179,55.034258,63.727904
0.500000,0.093333,84.817638,54.181175,63.879608
0.600000,0.093333,83.304579,53.332479,64.021066
0.700000,0.093333,81.818511,52.489296,64.153325
0.800000,0.093333,80.358954,51.652559,64.277291
0.900000,0.093333,78.925433,50.823047,64.393751
0.000000,0.120000,90.846402,57.224967,62.990901
0.100000,0.120000,89.225796,56.412861,63.224834
0.200000,0.120000,87.634100,55.594075,63.438861
0.300000,0.120000,86.070798,54.771558,63.635472
0.400000,0.120000,84.535383,53.947734,63.816750
0.500000,0.120000,83.027359,53.124602,63.984453
0.600000,0.120000,81.546237,52.303819,64.140077
0.700000,0.120000,80.091536,51.486765,64.284901
0.800000,0.120000,78.662786,50.674588,64.420027
0.900000,0.120000,77.259523,49.868250,64.546411
