x_axis,y_axis,real_score,twin_score,similarity_score
0.000000,-0.120000,90.846402,57.057131,62.806154
0.100000,-0.120000,89.225796,57.259024,64.173173
0.200000,-0.120000,87.634100,57.322920,65.411660
0.300000,-0.120000,86.070798,57.270658,66.539011
0.400000,-0.120000,84.535383,57.120233,67.569615
0.500000,-0.120000,83.027359,56.886589,68.515474
0.600000,-0.120000,81.546237,56.582228,69.386682
0.700000,-0.120000,80.091536,56.217680,70.191787
0.800000,-0.120000,78.662786,55.801866,70.938075
0.900000,-0.120000,77.259523,55.342385,71.631797
0.000000,-0.093333,92.805279,58.287427,62.806154
0.100000,-0.093333,91.149728,58.076008,63.714954
0.200000,-0.093333,89.523711,57.801860,64.565978
0.300000,-0.093333,87.926701,57.472937,65.364600
0.400000,-0.093333,86.358179,57.096183,66.115547
0.500000,-0.093333,84.817638,56.677682,66.822990
0.600000,-0.093333,83.304579,56.222782,67.490626
0.700000,-0.093333,81.818511,55.736195,68.121741
0.800000,-0.093333,80.358954,55.222087,68.719271
0.900000,-0.093333,78.925433,54.684151,69.285842
0.000000,-0.066667,94.806394,59.544250,62.806154
0.100000,-0.066667,93.115146,58.996261,63.358394
0.200000,-0.066667,91.454068,58.425345,63.884906
0.300000,-0.066667,89.822621,57.834885,64.387884
0.400000,-0.066667,88.220279,57.227817,64.869232
0.500000,-0.066667,86.646520,56.606703,65.330613
0.600000,-0.066667,85.100835,55.973793,65.773494
0.700000,-0.066667,83.582724,55.331074,66.199175
0.800000,-0.066667,82.091695,54.680305,66.608815
0.900000,-0.066667,80.627264,54.023050,67.003453
0.000000,-0.040000,96.850658,60.828174,62.806154
0.100000,-0.040000,95.122942,60.036128,63.114246
0.200000,-0.040000,93.426047,59.238095,63.406402
0.300000,-0.040000,91.759423,58.436488,63.684455
0.400000,-0.040000,90.122530,57.633304,63.949940
0.500000,-0.040000,88.514837,56.830207,64.204160
0.600000,-0.040000,86.935824,56.028593,64.448223
0.700000,-0.040000,85.384978,55.229636,64.683082
0.800000,-0.040000,83.861798,54.434324,64.909560
0.900000,-0.040000,82.365790,53.643497,65.128370
0.000000,-0.013333,98.939002,62.139782,62.806154
0.100000,-0.013333,97.174032,61.210094,62.990176
0.200000,-0.013333,95.440548,60.279615,63.159334
0.300000,-0.013333,93.737987,59.350690,63.315516
0.400000,-0.013333,92.065798,58.425234,63.460303
0.500000,-0.013333,90.423439,57.504812,63.595028
0.600000,-0.013333,88.810379,56.590706,63.720825
0.700000,-0.013333,87.226093,55.683972,63.838663
0.800000,-0.013333,85.670070,54.785474,63.949375
0.900000,-0.013333,84.141804,53.895923,64.053681
0.000000,0.013333,98.939002,62.139782,62.806154
0.100000,0.013333,97.174032,61.210094,62.990176
0.200000,0.013333,95.440548,60.279615,63.159334
0.300000,0.013333,93.737987,59.350690,63.315516
0.400000,0.013333,92.065798,58.425234,63.460303
0.500000,0.013333,90.423439,57.504812,63.595028
0.600000,0.013333,88.810379,56.590706,63.720825
0.700000,0.013333,87.226093,55.683972,63.838663
0.800000,0.013333,85.670070,54.785474,63.949375
0.900000,0.013333,84.141804,53.895923,64.053681
0.000000,0.040000,96.850658,60.828174,62.806154
0.100000,0.040000,95.122942,60.036128,63.114246
0.200000,0.040000,93.426047,59.238095,63.406402
0.300000,0.040000,91.759423,58.436488,63.684455
0.400000,0.040000,90.122530,57.633304,63.949940
0.500000,0.040000,88.514837,56.830207,64.204160
0.600000,0.040000,86.935824,56.028593,64.448223
0.700000,0.040000,85.384978,55.229636,64.683082
0.800000,0.040000,83.861798,54.434324,64.909560
0.900000,0.040000,82.365790,53.643497,65.128370
0.000000,0.066667,94.806394,59.544250,62.806154
0.100000,0.066667,93.115146,58.996261,63.358394
0.200000,0.066667,91.454068,58.425345,63.884906
0.300000,0.066667,89.822621,57.834885,64.387884
0.400000,0.066667,88.220279,57.227817,64.869232
0.500000,0.066667,86.646520,56.606703,65.330613
0.600000,0.066667,85.100835,55.973793,65.773494
0.700000,0.066667,83.582724,55.331074,66.199175
0.800000,0.066667,82.091695,54.680305,66.608815
0.900000,0.066667,80.627264,54.023050,67.003453
0.000000,0.093333,92.805279,58.287427,62.806154
0.100000,0.093333,91.149728,58.076008,63.714954
0.200000,0.093333,89.523711,57.801860,64.565978
0.300000,0.093333,87.926701,57.472937,65.364600
0.400000,0.093333,86.358179,57.096183,66.115547
0.500000,0.093333,84.817638,56.677682,66.822990
0.600000,0.093333,83.304579,56.222782,67.490626
0.700000,0.093333,81.818511,55.736195,68.121741
0.800000,0.093333,80.358954,55.222087,68.719271
0.900000,0.093333,78.925433,54.684151,69.285842
0.000000,0.120000,90.846402,57.057131,62.806154
0.100000,0.120000,89.225796,57.259024,64.173173
0.200000,0.120000,87.634100,57.322920,65.411660
0.300000,0.120000,86.070798,57.270658,66.539011
0.400000,0.120000,84.535383,57.120233,67.569615
0.500000,0.120000,83.027359,56.886589,68.515474
0.600000,0.120000,81.546237,56.582228,69.386682
0.700000,0.120000,80.091536,56.217680,70.191787
0.800000,0.120000,78.662786,55.801866,70.938075
0.900000,0.120000,77.259523,55.342385,71.631797
