t_s,x_m,y_m,z_m,error_norm_m
0.000000,0.000000,0.000000,-3.000000,0.000000
0.050083,0.006203,-0.007938,-2.995884,1.090238
0.100167,-0.041535,0.051288,-1.908263,0.275919
0.150250,-0.057526,0.071627,-2.180447,0.276905
0.200334,-0.075338,0.094292,-2.452576,0.278088
0.250417,-0.096230,0.119965,-2.724351,0.279567
0.300501,-0.118941,0.148818,-2.996497,0.050131
0.350584,-0.143811,0.179561,-2.995855,0.050722
0.400668,-0.168708,0.209870,-2.995368,0.051631
0.450751,-0.194035,0.241062,-2.995476,0.051534
0.500835,-0.219622,0.272677,-2.996230,0.050895
0.550918,-0.244309,0.304820,-2.996140,0.050456
0.601002,-0.269058,0.337457,-2.996563,0.049572
0.651085,-0.293358,0.368666,-2.997242,0.050075
0.701169,-0.318709,0.399662,-2.996843,0.050135
0.751252,-0.344087,0.430166,-2.996227,0.050584
0.801336,-0.369700,0.461042,-2.996224,0.050564
0.851419,-0.394174,0.492398,-2.996819,0.050831
0.901503,-0.418743,0.523251,-2.996467,0.051498
0.951586,-0.443100,0.554948,-2.995898,0.051664
1.001669,-0.468168,0.586370,-2.996211,0.051531
1.051753,-0.492230,0.616723,-2.996069,0.052894
1.101836,-0.517768,0.648521,-2.996877,0.052143
1.151920,-0.542257,0.679554,-2.996809,0.052706
1.202003,-0.566730,0.710550,-2.996679,0.053313
1.252087,-0.592079,0.741232,-2.996115,0.053630
1.302170,-0.616736,0.772364,-2.996822,0.053959
1.352254,-0.641516,0.802885,-2.996544,0.054744
1.402337,-0.666588,0.834185,-2.997233,0.054688
1.452421,-0.691784,0.866290,-2.998090,0.053933
1.502504,-0.717137,0.897207,-2.997534,0.054056
1.552588,-0.740913,0.928237,-2.997111,0.055092
1.602671,-0.765127,0.958728,-2.997760,0.056214
1.652755,-0.789124,0.989487,-2.997430,0.057318
1.702838,-0.814535,1.020838,-2.997295,0.057048
1.752922,-0.839331,1.052566,-2.996891,0.056905
1.803005,-0.864641,1.084235,-2.997502,0.056422
1.853088,-0.890077,1.115181,-2.997421,0.056439
1.903172,-0.914801,1.146720,-2.996898,0.056492
1.953255,-0.939719,1.177322,-2.997011,0.057099
2.003339,-0.964593,1.207773,-2.996906,0.057861
2.053422,-0.989030,1.239071,-2.996907,0.058254
2.103506,-1.014009,1.271567,-2.996524,0.057414
2.153589,-1.037974,1.302728,-2.996276,0.057679
2.203673,-1.062405,1.334363,-2.996343,0.050348
2.253756,-1.078743,1.362546,-2.996737,0.044415
2.303840,-1.087212,1.388608,-2.997912,0.038959
2.353923,-1.086998,1.412306,-2.998420,0.034938
2.404007,-1.079060,1.434213,-3.000082,0.031667
2.454090,-1.063705,1.453655,-3.001259,0.030796
2.504174,-1.039506,1.470592,-3.002077,0.032238
2.554257,-1.006769,1.485112,-3.004343,0.034999
2.604341,-0.967225,1.497243,-3.006092,0.040262
2.654424,-0.920266,1.506956,-3.008146,0.047210
2.704508,-0.865129,1.514821,-3.011243,0.053953
2.754591,-0.801991,1.519209,-3.014404,0.054449
2.804674,-0.739336,1.523712,-3.018125,0.055274
2.854758,-0.675291,1.528281,-3.021295,0.054869
2.904841,-0.611906,1.532713,-3.024334,0.055152
2.954925,-0.549164,1.537243,-3.027796,0.055936
3.005008,-0.486512,1.542185,-3.031251,0.056672
3.055092,-0.424049,1.547577,-3.035295,0.057355
3.105175,-0.361126,1.553041,-3.038046,0.057789
3.155259,-0.297759,1.557790,-3.041965,0.057848
3.205342,-0.235596,1.562767,-3.044930,0.059114
3.255426,-0.172483,1.566764,-3.048268,0.059732
3.305509,-0.109321,1.572286,-3.051536,0.059843
3.355593,-0.045685,1.577334,-3.054662,0.059677
3.405676,0.017282,1.582282,-3.057574,0.060205
3.455760,0.080276,1.586300,-3.061128,0.060897
3.505843,0.143864,1.590924,-3.064849,0.060824
3.555927,0.206968,1.595365,-3.068511,0.061277
3.606010,0.269785,1.600264,-3.072252,0.061839
3.656093,0.332057,1.604393,-3.075921,0.063180
3.706177,0.395000,1.609320,-3.079668,0.063621
3.756260,0.457582,1.613355,-3.082825,0.064773
3.806344,0.520389,1.618739,-3.086417,0.065206
3.856427,0.583763,1.624533,-3.088768,0.065127
3.906511,0.647575,1.629762,-3.091395,0.064801
3.956594,0.711016,1.635822,-3.095052,0.064424
4.006678,0.774312,1.641013,-3.097751,0.064592
4.056761,0.837928,1.646116,-3.101628,0.064321
4.106845,0.900804,1.650446,-3.104626,0.065107
4.156928,0.963680,1.655263,-3.108302,0.065649
4.207012,1.026502,1.659649,-3.112122,0.066362
4.257095,1.090216,1.664995,-3.115404,0.066006
4.307179,1.152827,1.670757,-3.118359,0.066605
4.357262,1.216285,1.674605,-3.121405,0.066983
4.407346,1.279261,1.680336,-3.124883,0.067177
4.457429,1.341980,1.685116,-3.128430,0.067898
4.507513,1.405042,1.690957,-3.131324,0.068066
4.557596,1.468509,1.696295,-3.134564,0.067957
4.607679,1.530907,1.701866,-3.138419,0.068721
4.657763,1.594292,1.707360,-3.142132,0.068594
4.707846,1.658070,1.712542,-3.145366,0.068236
4.757930,1.721804,1.717829,-3.149037,0.067839
4.808013,1.785935,1.722443,-3.152611,0.067256
4.858097,1.849710,1.727243,-3.156271,0.066956
4.908180,1.913504,1.731466,-3.160266,0.066769
4.958264,1.975532,1.736851,-3.164422,0.067928
5.008347,2.038368,1.742170,-3.166990,0.068493
5.058431,2.101030,1.747731,-3.170847,0.069040
5.108514,2.163768,1.752416,-3.173622,0.069853
5.158598,2.227257,1.757583,-3.177457,0.068902
5.208681,2.289306,1.761587,-3.181047,0.065173
5.258765,2.348322,1.762797,-3.183898,0.060685
5.308848,2.403038,1.761775,-3.186733,0.056531
5.358932,2.454822,1.756960,-3.189557,0.051668
5.409015,2.501477,1.750311,-3.192901,0.047988
5.459098,2.544154,1.740245,-3.194765,0.044807
5.509182,2.584449,1.727464,-3.197248,0.040363
5.559265,2.619547,1.710981,-3.199174,0.037522
5.609349,2.651087,1.691938,-3.201029,0.034830
5.659432,2.678819,1.668685,-3.202493,0.032126
5.709516,2.702682,1.642757,-3.203387,0.030321
5.759599,2.722993,1.615556,-3.204840,0.031071
5.809683,2.743771,1.587237,-3.205895,0.030915
5.859766,2.763376,1.559530,-3.206601,0.032119
5.909850,2.783525,1.531984,-3.207575,0.032895
5.959933,2.804497,1.505141,-3.209001,0.033238
6.010017,2.825786,1.476259,-3.209430,0.032444
6.060100,2.846909,1.448120,-3.210894,0.032031
6.110184,2.868084,1.420040,-3.212333,0.031606
6.160267,2.890096,1.392543,-3.213554,0.030749
6.210351,2.910544,1.366009,-3.214184,0.031807
6.260434,2.931431,1.338136,-3.214901,0.031816
6.310518,2.951467,1.311413,-3.214991,0.033234
6.360601,2.971999,1.282890,-3.216090,0.033165
6.410684,2.992315,1.255610,-3.217558,0.033855
6.460768,3.012854,1.228077,-3.217958,0.034392
6.510851,3.034497,1.199613,-3.219545,0.033336
6.560935,3.054385,1.171609,-3.219793,0.034227
6.611018,3.075533,1.143397,-3.221087,0.033768
6.661102,3.095979,1.115161,-3.222088,0.033957
6.711185,3.117805,1.088423,-3.223574,0.033596
6.761269,3.138874,1.061322,-3.224443,0.033837
6.811352,3.160257,1.033818,-3.225746,0.033545
6.861436,3.181867,1.006194,-3.226778,0.033056
6.911519,3.202968,0.978591,-3.227949,0.032978
6.961603,3.223974,0.951328,-3.229292,0.033143
7.011686,3.244482,0.922477,-3.230192,0.032901
7.061770,3.265228,0.895811,-3.231731,0.033573
7.111853,3.285047,0.868100,-3.233119,0.034450
7.161937,3.305761,0.840415,-3.234115,0.034671
7.212020,3.325972,0.813529,-3.235856,0.035649
7.262104,3.347720,0.785302,-3.237208,0.034675
7.312187,3.368434,0.757395,-3.239050,0.034674
7.362270,3.389883,0.729006,-3.240923,0.033810
7.412354,3.410680,0.700520,-3.242051,0.033497
7.462437,3.431201,0.672649,-3.243392,0.033743
7.512521,3.452392,0.644177,-3.244472,0.033124
7.562604,3.472787,0.616698,-3.245610,0.033705
7.612688,3.494136,0.588874,-3.247433,0.033257
7.662771,3.515706,0.561795,-3.248248,0.033109
7.712855,3.536956,0.534441,-3.249299,0.033074
7.762938,3.557166,0.506167,-3.249897,0.033388
7.813022,3.577882,0.478258,-3.251363,0.033439
7.863105,3.598408,0.449773,-3.251836,0.033407
7.913189,3.618499,0.421599,-3.252306,0.033934
7.963272,3.639333,0.393717,-3.254262,0.033854
8.013356,3.659723,0.365398,-3.254626,0.034074
8.063439,3.679597,0.338246,-3.255432,0.035297
8.113523,3.700309,0.310514,-3.256562,0.035476
8.163606,3.721674,0.282462,-3.258172,0.034887
8.213689,3.742770,0.254909,-3.258569,0.034906
8.263773,3.762911,0.226530,-3.258687,0.035371
8.313856,3.783642,0.198344,-3.259836,0.035306
8.363940,3.804251,0.170593,-3.260995,0.035559
8.414023,3.825072,0.142869,-3.262472,0.035600
8.464107,3.845978,0.116226,-3.263087,0.036223
8.514190,3.867136,0.088598,-3.263320,0.036211
8.564274,3.887448,0.060181,-3.264618,0.036351
8.614357,3.908023,0.032971,-3.265295,0.036980
8.664441,3.928116,0.004802,-3.266291,0.037487
8.714524,3.947461,-0.023267,-3.267431,0.038678
8.764608,3.967594,-0.051061,-3.268519,0.038146
8.814691,3.987312,-0.077855,-3.269725,0.034531
8.864775,4.002664,-0.104808,-3.270439,0.030805
8.914858,4.014667,-0.130587,-3.270761,0.026888
8.964942,4.021752,-0.154762,-3.271170,0.024380
9.015025,4.024934,-0.178737,-3.270543,0.021935
9.065109,4.023859,-0.202554,-3.269955,0.019553
9.115192,4.019031,-0.224997,-3.269025,0.018353
9.165275,4.010391,-0.248255,-3.267893,0.016686
9.215359,3.997999,-0.270153,-3.265751,0.017266
9.265442,3.981187,-0.290827,-3.264761,0.019172
9.315526,3.960452,-0.311803,-3.263246,0.020770
9.365609,3.935197,-0.331566,-3.261125,0.020412
9.415693,3.911633,-0.350930,-3.258429,0.021586
9.465776,3.885982,-0.371070,-3.255893,0.020771
9.515860,3.861899,-0.391681,-3.254999,0.020446
9.565943,3.836960,-0.412233,-3.253206,0.019720
9.616027,3.813034,-0.430969,-3.250733,0.021065
9.666110,3.788847,-0.451357,-3.248352,0.021025
9.716194,3.764888,-0.470362,-3.245497,0.022196
9.766277,3.741342,-0.489929,-3.242883,0.023222
9.816361,3.717278,-0.509645,-3.240591,0.023747
9.866444,3.692085,-0.530225,-3.237863,0.022944
9.916528,3.668029,-0.549920,-3.235636,0.023479
9.966611,3.642627,-0.569890,-3.233480,0.022895
10.016694,3.618726,-0.589907,-3.231752,0.023228
10.066778,3.594367,-0.609946,-3.229506,0.023312
10.116861,3.570211,-0.629992,-3.227974,0.023449
10.166945,3.546394,-0.651113,-3.226015,0.023141
10.217028,3.521605,-0.670841,-3.223987,0.023113
10.267112,3.497159,-0.690137,-3.221564,0.023673
10.317195,3.472579,-0.710982,-3.218898,0.023083
10.367279,3.447594,-0.730640,-3.216548,0.023006
10.417362,3.422877,-0.750388,-3.214001,0.023089
10.467446,3.398703,-0.770499,-3.212083,0.023210
10.517529,3.375330,-0.790525,-3.209257,0.024076
10.567613,3.350286,-0.808987,-3.206319,0.024904
10.617696,3.327109,-0.828347,-3.204013,0.026286
10.667780,3.302767,-0.848498,-3.201510,0.026346
10.717863,3.278492,-0.867994,-3.199282,0.026871
10.767947,3.254131,-0.887767,-3.197610,0.027058
10.818030,3.229209,-0.907929,-3.195612,0.026638
10.868114,3.204650,-0.927739,-3.193241,0.026770
10.918197,3.181646,-0.947945,-3.190871,0.027684
10.968280,3.156864,-0.968646,-3.188501,0.027031
11.018364,3.132517,-0.988122,-3.186479,0.027488
11.068447,3.107196,-1.009533,-3.183773,0.026017
11.118531,3.082500,-1.029407,-3.182036,0.025901
11.168614,3.058835,-1.049428,-3.179683,0.026512
11.218698,3.034003,-1.068730,-3.177405,0.026779
11.268781,3.009558,-1.088156,-3.175357,0.027210
11.318865,2.985069,-1.107208,-3.173287,0.027893
11.368948,2.960405,-1.127470,-3.171490,0.027552
11.419032,2.936072,-1.147315,-3.169201,0.027801
11.469115,2.912769,-1.166699,-3.167005,0.029070
11.519199,2.887367,-1.186856,-3.165010,0.028334
11.569282,2.862351,-1.206300,-3.163025,0.028398
11.619366,2.837998,-1.227294,-3.160673,0.027782
11.669449,2.813120,-1.247198,-3.157616,0.027718
11.719533,2.788137,-1.266888,-3.156177,0.027557
11.769616,2.762673,-1.287356,-3.154328,0.026564
11.819699,2.738372,-1.308301,-3.152559,0.025946
11.869783,2.714204,-1.328629,-3.150220,0.025942
11.919866,2.689832,-1.349494,-3.148369,0.025378
11.969950,2.664492,-1.368543,-3.146457,0.025522
12.020033,2.640335,-1.388755,-3.144076,0.025610
12.070117,2.615655,-1.409504,-3.141928,0.024941
12.120200,2.591602,-1.427550,-3.139449,0.026742
12.170284,2.567388,-1.447462,-3.136355,0.027083
12.220367,2.542761,-1.466550,-3.134239,0.027712
12.270451,2.518959,-1.486817,-3.132538,0.027916
12.320534,2.494863,-1.507583,-3.130468,0.027604
12.370618,2.469930,-1.528443,-3.128735,0.026660
12.420701,2.444838,-1.548006,-3.126173,0.026635
12.470785,2.420408,-1.567996,-3.123631,0.026728
12.520868,2.395742,-1.589160,-3.122095,0.025711
12.570952,2.372432,-1.608488,-3.119318,0.027055
12.621035,2.348702,-1.628170,-3.117958,0.027776
12.671119,2.324866,-1.647939,-3.115885,0.028408
12.721202,2.300203,-1.667485,-3.114632,0.028625
12.771285,2.275731,-1.686548,-3.111910,0.029357
12.821369,2.252704,-1.706869,-3.110052,0.030133
12.871452,2.228560,-1.726467,-3.107396,0.030688
12.921536,2.203936,-1.746012,-3.105375,0.030943
12.971619,2.179902,-1.765588,-3.102768,0.031593
13.021703,2.155942,-1.785968,-3.101101,0.031697
13.071786,2.131584,-1.804958,-3.098644,0.032541
13.121870,2.108430,-1.824823,-3.095947,0.033593
13.171953,2.083841,-1.845326,-3.093870,0.033184
13.222037,2.059989,-1.865613,-3.091653,0.033458
13.272120,2.034896,-1.886907,-3.089266,0.031643
13.322204,2.009827,-1.905347,-3.087204,0.030766
13.372287,1.983479,-1.920458,-3.084365,0.030168
13.422371,1.957311,-1.933827,-3.082091,0.030231
13.472454,1.930009,-1.944174,-3.080256,0.030606
13.522538,1.900967,-1.952004,-3.079512,0.030440
13.572621,1.870625,-1.956198,-3.077099,0.030559
13.622705,1.839019,-1.958881,-3.076215,0.030372
13.672788,1.807576,-1.958476,-3.074638,0.031796
13.722871,1.774700,-1.955245,-3.073296,0.033087
13.772955,1.741647,-1.949584,-3.072297,0.035513
13.823038,1.707284,-1.941163,-3.071991,0.037054
13.873122,1.671342,-1.928954,-3.071058,0.036112
13.923205,1.635967,-1.918128,-3.070542,0.036063
13.973289,1.601330,-1.907474,-3.069632,0.036801
14.023372,1.566006,-1.896688,-3.069248,0.036803
14.073456,1.530506,-1.885695,-3.067989,0.036648
14.123539,1.495066,-1.874778,-3.067680,0.036498
14.173623,1.459693,-1.864747,-3.067380,0.036652
14.223706,1.425702,-1.854770,-3.066821,0.038177
14.273790,1.391104,-1.843858,-3.066330,0.038857
14.323873,1.356109,-1.832151,-3.065292,0.038973
14.373957,1.320483,-1.821337,-3.064064,0.038730
14.424040,1.285022,-1.811154,-3.063552,0.038774
14.474124,1.249451,-1.800147,-3.062586,0.038519
14.524207,1.214230,-1.789712,-3.061847,0.038742
14.574290,1.179228,-1.778134,-3.060949,0.038882
14.624374,1.144560,-1.767455,-3.060233,0.039571
14.674457,1.110129,-1.756222,-3.058940,0.040389
14.724541,1.074090,-1.745449,-3.057590,0.039773
14.774624,1.037888,-1.734762,-3.056841,0.038977
14.824708,1.001945,-1.723475,-3.055869,0.038305
14.874791,0.967195,-1.713415,-3.055025,0.039075
14.924875,0.932979,-1.703717,-3.054267,0.040457
14.974958,0.897865,-1.692984,-3.053223,0.040727
15.025042,0.862279,-1.681970,-3.052751,0.040419
15.075125,0.827067,-1.670870,-3.051350,0.040531
15.125209,0.792057,-1.660471,-3.050112,0.041013
15.175292,0.756710,-1.649361,-3.049441,0.040925
15.225376,0.721379,-1.637729,-3.048656,0.040737
15.275459,0.685270,-1.627108,-3.048037,0.040036
15.325543,0.649780,-1.616279,-3.047299,0.039892
15.375626,0.615060,-1.605696,-3.046967,0.040514
15.425710,0.580388,-1.595160,-3.046319,0.041226
15.475793,0.545842,-1.584014,-3.045520,0.041920
15.525876,0.511232,-1.573571,-3.045296,0.042684
15.575960,0.476454,-1.563028,-3.044642,0.043295
15.626043,0.441370,-1.552018,-3.042957,0.043572
15.676127,0.406109,-1.541188,-3.042208,0.043651
15.726210,0.370125,-1.530440,-3.041244,0.043070
15.776294,0.335134,-1.519547,-3.040028,0.043438
15.826377,0.301129,-1.508823,-3.039678,0.044719
15.876461,0.265877,-1.498006,-3.038816,0.044820
15.926544,0.229784,-1.486779,-3.037972,0.044010
15.976628,0.193857,-1.475386,-3.036926,0.043344
16.026711,0.158394,-1.464896,-3.036242,0.043298
16.076795,0.123320,-1.454490,-3.035306,0.043674
16.126878,0.087444,-1.444490,-3.034516,0.043367
16.176962,0.052505,-1.433163,-3.034071,0.043603
16.227045,0.017735,-1.422898,-3.033142,0.044311
16.277129,-0.018140,-1.411389,-3.032130,0.043657
16.327212,-0.053365,-1.400023,-3.031026,0.043683
16.377295,-0.088628,-1.389411,-3.030126,0.043825
16.427379,-0.123991,-1.379131,-3.029567,0.043914
