t_s,x_m,y_m,z_m,error_norm_m
0.000000,0.000000,0.000000,-3.000000,0.000000
0.050083,-0.047807,0.059759,-1.909091,0.000000
0.100167,-0.063743,0.079678,-2.181818,0.000000
0.150250,-0.081955,0.102443,-2.454545,0.000000
0.200334,-0.102443,0.128054,-2.727273,0.000000
0.250417,-0.125209,0.156511,-3.000000,0.000000
0.300501,-0.150250,0.187813,-3.000000,0.000000
0.350584,-0.175292,0.219115,-3.000000,0.000000
0.400668,-0.200334,0.250417,-3.000000,0.000000
0.450751,-0.225376,0.281720,-3.000000,0.000000
0.500835,-0.250417,0.313022,-3.000000,0.000000
0.550918,-0.275459,0.344324,-3.000000,0.000000
0.601002,-0.300501,0.375626,-3.000000,0.000000
0.651085,-0.325543,0.406928,-3.000000,0.000000
0.701169,-0.350584,0.438230,-3.000000,0.000000
0.751252,-0.375626,0.469533,-3.000000,0.000000
0.801336,-0.400668,0.500835,-3.000000,0.000000
0.851419,-0.425710,0.532137,-3.000000,0.000000
0.901503,-0.450751,0.563439,-3.000000,0.000000
0.951586,-0.475793,0.594741,-3.000000,0.000000
1.001669,-0.500835,0.626043,-3.000000,0.000000
1.051753,-0.525876,0.657346,-3.000000,0.000000
1.101836,-0.550918,0.688648,-3.000000,0.000000
1.151920,-0.575960,0.719950,-3.000000,0.000000
1.202003,-0.601002,0.751252,-3.000000,0.000000
1.252087,-0.626043,0.782554,-3.000000,0.000000
1.302170,-0.651085,0.813856,-3.000000,0.000000
1.352254,-0.676127,0.845159,-3.000000,0.000000
1.402337,-0.701169,0.876461,-3.000000,0.000000
1.452421,-0.726210,0.907763,-3.000000,0.000000
1.502504,-0.751252,0.939065,-3.000000,0.000000
1.552588,-0.776294,0.970367,-3.000000,0.000000
1.602671,-0.801336,1.001669,-3.000000,0.000000
1.652755,-0.826377,1.032972,-3.000000,0.000000
1.702838,-0.851419,1.064274,-3.000000,0.000000
1.752922,-0.876461,1.095576,-3.000000,0.000000
1.803005,-0.901503,1.126878,-3.000000,0.000000
1.853088,-0.926544,1.158180,-3.000000,0.000000
1.903172,-0.951586,1.189482,-3.000000,0.000000
1.953255,-0.976628,1.220785,-3.000000,0.000000
2.003339,-1.001669,1.252087,-3.000000,0.000000
2.053422,-1.026711,1.283389,-3.000000,0.000000
2.103506,-1.051753,1.314691,-3.000000,0.000000
2.153589,-1.076151,1.345802,-3.000024,0.000000
2.203673,-1.092506,1.374523,-3.000352,0.000000
2.253756,-1.100817,1.400853,-3.000983,0.000000
2.303840,-1.101084,1.424793,-3.001918,0.000000
2.353923,-1.093307,1.446342,-3.003157,0.000000
2.404007,-1.077487,1.465502,-3.004699,0.000000
2.454090,-1.053623,1.482270,-3.006544,0.000000
2.504174,-1.021715,1.496649,-3.008693,0.000000
2.554257,-0.981764,1.508637,-3.011146,0.000000
2.604341,-0.933768,1.518235,-3.013902,0.000000
2.654424,-0.877730,1.525442,-3.016962,0.000000
2.704508,-0.814290,1.530451,-3.020301,0.000000
2.754591,-0.750851,1.535459,-3.023639,0.000000
2.804674,-0.687412,1.540467,-3.026978,0.000000
2.854758,-0.623973,1.545476,-3.030317,0.000000
2.904841,-0.560534,1.550484,-3.033656,0.000000
2.954925,-0.497095,1.555492,-3.036995,0.000000
3.005008,-0.433656,1.560501,-3.040334,0.000000
3.055092,-0.370217,1.565509,-3.043673,0.000000
3.105175,-0.306778,1.570518,-3.047012,0.000000
3.155259,-0.243339,1.575526,-3.050351,0.000000
3.205342,-0.179900,1.580534,-3.053689,0.000000
3.255426,-0.116461,1.585543,-3.057028,0.000000
3.305509,-0.053022,1.590551,-3.060367,0.000000
3.355593,0.010417,1.595559,-3.063706,0.000000
3.405676,0.073856,1.600568,-3.067045,0.000000
3.455760,0.137295,1.605576,-3.070384,0.000000
3.505843,0.200735,1.610584,-3.073723,0.000000
3.555927,0.264174,1.615593,-3.077062,0.000000
3.606010,0.327613,1.620601,-3.080401,0.000000
3.656093,0.391052,1.625609,-3.083740,0.000000
3.706177,0.454491,1.630618,-3.087078,0.000000
3.756260,0.517930,1.635626,-3.090417,0.000000
3.806344,0.581369,1.640634,-3.093756,0.000000
3.856427,0.644808,1.645643,-3.097095,0.000000
3.906511,0.708247,1.650651,-3.100434,0.000000
3.956594,0.771686,1.655659,-3.103773,0.000000
4.006678,0.835125,1.660668,-3.107112,0.000000
4.056761,0.898564,1.665676,-3.110451,0.000000
4.106845,0.962003,1.670684,-3.113790,0.000000
4.156928,1.025442,1.675693,-3.117129,0.000000
4.207012,1.088881,1.680701,-3.120467,0.000000
4.257095,1.152321,1.685710,-3.123806,0.000000
4.307179,1.215760,1.690718,-3.127145,0.000000
4.357262,1.279199,1.695726,-3.130484,0.000000
4.407346,1.342638,1.700735,-3.133823,0.000000
4.457429,1.406077,1.705743,-3.137162,0.000000
4.507513,1.469516,1.710751,-3.140501,0.000000
4.557596,1.532955,1.715760,-3.143840,0.000000
4.607679,1.596394,1.720768,-3.147179,0.000000
4.657763,1.659833,1.725776,-3.150518,0.000000
4.707846,1.723272,1.730785,-3.153856,0.000000
4.757930,1.786711,1.735793,-3.157195,0.000000
4.808013,1.850150,1.740801,-3.160534,0.000000
4.858097,1.913589,1.745810,-3.163873,0.000000
4.908180,1.977028,1.750818,-3.167212,0.000000
4.958264,2.040467,1.755826,-3.170551,0.000000
5.008347,2.103907,1.760835,-3.173890,0.000000
5.058431,2.167346,1.765843,-3.177229,0.000000
5.108514,2.230785,1.770851,-3.180568,0.000000
5.158598,2.293527,1.775323,-3.183870,0.000000
5.208681,2.352399,1.776809,-3.186970,0.000000
5.258765,2.407402,1.775310,-3.189868,0.000000
5.308848,2.458534,1.770827,-3.192563,0.000000
5.358932,2.505796,1.763359,-3.195056,0.000000
5.409015,2.549188,1.752906,-3.197347,0.000000
5.459098,2.588710,1.739469,-3.199435,0.000000
5.509182,2.624362,1.723046,-3.201321,0.000000
5.559265,2.656144,1.703639,-3.203005,0.000000
5.609349,2.684055,1.681248,-3.204486,0.000000
5.659432,2.708097,1.655871,-3.205765,0.000000
5.709516,2.728965,1.628047,-3.206878,0.000000
5.759599,2.749833,1.600223,-3.207991,0.000000
5.809683,2.770701,1.572398,-3.209104,0.000000
5.859766,2.791569,1.544574,-3.210217,0.000000
5.909850,2.812437,1.516750,-3.211330,0.000000
5.959933,2.833306,1.488926,-3.212443,0.000000
6.010017,2.854174,1.461102,-3.213556,0.000000
6.060100,2.875042,1.433278,-3.214669,0.000000
6.110184,2.895910,1.405454,-3.215782,0.000000
6.160267,2.916778,1.377629,-3.216895,0.000000
6.210351,2.937646,1.349805,-3.218008,0.000000
6.260434,2.958514,1.321981,-3.219121,0.000000
6.310518,2.979382,1.294157,-3.220234,0.000000
6.360601,3.000250,1.266333,-3.221347,0.000000
6.410684,3.021119,1.238509,-3.222460,0.000000
6.460768,3.041987,1.210684,-3.223573,0.000000
6.510851,3.062855,1.182860,-3.224686,0.000000
6.560935,3.083723,1.155036,-3.225799,0.000000
6.611018,3.104591,1.127212,-3.226912,0.000000
6.661102,3.125459,1.099388,-3.228024,0.000000
6.711185,3.146327,1.071564,-3.229137,0.000000
6.761269,3.167195,1.043740,-3.230250,0.000000
6.811352,3.188063,1.015915,-3.231363,0.000000
6.861436,3.208932,0.988091,-3.232476,0.000000
6.911519,3.229800,0.960267,-3.233589,0.000000
6.961603,3.250668,0.932443,-3.234702,0.000000
7.011686,3.271536,0.904619,-3.235815,0.000000
7.061770,3.292404,0.876795,-3.236928,0.000000
