t_s,x_m,y_m,z_m,error_norm_m
0.000000,0.000000,0.000000,-3.000000,0.000000
0.050083,0.013194,-0.015006,-2.992243,1.087442
0.100167,0.011915,-0.016748,-2.992297,0.819694
0.150250,-0.035191,0.041779,-1.906922,0.552954
0.200334,-0.052665,0.062399,-2.177357,0.556054
0.250417,-0.070503,0.086551,-2.449777,0.557344
0.300501,-0.091539,0.111334,-2.721661,0.294565
0.350584,-0.112519,0.139598,-2.993371,0.101525
0.400668,-0.138996,0.169558,-2.992963,0.101735
0.450751,-0.162749,0.199408,-2.992864,0.103674
0.500835,-0.189085,0.232614,-2.992844,0.101382
0.550918,-0.214706,0.263907,-2.993016,0.101028
0.601002,-0.239487,0.294902,-2.994392,0.101344
0.651085,-0.264172,0.325881,-2.993469,0.101871
0.701169,-0.289760,0.357236,-2.995150,0.101406
0.751252,-0.313817,0.388210,-2.994556,0.102291
0.801336,-0.337694,0.422015,-2.994848,0.101019
0.851419,-0.363606,0.451036,-2.995254,0.102259
0.901503,-0.386998,0.481511,-2.995702,0.103900
0.951586,-0.412309,0.511364,-2.995686,0.104884
1.001669,-0.435883,0.542501,-2.996184,0.105890
1.051753,-0.459645,0.574740,-2.995804,0.105962
1.101836,-0.483762,0.608386,-2.995383,0.104753
1.151920,-0.507705,0.639757,-2.996209,0.105376
1.202003,-0.533039,0.672264,-2.997273,0.104238
1.252087,-0.556272,0.702629,-2.996821,0.106142
1.302170,-0.581603,0.731385,-2.995279,0.107942
1.352254,-0.606001,0.765285,-2.994354,0.106440
1.402337,-0.631585,0.795113,-2.994220,0.107205
1.452421,-0.653655,0.826384,-2.995215,0.109131
1.502504,-0.681121,0.858748,-2.996102,0.106698
1.552588,-0.704836,0.887023,-2.996274,0.109847
1.602671,-0.728663,0.918212,-2.996097,0.110732
1.652755,-0.754097,0.948965,-2.996277,0.110885
1.702838,-0.779882,0.978977,-2.997544,0.111351
1.752922,-0.806320,1.010531,-2.995978,0.110311
1.803005,-0.833082,1.043250,-2.996401,0.108111
1.853088,-0.856226,1.071892,-2.996917,0.111354
1.903172,-0.881586,1.104432,-2.996945,0.110195
1.953255,-0.908901,1.133809,-2.997498,0.110263
2.003339,-0.936555,1.166564,-2.998007,0.107508
2.053422,-0.961262,1.198401,-2.997965,0.107288
2.103506,-0.987828,1.228757,-2.999098,0.107107
2.153589,-1.014011,1.259159,-2.998358,0.106636
2.203673,-1.039342,1.291256,-2.997488,0.098833
2.253756,-1.063541,1.322301,-2.996023,0.087089
2.303840,-1.079464,1.350421,-2.997656,0.077568
2.353923,-1.085459,1.376782,-2.999030,0.070123
2.404007,-1.085742,1.397911,-3.000613,0.068216
2.454090,-1.080281,1.419510,-3.001999,0.068338
2.504174,-1.065801,1.438487,-3.002502,0.073244
