t_s,x_m,y_m,z_m,error_norm_m,score_hint
0.000000,-1.888903,-0.952426,-1.584330,0.084461,87.048914
0.050083,-1.811027,-0.897010,-1.586027,0.427105,87.048914
0.100167,-2.099973,-1.022502,-1.849788,0.423114,87.048914
0.150250,-2.383007,-1.140842,-2.113759,0.420258,87.048914
0.200334,-2.662814,-1.251560,-2.377078,0.417189,87.048914
0.250417,-2.936486,-1.355335,-2.642241,0.414265,87.048914
0.300501,-3.206150,-1.454342,-2.907146,0.082491,87.048914
0.350584,-3.153091,-1.383790,-2.909513,0.082660,87.048914
0.400668,-3.102460,-1.314084,-2.911251,0.084243,87.048914
0.450751,-3.049786,-1.244459,-2.913247,0.085420,87.048914
0.500835,-2.999050,-1.172317,-2.915310,0.084606,87.048914
0.550918,-2.947777,-1.101610,-2.917532,0.085058,87.048914
0.601002,-2.895875,-1.031127,-2.920757,0.085514,87.048914
0.651085,-2.843900,-0.960656,-2.922066,0.086070,87.048914
0.701169,-2.792603,-0.889903,-2.925545,0.086419,87.048914
0.751252,-2.740158,-0.819435,-2.927129,0.086835,87.048914
0.801336,-2.687577,-0.746844,-2.929450,0.085136,87.048914
0.851419,-2.636522,-0.677841,-2.931867,0.087295,87.048914
0.901503,-2.583578,-0.607748,-2.934319,0.087905,87.048914
0.951586,-2.532073,-0.538121,-2.936384,0.089357,87.048914
1.001669,-2.479265,-0.467531,-2.938877,0.089528,87.048914
1.051753,-2.426598,-0.396115,-2.940639,0.088965,87.048914
1.101836,-2.374198,-0.323643,-2.942367,0.087451,87.048914
1.151920,-2.321667,-0.252878,-2.945133,0.087516,87.048914
1.202003,-2.270179,-0.181261,-2.948099,0.087019,87.048914
1.252087,-2.217115,-0.111250,-2.949801,0.087716,87.048914
1.302170,-2.165626,-0.042446,-2.950594,0.090007,87.048914
1.352254,-2.113435,0.030216,-2.951901,0.088383,87.048914
1.402337,-2.062135,0.099824,-2.953869,0.089906,87.048914
1.452421,-2.008199,0.170514,-2.956776,0.089689,87.048914
1.502504,-1.958311,0.242024,-2.959594,0.089687,87.048914
1.552588,-1.905609,0.310468,-2.961816,0.091971,87.048914
1.602671,-1.852991,0.381097,-2.963746,0.092178,87.048914
1.652755,-1.801578,0.451398,-2.965975,0.092990,87.048914
1.702838,-1.750428,0.521145,-2.969109,0.094388,87.048914
1.752922,-1.699769,0.592047,-2.969882,0.094869,87.048914
1.803005,-1.649351,0.663824,-2.972314,0.094559,87.048914
1.853088,-1.596221,0.732542,-2.974822,0.096417,87.048914
1.903172,-1.544753,0.804184,-2.976924,0.095950,87.048914
1.953255,-1.494751,0.873454,-2.979463,0.098180,87.048914
2.003339,-1.445003,0.945257,-2.981966,0.098119,87.048914
2.053422,-1.393045,1.016372,-2.984010,0.098035,87.048914
2.103506,-1.342481,1.086376,-2.987032,0.099452,87.048914
2.153589,-1.291630,1.156414,-2.988494,0.100339,87.048914
2.203673,-1.240083,1.227248,-2.989862,0.094954,87.048914
2.253756,-1.187449,1.291475,-2.990904,0.090148,87.048914
2.303840,-1.133876,1.349328,-2.994464,0.085631,87.048914
2.353923,-1.078124,1.401682,-2.997747,0.080118,87.048914
2.404007,-1.023356,1.445931,-3.001139,0.077345,87.048914
2.454090,-0.969549,1.486353,-3.004306,0.073792,87.048914
2.504174,-0.914245,1.520626,-3.006674,0.070338,87.048914
2.554257,-0.855999,1.548220,-3.009008,0.066330,87.048914
2.604341,-0.797476,1.571495,-3.012377,0.061546,87.048914
2.654424,-0.738929,1.587562,-3.016849,0.058403,87.048914
2.704508,-0.678441,1.598578,-3.019853,0.054490,87.048914
2.754591,-0.618020,1.604009,-3.023014,0.054098,87.048914
2.804674,-0.557539,1.609179,-3.027827,0.053624,87.048914
2.854758,-0.496600,1.613775,-3.032463,0.053147,87.048914
2.904841,-0.437804,1.620646,-3.035638,0.053234,87.048914
2.954925,-0.378720,1.625611,-3.039904,0.054082,87.048914
3.005008,-0.318173,1.632004,-3.043638,0.053011,87.048914
3.055092,-0.255845,1.636864,-3.048139,0.051210,87.048914
3.105175,-0.195664,1.641726,-3.052346,0.051221,87.048914
3.155259,-0.134592,1.647869,-3.054646,0.050067,87.048914
3.205342,-0.074825,1.653148,-3.058170,0.050303,87.048914
3.255426,-0.015192,1.659364,-3.062536,0.050010,87.048914
3.305509,0.043622,1.664437,-3.067492,0.050926,87.048914
3.355593,0.102248,1.669836,-3.072181,0.051906,87.048914
3.405676,0.159491,1.674361,-3.075789,0.054683,87.048914
3.455760,0.219151,1.678648,-3.079858,0.055427,87.048914
3.505843,0.280002,1.683855,-3.083486,0.054767,87.048914
3.555927,0.340637,1.689170,-3.088426,0.054042,87.048914
3.606010,0.401167,1.695921,-3.093740,0.052678,87.048914
3.656093,0.460732,1.701016,-3.098263,0.053062,87.048914
3.706177,0.521348,1.705389,-3.101858,0.052984,87.048914
3.756260,0.580101,1.711100,-3.106290,0.053803,87.048914
3.806344,0.641161,1.715947,-3.111565,0.052905,87.048914
3.856427,0.699848,1.720330,-3.115045,0.054514,87.048914
3.906511,0.758980,1.724890,-3.118210,0.055697,87.048914
3.956594,0.819238,1.730054,-3.123704,0.055326,87.048914
4.006678,0.880696,1.734744,-3.127871,0.054288,87.048914
4.056761,0.939818,1.738916,-3.132311,0.055513,87.048914
4.106845,0.999719,1.742161,-3.136105,0.056595,87.048914
4.156928,1.058642,1.746331,-3.139971,0.058059,87.048914
4.207012,1.117262,1.751116,-3.145109,0.059344,87.048914
4.257095,1.176488,1.753179,-3.149750,0.061563,87.048914
4.307179,1.237103,1.758190,-3.153994,0.061122,87.048914
4.357262,1.298403,1.762099,-3.158487,0.060690,87.048914
4.407346,1.358758,1.767087,-3.162349,0.060516,87.048914
4.457429,1.418603,1.771971,-3.167573,0.060719,87.048914
4.507513,1.478169,1.777360,-3.171491,0.060971,87.048914
4.557596,1.538440,1.783427,-3.175362,0.060275,87.048914
4.607679,1.598390,1.788718,-3.178832,0.060306,87.048914
4.657763,1.656541,1.792353,-3.182063,0.062764,87.048914
4.707846,1.716915,1.797792,-3.185511,0.062379,87.048914
4.757930,1.775430,1.804926,-3.189544,0.062661,87.048914
4.808013,1.835970,1.808100,-3.193552,0.063229,87.048914
4.858097,1.895498,1.813043,-3.196902,0.063846,87.048914
4.908180,1.955140,1.819213,-3.201136,0.063643,87.048914
4.958264,2.015065,1.825174,-3.206028,0.063242,87.048914
5.008347,2.075355,1.828323,-3.209319,0.064106,87.048914
5.058431,2.134970,1.834730,-3.213549,0.063820,87.048914
5.108514,2.194200,1.841091,-3.218710,0.063817,87.048914
5.158598,2.253466,1.848290,-3.223192,0.062716,87.048914
5.208681,2.312081,1.852804,-3.227588,0.058893,87.048914
5.258765,2.368444,1.852511,-3.231202,0.054659,87.048914
5.308848,2.420357,1.853154,-3.235095,0.049827,87.048914
5.358932,2.469843,1.845422,-3.237342,0.045979,87.048914
5.409015,2.515208,1.836748,-3.240315,0.042015,87.048914
5.459098,2.556861,1.823862,-3.243249,0.038635,87.048914
5.509182,2.595682,1.808812,-3.244935,0.034851,87.048914
5.559265,2.630752,1.791281,-3.247832,0.031571,87.048914
5.609349,2.661114,1.767501,-3.250573,0.029812,87.048914
5.659432,2.688664,1.740709,-3.252280,0.027850,87.048914
5.709516,2.713364,1.711508,-3.253772,0.026353,87.048914
5.759599,2.734073,1.678035,-3.256001,0.027193,87.048914
5.809683,2.756072,1.644557,-3.259039,0.026864,87.048914
5.859766,2.777641,1.613632,-3.260244,0.027814,87.048914
5.909850,2.799452,1.581741,-3.261068,0.028329,87.048914
5.959933,2.823760,1.549367,-3.262247,0.026294,87.048914
6.010017,2.843742,1.517058,-3.263911,0.028368,87.048914
6.060100,2.864435,1.485530,-3.265501,0.029974,87.048914
6.110184,2.886051,1.453128,-3.266421,0.030549,87.048914
6.160267,2.909238,1.421504,-3.266656,0.029891,87.048914
6.210351,2.931258,1.388171,-3.266923,0.030017,87.048914
6.260434,2.953565,1.355801,-3.268502,0.029866,87.048914
6.310518,2.975221,1.325074,-3.269580,0.030761,87.048914
6.360601,2.997792,1.290784,-3.271064,0.030018,87.048914
6.410684,3.019633,1.259975,-3.273201,0.030495,87.048914
6.460768,3.041295,1.228138,-3.274230,0.031163,87.048914
6.510851,3.064320,1.195981,-3.274868,0.030531,87.048914
6.560935,3.088007,1.162954,-3.275964,0.029038,87.048914
6.611018,3.110326,1.130581,-3.277504,0.028891,87.048914
6.661102,3.133843,1.100033,-3.279081,0.027899,87.048914
6.711185,3.155339,1.068424,-3.281307,0.028548,87.048914
6.761269,3.178761,1.037961,-3.283190,0.027731,87.048914
6.811352,3.201253,1.005661,-3.284015,0.027529,87.048914
6.861436,3.222441,0.975258,-3.285631,0.028956,87.048914
6.911519,3.244373,0.943982,-3.288221,0.029313,87.048914
6.961603,3.266159,0.911860,-3.289700,0.029706,87.048914
7.011686,3.287107,0.878839,-3.291041,0.030645,87.048914
7.061770,3.310798,0.848068,-3.292499,0.029657,87.048914
7.111853,3.331780,0.816044,-3.293445,0.030904,87.048914
7.161937,3.353937,0.782804,-3.293814,0.030786,87.048914
7.212020,3.374569,0.751307,-3.295272,0.032456,87.048914
7.262104,3.397003,0.720111,-3.298459,0.032291,87.048914
7.312187,3.419233,0.688768,-3.299131,0.032604,87.048914
7.362270,3.440991,0.657422,-3.300504,0.033289,87.048914
7.412354,3.463599,0.626893,-3.301367,0.033553,87.048914
7.462437,3.485557,0.595221,-3.303166,0.033900,87.048914
7.512521,3.508077,0.562044,-3.303379,0.033395,87.048914
7.562604,3.530939,0.530400,-3.305758,0.032823,87.048914
7.612688,3.551334,0.499522,-3.307644,0.034896,87.048914
7.662771,3.574169,0.467273,-3.307354,0.034499,87.048914
7.712855,3.595113,0.434902,-3.308739,0.035572,87.048914
7.762938,3.617270,0.404327,-3.309890,0.036230,87.048914
7.813022,3.638273,0.371717,-3.310705,0.037243,87.048914
7.863105,3.660807,0.340511,-3.311181,0.037451,87.048914
7.913189,3.684800,0.306600,-3.310980,0.035540,87.048914
7.963272,3.706648,0.274865,-3.311865,0.036131,87.048914
8.013356,3.728665,0.243902,-3.313884,0.036564,87.048914
8.063439,3.750348,0.213597,-3.316362,0.037497,87.048914
8.113523,3.772874,0.181384,-3.316890,0.037359,87.048914
8.163606,3.794795,0.149371,-3.318359,0.037636,87.048914
8.213689,3.816877,0.117926,-3.320623,0.037833,87.048914
8.263773,3.839964,0.085473,-3.320908,0.037152,87.048914
8.313856,3.862460,0.053402,-3.321342,0.037149,87.048914
8.363940,3.885107,0.021840,-3.322844,0.036961,87.048914
8.414023,3.907703,-0.011273,-3.323580,0.036389,87.048914
8.464107,3.929611,-0.043634,-3.326940,0.036060,87.048914
8.514190,3.952036,-0.076620,-3.327979,0.035621,87.048914
8.564274,3.974462,-0.107562,-3.330818,0.035555,87.048914
