t_s,x_m,y_m,z_m,error_norm_m,score_hint
0.000000,-0.104492,-0.075583,-2.923233,0.150082,60.061398
0.050083,-0.077030,-0.060715,-2.922178,0.153858,60.061398
0.100167,-0.049049,-0.043726,-2.920265,0.156675,60.061398
0.150250,-0.019348,-0.028246,-2.917551,0.159538,60.061398
0.200334,0.008830,-0.012140,-2.915929,0.162560,60.061398
0.250417,0.008763,-0.014904,-2.914497,0.194292,60.061398
0.300501,0.035320,0.001307,-2.915926,0.196693,60.061398
0.350584,0.063865,0.017493,-2.917657,0.197508,60.061398
0.400668,0.093195,0.033067,-2.919181,0.198128,60.061398
0.450751,0.120078,0.048833,-2.920002,0.200691,60.061398
0.500835,0.147685,0.064862,-2.921172,0.202384,60.061398
0.550918,0.171981,0.082104,-2.923463,0.205290,60.061398
0.601002,0.201596,0.096736,-2.927090,0.204942,60.061398
0.651085,0.229701,0.113525,-2.929696,0.205038,60.061398
0.701169,0.254256,0.128574,-2.932828,0.208330,60.061398
0.751252,0.282913,0.142896,-2.934547,0.209499,60.061398
0.801336,0.311597,0.157978,-2.938659,0.209133,60.061398
0.851419,0.338807,0.175216,-2.941376,0.209314,60.061398
0.901503,0.371744,0.189704,-2.943499,0.206738,60.061398
0.951586,0.399655,0.205633,-2.941564,0.208867,60.061398
1.001669,0.429376,0.220970,-2.943797,0.208004,60.061398
1.051753,0.455745,0.235966,-2.942577,0.211223,60.061398
1.101836,0.485458,0.251909,-2.943406,0.210459,60.061398
1.151920,0.513429,0.266781,-2.944982,0.211041,60.061398
1.202003,0.538305,0.283039,-2.948696,0.212141,60.061398
1.252087,0.566288,0.298215,-2.948768,0.212978,60.061398
1.302170,0.592921,0.315390,-2.953249,0.211755,60.061398
1.352254,0.623031,0.329778,-2.955634,0.210020,60.061398
1.402337,0.651639,0.344565,-2.958742,0.208762,60.061398
1.452421,0.678124,0.360453,-2.960887,0.208882,60.061398
1.502504,0.707718,0.374447,-2.963513,0.207131,60.061398
1.552588,0.736610,0.386987,-2.965720,0.206614,60.061398
1.602671,0.768776,0.399877,-2.966057,0.204118,60.061398
1.652755,0.795359,0.416508,-2.966564,0.203848,60.061398
1.702838,0.820868,0.429461,-2.966457,0.206233,60.061398
1.752922,0.851579,0.441694,-2.968509,0.203823,60.061398
1.803005,0.877324,0.454341,-2.972261,0.203999,60.061398
1.853088,0.904716,0.465739,-2.973621,0.204413,60.061398
1.903172,0.933109,0.478030,-2.973770,0.204019,60.061398
1.953255,0.958079,0.493029,-2.975387,0.204106,60.061398
2.003339,0.984046,0.506219,-2.978709,0.203283,60.061398
2.053422,1.011393,0.514777,-2.981002,0.203722,60.061398
2.103506,1.040271,0.527593,-2.984222,0.200445,60.061398
2.153589,1.064511,0.539321,-2.987073,0.201178,60.061398
2.203673,1.089066,0.549340,-2.988668,0.202781,60.061398
2.253756,1.116828,0.559103,-2.987468,0.203058,60.061398
2.303840,1.142967,0.569014,-2.990632,0.202288,60.061398
2.353923,1.169265,0.577807,-2.991443,0.202736,60.061398
2.404007,1.193584,0.587459,-2.992753,0.203859,60.061398
2.454090,1.217726,0.594982,-2.991708,0.206902,60.061398
2.504174,1.243122,0.603057,-2.993745,0.207051,60.061398
2.554257,1.267328,0.614724,-2.994654,0.206855,60.061398
2.604341,1.291523,0.623874,-2.994622,0.207963,60.061398
2.654424,1.314631,0.634202,-2.998796,0.207208,60.061398
2.704508,1.337906,0.637933,-3.001412,0.209505,60.061398
2.754591,1.361280,0.646255,-3.003049,0.210049,60.061398
2.804674,1.383517,0.652181,-3.002950,0.213005,60.061398
2.854758,1.408436,0.659819,-3.001596,0.213493,60.061398
2.904841,1.429760,0.668764,-3.003480,0.214543,60.061398
2.954925,1.452104,0.675997,-3.004985,0.215395,60.061398
3.005008,1.472960,0.681850,-3.008023,0.216988,60.061398
3.055092,1.496609,0.689679,-3.011138,0.215331,60.061398
3.105175,1.520889,0.694287,-3.011105,0.215508,60.061398
3.155259,1.544549,0.700529,-3.011829,0.214998,60.061398
3.205342,1.569713,0.707145,-3.012507,0.212919,60.061398
3.255426,1.596560,0.712758,-3.016532,0.207952,60.061398
3.305509,1.619339,0.718828,-3.021112,0.205599,60.061398
3.355593,1.642820,0.724044,-3.022452,0.204252,60.061398
3.405676,1.667225,0.731009,-3.023434,0.201542,60.061398
3.455760,1.688767,0.735642,-3.024613,0.201564,60.061398
3.505843,1.712422,0.742500,-3.027655,0.198081,60.061398
3.555927,1.735528,0.746908,-3.028080,0.196807,60.061398
3.606010,1.757739,0.747730,-3.030192,0.196104,60.061398
3.656093,1.780672,0.751635,-3.032633,0.193591,60.061398
3.706177,1.803070,0.752639,-3.034539,0.192259,60.061398
3.756260,1.825491,0.756877,-3.034758,0.190757,60.061398
3.806344,1.849626,0.760591,-3.038437,0.185972,60.061398
3.856427,1.872288,0.762981,-3.041664,0.182700,60.061398
3.906511,1.893631,0.764656,-3.045674,0.180027,60.061398
3.956594,1.915596,0.765858,-3.046768,0.178221,60.061398
4.006678,1.938242,0.766469,-3.049295,0.174974,60.061398
4.056761,1.961979,0.767878,-3.050087,0.171426,60.061398
4.106845,1.983393,0.765826,-3.049083,0.171130,60.061398
4.156928,2.002370,0.768252,-3.053745,0.168823,60.061398
4.207012,2.021835,0.769339,-3.053880,0.168697,60.061398
4.257095,2.039486,0.768372,-3.055602,0.169205,60.061398
4.307179,2.056536,0.766593,-3.054197,0.171847,60.061398
4.357262,2.075523,0.765119,-3.055078,0.171399,60.061398
4.407346,2.094110,0.763930,-3.057946,0.169946,60.061398
4.457429,2.109949,0.762344,-3.059216,0.171518,60.061398
4.507513,2.128559,0.760441,-3.061822,0.169908,60.061398
4.557596,2.144717,0.754781,-3.064393,0.170149,60.061398
4.607679,2.162184,0.750912,-3.066019,0.169653,60.061398
4.657763,2.179857,0.747037,-3.066466,0.169483,60.061398
4.707846,2.197268,0.742635,-3.069493,0.167861,60.061398
4.757930,2.214153,0.737489,-3.067853,0.169163,60.061398
4.808013,2.229888,0.732583,-3.071834,0.167967,60.061398
4.858097,2.244134,0.725035,-3.073935,0.168747,60.061398
4.908180,2.257509,0.719795,-3.076433,0.169977,60.061398
4.958264,2.271654,0.714324,-3.074245,0.173057,60.061398
5.008347,2.290381,0.705773,-3.076394,0.169507,60.061398
5.058431,2.304718,0.697430,-3.077940,0.169689,60.061398
5.108514,2.319370,0.688631,-3.081397,0.168274,60.061398
5.158598,2.331623,0.681570,-3.083378,0.169638,60.061398
5.208681,2.345402,0.673759,-3.083757,0.170426,60.061398
5.258765,2.358104,0.662790,-3.088412,0.169138,60.061398
5.308848,2.371989,0.653388,-3.089750,0.168727,60.061398
5.358932,2.385837,0.645054,-3.095136,0.166022,60.061398
5.409015,2.398933,0.632400,-3.096510,0.165470,60.061398
5.459098,2.410126,0.620765,-3.097083,0.166857,60.061398
5.509182,2.423437,0.609722,-3.099302,0.165438,60.061398
5.559265,2.437039,0.599836,-3.100879,0.164059,60.061398
5.609349,2.448330,0.590396,-3.103818,0.163695,60.061398
5.659432,2.461325,0.579816,-3.106421,0.161789,60.061398
5.709516,2.472390,0.570805,-3.108889,0.161600,60.061398
5.759599,2.481885,0.560670,-3.110587,0.162794,60.061398
5.809683,2.492764,0.549836,-3.114123,0.161569,60.061398
5.859766,2.505812,0.539695,-3.116165,0.159328,60.061398
