t_s,x_m,y_m,z_m,error_norm_m,score_hint
0.000000,0.010379,-0.015281,-2.998254,0.018555,95.361047
0.050083,0.011040,-0.015041,-2.998180,0.036906,95.361047
0.100167,0.038785,0.002045,-2.999719,0.037505,95.361047
0.150250,0.069304,0.018504,-3.001801,0.037134,95.361047
0.200334,0.098910,0.035539,-3.003549,0.036759,95.361047
0.250417,0.127748,0.051537,-3.005129,0.037646,95.361047
0.300501,0.157869,0.068377,-3.007368,0.037060,95.361047
0.350584,0.187029,0.085326,-3.009184,0.036855,95.361047
0.400668,0.216649,0.101936,-3.011184,0.036641,95.361047
0.450751,0.245829,0.118174,-3.013080,0.036911,95.361047
0.500835,0.275691,0.134749,-3.014516,0.036534,95.361047
0.550918,0.304711,0.150913,-3.015793,0.036864,95.361047
0.601002,0.332839,0.167756,-3.017984,0.036860,95.361047
0.651085,0.361769,0.184517,-3.018904,0.036597,95.361047
0.701169,0.391858,0.202087,-3.020734,0.034845,95.361047
0.751252,0.421963,0.218602,-3.022239,0.033925,95.361047
0.801336,0.449175,0.233707,-3.024735,0.035409,95.361047
0.851419,0.480010,0.249323,-3.026765,0.034573,95.361047
0.901503,0.507837,0.264411,-3.027373,0.035755,95.361047
0.951586,0.535213,0.279384,-3.028937,0.037004,95.361047
1.001669,0.562984,0.293965,-3.030028,0.038323,95.361047
1.051753,0.593600,0.308874,-3.030879,0.037830,95.361047
1.101836,0.622744,0.324007,-3.033815,0.037350,95.361047
1.151920,0.652478,0.338369,-3.035451,0.037354,95.361047
1.202003,0.679255,0.353290,-3.037476,0.037986,95.361047
1.252087,0.707269,0.367011,-3.038899,0.039011,95.361047
1.302170,0.735580,0.383240,-3.039731,0.037681,95.361047
1.352254,0.762835,0.397672,-3.041109,0.038124,95.361047
1.402337,0.790079,0.410885,-3.043858,0.039118,95.361047
1.452421,0.817887,0.425226,-3.045282,0.038943,95.361047
1.502504,0.845990,0.439277,-3.047013,0.038579,95.361047
1.552588,0.871275,0.452173,-3.048424,0.040557,95.361047
1.602671,0.898151,0.465630,-3.049616,0.041050,95.361047
1.652755,0.926530,0.479894,-3.051560,0.039649,95.361047
1.702838,0.954882,0.492260,-3.054561,0.039295,95.361047
1.752922,0.981464,0.504589,-3.056372,0.040005,95.361047
1.803005,1.007969,0.516079,-3.059197,0.041003,95.361047
1.853088,1.036115,0.528740,-3.061426,0.039957,95.361047
1.903172,1.062140,0.540780,-3.063206,0.040472,95.361047
1.953255,1.090050,0.553348,-3.065530,0.039091,95.361047
2.003339,1.117836,0.565018,-3.068314,0.038161,95.361047
2.053422,1.146289,0.577459,-3.070866,0.035988,95.361047
2.103506,1.171923,0.589871,-3.072006,0.035410,95.361047
2.153589,1.196469,0.600009,-3.073577,0.036991,95.361047
2.203673,1.222913,0.611913,-3.075501,0.035711,95.361047
2.253756,1.249542,0.621948,-3.076708,0.035486,95.361047
2.303840,1.276230,0.632055,-3.079045,0.034713,95.361047
2.353923,1.301795,0.640647,-3.081756,0.035461,95.361047
2.404007,1.326406,0.650278,-3.083723,0.035864,95.361047
2.454090,1.352778,0.660262,-3.085013,0.034583,95.361047
2.504174,1.378421,0.667830,-3.086868,0.035163,95.361047
2.554257,1.402429,0.675948,-3.088680,0.036141,95.361047
2.604341,1.429014,0.685325,-3.090949,0.034072,95.361047
2.654424,1.454348,0.693923,-3.094328,0.033022,95.361047
2.704508,1.479275,0.700981,-3.096623,0.033110,95.361047
2.754591,1.503650,0.707350,-3.097016,0.033832,95.361047
2.804674,1.528602,0.714012,-3.098323,0.033559,95.361047
2.854758,1.553364,0.721247,-3.099123,0.032723,95.361047
2.904841,1.577596,0.726436,-3.100471,0.033310,95.361047
2.954925,1.602073,0.730766,-3.101971,0.034000,95.361047
3.005008,1.625752,0.736207,-3.103906,0.033987,95.361047
3.055092,1.650865,0.741775,-3.105530,0.032616,95.361047
3.105175,1.672619,0.745091,-3.106877,0.034778,95.361047
3.155259,1.698581,0.748942,-3.109415,0.033343,95.361047
3.205342,1.721124,0.754578,-3.110140,0.032531,95.361047
3.255426,1.745289,0.758469,-3.111660,0.031575,95.361047
3.305509,1.767269,0.762472,-3.113120,0.031523,95.361047
3.355593,1.789016,0.764559,-3.114807,0.032651,95.361047
3.405676,1.811972,0.767584,-3.116743,0.031874,95.361047
3.455760,1.834803,0.770219,-3.118784,0.031064,95.361047
3.505843,1.858459,0.773902,-3.119932,0.028713,95.361047
3.555927,1.879841,0.777268,-3.121731,0.027531,95.361047
3.606010,1.901524,0.779671,-3.122740,0.026683,95.361047
3.656093,1.923695,0.780000,-3.125245,0.026287,95.361047
