t_s,x_m,y_m,z_m,error_norm_m,score_hint
0.000000,-0.559234,2.047657,-2.542880,2.704162,57.258307
0.056761,-0.587166,2.039543,-2.544607,2.705272,57.258307
0.113523,-0.615889,2.034341,-2.545630,2.709471,57.258307
0.170284,-0.643021,2.026573,-2.547675,2.710975,57.258307
0.227045,1.181875,-0.019333,-2.621886,0.131533,57.258307
0.283806,1.183991,-0.004533,-2.627344,0.131985,57.258307
0.340568,1.186384,0.010056,-2.633195,0.132277,57.258307
0.397329,1.186949,0.026720,-2.636862,0.133052,57.258307
0.454090,1.189949,0.041928,-2.641455,0.133791,57.258307
0.510851,1.189303,0.057936,-2.644618,0.135506,57.258307
0.567613,1.190180,0.073933,-2.649214,0.135981,57.258307
0.624374,1.189444,0.091265,-2.655044,0.134831,57.258307
0.681135,1.188555,0.108665,-2.662526,0.132432,57.258307
0.737896,1.187742,0.126486,-2.665839,0.132748,57.258307
0.794658,1.186373,0.144651,-2.670197,0.132127,57.258307
0.851419,1.185649,0.161999,-2.673685,0.132607,57.258307
0.908180,1.184321,0.180092,-2.679274,0.131077,57.258307
0.964942,1.180031,0.196219,-2.683596,0.132081,57.258307
1.021703,1.179607,0.211403,-2.690742,0.131135,57.258307
1.078464,1.177277,0.228863,-2.696418,0.129960,57.258307
1.135225,1.173989,0.247572,-2.699609,0.129871,57.258307
1.191987,1.168818,0.262324,-2.703136,0.132325,57.258307
1.248748,1.165109,0.278972,-2.708632,0.131855,57.258307
1.305509,1.162869,0.292253,-2.715317,0.132538,57.258307
1.362270,1.159078,0.308784,-2.719182,0.133250,57.258307
1.419032,1.158839,0.326614,-2.722986,0.132710,57.258307
1.475793,1.154876,0.344209,-2.726801,0.132682,57.258307
1.532554,1.151017,0.359870,-2.729640,0.134610,57.258307
1.589316,1.146642,0.374355,-2.733692,0.136406,57.258307
1.646077,1.139628,0.393227,-2.738723,0.134757,57.258307
1.702838,1.136733,0.409246,-2.745650,0.133139,57.258307
1.759599,1.131302,0.424558,-2.751212,0.133191,57.258307
1.816361,1.126448,0.440988,-2.753586,0.134751,57.258307
1.873122,1.122375,0.455956,-2.757924,0.135718,57.258307
1.929883,1.115010,0.470566,-2.764055,0.135779,57.258307
1.986644,1.110432,0.484942,-2.767463,0.137752,57.258307
2.043406,1.104695,0.499064,-2.775484,0.136595,57.258307
2.100167,1.100637,0.514116,-2.778956,0.137944,57.258307
2.156928,1.096613,0.530634,-2.784009,0.137129,57.258307
2.213689,1.088883,0.545141,-2.787321,0.138986,57.258307
2.270451,1.082644,0.560464,-2.792002,0.139205,57.258307
2.327212,1.075890,0.573020,-2.798506,0.140049,57.258307
2.383973,1.070966,0.588084,-2.804501,0.139450,57.258307
2.440735,1.064613,0.604294,-2.806702,0.140611,57.258307
2.497496,1.056399,0.620312,-2.808230,0.142312,57.258307
2.554257,1.050333,0.636139,-2.812327,0.142351,57.258307
2.611018,1.042265,0.649053,-2.817293,0.143671,57.258307
2.667780,1.033970,0.665872,-2.822883,0.141731,57.258307
2.724541,1.024100,0.685040,-2.827656,0.138597,57.258307
2.781302,1.015869,0.700240,-2.833339,0.137580,57.258307
2.838063,1.011030,0.715364,-2.835779,0.139186,57.258307
2.894825,1.000402,0.730272,-2.839956,0.139148,57.258307
2.951586,0.991826,0.745373,-2.844085,0.139139,57.258307
3.008347,0.982039,0.761269,-2.849468,0.137496,57.258307
3.065109,0.973393,0.776355,-2.854876,0.136440,57.258307
3.121870,0.965318,0.790954,-2.858260,0.137232,57.258307
3.178631,0.954531,0.807142,-2.863012,0.135559,57.258307
3.235392,0.945238,0.820160,-2.865760,0.137605,57.258307
3.292154,0.933028,0.832478,-2.870288,0.138289,57.258307
3.348915,0.922381,0.844238,-2.873006,0.140839,57.258307
3.405676,0.912139,0.856382,-2.877207,0.142033,57.258307
3.462437,0.901641,0.868139,-2.880141,0.144307,57.258307
3.519199,0.891932,0.883741,-2.882998,0.144191,57.258307
3.575960,0.881467,0.899056,-2.887525,0.142883,57.258307
3.632721,0.870330,0.911083,-2.891972,0.143554,57.258307
3.689482,0.859332,0.922441,-2.897910,0.143532,57.258307
3.746244,0.846340,0.935090,-2.902251,0.143364,57.258307
3.803005,0.832943,0.948119,-2.906141,0.143116,57.258307
3.859766,0.822214,0.959917,-2.909650,0.144445,57.258307
3.916528,0.812996,0.968989,-2.915044,0.146504,57.258307
3.973289,0.803737,0.981836,-2.920181,0.146343,57.258307
4.030050,0.788611,0.990532,-2.928085,0.145331,57.258307
4.086811,0.777895,1.002143,-2.931912,0.146406,57.258307
4.143573,0.765347,1.015359,-2.935760,0.145826,57.258307
4.200334,0.753621,1.025282,-2.940289,0.147155,57.258307
4.257095,0.739166,1.036002,-2.943266,0.148080,57.258307
4.313856,0.726228,1.049405,-2.946144,0.147751,57.258307
4.370618,0.714605,1.058660,-2.951813,0.148586,57.258307
4.427379,0.697433,1.070050,-2.955532,0.147394,57.258307
4.484140,0.684652,1.084066,-2.959085,0.146107,57.258307
4.540902,0.670699,1.093726,-2.964588,0.145762,57.258307
4.597663,0.656404,1.106083,-2.969166,0.144182,57.258307
4.654424,0.640142,1.117018,-2.974936,0.141849,57.258307
4.711185,0.626695,1.125810,-2.978828,0.143139,57.258307
4.767947,0.611356,1.136573,-2.982402,0.142619,57.258307
4.824708,0.596954,1.147851,-2.987479,0.141083,57.258307
4.881469,0.582561,1.158911,-2.991032,0.140694,57.258307
4.938230,0.567736,1.167107,-2.994649,0.141704,57.258307
4.994992,0.554854,1.178273,-2.998259,0.141835,57.258307
5.051753,0.539117,1.184582,-3.002146,0.143194,57.258307
5.108514,0.519153,1.196500,-3.004631,0.140332,57.258307
5.165275,0.501967,1.206265,-3.008691,0.138812,57.258307
5.222037,0.483823,1.215575,-3.011195,0.138147,57.258307
5.278798,0.466788,1.222510,-3.014651,0.138503,57.258307
5.335559,0.451895,1.229605,-3.015593,0.141461,57.258307
5.392321,0.437252,1.235429,-3.017907,0.144149,57.258307
5.449082,0.423557,1.243245,-3.021313,0.145432,57.258307
5.505843,0.407155,1.249501,-3.027581,0.144144,57.258307
5.562604,0.388753,1.255667,-3.028023,0.145937,57.258307
5.619366,0.372030,1.263724,-3.033142,0.144223,57.258307
5.676127,0.354416,1.269889,-3.038085,0.143064,57.258307
5.732888,0.340102,1.279326,-3.041274,0.143208,57.258307
5.789649,0.321707,1.284209,-3.043890,0.143741,57.258307
5.846411,0.304848,1.289036,-3.046170,0.145269,57.258307
5.903172,0.286428,1.295951,-3.050452,0.143506,57.258307
5.959933,0.270026,1.297366,-3.054918,0.145157,57.258307
6.016694,0.248242,1.303333,-3.058860,0.142073,57.258307
6.073456,0.229954,1.307494,-3.063564,0.141084,57.258307
6.130217,0.211839,1.311561,-3.068886,0.139716,57.258307
6.186978,0.192932,1.314800,-3.074479,0.138039,57.258307
6.243740,0.175374,1.318674,-3.076181,0.139381,57.258307
6.300501,0.159456,1.319342,-3.081196,0.140808,57.258307
6.357262,0.143715,1.321213,-3.083553,0.143496,57.258307
6.414023,0.126693,1.323692,-3.086080,0.144951,57.258307
6.470785,0.109499,1.328262,-3.089263,0.144819,57.258307
6.527546,0.090030,1.331730,-3.095073,0.142024,57.258307
6.584307,0.069542,1.333134,-3.096917,0.142045,57.258307
6.641068,0.046689,1.334340,-3.100112,0.139781,57.258307
6.697830,0.028359,1.332607,-3.105201,0.140190,57.258307
6.754591,0.012856,1.335228,-3.110063,0.140306,57.258307
6.811352,-0.004681,1.336173,-3.112543,0.141443,57.258307
6.868114,-0.022293,1.336668,-3.116167,0.141906,57.258307
6.924875,-0.040263,1.336208,-3.118858,0.143060,57.258307
6.981636,-0.056313,1.339510,-3.120411,0.144371,57.258307
7.038397,-0.073524,1.340259,-3.122594,0.145603,57.258307
7.095159,-0.091131,1.340059,-3.124602,0.146984,57.258307
7.151920,-0.110189,1.345176,-3.126816,0.145101,57.258307
7.208681,-0.125487,1.343382,-3.130646,0.147334,57.258307
7.265442,-0.144922,1.344798,-3.132977,0.146415,57.258307
7.322204,-0.163858,1.346280,-3.134340,0.146384,57.258307
7.378965,-0.182575,1.344707,-3.135138,0.147813,57.258307
7.435726,-0.202578,1.342765,-3.140009,0.145746,57.258307
7.492487,-0.219693,1.341445,-3.142461,0.146944,57.258307
7.549249,-0.241725,1.340727,-3.145412,0.144074,57.258307
7.606010,-0.261017,1.339877,-3.146602,0.144226,57.258307
7.662771,-0.280655,1.336439,-3.149881,0.143431,57.258307
7.719533,-0.298237,1.333374,-3.152871,0.144057,57.258307
7.776294,-0.317835,1.333339,-3.157734,0.141120,57.258307
7.833055,-0.334168,1.330503,-3.158238,0.144013,57.258307
7.889816,-0.353834,1.331092,-3.157320,0.144566,57.258307
7.946578,-0.374342,1.326357,-3.161468,0.142320,57.258307
8.003339,-0.393155,1.323579,-3.163946,0.141884,57.258307
8.060100,-0.413253,1.320799,-3.165646,0.140958,57.258307
8.116861,-0.434196,1.316004,-3.167280,0.139758,57.258307
8.173623,-0.453085,1.311604,-3.170045,0.139107,57.258307
8.230384,-0.471649,1.307920,-3.172455,0.138726,57.258307
8.287145,-0.491123,1.303419,-3.173306,0.138793,57.258307
8.343907,-0.511660,1.293715,-3.175020,0.138185,57.258307
8.400668,-0.530757,1.288075,-3.175405,0.138801,57.258307
8.457429,-0.547101,1.282463,-3.176461,0.140790,57.258307
8.514190,-0.563828,1.274975,-3.177485,0.142691,57.258307
8.570952,-0.582140,1.270307,-3.180115,0.141887,57.258307
8.627713,-0.598635,1.263415,-3.180183,0.144330,57.258307
8.684474,-0.617581,1.257029,-3.180340,0.144817,57.258307
8.741235,-0.637725,1.249731,-3.182424,0.143111,57.258307
8.797997,-0.655348,1.241524,-3.184440,0.143198,57.258307
8.854758,-0.670695,1.234189,-3.184271,0.146254,57.258307
8.911519,-0.689092,1.225583,-3.185448,0.146196,57.258307
8.968280,-0.701439,1.215769,-3.188093,0.149390,57.258307
9.025042,-0.718876,1.208869,-3.191607,0.148082,57.258307
9.081803,-0.733096,1.201895,-3.193338,0.150307,57.258307
9.138564,-0.752437,1.195177,-3.194885,0.148822,57.258307
9.195326,-0.767636,1.186493,-3.195240,0.151149,57.258307
9.252087,-0.784236,1.174698,-3.196842,0.151477,57.258307
9.308848,-0.801365,1.166100,-3.198685,0.151158,57.258307
9.365609,-0.817204,1.154362,-3.202241,0.150512,57.258307
9.422371,-0.835772,1.144525,-3.202868,0.149690,57.258307
9.479132,-0.852417,1.134205,-3.203887,0.149928,57.258307
9.535893,-0.866744,1.126813,-3.206465,0.150911,57.258307
9.592654,-0.881954,1.116256,-3.210119,0.150318,57.258307
9.649416,-0.898087,1.101988,-3.211966,0.149830,57.258307
9.706177,-0.917500,1.090608,-3.214087,0.146748,57.258307
9.762938,-0.933633,1.077920,-3.214425,0.147103,57.258307
9.819699,-0.952204,1.069632,-3.216322,0.144903,57.258307
9.876461,-0.966727,1.056946,-3.217960,0.145381,57.258307
9.933222,-0.980752,1.045202,-3.218079,0.147225,57.258307
9.989983,-0.992997,1.033325,-3.219906,0.149182,57.258307
10.046745,-1.009920,1.022548,-3.220653,0.148395,57.258307
10.103506,-1.026219,1.010269,-3.222644,0.146976,57.258307
10.160267,-1.043419,0.998306,-3.223038,0.145911,57.258307
10.217028,-1.059113,0.984920,-3.225229,0.144434,57.258307
10.273790,-1.074337,0.969264,-3.226066,0.143618,57.258307
10.330551,-1.086941,0.953915,-3.226231,0.145096,57.258307
10.387312,-1.102034,0.937901,-3.226989,0.144119,57.258307
10.444073,-1.114892,0.926006,-3.227961,0.145341,57.258307
10.500835,-1.127863,0.910121,-3.228877,0.145574,57.258307
10.557596,-1.144448,0.894407,-3.230853,0.142403,57.258307
10.614357,-1.154999,0.878704,-3.233169,0.143280,57.258307
10.671119,-1.166964,0.864024,-3.235133,0.143485,57.258307
10.727880,-1.181394,0.847288,-3.234778,0.142742,57.258307
10.784641,-1.194902,0.829620,-3.232710,0.143461,57.258307
10.841402,-1.206707,0.815025,-3.233942,0.143851,57.258307
10.898164,-1.218188,0.798621,-3.235769,0.143545,57.258307
10.954925,-1.228839,0.783370,-3.235634,0.145260,57.258307
11.011686,-1.237857,0.766314,-3.235326,0.147682,57.258307
11.068447,-1.248644,0.748852,-3.236180,0.147834,57.258307
11.125209,-1.259347,0.730354,-3.237413,0.147401,57.258307
11.181970,-1.272116,0.714313,-3.238114,0.146270,57.258307
11.238731,-1.283514,0.695473,-3.240128,0.144443,57.258307
11.295492,-1.291233,0.676417,-3.241659,0.145439,57.258307
11.352254,-1.302264,0.658594,-3.241584,0.145131,57.258307
11.409015,-1.312077,0.638616,-3.242686,0.144285,57.258307
11.465776,-1.323025,0.622851,-3.242390,0.144405,57.258307
11.522538,-1.332889,0.605114,-3.243010,0.144097,57.258307
11.579299,-1.342175,0.587867,-3.246118,0.142714,57.258307
11.636060,-1.352194,0.567767,-3.245499,0.142026,57.258307
11.692821,-1.361622,0.549900,-3.246081,0.141562,57.258307
11.749583,-1.369410,0.534668,-3.244510,0.144307,57.258307
11.806344,-1.377420,0.514405,-3.243364,0.144849,57.258307
11.863105,-1.387553,0.493904,-3.246153,0.141226,57.258307
11.919866,-1.394761,0.474806,-3.246883,0.141270,57.258307
11.976628,-1.400846,0.456671,-3.248591,0.141735,57.258307
12.033389,-1.409796,0.439267,-3.247494,0.141872,57.258307
12.090150,-1.417018,0.421858,-3.248369,0.142001,57.258307
12.146912,-1.424408,0.400835,-3.249869,0.140115,57.258307
12.203673,-1.432341,0.377026,-3.251327,0.136628,57.258307
12.260434,-1.440481,0.359752,-3.249663,0.137123,57.258307
12.317195,-1.447063,0.340216,-3.250684,0.136160,57.258307
12.373957,-1.453270,0.319304,-3.250994,0.135149,57.258307
12.430718,-1.458019,0.298967,-3.250557,0.135657,57.258307
12.487479,-1.467015,0.280014,-3.248468,0.134581,57.258307
12.544240,-1.474527,0.259367,-3.246933,0.133403,57.258307
12.601002,-1.481439,0.238480,-3.245150,0.132558,57.258307
12.657763,-1.486286,0.215797,-3.246254,0.130341,57.258307
