t_s,x_m,y_m,z_m,error_norm_m,score_hint
0.000000,1.200000,0.000000,-2.700000,0.000000,90.384264
0.056761,1.201591,0.016386,-2.704864,0.000000,90.384264
0.113523,1.202958,0.032816,-2.709727,0.000000,90.384264
0.170284,1.204100,0.049286,-2.714589,0.000000,90.384264
0.227045,1.205017,0.065793,-2.719451,0.000000,90.384264
0.283806,1.205706,0.082334,-2.724312,0.000000,90.384264
0.340568,1.206169,0.098907,-2.729171,0.000000,90.384264
0.397329,1.206403,0.115507,-2.734028,0.000000,90.384264
0.454090,1.206408,0.132132,-2.738883,0.000000,90.384264
0.510851,1.206185,0.148779,-2.743736,0.000000,90.384264
0.567613,1.205731,0.165444,-2.748586,0.000000,90.384264
0.624374,1.205046,0.182124,-2.753434,0.000000,90.384264
0.681135,1.204131,0.198816,-2.758278,0.000000,90.384264
0.737896,1.202984,0.215518,-2.763118,0.000000,90.384264
0.794658,1.201605,0.232224,-2.767955,0.000000,90.384264
0.851419,1.199994,0.248934,-2.772787,0.000000,90.384264
0.908180,1.198151,0.265642,-2.777615,0.000000,90.384264
0.964942,1.196075,0.282346,-2.782439,0.000000,90.384264
1.021703,1.193765,0.299043,-2.787257,0.000000,90.384264
1.078464,1.191222,0.315730,-2.792070,0.000000,90.384264
1.135225,1.188446,0.332403,-2.796878,0.000000,90.384264
1.191987,1.185437,0.349058,-2.801679,0.000000,90.384264
1.248748,1.182194,0.365693,-2.806475,0.000000,90.384264
1.305509,1.178717,0.382305,-2.811264,0.000000,90.384264
1.362270,1.175007,0.398890,-2.816046,0.000000,90.384264
1.419032,1.171063,0.415444,-2.820821,0.000000,90.384264
1.475793,1.166886,0.431965,-2.825589,0.000000,90.384264
1.532554,1.162476,0.448449,-2.830349,0.000000,90.384264
1.589316,1.157833,0.464894,-2.835102,0.000000,90.384264
1.646077,1.152958,0.481294,-2.839846,0.000000,90.384264
1.702838,1.147850,0.497649,-2.844582,0.000000,90.384264
1.759599,1.142510,0.513953,-2.849308,0.000000,90.384264
1.816361,1.136939,0.530204,-2.854026,0.000000,90.384264
1.873122,1.131137,0.546398,-2.858735,0.000000,90.384264
1.929883,1.125104,0.562533,-2.863434,0.000000,90.384264
1.986644,1.118842,0.578605,-2.868122,0.000000,90.384264
2.043406,1.112350,0.594610,-2.872801,0.000000,90.384264
2.100167,1.105629,0.610546,-2.877469,0.000000,90.384264
2.156928,1.098680,0.626409,-2.882127,0.000000,90.384264
2.213689,1.091504,0.642196,-2.886773,0.000000,90.384264
2.270451,1.084101,0.657903,-2.891409,0.000000,90.384264
2.327212,1.076473,0.673528,-2.896032,0.000000,90.384264
2.383973,1.068620,0.689066,-2.900644,0.000000,90.384264
2.440735,1.060543,0.704516,-2.905243,0.000000,90.384264
2.497496,1.052243,0.719874,-2.909831,0.000000,90.384264
2.554257,1.043721,0.735135,-2.914405,0.000000,90.384264
2.611018,1.034979,0.750299,-2.918966,0.000000,90.384264
2.667780,1.026016,0.765360,-2.923514,0.000000,90.384264
2.724541,1.016836,0.780316,-2.928049,0.000000,90.384264
2.781302,1.007437,0.795164,-2.932570,0.000000,90.384264
2.838063,0.997823,0.809900,-2.937077,0.000000,90.384264
2.894825,0.987994,0.824522,-2.941569,0.000000,90.384264
2.951586,0.977951,0.839027,-2.946047,0.000000,90.384264
3.008347,0.967697,0.853410,-2.950510,0.000000,90.384264
3.065109,0.957232,0.867670,-2.954958,0.000000,90.384264
3.121870,0.946557,0.881803,-2.959390,0.000000,90.384264
3.178631,0.935675,0.895805,-2.963807,0.000000,90.384264
3.235392,0.924587,0.909675,-2.968207,0.000000,90.384264
3.292154,0.913294,0.923409,-2.972592,0.000000,90.384264
3.348915,0.901798,0.937003,-2.976960,0.000000,90.384264
3.405676,0.890102,0.950456,-2.981311,0.000000,90.384264
3.462437,0.878206,0.963764,-2.985646,0.000000,90.384264
3.519199,0.866112,0.976923,-2.989963,0.000000,90.384264
3.575960,0.853822,0.989932,-2.994262,0.000000,90.384264
3.632721,0.841339,1.002787,-2.998544,0.000000,90.384264
3.689482,0.828663,1.015486,-3.002808,0.000000,90.384264
3.746244,0.815798,1.028025,-3.007053,0.000000,90.384264
3.803005,0.802744,1.040401,-3.011280,0.000000,90.384264
3.859766,0.789504,1.052613,-3.015489,0.000000,90.384264
3.916528,0.776081,1.064657,-3.019678,0.000000,90.384264
3.973289,0.762475,1.076530,-3.023848,0.000000,90.384264
4.030050,0.748690,1.088230,-3.027998,0.000000,90.384264
4.086811,0.734728,1.099753,-3.032129,0.000000,90.384264
4.143573,0.720590,1.111099,-3.036240,0.000000,90.384264
4.200334,0.706279,1.122262,-3.040330,0.000000,90.384264
4.257095,0.691797,1.133242,-3.044400,0.000000,90.384264
4.313856,0.677148,1.144035,-3.048449,0.000000,90.384264
4.370618,0.662332,1.154640,-3.052478,0.000000,90.384264
4.427379,0.647353,1.165052,-3.056485,0.000000,90.384264
4.484140,0.632213,1.175271,-3.060471,0.000000,90.384264
4.540902,0.616915,1.185293,-3.064434,0.000000,90.384264
4.597663,0.601460,1.195116,-3.068377,0.000000,90.384264
4.654424,0.585853,1.204738,-3.072297,0.000000,90.384264
4.711185,0.570094,1.214156,-3.076194,0.000000,90.384264
4.767947,0.554188,1.223367,-3.080069,0.000000,90.384264
4.824708,0.538136,1.232371,-3.083921,0.000000,90.384264
4.881469,0.521942,1.241164,-3.087750,0.000000,90.384264
4.938230,0.505607,1.249744,-3.091556,0.000000,90.384264
4.994992,0.489136,1.258110,-3.095339,0.000000,90.384264
5.051753,0.472531,1.266258,-3.099097,0.000000,90.384264
5.108514,0.455794,1.274187,-3.102832,0.000000,90.384264
5.165275,0.438928,1.281895,-3.106543,0.000000,90.384264
5.222037,0.421937,1.289379,-3.110229,0.000000,90.384264
5.278798,0.404824,1.296638,-3.113891,0.000000,90.384264
5.335559,0.387591,1.303670,-3.117528,0.000000,90.384264
5.392321,0.370241,1.310473,-3.121140,0.000000,90.384264
5.449082,0.352778,1.317044,-3.124727,0.000000,90.384264
5.505843,0.335204,1.323383,-3.128288,0.000000,90.384264
5.562604,0.317523,1.329487,-3.131824,0.000000,90.384264
5.619366,0.299737,1.335354,-3.135334,0.000000,90.384264
5.676127,0.281851,1.340984,-3.138818,0.000000,90.384264
5.732888,0.263867,1.346374,-3.142276,0.000000,90.384264
5.789649,0.245788,1.351522,-3.145707,0.000000,90.384264
5.846411,0.227618,1.356427,-3.149112,0.000000,90.384264
5.903172,0.209359,1.361088,-3.152490,0.000000,90.384264
5.959933,0.191016,1.365502,-3.155841,0.000000,90.384264
6.016694,0.172592,1.369670,-3.159165,0.000000,90.384264
6.073456,0.154089,1.373588,-3.162462,0.000000,90.384264
6.130217,0.135511,1.377256,-3.165731,0.000000,90.384264
6.186978,0.116862,1.380672,-3.168972,0.000000,90.384264
6.243740,0.098145,1.383836,-3.172185,0.000000,90.384264
6.300501,0.079363,1.386746,-3.175371,0.000000,90.384264
6.357262,0.060521,1.389400,-3.178528,0.000000,90.384264
6.414023,0.041620,1.391799,-3.181656,0.000000,90.384264
6.470785,0.022666,1.393939,-3.184756,0.000000,90.384264
6.527546,0.003660,1.395822,-3.187828,0.000000,90.384264
6.584307,-0.015392,1.397444,-3.190870,0.000000,90.384264
6.641068,-0.034488,1.398807,-3.193883,0.000000,90.384264
6.697830,-0.053624,1.399908,-3.196867,0.000000,90.384264
6.754591,-0.072796,1.400747,-3.199822,0.000000,90.384264
6.811352,-0.092001,1.401324,-3.202747,0.000000,90.384264
6.868114,-0.111236,1.401636,-3.205642,0.000000,90.384264
6.924875,-0.130496,1.401685,-3.208507,0.000000,90.384264
6.981636,-0.149778,1.401468,-3.211342,0.000000,90.384264
7.038397,-0.169078,1.400986,-3.214147,0.000000,90.384264
7.095159,-0.188393,1.400238,-3.216922,0.000000,90.384264
7.151920,-0.207719,1.399223,-3.219666,0.000000,90.384264
7.208681,-0.227053,1.397942,-3.222379,0.000000,90.384264
7.265442,-0.246389,1.396393,-3.225061,0.000000,90.384264
7.322204,-0.265726,1.394576,-3.227713,0.000000,90.384264
7.378965,-0.285059,1.392491,-3.230334,0.000000,90.384264
7.435726,-0.304385,1.390138,-3.232923,0.000000,90.384264
7.492487,-0.323699,1.387516,-3.235481,0.000000,90.384264
7.549249,-0.342999,1.384626,-3.238007,0.000000,90.384264
7.606010,-0.362279,1.381468,-3.240502,0.000000,90.384264
7.662771,-0.381537,1.378040,-3.242965,0.000000,90.384264
7.719533,-0.400769,1.374344,-3.245396,0.000000,90.384264
7.776294,-0.419972,1.370380,-3.247795,0.000000,90.384264
7.833055,-0.439140,1.366147,-3.250162,0.000000,90.384264
7.889816,-0.458271,1.361646,-3.252497,0.000000,90.384264
7.946578,-0.477361,1.356876,-3.254799,0.000000,90.384264
8.003339,-0.496405,1.351840,-3.257069,0.000000,90.384264
8.060100,-0.515401,1.346535,-3.259306,0.000000,90.384264
8.116861,-0.534345,1.340964,-3.261511,0.000000,90.384264
8.173623,-0.553232,1.335126,-3.263683,0.000000,90.384264
8.230384,-0.572060,1.329022,-3.265822,0.000000,90.384264
8.287145,-0.590824,1.322653,-3.267927,0.000000,90.384264
8.343907,-0.609520,1.316019,-3.270000,0.000000,90.384264
8.400668,-0.628145,1.309120,-3.272039,0.000000,90.384264
8.457429,-0.646695,1.301958,-3.274046,0.000000,90.384264
8.514190,-0.665166,1.294534,-3.276018,0.000000,90.384264
8.570952,-0.683556,1.286847,-3.277958,0.000000,90.384264
8.627713,-0.701859,1.278899,-3.279863,0.000000,90.384264
8.684474,-0.720072,1.270692,-3.281735,0.000000,90.384264
8.741235,-0.738191,1.262224,-3.283573,0.000000,90.384264
8.797997,-0.756214,1.253499,-3.285377,0.000000,90.384264
8.854758,-0.774136,1.244517,-3.287148,0.000000,90.384264
8.911519,-0.791953,1.235279,-3.288884,0.000000,90.384264
8.968280,-0.809662,1.225786,-3.290586,0.000000,90.384264
9.025042,-0.827259,1.216039,-3.292255,0.000000,90.384264
9.081803,-0.844741,1.206041,-3.293888,0.000000,90.384264
9.138564,-0.862103,1.195791,-3.295488,0.000000,90.384264
9.195326,-0.879343,1.185292,-3.297053,0.000000,90.384264
9.252087,-0.896457,1.174545,-3.298584,0.000000,90.384264
9.308848,-0.913441,1.163551,-3.300080,0.000000,90.384264
9.365609,-0.930292,1.152312,-3.301542,0.000000,90.384264
9.422371,-0.947006,1.140830,-3.302969,0.000000,90.384264
9.479132,-0.963580,1.129106,-3.304362,0.000000,90.384264
9.535893,-0.980009,1.117142,-3.305720,0.000000,90.384264
9.592654,-0.996292,1.104939,-3.307043,0.000000,90.384264
9.649416,-1.012423,1.092500,-3.308331,0.000000,90.384264
9.706177,-1.028401,1.079826,-3.309584,0.000000,90.384264
9.762938,-1.044221,1.066920,-3.310803,0.000000,90.384264
9.819699,-1.059880,1.053782,-3.311987,0.000000,90.384264
9.876461,-1.075374,1.040416,-3.313135,0.000000,90.384264
9.933222,-1.090701,1.026823,-3.314249,0.000000,90.384264
9.989983,-1.105857,1.013005,-3.315327,0.000000,90.384264
10.046745,-1.120838,0.998965,-3.316371,0.000000,90.384264
10.103506,-1.135643,0.984704,-3.317380,0.000000,90.384264
10.160267,-1.150266,0.970225,-3.318353,0.000000,90.384264
10.217028,-1.164705,0.955529,-3.319291,0.000000,90.384264
10.273790,-1.178958,0.940621,-3.320194,0.000000,90.384264
10.330551,-1.193020,0.925501,-3.321062,0.000000,90.384264
10.387312,-1.206888,0.910172,-3.321895,0.000000,90.384264
10.444073,-1.220560,0.894638,-3.322693,0.000000,90.384264
10.500835,-1.234033,0.878899,-3.323455,0.000000,90.384264
10.557596,-1.247303,0.862959,-3.324182,0.000000,90.384264
10.614357,-1.260368,0.846820,-3.324874,0.000000,90.384264
10.671119,-1.273224,0.830486,-3.325531,0.000000,90.384264
10.727880,-1.285869,0.813958,-3.326153,0.000000,90.384264
10.784641,-1.298300,0.797239,-3.326739,0.000000,90.384264
10.841402,-1.310513,0.780333,-3.327290,0.000000,90.384264
10.898164,-1.322507,0.763241,-3.327806,0.000000,90.384264
10.954925,-1.334277,0.745968,-3.328287,0.000000,90.384264
11.011686,-1.345823,0.728515,-3.328732,0.000000,90.384264
11.068447,-1.357140,0.710886,-3.329143,0.000000,90.384264
11.125209,-1.368226,0.693084,-3.329518,0.000000,90.384264
11.181970,-1.379079,0.675111,-3.329858,0.000000,90.384264
11.238731,-1.389696,0.656971,-3.330164,0.000000,90.384264
11.295492,-1.400075,0.638667,-3.330434,0.000000,90.384264
11.352254,-1.410212,0.620202,-3.330669,0.000000,90.384264
11.409015,-1.420106,0.601579,-3.330869,0.000000,90.384264
11.465776,-1.429754,0.582801,-3.331034,0.000000,90.384264
11.522538,-1.439153,0.563872,-3.331164,0.000000,90.384264
11.579299,-1.448302,0.544795,-3.331259,0.000000,90.384264
11.636060,-1.457198,0.525574,-3.331320,0.000000,90.384264
11.692821,-1.465839,0.506210,-3.331345,0.000000,90.384264
11.749583,-1.474222,0.486709,-3.331336,0.000000,90.384264
11.806344,-1.482346,0.467073,-3.331292,0.000000,90.384264
11.863105,-1.490208,0.447306,-3.331213,0.000000,90.384264
11.919866,-1.497807,0.427412,-3.331100,0.000000,90.384264
11.976628,-1.505139,0.407393,-3.330952,0.000000,90.384264
12.033389,-1.512204,0.387254,-3.330770,0.000000,90.384264
12.090150,-1.518999,0.366997,-3.330553,0.000000,90.384264
12.146912,-1.525523,0.346628,-3.330302,0.000000,90.384264
12.203673,-1.531773,0.326148,-3.330017,0.000000,90.384264
12.260434,-1.537748,0.305563,-3.329697,0.000000,90.384264
12.317195,-1.543446,0.284875,-3.329343,0.000000,90.384264
12.373957,-1.548866,0.264088,-3.328955,0.000000,90.384264
12.430718,-1.554005,0.243207,-3.328533,0.000000,90.384264
12.487479,-1.558863,0.222234,-3.328077,0.000000,90.384264
12.544240,-1.563437,0.201175,-3.327587,0.000000,90.384264
12.601002,-1.567727,0.180031,-3.327063,0.000000,90.384264
12.657763,-1.571730,0.158808,-3.326506,0.000000,90.384264
12.714524,-1.575446,0.137510,-3.325915,0.000000,90.384264
12.771285,-1.578873,0.116139,-3.325290,0.000000,90.384264
12.828047,-1.582009,0.094701,-3.324632,0.000000,90.384264
12.884808,-1.584855,0.073199,-3.323941,0.000000,90.384264
12.941569,-1.587407,0.051636,-3.323216,0.000000,90.384264
12.998331,-1.589667,0.030018,-3.322458,0.000000,90.384264
13.055092,-1.591631,0.008348,-3.321667,0.000000,90.384264
13.111853,-1.593299,-0.013371,-3.320843,0.000000,90.384264
13.168614,-1.594671,-0.035133,-3.319987,0.000000,90.384264
