t_s,x_m,y_m,z_m,error_norm_m,score_hint
0.000000,-0.665856,2.081476,-2.622673,2.796415,90.384264
0.056761,1.209231,-0.015898,-2.697134,0.034064,90.384264
0.113523,1.211809,0.000540,-2.702143,0.034316,90.384264
0.170284,1.213329,0.018126,-2.707488,0.033264,90.384264
0.227045,1.214705,0.034554,-2.711781,0.033594,90.384264
0.283806,1.215011,0.050531,-2.717332,0.033864,90.384264
0.340568,1.216178,0.066305,-2.721724,0.034907,90.384264
0.397329,1.216705,0.081990,-2.726964,0.035769,90.384264
0.454090,1.216489,0.099519,-2.731168,0.034997,90.384264
0.510851,1.216657,0.116105,-2.736477,0.035070,90.384264
0.567613,1.217054,0.133104,-2.742036,0.034885,90.384264
0.624374,1.214297,0.150706,-2.746806,0.033416,90.384264
0.681135,1.214707,0.167183,-2.751471,0.034042,90.384264
0.737896,1.213882,0.181479,-2.755860,0.036470,90.384264
0.794658,1.211602,0.201446,-2.761262,0.033046,90.384264
0.851419,1.210623,0.219060,-2.766718,0.032284,90.384264
0.908180,1.207667,0.236506,-2.771704,0.031216,90.384264
0.964942,1.206185,0.254060,-2.777007,0.030526,90.384264
1.021703,1.207020,0.270371,-2.781304,0.032144,90.384264
1.078464,1.205014,0.286092,-2.787659,0.032986,90.384264
1.135225,1.201900,0.301899,-2.792743,0.033594,90.384264
1.191987,1.199954,0.318201,-2.798162,0.034282,90.384264
1.248748,1.196498,0.334106,-2.803397,0.034812,90.384264
1.305509,1.192662,0.350661,-2.808235,0.034713,90.384264
1.362270,1.189635,0.365337,-2.811836,0.036845,90.384264
1.419032,1.186885,0.380718,-2.817955,0.038268,90.384264
1.475793,1.184591,0.398135,-2.821298,0.038423,90.384264
1.532554,1.179884,0.415528,-2.825905,0.037505,90.384264
1.589316,1.176689,0.433768,-2.829469,0.036825,90.384264
1.646077,1.171638,0.449728,-2.834275,0.037100,90.384264
1.702838,1.165902,0.465808,-2.838580,0.037090,90.384264
1.759599,1.160548,0.480977,-2.842506,0.038197,90.384264
1.816361,1.155996,0.497474,-2.848037,0.038344,90.384264
1.873122,1.149889,0.513316,-2.852641,0.038512,90.384264
1.929883,1.145524,0.531291,-2.857791,0.037747,90.384264
1.986644,1.140330,0.547009,-2.862420,0.038634,90.384264
2.043406,1.134432,0.562406,-2.866034,0.039630,90.384264
2.100167,1.127945,0.576912,-2.871798,0.040760,90.384264
2.156928,1.119245,0.592019,-2.875129,0.040676,90.384264
2.213689,1.112550,0.609175,-2.879682,0.039794,90.384264
2.270451,1.105083,0.624886,-2.882638,0.040090,90.384264
2.327212,1.096535,0.642583,-2.887595,0.037832,90.384264
2.383973,1.090360,0.657087,-2.891233,0.039798,90.384264
2.440735,1.082580,0.672461,-2.895519,0.040097,90.384264
2.497496,1.073216,0.689341,-2.900647,0.038163,90.384264
2.554257,1.064549,0.705100,-2.905848,0.037539,90.384264
2.611018,1.054695,0.720739,-2.909366,0.036806,90.384264
2.667780,1.045859,0.736023,-2.914402,0.036570,90.384264
2.724541,1.037722,0.750361,-2.919066,0.037606,90.384264
2.781302,1.027972,0.764067,-2.923981,0.038241,90.384264
2.838063,1.018885,0.778734,-2.929151,0.038441,90.384264
2.894825,1.010728,0.793502,-2.932988,0.039405,90.384264
2.951586,1.001146,0.808496,-2.937227,0.039343,90.384264
3.008347,0.992163,0.822682,-2.941196,0.040367,90.384264
3.065109,0.983311,0.836784,-2.945123,0.041603,90.384264
3.121870,0.972110,0.850282,-2.949817,0.041691,90.384264
3.178631,0.961911,0.863719,-2.953790,0.042640,90.384264
3.235392,0.950296,0.878502,-2.958286,0.041607,90.384264
3.292154,0.939269,0.892976,-2.961567,0.041501,90.384264
3.348915,0.928580,0.908770,-2.966883,0.040199,90.384264
3.405676,0.915824,0.921381,-2.970511,0.040294,90.384264
3.462437,0.903748,0.934176,-2.975495,0.040384,90.384264
3.519199,0.892853,0.946028,-2.978999,0.042306,90.384264
3.575960,0.880116,0.960981,-2.983828,0.040477,90.384264
3.632721,0.868891,0.974249,-2.988976,0.040805,90.384264
3.689482,0.858288,0.985255,-2.992497,0.043564,90.384264
3.746244,0.845853,0.998121,-2.996968,0.043580,90.384264
3.803005,0.832960,1.011671,-3.001488,0.042829,90.384264
3.859766,0.818419,1.023941,-3.005793,0.041859,90.384264
3.916528,0.803862,1.035727,-3.010427,0.041163,90.384264
3.973289,0.789634,1.049390,-3.014158,0.039599,90.384264
4.030050,0.776513,1.062162,-3.018962,0.039183,90.384264
4.086811,0.761937,1.074566,-3.023500,0.038069,90.384264
4.143573,0.747813,1.086615,-3.027964,0.037537,90.384264
4.200334,0.733056,1.098471,-3.032255,0.036719,90.384264
4.257095,0.717332,1.110164,-3.036095,0.035406,90.384264
