t_s,x_m,y_m,z_m,error_norm_m,score_hint
0.000000,1.950786,-1.364685,-3.179488,2.392508,51.916396
0.043406,1.953242,-1.363813,-3.177584,2.447760,51.916396
0.086811,1.738691,-1.211339,-3.175086,2.336655,51.916396
0.130217,1.521930,-1.061663,-3.172101,2.307161,51.916396
0.173623,1.309072,-0.913680,-3.169099,2.361305,51.916396
0.217028,1.093332,-0.762441,-3.166575,2.345319,51.916396
0.260434,0.877181,0.744666,-3.021942,1.303916,51.916396
0.303840,1.090699,0.895496,-3.025090,1.044733,51.916396
0.347245,1.304648,1.045538,-3.028762,0.786935,51.916396
0.390651,1.519416,1.196266,-3.033057,0.531457,51.916396
0.434057,1.733686,1.345234,-3.037024,0.289542,51.916396
0.477462,1.942710,1.345648,-3.040764,0.126987,51.916396
0.520868,1.940778,1.344460,-3.040050,0.131765,51.916396
0.564274,1.943840,1.344848,-3.043876,0.130079,51.916396
0.607679,1.944031,1.346735,-3.045925,0.130453,51.916396
0.651085,1.945442,1.345661,-3.049188,0.130561,51.916396
0.694491,1.945081,1.344363,-3.049846,0.133614,51.916396
0.737896,1.946441,1.343217,-3.054666,0.132527,51.916396
0.781302,1.943523,1.343105,-3.057814,0.134103,51.916396
0.824708,1.942572,1.344221,-3.062115,0.133425,51.916396
0.868114,1.943851,1.341557,-3.067765,0.132331,51.916396
0.911519,1.946888,1.340027,-3.072043,0.131148,51.916396
0.954925,1.946466,1.339901,-3.073727,0.132810,51.916396
0.998331,1.945796,1.335986,-3.078747,0.133686,51.916396
1.041736,1.947668,1.336611,-3.082738,0.132218,51.916396
1.085142,1.944422,1.339923,-3.086878,0.131445,51.916396
1.128548,1.945234,1.341926,-3.089272,0.131007,51.916396
1.171953,1.944695,1.341910,-3.094660,0.129670,51.916396
1.215359,1.947127,1.341796,-3.099667,0.127415,51.916396
1.258765,1.950299,1.341525,-3.103606,0.125794,51.916396
1.302170,1.951628,1.339744,-3.106850,0.126186,51.916396
1.345576,1.953638,1.340501,-3.109886,0.125285,51.916396
1.388982,1.956142,1.338561,-3.112392,0.125943,51.916396
1.432387,1.956085,1.338390,-3.117321,0.124716,51.916396
1.475793,1.954696,1.336222,-3.120838,0.126072,51.916396
1.519199,1.953304,1.334350,-3.123566,0.127907,51.916396
1.562604,1.954818,1.334955,-3.126274,0.127424,51.916396
1.606010,1.955575,1.335960,-3.131408,0.125093,51.916396
1.649416,1.953247,1.336141,-3.131739,0.128034,51.916396
1.692821,1.954646,1.335473,-3.133381,0.129016,51.916396
1.736227,1.954763,1.334097,-3.135323,0.130560,51.916396
1.779633,1.957336,1.334122,-3.135870,0.131672,51.916396
1.823038,1.956649,1.336065,-3.140056,0.129988,51.916396
1.866444,1.955101,1.336415,-3.143062,0.130320,51.916396
1.909850,1.957504,1.339074,-3.145036,0.129022,51.916396
1.953255,1.956568,1.338657,-3.147652,0.129774,51.916396
1.996661,1.957363,1.338230,-3.148781,0.131146,51.916396
2.040067,1.955646,1.334504,-3.150539,0.134382,51.916396
2.083472,1.958219,1.333833,-3.153461,0.133798,51.916396
2.126878,1.959757,1.331980,-3.156527,0.134023,51.916396
2.170284,1.957814,1.333428,-3.158678,0.134372,51.916396
2.213689,1.957280,1.334519,-3.160310,0.134879,51.916396
2.257095,1.956775,1.336316,-3.163392,0.133840,51.916396
2.300501,1.957573,1.336294,-3.166407,0.133283,51.916396
2.343907,1.959675,1.335708,-3.169662,0.132370,51.916396
2.387312,1.957552,1.338012,-3.171539,0.132493,51.916396
2.430718,1.960494,1.337255,-3.173630,0.132292,51.916396
2.474124,1.959685,1.336752,-3.177652,0.131504,51.916396
2.517529,1.958777,1.337244,-3.181741,0.130198,51.916396
2.560935,1.958167,1.337538,-3.186543,0.128295,51.916396
2.604341,1.957854,1.336667,-3.189457,0.128375,51.916396
2.647746,1.955929,1.338682,-3.191285,0.128435,51.916396
2.691152,1.957982,1.340345,-3.195372,0.125476,51.916396
2.734558,1.957682,1.338802,-3.196116,0.127521,51.916396
2.777963,1.958308,1.337331,-3.199098,0.127387,51.916396
2.821369,1.956754,1.336420,-3.202578,0.127285,51.916396
2.864775,1.957233,1.337534,-3.205203,0.126149,51.916396
2.908180,1.957009,1.336240,-3.207356,0.126792,51.916396
2.951586,1.957752,1.338212,-3.212549,0.123020,51.916396
2.994992,1.958034,1.338456,-3.212481,0.124424,51.916396
3.038397,1.955293,1.340192,-3.215778,0.123433,51.916396
3.081803,1.954246,1.341386,-3.217036,0.123735,51.916396
3.125209,1.954246,1.343593,-3.221045,0.120952,51.916396
3.168614,1.952109,1.343862,-3.224708,0.120161,51.916396
3.212020,1.950999,1.344825,-3.227759,0.119124,51.916396
3.255426,1.951419,1.346153,-3.231134,0.117011,51.916396
3.298831,1.952147,1.347137,-3.231825,0.117008,51.916396
3.342237,1.951004,1.347881,-3.235129,0.115793,51.916396
3.385643,1.952644,1.347872,-3.235879,0.115738,51.916396
3.429048,1.951083,1.346385,-3.237930,0.116620,51.916396
3.472454,1.950570,1.343443,-3.240492,0.117351,51.916396
3.515860,1.952193,1.343523,-3.243935,0.115060,51.916396
3.559265,1.954676,1.343728,-3.246815,0.112763,51.916396
3.602671,1.952357,1.343806,-3.248339,0.113499,51.916396
3.646077,1.952009,1.344321,-3.248411,0.114284,51.916396
