t_s,x_m,y_m,z_m,error_norm_m,score_hint
0.000000,0.888889,0.777778,-3.100000,0.000000,81.864888
0.043406,1.111111,0.933333,-3.103671,0.000000,81.864888
0.086811,1.333333,1.088889,-3.107342,0.000000,81.864888
0.130217,1.555556,1.244444,-3.111010,0.000000,81.864888
0.173623,1.777778,1.400000,-3.114677,0.000000,81.864888
0.217028,2.000000,1.400000,-3.118340,0.000000,81.864888
0.260434,2.000000,1.400000,-3.121999,0.000000,81.864888
0.303840,2.000000,1.400000,-3.125654,0.000000,81.864888
0.347245,2.000000,1.400000,-3.129303,0.000000,81.864888
0.390651,2.000000,1.400000,-3.132946,0.000000,81.864888
0.434057,2.000000,1.400000,-3.136581,0.000000,81.864888
0.477462,2.000000,1.400000,-3.140209,0.000000,81.864888
0.520868,2.000000,1.400000,-3.143828,0.000000,81.864888
0.564274,2.000000,1.400000,-3.147438,0.000000,81.864888
0.607679,2.000000,1.400000,-3.151037,0.000000,81.864888
0.651085,2.000000,1.400000,-3.154625,0.000000,81.864888
0.694491,2.000000,1.400000,-3.158202,0.000000,81.864888
0.737896,2.000000,1.400000,-3.161766,0.000000,81.864888
0.781302,2.000000,1.400000,-3.165317,0.000000,81.864888
0.824708,2.000000,1.400000,-3.168853,0.000000,81.864888
0.868114,2.000000,1.400000,-3.172375,0.000000,81.864888
0.911519,2.000000,1.400000,-3.175881,0.000000,81.864888
0.954925,2.000000,1.400000,-3.179371,0.000000,81.864888
0.998331,2.000000,1.400000,-3.182844,0.000000,81.864888
1.041736,2.000000,1.400000,-3.186299,0.000000,81.864888
1.085142,2.000000,1.400000,-3.189735,0.000000,81.864888
1.128548,2.000000,1.400000,-3.193152,0.000000,81.864888
1.171953,2.000000,1.400000,-3.196548,0.000000,81.864888
1.215359,2.000000,1.400000,-3.199924,0.000000,81.864888
1.258765,2.000000,1.400000,-3.203279,0.000000,81.864888
1.302170,2.000000,1.400000,-3.206611,0.000000,81.864888
1.345576,2.000000,1.400000,-3.209920,0.000000,81.864888
1.388982,2.000000,1.400000,-3.213205,0.000000,81.864888
1.432387,2.000000,1.400000,-3.216466,0.000000,81.864888
1.475793,2.000000,1.400000,-3.219702,0.000000,81.864888
1.519199,2.000000,1.400000,-3.222912,0.000000,81.864888
1.562604,2.000000,1.400000,-3.226096,0.000000,81.864888
1.606010,2.000000,1.400000,-3.229252,0.000000,81.864888
1.649416,2.000000,1.400000,-3.232381,0.000000,81.864888
1.692821,2.000000,1.400000,-3.235481,0.000000,81.864888
1.736227,2.000000,1.400000,-3.238552,0.000000,81.864888
1.779633,2.000000,1.400000,-3.241593,0.000000,81.864888
1.823038,2.000000,1.400000,-3.244603,0.000000,81.864888
1.866444,2.000000,1.400000,-3.247582,0.000000,81.864888
1.909850,2.000000,1.400000,-3.250529,0.000000,81.864888
1.953255,2.000000,1.400000,-3.253444,0.000000,81.864888
1.996661,2.000000,1.400000,-3.256326,0.000000,81.864888
2.040067,2.000000,1.400000,-3.259174,0.000000,81.864888
2.083472,2.000000,1.400000,-3.261988,0.000000,81.864888
2.126878,2.000000,1.400000,-3.264767,0.000000,81.864888
2.170284,2.000000,1.400000,-3.267510,0.000000,81.864888
2.213689,2.000000,1.400000,-3.270217,0.000000,81.864888
2.257095,2.000000,1.400000,-3.272887,0.000000,81.864888
2.300501,2.000000,1.400000,-3.275521,0.000000,81.864888
2.343907,2.000000,1.400000,-3.278116,0.000000,81.864888
2.387312,2.000000,1.400000,-3.280673,0.000000,81.864888
2.430718,2.000000,1.400000,-3.283191,0.000000,81.864888
2.474124,2.000000,1.400000,-3.285669,0.000000,81.864888
2.517529,2.000000,1.400000,-3.288108,0.000000,81.864888
2.560935,2.000000,1.400000,-3.290505,0.000000,81.864888
2.604341,2.000000,1.400000,-3.292862,0.000000,81.864888
2.647746,2.000000,1.400000,-3.295177,0.000000,81.864888
2.691152,2.000000,1.400000,-3.297450,0.000000,81.864888
2.734558,2.000000,1.400000,-3.299681,0.000000,81.864888
2.777963,2.000000,1.400000,-3.301868,0.000000,81.864888
2.821369,2.000000,1.400000,-3.304012,0.000000,81.864888
2.864775,2.000000,1.400000,-3.306112,0.000000,81.864888
2.908180,2.000000,1.400000,-3.308167,0.000000,81.864888
2.951586,2.000000,1.400000,-3.310178,0.000000,81.864888
2.994992,2.000000,1.400000,-3.312143,0.000000,81.864888
3.038397,2.000000,1.400000,-3.314063,0.000000,81.864888
3.081803,2.000000,1.400000,-3.315936,0.000000,81.864888
3.125209,2.000000,1.400000,-3.317763,0.000000,81.864888
3.168614,2.000000,1.400000,-3.319542,0.000000,81.864888
3.212020,2.000000,1.400000,-3.321275,0.000000,81.864888
3.255426,2.000000,1.400000,-3.322960,0.000000,81.864888
3.298831,2.000000,1.400000,-3.324596,0.000000,81.864888
3.342237,2.000000,1.400000,-3.326184,0.000000,81.864888
3.385643,2.000000,1.400000,-3.327724,0.000000,81.864888
3.429048,2.000000,1.400000,-3.329214,0.000000,81.864888
3.472454,2.000000,1.400000,-3.330655,0.000000,81.864888
3.515860,2.000000,1.400000,-3.332046,0.000000,81.864888
3.559265,2.000000,1.400000,-3.333387,0.000000,81.864888
3.602671,2.000000,1.400000,-3.334678,0.000000,81.864888
3.646077,2.000000,1.400000,-3.335918,0.000000,81.864888
3.689482,2.000000,1.400000,-3.337107,0.000000,81.864888
3.732888,2.000000,1.400000,-3.338246,0.000000,81.864888
3.776294,2.000000,1.400000,-3.339332,0.000000,81.864888
3.819699,2.000000,1.400000,-3.340368,0.000000,81.864888
3.863105,2.000000,1.400000,-3.341351,0.000000,81.864888
3.906511,2.000000,1.400000,-3.342282,0.000000,81.864888
3.949917,2.000000,1.400000,-3.343161,0.000000,81.864888
3.993322,2.000000,1.400000,-3.343988,0.000000,81.864888
4.036728,2.000000,1.400000,-3.344762,0.000000,81.864888
4.080134,2.000000,1.400000,-3.345483,0.000000,81.864888
4.123539,2.000000,1.400000,-3.346151,0.000000,81.864888
4.166945,2.000000,1.400000,-3.346766,0.000000,81.864888
4.210351,2.000000,1.400000,-3.347328,0.000000,81.864888
4.253756,2.000000,1.400000,-3.347837,0.000000,81.864888
4.297162,2.000000,1.400000,-3.348292,0.000000,81.864888
4.340568,2.000000,1.400000,-3.348694,0.000000,81.864888
4.383973,2.000000,1.400000,-3.349042,0.000000,81.864888
4.427379,2.000000,1.400000,-3.349336,0.000000,81.864888
4.470785,2.000000,1.400000,-3.349576,0.000000,81.864888
4.514190,2.000000,1.400000,-3.349763,0.000000,81.864888
4.557596,2.000000,1.400000,-3.349896,0.000000,81.864888
4.601002,2.000000,1.400000,-3.349975,0.000000,81.864888
4.644407,2.000000,1.400000,-3.350000,0.000000,81.864888
4.687813,2.000000,1.400000,-3.349971,0.000000,81.864888
4.731219,2.000000,1.400000,-3.349888,0.000000,81.864888
4.774624,2.000000,1.400000,-3.349752,0.000000,81.864888
4.818030,2.000000,1.400000,-3.349561,0.000000,81.864888
4.861436,2.000000,1.400000,-3.349317,0.000000,81.864888
4.904841,2.000000,1.400000,-3.349019,0.000000,81.864888
4.948247,2.000000,1.400000,-3.348667,0.000000,81.864888
4.991653,2.000000,1.400000,-3.348261,0.000000,81.864888
5.035058,2.000000,1.400000,-3.347802,0.000000,81.864888
5.078464,2.000000,1.400000,-3.347290,0.000000,81.864888
5.121870,2.000000,1.400000,-3.346724,0.000000,81.864888
5.165275,2.000000,1.400000,-3.346105,0.000000,81.864888
5.208681,2.000000,1.400000,-3.345433,0.000000,81.864888
5.252087,2.000000,1.400000,-3.344708,0.000000,81.864888
5.295492,2.000000,1.400000,-3.343930,0.000000,81.864888
5.338898,2.000000,1.400000,-3.343100,0.000000,81.864888
5.382304,2.000000,1.400000,-3.342217,0.000000,81.864888
5.425710,2.000000,1.400000,-3.341282,0.000000,81.864888
5.469115,2.000000,1.400000,-3.340295,0.000000,81.864888
5.512521,2.000000,1.400000,-3.339256,0.000000,81.864888
5.555927,2.000000,1.400000,-3.338166,0.000000,81.864888
5.599332,2.000000,1.400000,-3.337024,0.000000,81.864888
5.642738,2.000000,1.400000,-3.335831,0.000000,81.864888
5.686144,2.000000,1.400000,-3.334588,0.000000,81.864888
5.729549,2.000000,1.400000,-3.333293,0.000000,81.864888
5.772955,2.000000,1.400000,-3.331948,0.000000,81.864888
5.816361,2.000000,1.400000,-3.330554,0.000000,81.864888
5.859766,2.000000,1.400000,-3.329109,0.000000,81.864888
5.903172,2.000000,1.400000,-3.327616,0.000000,81.864888
5.946578,2.000000,1.400000,-3.326073,0.000000,81.864888
5.989983,2.000000,1.400000,-3.324481,0.000000,81.864888
6.033389,2.000000,1.400000,-3.322841,0.000000,81.864888
6.076795,2.000000,1.400000,-3.321153,0.000000,81.864888
6.120200,2.000000,1.400000,-3.319417,0.000000,81.864888
6.163606,2.000000,1.400000,-3.317634,0.000000,81.864888
6.207012,2.000000,1.400000,-3.315804,0.000000,81.864888
6.250417,2.000000,1.400000,-3.313927,0.000000,81.864888
6.293823,2.000000,1.400000,-3.312004,0.000000,81.864888
6.337229,2.000000,1.400000,-3.310036,0.000000,81.864888
6.380634,2.000000,1.400000,-3.308022,0.000000,81.864888
6.424040,2.000000,1.400000,-3.305963,0.000000,81.864888
6.467446,2.000000,1.400000,-3.303860,0.000000,81.864888
6.510851,2.000000,1.400000,-3.301713,0.000000,81.864888
6.554257,2.000000,1.400000,-3.299523,0.000000,81.864888
6.597663,2.000000,1.400000,-3.297289,0.000000,81.864888
6.641068,2.000000,1.400000,-3.295013,0.000000,81.864888
6.684474,2.000000,1.400000,-3.292695,0.000000,81.864888
6.727880,2.000000,1.400000,-3.290335,0.000000,81.864888
6.771285,2.000000,1.400000,-3.287935,0.000000,81.864888
6.814691,2.000000,1.400000,-3.285493,0.000000,81.864888
6.858097,2.000000,1.400000,-3.283012,0.000000,81.864888
6.901503,2.000000,1.400000,-3.280491,0.000000,81.864888
6.944908,2.000000,1.400000,-3.277932,0.000000,81.864888
6.988314,2.000000,1.400000,-3.275334,0.000000,81.864888
7.031720,2.000000,1.400000,-3.272698,0.000000,81.864888
7.075125,2.000000,1.400000,-3.270025,0.000000,81.864888
7.118531,2.000000,1.400000,-3.267315,0.000000,81.864888
7.161937,2.000000,1.400000,-3.264569,0.000000,81.864888
7.205342,2.000000,1.400000,-3.261788,0.000000,81.864888
7.248748,2.000000,1.400000,-3.258972,0.000000,81.864888
7.292154,2.000000,1.400000,-3.256121,0.000000,81.864888
7.335559,2.000000,1.400000,-3.253237,0.000000,81.864888
7.378965,2.000000,1.400000,-3.250320,0.000000,81.864888
7.422371,2.000000,1.400000,-3.247370,0.000000,81.864888
7.465776,2.000000,1.400000,-3.244389,0.000000,81.864888
7.509182,2.000000,1.400000,-3.241376,0.000000,81.864888
7.552588,2.000000,1.400000,-3.238333,0.000000,81.864888
7.595993,2.000000,1.400000,-3.235260,0.000000,81.864888
7.639399,2.000000,1.400000,-3.232158,0.000000,81.864888
7.682805,2.000000,1.400000,-3.229028,0.000000,81.864888
7.726210,2.000000,1.400000,-3.225870,0.000000,81.864888
7.769616,2.000000,1.400000,-3.222684,0.000000,81.864888
7.813022,2.000000,1.400000,-3.219472,0.000000,81.864888
7.856427,2.000000,1.400000,-3.216234,0.000000,81.864888
7.899833,2.000000,1.400000,-3.212972,0.000000,81.864888
7.943239,2.000000,1.400000,-3.209684,0.000000,81.864888
7.986644,2.000000,1.400000,-3.206374,0.000000,81.864888
8.030050,2.000000,1.400000,-3.203040,0.000000,81.864888
8.073456,2.000000,1.400000,-3.199684,0.000000,81.864888
8.116861,2.000000,1.400000,-3.196306,0.000000,81.864888
8.160267,2.000000,1.400000,-3.192908,0.000000,81.864888
8.203673,2.000000,1.400000,-3.189490,0.000000,81.864888
8.247078,2.000000,1.400000,-3.186052,0.000000,81.864888
