t_s,x_m,y_m,z_m,error_norm_m,score_hint
0.000000,1.122334,-0.787527,-3.247049,1.589434,81.864888
0.043406,0.900757,0.758931,-3.101177,0.273260,81.864888
0.086811,1.121324,0.913188,-3.105240,0.275360,81.864888
0.130217,1.341829,1.067051,-3.108932,0.277762,81.864888
0.173623,1.562509,1.223292,-3.112408,0.278517,81.864888
0.217028,1.782835,1.378007,-3.115507,0.218294,81.864888
0.260434,2.002870,1.379029,-3.118493,0.021455,81.864888
0.303840,2.003373,1.379420,-3.122475,0.021096,81.864888
0.347245,2.003627,1.379399,-3.125999,0.021177,81.864888
0.390651,2.003941,1.379805,-3.130321,0.020742,81.864888
0.434057,2.004150,1.379628,-3.133752,0.020982,81.864888
0.477462,2.003240,1.379900,-3.136263,0.020739,81.864888
0.520868,2.003453,1.378709,-3.140293,0.021856,81.864888
0.564274,2.002886,1.378571,-3.143749,0.021935,81.864888
0.607679,2.002939,1.377138,-3.146423,0.023507,81.864888
0.651085,2.002379,1.378042,-3.150361,0.022494,81.864888
0.694491,2.002870,1.375717,-3.152766,0.025048,81.864888
0.737896,2.004114,1.375398,-3.156240,0.025548,81.864888
0.781302,2.003657,1.376533,-3.160411,0.024251,81.864888
0.824708,2.003568,1.376904,-3.162909,0.024114,81.864888
0.868114,2.002560,1.376183,-3.165185,0.025010,81.864888
0.911519,2.000703,1.375995,-3.168802,0.025037,81.864888
0.954925,2.000873,1.375992,-3.171344,0.025329,81.864888
0.998331,1.999834,1.375766,-3.174565,0.025609,81.864888
1.041736,2.000932,1.377270,-3.178719,0.023978,81.864888
1.085142,2.001216,1.375137,-3.183074,0.025768,81.864888
1.128548,2.002255,1.374761,-3.186443,0.026213,81.864888
1.171953,2.004016,1.372760,-3.190081,0.028284,81.864888
1.215359,2.003685,1.373378,-3.193064,0.027737,81.864888
1.258765,2.003366,1.374986,-3.196314,0.026183,81.864888
1.302170,2.004152,1.374419,-3.199002,0.027009,81.864888
1.345576,2.002820,1.374781,-3.202094,0.026556,81.864888
1.388982,2.004555,1.373782,-3.205001,0.027847,81.864888
1.432387,2.002075,1.375622,-3.208743,0.025657,81.864888
1.475793,2.002109,1.375070,-3.212006,0.026176,81.864888
1.519199,2.002351,1.375042,-3.215583,0.026118,81.864888
1.562604,2.002552,1.376041,-3.217900,0.025451,81.864888
1.606010,2.002092,1.377815,-3.222016,0.023429,81.864888
1.649416,2.001106,1.378584,-3.224362,0.022895,81.864888
1.692821,2.002549,1.378006,-3.226255,0.023987,81.864888
1.736227,2.002414,1.377630,-3.229356,0.024306,81.864888
1.779633,2.002102,1.378458,-3.231654,0.023817,81.864888
1.823038,2.003429,1.379783,-3.234639,0.022799,81.864888
1.866444,2.004379,1.380459,-3.238364,0.022046,81.864888
1.909850,2.004854,1.381590,-3.241301,0.021157,81.864888
1.953255,2.004806,1.381997,-3.243744,0.021007,81.864888
1.996661,2.004965,1.382591,-3.245870,0.020906,81.864888
2.040067,2.003315,1.384023,-3.249444,0.018998,81.864888
2.083472,2.003038,1.384013,-3.252941,0.018618,81.864888
2.126878,2.002372,1.382295,-3.255429,0.020156,81.864888
2.170284,2.003326,1.380808,-3.259426,0.021089,81.864888
