timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
0,0.000000,0.000000,-3.000000,0.000000,0.000000,-3.000000,x500_identified
50083,-0.000143,0.027272,-3.000002,0.004153,-0.001805,-2.997946,x500_identified
100167,-0.000572,0.054541,-3.000008,0.004203,0.025890,-2.998020,x500_identified
150250,-0.001287,0.081804,-3.000019,0.003343,0.052791,-2.997988,x500_identified
200334,-0.002288,0.109058,-3.000033,0.003300,0.079207,-2.997964,x500_identified
250417,-0.003575,0.136300,-3.000052,0.002159,0.106535,-2.998068,x500_identified
300501,-0.005148,0.163528,-3.000074,0.000616,0.133827,-2.997900,x500_identified
350584,-0.007006,0.190737,-3.000101,-0.001436,0.161013,-2.997814,x500_identified
400668,-0.009149,0.217925,-3.000132,-0.003650,0.187958,-2.997860,x500_identified
450751,-0.011577,0.245089,-3.000167,-0.005917,0.215075,-2.998062,x500_identified
500835,-0.014291,0.272226,-3.000206,-0.008609,0.241671,-2.998188,x500_identified
550918,-0.017288,0.299333,-3.000250,-0.013068,0.268837,-2.998265,x500_identified
601002,-0.020570,0.326408,-3.000297,-0.016602,0.295519,-2.997265,x500_identified
651085,-0.024136,0.353446,-3.000349,-0.019007,0.322614,-2.997373,x500_identified
701169,-0.027985,0.380445,-3.000404,-0.022507,0.350097,-2.997054,x500_identified
751252,-0.032117,0.407403,-3.000464,-0.025945,0.376704,-2.997036,x500_identified
801336,-0.036532,0.434316,-3.000528,-0.030166,0.403207,-2.996392,x500_identified
851419,-0.041228,0.461181,-3.000596,-0.034181,0.429707,-2.996763,x500_identified
901503,-0.046207,0.487995,-3.000668,-0.039687,0.456453,-2.996735,x500_identified
951586,-0.051466,0.514756,-3.000744,-0.044918,0.483494,-2.996994,x500_identified
1001669,-0.057005,0.541460,-3.000824,-0.049798,0.509414,-2.997586,x500_identified
1051753,-0.062825,0.568104,-3.000909,-0.054461,0.535598,-2.997852,x500_identified
1101836,-0.068923,0.594686,-3.000997,-0.060381,0.562119,-2.997495,x500_identified
1151920,-0.075300,0.621202,-3.001090,-0.066649,0.587507,-2.997954,x500_identified
1202003,-0.081955,0.647650,-3.001187,-0.072476,0.614113,-2.998172,x500_identified
1252087,-0.088887,0.674027,-3.001288,-0.080026,0.641411,-2.998433,x500_identified
1302170,-0.096095,0.700330,-3.001392,-0.086706,0.668267,-2.998278,x500_identified
1352254,-0.103579,0.726555,-3.001501,-0.094043,0.694479,-2.998857,x500_identified
1402337,-0.111337,0.752701,-3.001615,-0.100815,0.720586,-2.999352,x500_identified
1452421,-0.119370,0.778764,-3.001732,-0.107651,0.746569,-2.999595,x500_identified
1502504,-0.127675,0.804741,-3.001853,-0.115281,0.772043,-2.999679,x500_identified
1552588,-0.136252,0.830630,-3.001978,-0.122991,0.798149,-2.999720,x500_identified
1602671,-0.145100,0.856427,-3.002108,-0.130832,0.823405,-2.999642,x500_identified
1652755,-0.154219,0.882130,-3.002241,-0.139667,0.849069,-3.000160,x500_identified
1702838,-0.163606,0.907736,-3.002379,-0.149148,0.874074,-3.000344,x500_identified
1752922,-0.173261,0.933242,-3.002520,-0.158898,0.899067,-3.000347,x500_identified
1803005,-0.183184,0.958645,-3.002666,-0.168094,0.924660,-3.000353,x500_identified
1853088,-0.193372,0.983943,-3.002815,-0.177770,0.950265,-3.000959,x500_identified
1903172,-0.203826,1.009133,-3.002969,-0.188583,0.975531,-3.000408,x500_identified
1953255,-0.214543,1.034211,-3.003127,-0.198607,1.000449,-3.000185,x500_identified
2003339,-0.225522,1.059176,-3.003289,-0.209255,1.025056,-3.000045,x500_identified
2053422,-0.236763,1.084024,-3.003455,-0.219471,1.049946,-2.999576,x500_identified
2103506,-0.248263,1.108753,-3.003625,-0.230869,1.075262,-3.000001,x500_identified
2153589,-0.260023,1.133360,-3.003798,-0.242770,1.100009,-3.000151,x500_identified
2203673,-0.272039,1.157843,-3.003976,-0.253811,1.125287,-3.000060,x500_identified
2253756,-0.284312,1.182197,-3.004158,-0.266053,1.149571,-3.000136,x500_identified
2303840,-0.296840,1.206422,-3.004344,-0.278061,1.173725,-2.999862,x500_identified
2353923,-0.309621,1.230514,-3.004534,-0.291033,1.196817,-2.999751,x500_identified
2404007,-0.322655,1.254471,-3.004728,-0.303045,1.220641,-2.999935,x500_identified
2454090,-0.335938,1.278290,-3.004926,-0.315601,1.243995,-3.000165,x500_identified
2504174,-0.349471,1.301968,-3.005128,-0.329390,1.268145,-3.000184,x500_identified
2554257,-0.363252,1.325503,-3.005334,-0.343030,1.292053,-3.000089,x500_identified
2604341,-0.377278,1.348891,-3.005544,-0.356908,1.316019,-3.000358,x500_identified
2654424,-0.391549,1.372132,-3.005758,-0.370663,1.339325,-3.000622,x500_identified
2704508,-0.406064,1.395221,-3.005976,-0.384293,1.362324,-3.000957,x500_identified
2754591,-0.420819,1.418158,-3.006198,-0.399359,1.385989,-3.000970,x500_identified
2804674,-0.435814,1.440937,-3.006423,-0.413235,1.408635,-3.001047,x500_identified
2854758,-0.451048,1.463559,-3.006653,-0.428410,1.431198,-3.001606,x500_identified
2904841,-0.466518,1.486019,-3.006887,-0.443850,1.453885,-3.002193,x500_identified
2954925,-0.482222,1.508316,-3.007124,-0.459441,1.476355,-3.002966,x500_identified
3005008,-0.498160,1.530447,-3.007366,-0.475183,1.498332,-3.003293,x500_identified
3055092,-0.514329,1.552410,-3.007611,-0.491612,1.520960,-3.003371,x500_identified
3105175,-0.530727,1.574202,-3.007861,-0.507148,1.543321,-3.004009,x500_identified
3155259,-0.547353,1.595820,-3.008114,-0.523577,1.564605,-3.003850,x500_identified
3205342,-0.564205,1.617263,-3.008371,-0.539972,1.585737,-3.004247,x500_identified
3255426,-0.581281,1.638528,-3.008632,-0.557208,1.606852,-3.004779,x500_identified
3305509,-0.598579,1.659613,-3.008897,-0.574092,1.628362,-3.005116,x500_identified
3355593,-0.616097,1.680515,-3.009166,-0.591397,1.649012,-3.005353,x500_identified
3405676,-0.633834,1.701232,-3.009439,-0.608647,1.670403,-3.006342,x500_identified
3455760,-0.651787,1.721762,-3.009715,-0.626246,1.691121,-3.006068,x500_identified
3505843,-0.669954,1.742103,-3.009996,-0.644915,1.712074,-3.006624,x500_identified
3555927,-0.688333,1.762252,-3.010280,-0.663319,1.732686,-3.006700,x500_identified
3606010,-0.706923,1.782207,-3.010568,-0.681638,1.753392,-3.007458,x500_identified
3656093,-0.725722,1.801966,-3.010860,-0.700771,1.773358,-3.008146,x500_identified
3706177,-0.744726,1.821526,-3.011156,-0.719821,1.793324,-3.008700,x500_identified
3756260,-0.763935,1.840887,-3.011456,-0.738645,1.813196,-3.009348,x500_identified
3806344,-0.783345,1.860044,-3.011759,-0.757584,1.832771,-3.009358,x500_identified
3856427,-0.802956,1.878997,-3.012066,-0.777254,1.852077,-3.010018,x500_identified
3906511,-0.822764,1.897744,-3.012377,-0.796337,1.870965,-3.010073,x500_identified
3956594,-0.842767,1.916281,-3.012692,-0.816521,1.889229,-3.010458,x500_identified
4006678,-0.862964,1.934608,-3.013011,-0.836604,1.906874,-3.010982,x500_identified
4056761,-0.883353,1.952722,-3.013333,-0.856276,1.925163,-3.011736,x500_identified
4106845,-0.903930,1.970621,-3.013659,-0.875895,1.943275,-3.012368,x500_identified
4156928,-0.924693,1.988303,-3.013989,-0.897061,1.961138,-3.012686,x500_identified
4207012,-0.945641,2.005766,-3.014323,-0.917854,1.978907,-3.012666,x500_identified
4257095,-0.966771,2.023009,-3.014660,-0.939114,1.996973,-3.013256,x500_identified
4307179,-0.988081,2.040029,-3.015001,-0.960521,2.013912,-3.013092,x500_identified
4357262,-1.009568,2.056824,-3.015346,-0.981626,2.030950,-3.013121,x500_identified
4407346,-1.031230,2.073394,-3.015695,-1.003302,2.048099,-3.013361,x500_identified
4457429,-1.053065,2.089735,-3.016047,-1.024445,2.064315,-3.013422,x500_identified
4507513,-1.075070,2.105846,-3.016403,-1.046350,2.080523,-3.014677,x500_identified
4557596,-1.097243,2.121726,-3.016762,-1.068001,2.096638,-3.014137,x500_identified
4607679,-1.119581,2.137372,-3.017125,-1.090461,2.112213,-3.014983,x500_identified
4657763,-1.142081,2.152783,-3.017492,-1.112990,2.127394,-3.014985,x500_identified
4707846,-1.164743,2.167957,-3.017863,-1.134645,2.142481,-3.015073,x500_identified
4757930,-1.187562,2.182892,-3.018237,-1.156905,2.157207,-3.015404,x500_identified
4808013,-1.210537,2.197588,-3.018615,-1.179694,2.171335,-3.015393,x500_identified
4858097,-1.233664,2.212041,-3.018996,-1.202829,2.185654,-3.015629,x500_identified
4908180,-1.256942,2.226251,-3.019381,-1.226528,2.200301,-3.015961,x500_identified
4958264,-1.280368,2.240217,-3.019770,-1.250379,2.214702,-3.016423,x500_identified
5008347,-1.303938,2.253935,-3.020162,-1.273444,2.229147,-3.017070,x500_identified
5058431,-1.327652,2.267406,-3.020558,-1.296452,2.243222,-3.017135,x500_identified
5108514,-1.351505,2.280627,-3.020957,-1.320501,2.256898,-3.017198,x500_identified
5158598,-1.375496,2.293598,-3.021360,-1.344041,2.270180,-3.017764,x500_identified
5208681,-1.399622,2.306316,-3.021766,-1.368225,2.283686,-3.018071,x500_identified
5258765,-1.423879,2.318780,-3.022176,-1.392345,2.296550,-3.018774,x500_identified
5308848,-1.448266,2.330989,-3.022589,-1.416436,2.308611,-3.019205,x500_identified
5358932,-1.472780,2.342942,-3.023006,-1.441490,2.320928,-3.019264,x500_identified
5409015,-1.497418,2.354636,-3.023427,-1.466140,2.332572,-3.020345,x500_identified
5459098,-1.522177,2.366072,-3.023851,-1.490480,2.343830,-3.021091,x500_identified
5509182,-1.547054,2.377247,-3.024278,-1.515078,2.354914,-3.021312,x500_identified
5559265,-1.572048,2.388161,-3.024709,-1.540241,2.366801,-3.021140,x500_identified
5609349,-1.597155,2.398812,-3.025143,-1.564944,2.377401,-3.021643,x500_identified
5659432,-1.622371,2.409200,-3.025581,-1.589067,2.388322,-3.021535,x500_identified
